

Standort: 2-Hammerstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
009	11:21:04	03.10.14	1	13.1
009	11:21:05	03.10.14	1	3.5
010	11:21:05	03.10.14	1	3.5
018	11:26:54	03.10.14	1	8.5
014	11:26:55	03.10.14	1	3.6
016	11:28:14	03.10.14	1	3.9
014	11:28:14	03.10.14	1	3.8
013	11:28:15	03.10.14	1	0.9
006	11:32:14	03.10.14	1	0.5
014	12:48:19	03.10.14	1	0.9
019	12:48:25	03.10.14	1	3.8
023	12:48:31	03.10.14	1	3.9
015	12:48:36	03.10.14	1	3.9
035	12:49:39	03.10.14	1	3.9
027	12:52:38	03.10.14	1	3.9
013	12:52:51	03.10.14	1	3.9
016	12:52:55	03.10.14	1	6.6
027	12:53:02	03.10.14	1	4.0
016	12:53:30	03.10.14	1	3.7
016	12:53:32	03.10.14	1	4.7
025	12:53:40	03.10.14	1	1.1
018	12:53:50	03.10.14	1	4.0
019	12:53:52	03.10.14	1	4.5
020	12:53:55	03.10.14	1	4.0
021	12:53:57	03.10.14	1	4.0
025	12:54:05	03.10.14	1	4.3
022	12:54:08	03.10.14	1	4.2
013	12:54:13	03.10.14	1	4.0
034	12:54:17	03.10.14	1	4.5
021	12:54:20	03.10.14	1	2.7
026	12:54:30	03.10.14	1	3.9
020	12:54:44	03.10.14	1	3.5
020	12:54:47	03.10.14	1	3.9
025	12:54:50	03.10.14	1	4.8
015	12:55:05	03.10.14	1	4.0
031	12:55:14	03.10.14	1	4.9
030	12:55:20	03.10.14	1	4.3
030	12:55:21	03.10.14	1	5.2
030	12:55:38	03.10.14	1	4.2
023	12:56:09	03.10.14	1	4.4
020	12:56:17	03.10.14	1	10.7
036	12:56:27	03.10.14	1	4.7
038	12:56:30	03.10.14	1	4.3
023	12:56:39	03.10.14	1	4.2
023	12:56:59	03.10.14	1	3.7
019	12:57:01	03.10.14	1	6.7
033	12:57:14	03.10.14	1	4.8
026	12:57:19	03.10.14	1	6.6
023	12:57:22	03.10.14	1	3.6
027	12:57:30	03.10.14	1	3.8
031	12:57:50	03.10.14	1	5.6
032	12:57:57	03.10.14	1	4.9
008	12:58:13	03.10.14	1	4.0
028	12:58:33	03.10.14	1	4.8
029	12:58:35	03.10.14	1	4.5
015	12:58:41	03.10.14	1	1.5
017	12:58:45	03.10.14	1	0.5
018	12:58:51	03.10.14	1	8.2
019	12:58:52	03.10.14	1	4.1
021	12:58:55	03.10.14	1	4.1
026	12:58:59	03.10.14	1	4.1
007	12:59:17	03.10.14	1	0.5
031	12:59:21	03.10.14	1	5.0
028	12:59:24	03.10.14	1	4.4
020	12:59:27	03.10.14	1	6.6
007	12:59:39	03.10.14	1	4.1
016	12:59:56	03.10.14	1	6.5
019	13:00:03	03.10.14	1	13.2
028	13:00:07	03.10.14	1	4.5
032	13:00:09	03.10.14	1	5.3
032	13:00:20	03.10.14	1	5.7
034	13:00:23	03.10.14	1	2.9
029	13:00:28	03.10.14	1	5.3
032	13:00:30	03.10.14	1	1.7
020	13:00:34	03.10.14	1	14.9
028	13:00:38	03.10.14	1	4.5
027	13:00:44	03.10.14	1	1.6
029	13:00:47	03.10.14	1	3.6
031	13:00:56	03.10.14	1	4.0
010	13:01:01	03.10.14	1	1.3
021	13:01:03	03.10.14	1	9.0
013	13:01:08	03.10.14	1	0.7
027	13:01:11	03.10.14	1	4.0
013	13:01:33	03.10.14	1	2.2
017	13:01:37	03.10.14	1	6.5
022	13:01:42	03.10.14	1	6.6
030	13:01:52	03.10.14	1	5.5
036	13:02:19	03.10.14	1	4.6
025	13:02:37	03.10.14	1	5.5
029	13:02:49	03.10.14	1	3.5
028	13:02:54	03.10.14	1	2.8
012	13:02:57	03.10.14	1	3.8
