

Standort: 2-Hauensteinerst

[km/h]				 [m]
Dateformat: dd.mm.yy
010	14:13:31	24.01.14	1	6.8
026	14:15:52	24.01.14	1	3.9
024	14:18:51	24.01.14	1	4.4
034	14:20:56	24.01.14	1	3.5
027	14:21:24	24.01.14	1	3.9
033	14:24:40	24.01.14	1	4.5
027	14:27:57	24.01.14	1	4.1
029	14:30:14	24.01.14	1	3.6
028	14:31:23	24.01.14	1	3.9
041	14:36:26	24.01.14	1	3.5
032	14:37:34	24.01.14	1	4.0
036	14:39:32	24.01.14	1	4.4
022	14:42:17	24.01.14	1	3.0
020	14:42:19	24.01.14	1	5.4
020	14:42:22	24.01.14	1	7.3
034	14:46:05	24.01.14	1	4.1
031	14:48:06	24.01.14	1	3.4
019	14:49:47	24.01.14	1	3.4
028	14:56:02	24.01.14	1	4.0
021	15:11:31	24.01.14	1	1.6
022	15:15:47	24.01.14	1	4.0
027	15:18:49	24.01.14	1	4.1
030	15:20:06	24.01.14	1	3.5
028	15:24:48	24.01.14	1	3.5
038	15:25:58	24.01.14	1	3.9
030	15:29:15	24.01.14	1	4.1
031	15:34:44	24.01.14	1	3.9
037	15:37:07	24.01.14	1	4.8
026	15:37:35	24.01.14	1	3.6
037	15:39:09	24.01.14	1	3.7
041	15:43:10	24.01.14	1	3.8
037	15:46:57	24.01.14	1	4.2
032	15:49:15	24.01.14	1	4.3
026	15:50:03	24.01.14	1	3.9
028	15:50:30	24.01.14	1	1.2
035	16:01:34	24.01.14	1	3.5
024	16:02:30	24.01.14	1	3.8
031	16:02:38	24.01.14	1	4.0
021	16:05:34	24.01.14	1	4.3
035	16:06:15	24.01.14	1	3.9
031	16:14:40	24.01.14	1	3.7
035	16:16:16	24.01.14	1	3.4
024	16:16:23	24.01.14	1	4.5
038	16:17:19	24.01.14	1	3.1
025	16:22:50	24.01.14	1	4.1
027	16:25:59	24.01.14	1	4.3
026	16:29:30	24.01.14	1	4.8
029	16:36:15	24.01.14	1	3.7
035	16:43:25	24.01.14	1	3.9
031	16:47:39	24.01.14	1	4.9
031	16:48:31	24.01.14	1	4.7
022	16:55:49	24.01.14	1	4.2
025	16:56:21	24.01.14	1	0.7
039	17:00:48	24.01.14	1	4.2
033	17:09:46	24.01.14	1	3.9
025	17:13:31	24.01.14	1	4.1
034	17:14:47	24.01.14	1	4.3
037	17:15:43	24.01.14	1	3.5
027	17:21:02	24.01.14	1	4.0
034	17:28:35	24.01.14	1	3.4
029	17:33:06	24.01.14	1	4.5
034	17:33:55	24.01.14	1	3.8
026	17:36:09	24.01.14	1	3.8
030	17:36:26	24.01.14	1	4.3
032	17:36:53	24.01.14	1	3.2
038	17:38:17	24.01.14	1	3.9
022	17:50:08	24.01.14	1	3.6
029	17:54:41	24.01.14	1	3.5
028	17:55:31	24.01.14	1	4.7
035	17:57:07	24.01.14	1	4.3
029	17:58:17	24.01.14	1	4.3
020	17:58:30	24.01.14	1	5.4
037	18:00:36	24.01.14	1	4.4
033	18:01:29	24.01.14	1	4.2
027	18:04:16	24.01.14	1	3.6
023	18:05:44	24.01.14	1	4.8
018	18:10:30	24.01.14	1	4.7
030	18:11:36	24.01.14	1	4.4
034	18:13:23	24.01.14	1	4.4
027	18:14:20	24.01.14	1	4.4
034	18:14:24	24.01.14	1	4.7
042	18:14:46	24.01.14	1	4.4
025	18:15:48	24.01.14	1	4.4
032	18:21:04	24.01.14	1	4.5
024	18:24:09	24.01.14	1	4.5
026	18:27:58	24.01.14	1	7.2
032	18:30:58	24.01.14	1	3.7
028	18:35:58	24.01.14	1	3.8
029	18:38:37	24.01.14	1	3.9
023	18:40:27	24.01.14	1	3.7
030	18:45:54	24.01.14	1	3.9
029	18:46:56	24.01.14	1	4.1
035	18:49:56	24.01.14	1	4.4
028	18:52:24	24.01.14	1	7.2
025	18:52:38	24.01.14	1	0.9
023	18:53:22	24.01.14	1	0.6
035	18:55:55	24.01.14	1	3.6
021	18:57:44	24.01.14	1	0.5
035	19:06:38	24.01.14	1	4.7
028	19:13:28	24.01.14	1	4.5
035	19:14:30	24.01.14	1	4.0
030	19:16:59	24.01.14	1	3.8
042	19:20:12	24.01.14	1	6.4
015	19:22:11	24.01.14	1	2.9
032	19:24:25	24.01.14	1	3.8
026	19:24:30	24.01.14	1	1.1
023	19:29:21	24.01.14	1	3.5
023	19:29:24	24.01.14	1	4.7
032	19:39:32	24.01.14	1	4.3
033	19:50:44	24.01.14	1	3.4
028	20:06:11	24.01.14	1	4.2
030	20:08:59	24.01.14	1	4.3
033	20:10:22	24.01.14	1	4.4
022	20:26:44	24.01.14	1	1.0
037	20:30:37	24.01.14	1	3.8
032	20:34:13	24.01.14	1	4.0
028	20:45:24	24.01.14	1	3.8
027	20:52:31	24.01.14	1	3.9
029	20:59:45	24.01.14	1	3.6
034	21:50:42	24.01.14	1	4.2
019	22:43:01	24.01.14	1	0.8
030	22:44:46	24.01.14	1	4.0
015	22:59:13	24.01.14	1	4.2
031	23:09:22	24.01.14	1	3.3
032	23:11:08	24.01.14	1	3.5
037	23:46:16	24.01.14	1	4.1
038	00:08:07	25.01.14	1	3.9
039	00:20:48	25.01.14	1	4.1
035	00:25:10	25.01.14	1	3.3
027	00:27:51	25.01.14	1	3.9
022	01:04:35	25.01.14	1	1.1
029	02:36:25	25.01.14	1	4.9
