

Standort: 2-Hebelstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
014	10:35:06	23.10.15	2	16.7
016	10:35:07	23.10.15	2	3.5
015	10:37:07	23.10.15	2	3.6
032	10:37:37	23.10.15	2	3.6
006	10:39:12	23.10.15	2	3.6
015	10:44:12	23.10.15	2	9.5
012	10:44:19	23.10.15	2	8.7
029	10:46:02	23.10.15	2	6.5
026	10:47:45	23.10.15	2	3.4
017	11:00:51	23.10.15	2	1.9
016	11:00:52	23.10.15	2	3.9
028	11:04:34	23.10.15	2	3.9
031	11:04:35	23.10.15	2	3.9
022	11:04:40	23.10.15	2	4.1
023	11:06:46	23.10.15	2	3.8
024	11:06:46	23.10.15	2	3.9
037	11:07:05	23.10.15	2	4.5
021	11:09:38	23.10.15	2	4.3
019	11:09:39	23.10.15	2	4.0
035	11:09:50	23.10.15	2	4.7
011	11:19:17	23.10.15	2	2.8
025	11:21:49	23.10.15	2	3.2
027	11:30:03	23.10.15	2	2.5
025	11:30:08	23.10.15	2	5.3
021	11:31:26	23.10.15	2	2.7
025	11:35:12	23.10.15	2	5.5
029	11:42:41	23.10.15	2	6.2
017	11:43:31	23.10.15	2	3.6
017	11:43:32	23.10.15	2	4.3
024	11:43:38	23.10.15	2	9.1
014	11:43:47	23.10.15	2	4.0
016	11:43:48	23.10.15	2	4.0
021	11:47:09	23.10.15	2	4.1
016	11:48:28	23.10.15	2	4.1
015	11:51:44	23.10.15	2	3.3
032	11:57:00	23.10.15	2	5.9
010	12:01:07	23.10.15	2	4.1
013	12:01:08	23.10.15	2	4.1
029	12:02:42	23.10.15	2	5.5
012	12:03:55	23.10.15	2	4.2
030	12:06:46	23.10.15	2	4.9
028	12:08:54	23.10.15	2	4.6
026	12:11:25	23.10.15	2	5.9
027	12:11:55	23.10.15	2	7.2
021	12:12:31	23.10.15	2	7.4
016	12:14:01	23.10.15	2	4.2
027	12:15:20	23.10.15	2	5.2
025	12:16:34	23.10.15	2	4.9
018	12:18:03	23.10.15	2	3.3
020	12:18:16	23.10.15	2	3.7
030	12:21:41	23.10.15	2	4.9
020	12:22:44	23.10.15	2	3.8
022	12:24:16	23.10.15	2	2.5
024	12:24:16	23.10.15	2	4.2
013	12:24:39	23.10.15	2	4.2
031	12:25:07	23.10.15	2	4.3
032	12:34:44	23.10.15	2	12.0
024	12:35:54	23.10.15	2	4.3
017	12:36:26	23.10.15	2	4.5
025	12:37:36	23.10.15	2	4.3
030	12:40:26	23.10.15	2	7.7
021	12:41:31	23.10.15	2	4.1
021	12:41:32	23.10.15	2	4.3
020	12:43:33	23.10.15	2	3.0
016	12:44:43	23.10.15	2	3.5
030	12:49:48	23.10.15	2	4.3
030	12:49:56	23.10.15	2	4.3
022	12:51:36	23.10.15	2	4.3
022	12:55:31	23.10.15	2	4.3
012	13:04:17	23.10.15	2	4.4
013	13:05:07	23.10.15	2	4.4
024	13:07:54	23.10.15	2	4.9
017	13:08:42	23.10.15	2	4.5
027	13:10:15	23.10.15	2	3.9
021	13:10:49	23.10.15	2	3.5
018	13:10:53	23.10.15	2	4.2
009	13:11:07	23.10.15	2	2.1
010	13:11:07	23.10.15	2	4.4
019	13:13:39	23.10.15	2	4.4
022	13:14:39	23.10.15	2	3.9
019	13:15:18	23.10.15	2	12.5
019	13:15:21	23.10.15	2	13.0
019	13:15:24	23.10.15	2	4.4
017	13:16:41	23.10.15	2	4.4
019	13:16:41	23.10.15	2	4.4
025	13:17:06	23.10.15	2	5.9
023	13:17:23	23.10.15	2	5.4
020	13:18:09	23.10.15	2	7.0
030	13:20:01	23.10.15	2	6.2
028	13:20:12	23.10.15	2	4.6
021	13:20:38	23.10.15	2	3.4
030	13:22:48	23.10.15	2	3.6
026	13:23:42	23.10.15	2	3.8
018	13:24:22	23.10.15	2	2.9
019	13:24:43	23.10.15	2	3.9
018	13:25:04	23.10.15	2	4.5
020	13:25:38	23.10.15	2	3.4
019	13:26:12	23.10.15	2	4.5
030	13:26:28	23.10.15	2	5.7
030	13:27:46	23.10.15	2	6.6
029	13:29:00	23.10.15	2	4.3
025	13:30:26	23.10.15	2	5.8
026	13:32:40	23.10.15	2	4.5
022	13:33:50	23.10.15	2	4.6
027	13:37:58	23.10.15	2	6.9
024	13:43:04	23.10.15	2	4.7
