

Standort: 2-Hirzbrunnenstr

[km/h]				 [m]
Dateformat: dd.mm.yy
014	16:11:17	11.10.13	1	3.5
037	16:12:38	11.10.13	1	11.0
008	16:14:15	11.10.13	1	6.3
026	16:15:26	11.10.13	1	4.3
028	16:22:13	11.10.13	1	10.5
034	16:23:18	11.10.13	1	8.5
005	16:24:33	11.10.13	1	3.6
023	16:24:45	11.10.13	1	3.6
012	16:25:51	11.10.13	1	5.0
019	16:26:47	11.10.13	1	4.4
033	16:27:07	11.10.13	1	14.3
025	16:28:25	11.10.13	1	6.0
036	16:30:29	11.10.13	1	12.0
038	16:31:09	11.10.13	1	10.9
042	16:31:47	11.10.13	1	7.9
016	16:32:20	11.10.13	1	5.6
035	16:32:31	11.10.13	1	8.4
016	16:33:23	11.10.13	1	4.1
024	16:33:39	11.10.13	1	3.6
030	16:33:41	11.10.13	1	9.2
039	16:34:06	11.10.13	1	10.6
021	16:35:11	11.10.13	1	4.3
028	16:35:52	11.10.13	1	3.8
037	16:37:31	11.10.13	1	8.1
038	16:39:45	11.10.13	1	15.4
022	16:39:59	11.10.13	1	3.7
021	16:40:09	11.10.13	1	4.3
008	16:42:24	11.10.13	1	3.7
039	16:42:58	11.10.13	1	11.7
027	16:43:20	11.10.13	1	4.9
017	16:43:36	11.10.13	1	3.9
042	16:43:50	11.10.13	1	3.9
045	16:43:50	11.10.13	1	8.5
022	16:44:15	11.10.13	1	3.5
031	16:45:27	11.10.13	1	7.9
032	16:45:31	11.10.13	1	3.7
027	16:45:31	11.10.13	1	3.8
033	16:45:32	11.10.13	1	8.7
036	16:46:41	11.10.13	1	11.7
030	16:46:41	11.10.13	1	3.8
036	16:46:42	11.10.13	1	5.3
024	16:47:04	11.10.13	1	4.2
026	16:48:23	11.10.13	1	4.4
019	16:48:26	11.10.13	1	3.6
020	16:49:03	11.10.13	1	3.8
032	16:51:47	11.10.13	1	8.3
024	16:52:05	11.10.13	1	3.6
012	16:52:50	11.10.13	1	4.5
032	16:52:56	11.10.13	1	11.5
039	16:53:24	11.10.13	1	10.9
022	16:53:46	11.10.13	1	3.6
043	16:53:56	11.10.13	1	11.2
034	16:54:04	11.10.13	1	3.5
034	16:54:04	11.10.13	1	8.0
018	16:54:19	11.10.13	1	3.8
019	16:54:20	11.10.13	1	6.7
012	16:54:54	11.10.13	1	5.2
032	16:55:03	11.10.13	1	11.8
036	16:55:06	11.10.13	1	12.4
031	16:55:13	11.10.13	1	11.1
027	16:56:39	11.10.13	1	3.8
032	16:56:40	11.10.13	1	8.0
019	16:57:48	11.10.13	1	3.4
036	16:59:44	11.10.13	1	11.8
026	17:00:07	11.10.13	1	4.3
036	17:02:16	11.10.13	1	12.0
044	17:02:31	11.10.13	1	11.3
030	17:06:58	11.10.13	1	4.8
029	17:07:33	11.10.13	1	11.1
014	17:08:27	11.10.13	1	5.1
016	17:09:35	11.10.13	1	4.8
032	17:11:13	11.10.13	1	7.5
013	17:11:59	11.10.13	1	5.0
039	17:12:44	11.10.13	1	4.9
024	17:13:37	11.10.13	1	4.2
037	17:13:48	11.10.13	1	9.5
018	17:14:03	11.10.13	1	3.8
016	17:14:05	11.10.13	1	7.4
037	17:15:29	11.10.13	1	11.4
038	17:17:07	11.10.13	1	5.0
042	17:18:43	11.10.13	1	11.0
021	17:21:13	11.10.13	1	4.0
017	17:23:27	11.10.13	1	3.8
038	17:24:18	11.10.13	1	12.2
041	17:24:23	11.10.13	1	4.4
043	17:24:31	11.10.13	1	12.6
040	17:24:56	11.10.13	1	11.0
032	17:27:07	11.10.13	1	13.8
011	17:28:08	11.10.13	1	5.6
021	17:28:56	11.10.13	1	7.2
030	17:29:23	11.10.13	1	12.7
023	17:29:27	11.10.13	1	3.4
020	17:31:03	11.10.13	1	3.9
025	17:31:05	11.10.13	1	8.1
022	17:31:44	11.10.13	1	3.3
030	17:32:03	11.10.13	1	3.9
032	17:32:03	11.10.13	1	7.4
034	17:32:12	11.10.13	1	11.4
031	17:33:18	11.10.13	1	8.0
036	17:35:55	11.10.13	1	4.0
039	17:35:56	11.10.13	1	9.0
030	17:36:04	11.10.13	1	4.0
033	17:36:05	11.10.13	1	8.4
037	17:37:02	11.10.13	1	7.6
020	17:37:45	11.10.13	1	4.0
026	17:38:01	11.10.13	1	4.0
030	17:38:03	11.10.13	1	7.0
027	17:38:36	11.10.13	1	4.3
022	17:39:07	11.10.13	1	9.1
036	17:42:01	11.10.13	1	8.2
031	17:42:50	11.10.13	1	11.5
032	17:44:08	11.10.13	1	2.4
036	17:44:09	11.10.13	1	8.4
021	17:45:12	11.10.13	1	4.0
010	17:49:03	11.10.13	1	6.2
031	17:49:36	11.10.13	1	4.0
033	17:49:37	11.10.13	1	9.4
021	17:50:09	11.10.13	1	3.6
027	17:53:33	11.10.13	1	6.9
029	17:54:03	11.10.13	1	11.0
029	17:54:05	11.10.13	1	7.2
046	17:54:20	11.10.13	1	11.4
030	17:54:37	11.10.13	1	3.3
031	17:54:38	11.10.13	1	9.1
015	17:54:44	11.10.13	1	3.8
037	17:55:22	11.10.13	1	14.1
020	18:01:31	11.10.13	1	4.3
020	18:03:17	11.10.13	1	5.9
036	18:05:48	11.10.13	1	12.0
017	18:08:56	11.10.13	1	4.1
037	18:09:26	11.10.13	1	1.9
035	18:09:27	11.10.13	1	4.1
038	18:09:27	11.10.13	1	7.5
027	18:15:02	11.10.13	1	4.1
033	18:15:03	11.10.13	1	8.9
048	18:16:34	11.10.13	1	11.2
039	18:17:21	11.10.13	1	11.2
023	18:17:34	11.10.13	1	3.8
040	18:21:32	11.10.13	1	12.3
019	18:26:28	11.10.13	1	4.0
023	18:28:07	11.10.13	1	4.3
022	18:28:19	11.10.13	1	4.1
