

Standort: 2-Im Hirshalm

[km/h]				 [m]
Dateformat: dd.mm.yy
009	10:11:26	30.05.14	1	0.9
009	10:11:27	30.05.14	1	3.5
013	10:11:36	30.05.14	1	1.8
028	10:23:22	30.05.14	1	5.1
025	10:28:34	30.05.14	1	4.9
025	10:29:09	30.05.14	1	3.5
015	10:31:56	30.05.14	1	3.2
035	10:34:11	30.05.14	1	1.2
034	10:42:37	30.05.14	1	3.8
031	10:53:34	30.05.14	1	5.0
030	10:53:36	30.05.14	1	4.5
029	10:54:57	30.05.14	1	5.1
035	10:56:32	30.05.14	1	4.6
033	10:57:44	30.05.14	1	4.9
026	10:57:53	30.05.14	1	4.0
028	10:58:02	30.05.14	1	4.1
029	10:59:21	30.05.14	1	4.4
027	11:01:08	30.05.14	1	3.5
032	11:03:00	30.05.14	1	4.9
031	11:03:36	30.05.14	1	4.4
018	11:05:40	30.05.14	1	4.3
027	11:06:24	30.05.14	1	4.3
021	11:06:49	30.05.14	1	2.9
031	11:09:06	30.05.14	1	4.1
029	11:09:24	30.05.14	1	4.4
013	11:12:28	30.05.14	1	4.6
015	11:12:35	30.05.14	1	4.1
019	11:15:16	30.05.14	1	3.6
039	11:16:06	30.05.14	1	4.4
019	11:16:48	30.05.14	1	4.1
034	11:17:22	30.05.14	1	3.7
039	11:17:29	30.05.14	1	3.8
029	11:17:40	30.05.14	1	5.2
028	11:21:37	30.05.14	1	4.0
026	11:21:57	30.05.14	1	3.7
030	11:23:46	30.05.14	1	5.0
021	11:26:19	30.05.14	1	4.2
027	11:27:01	30.05.14	1	4.9
029	11:27:41	30.05.14	1	6.7
029	11:27:45	30.05.14	1	4.3
037	11:28:12	30.05.14	1	4.2
020	11:28:55	30.05.14	1	4.6
031	11:30:44	30.05.14	1	4.8
020	11:32:22	30.05.14	1	3.4
028	11:32:25	30.05.14	1	1.3
023	11:32:29	30.05.14	1	3.8
034	11:32:41	30.05.14	1	4.5
029	11:33:52	30.05.14	1	4.9
021	11:36:15	30.05.14	1	3.9
010	11:36:37	30.05.14	1	0.5
013	11:37:31	30.05.14	1	0.7
010	11:38:16	30.05.14	1	1.1
017	11:38:26	30.05.14	1	2.3
025	11:39:22	30.05.14	1	3.7
038	11:42:31	30.05.14	1	5.2
027	11:43:15	30.05.14	1	4.2
033	11:44:39	30.05.14	1	4.5
040	11:44:47	30.05.14	1	4.3
042	11:47:15	30.05.14	1	4.2
029	11:48:29	30.05.14	1	4.8
033	11:49:26	30.05.14	1	5.0
025	11:50:19	30.05.14	1	4.1
028	11:52:27	30.05.14	1	5.0
027	11:52:29	30.05.14	1	4.3
027	11:53:34	30.05.14	1	4.8
031	11:59:32	30.05.14	1	4.4
036	12:01:41	30.05.14	1	4.0
041	12:03:27	30.05.14	1	4.8
034	12:05:18	30.05.14	1	5.3
032	12:05:35	30.05.14	1	9.0
030	12:05:40	30.05.14	1	4.7
039	12:06:48	30.05.14	1	4.6
042	12:08:19	30.05.14	1	4.4
034	12:09:05	30.05.14	1	4.6
039	12:14:33	30.05.14	1	3.6
035	12:15:22	30.05.14	1	1.8
033	12:15:27	30.05.14	1	4.2
031	12:16:43	30.05.14	1	4.1
023	12:17:15	30.05.14	1	5.7
030	12:19:34	30.05.14	1	4.0
025	12:22:55	30.05.14	1	3.1
031	12:23:06	30.05.14	1	1.0
031	12:25:39	30.05.14	1	4.0
035	12:29:08	30.05.14	1	4.5
036	12:29:56	30.05.14	1	5.3
039	12:30:35	30.05.14	1	4.6
036	12:34:31	30.05.14	1	4.9
042	12:36:00	30.05.14	1	4.4
029	12:37:14	30.05.14	1	5.2
023	12:39:53	30.05.14	1	4.3
037	12:41:49	30.05.14	1	4.7
017	12:42:09	30.05.14	1	3.9
037	12:42:29	30.05.14	1	4.4
024	12:44:28	30.05.14	1	6.6
027	12:46:04	30.05.14	1	4.4
040	12:46:13	30.05.14	1	5.5
019	12:47:20	30.05.14	1	3.5
035	12:49:58	30.05.14	1	4.3
033	12:50:12	30.05.14	1	4.8
024	12:55:14	30.05.14	1	3.8
032	12:57:12	30.05.14	1	5.0
022	12:57:45	30.05.14	1	4.3
018	12:58:44	30.05.14	1	3.5
021	12:58:53	30.05.14	1	5.2
019	12:59:06	30.05.14	1	4.0
034	13:01:54	30.05.14	1	1.7
020	13:02:32	30.05.14	1	4.4
033	13:03:19	30.05.14	1	3.8
032	13:03:48	30.05.14	1	2.9
031	13:07:27	30.05.14	1	5.2
025	13:13:51	30.05.14	1	3.8
036	13:15:00	30.05.14	1	4.9
035	13:18:18	30.05.14	1	3.9
034	13:20:54	30.05.14	1	4.2
035	13:23:40	30.05.14	1	4.0
028	13:24:38	30.05.14	1	5.9
024	13:24:46	30.05.14	1	4.6
036	13:26:09	30.05.14	1	5.2
032	13:28:00	30.05.14	1	5.2
028	13:32:47	30.05.14	1	5.1
034	13:35:29	30.05.14	1	1.6
039	13:35:35	30.05.14	1	5.3
025	13:36:02	30.05.14	1	4.1
031	13:37:42	30.05.14	1	4.8
035	13:37:46	30.05.14	1	5.2
039	13:43:00	30.05.14	1	4.7
022	13:43:20	30.05.14	1	3.5
023	13:46:38	30.05.14	1	1.2
017	13:47:16	30.05.14	1	3.7
032	13:50:40	30.05.14	1	4.6
024	13:55:05	30.05.14	1	2.8
029	13:55:30	30.05.14	1	5.1
035	13:55:37	30.05.14	1	4.6
017	13:59:02	30.05.14	1	3.3
033	14:02:43	30.05.14	1	3.9
016	14:08:33	30.05.14	1	3.2
026	14:08:41	30.05.14	1	5.0
030	14:10:54	30.05.14	1	4.0
033	14:12:14	30.05.14	1	4.1
038	14:14:50	30.05.14	1	5.1
039	14:15:23	30.05.14	1	4.0
038	14:17:07	30.05.14	1	4.4
029	14:18:54	30.05.14	1	5.4
032	14:19:19	30.05.14	1	4.4
