

Standort: 2-Im Rheinacker

[km/h]				 [m]
Dateformat: dd.mm.yy
006	13:34:20	01.07.16	2	5.4
011	13:34:34	01.07.16	2	5.4
017	13:35:44	01.07.16	2	5.4
018	13:35:45	01.07.16	2	5.5
007	13:37:29	01.07.16	2	5.5
022	13:42:00	01.07.16	2	5.3
023	13:46:48	01.07.16	2	3.4
022	13:49:18	01.07.16	2	3.0
022	13:55:02	01.07.16	2	2.6
015	13:55:55	01.07.16	2	2.6
016	13:56:09	01.07.16	2	2.8
012	13:56:18	01.07.16	2	4.0
017	13:59:01	01.07.16	2	5.0
022	14:04:09	01.07.16	2	4.3
016	14:06:09	01.07.16	2	5.7
021	14:06:24	01.07.16	2	6.2
016	14:17:45	01.07.16	2	3.2
022	14:18:48	01.07.16	2	2.9
023	14:21:58	01.07.16	2	4.6
014	14:22:16	01.07.16	2	3.2
018	14:25:14	01.07.16	2	4.0
025	14:29:24	01.07.16	2	3.2
017	14:31:37	01.07.16	2	3.3
016	14:33:46	01.07.16	2	3.3
006	14:35:51	01.07.16	2	3.3
017	14:38:32	01.07.16	2	5.2
013	14:40:20	01.07.16	2	3.4
021	14:44:36	01.07.16	2	4.5
012	14:55:20	01.07.16	2	3.4
015	14:58:30	01.07.16	2	3.5
019	14:58:41	01.07.16	2	5.8
012	15:06:19	01.07.16	2	4.3
018	15:07:08	01.07.16	2	4.3
015	15:07:50	01.07.16	2	3.5
015	15:11:41	01.07.16	2	1.1
007	15:22:08	01.07.16	2	3.6
004	15:22:34	01.07.16	2	3.6
023	15:24:34	01.07.16	2	5.3
015	15:27:04	01.07.16	2	9.7
024	15:30:31	01.07.16	2	5.5
006	15:31:38	01.07.16	2	1.2
026	15:36:21	01.07.16	2	10.9
021	15:41:37	01.07.16	2	5.0
018	15:47:49	01.07.16	2	8.0
023	15:49:53	01.07.16	2	9.2
010	15:51:04	01.07.16	2	4.1
024	15:52:50	01.07.16	2	5.3
006	15:53:07	01.07.16	2	3.7
006	15:53:43	01.07.16	2	3.7
019	15:54:52	01.07.16	2	4.3
016	15:58:16	01.07.16	2	2.4
018	15:58:21	01.07.16	2	3.6
012	15:58:50	01.07.16	2	3.7
014	16:08:28	01.07.16	2	5.0
007	16:10:25	01.07.16	2	3.8
023	16:12:24	01.07.16	2	3.4
010	16:13:16	01.07.16	2	9.3
008	16:15:01	01.07.16	2	3.8
017	16:19:41	01.07.16	2	3.8
015	16:24:53	01.07.16	2	3.8
012	16:26:49	01.07.16	2	6.4
019	16:29:45	01.07.16	2	4.2
016	16:31:50	01.07.16	2	4.6
016	16:34:42	01.07.16	2	4.2
015	16:37:27	01.07.16	2	4.1
015	16:38:33	01.07.16	2	4.4
013	16:38:37	01.07.16	2	3.9
015	16:40:20	01.07.16	2	3.9
015	16:41:05	01.07.16	2	3.1
017	16:42:45	01.07.16	2	4.8
017	16:43:36	01.07.16	2	4.3
021	16:44:44	01.07.16	2	2.6
014	16:47:34	01.07.16	2	5.0
012	16:47:42	01.07.16	2	3.9
012	16:52:10	01.07.16	2	3.9
008	16:54:59	01.07.16	2	3.9
018	17:03:16	01.07.16	2	4.0
015	17:03:19	01.07.16	2	4.2
012	17:03:26	01.07.16	2	4.6
013	17:03:49	01.07.16	2	4.0
011	17:04:19	01.07.16	2	3.8
013	17:06:30	01.07.16	2	4.1
005	17:08:38	01.07.16	2	4.0
006	17:08:46	01.07.16	2	4.2
018	17:10:44	01.07.16	2	4.0
022	17:11:04	01.07.16	2	3.5
014	17:11:55	01.07.16	2	4.3
013	17:12:16	01.07.16	2	4.1
012	17:14:45	01.07.16	2	5.6
008	17:17:05	01.07.16	2	4.1
018	17:17:41	01.07.16	2	5.5
019	17:18:51	01.07.16	2	4.0
017	17:28:53	01.07.16	2	4.3
024	17:29:16	01.07.16	2	3.2
014	17:29:43	01.07.16	2	4.1
016	17:30:43	01.07.16	2	3.7
018	17:32:04	01.07.16	2	4.6
018	17:34:02	01.07.16	2	4.1
014	17:35:56	01.07.16	2	4.3
