

Standort: 2-Im Rheinacker

[km/h]				 [m]
Dateformat: dd.mm.yy
014	10:04:49	17.06.16	2	3.5
009	10:04:51	17.06.16	2	3.5
007	10:05:57	17.06.16	2	3.6
007	10:05:57	17.06.16	2	3.6
007	10:06:00	17.06.16	2	3.6
007	10:06:01	17.06.16	2	3.7
007	10:06:03	17.06.16	2	3.7
008	10:06:06	17.06.16	2	3.7
018	10:06:23	17.06.16	2	6.7
026	10:06:28	17.06.16	2	25.5
028	10:06:32	17.06.16	2	5.3
031	10:06:33	17.06.16	2	3.7
032	10:06:33	17.06.16	2	3.8
032	10:06:33	17.06.16	2	3.8
009	10:07:26	17.06.16	2	3.8
010	10:07:38	17.06.16	2	3.8
014	10:07:39	17.06.16	2	3.8
020	10:07:40	17.06.16	2	5.7
024	10:07:41	17.06.16	2	3.9
026	10:07:41	17.06.16	2	3.9
026	10:07:41	17.06.16	2	3.9
026	10:07:41	17.06.16	2	3.9
026	10:07:41	17.06.16	2	3.9
026	10:07:43	17.06.16	2	6.3
012	10:12:23	17.06.16	2	4.2
017	10:18:37	17.06.16	2	4.7
021	10:27:47	17.06.16	2	3.8
033	10:33:58	17.06.16	2	4.5
006	10:54:12	17.06.16	2	4.0
017	11:16:31	17.06.16	2	5.8
018	11:30:03	17.06.16	2	4.7
020	12:03:56	17.06.16	2	4.6
014	12:07:58	17.06.16	2	3.4
016	12:12:11	17.06.16	2	1.9
022	12:12:23	17.06.16	2	4.6
010	12:13:48	17.06.16	2	4.1
026	12:14:41	17.06.16	2	4.7
015	12:24:28	17.06.16	2	4.7
005	12:26:29	17.06.16	2	4.1
016	12:34:13	17.06.16	2	4.7
019	12:44:01	17.06.16	2	4.2
022	12:44:02	17.06.16	2	4.2
016	12:44:03	17.06.16	2	4.2
004	12:44:20	17.06.16	2	4.2
004	12:44:21	17.06.16	2	4.2
012	12:44:26	17.06.16	2	4.2
015	12:44:30	17.06.16	2	4.3
017	12:44:35	17.06.16	2	4.2
006	12:44:49	17.06.16	2	4.2
020	12:44:55	17.06.16	2	4.2
017	12:44:55	17.06.16	2	4.2
020	12:44:56	17.06.16	2	4.3
020	12:47:17	17.06.16	2	4.3
018	12:47:19	17.06.16	2	4.3
017	12:47:47	17.06.16	2	4.3
020	12:47:48	17.06.16	2	4.3
018	12:47:48	17.06.16	2	4.3
019	12:47:48	17.06.16	2	4.3
022	12:47:55	17.06.16	2	4.3
021	12:47:58	17.06.16	2	4.3
017	12:48:01	17.06.16	2	4.3
010	12:48:03	17.06.16	2	4.4
020	12:48:23	17.06.16	2	4.4
017	12:48:24	17.06.16	2	4.4
016	12:48:26	17.06.16	2	4.4
015	12:48:36	17.06.16	2	4.4
026	12:54:41	17.06.16	2	4.7
006	13:06:20	17.06.16	2	4.4
025	13:11:26	17.06.16	2	3.8
018	13:11:40	17.06.16	2	4.4
014	13:11:49	17.06.16	2	4.4
016	13:11:53	17.06.16	2	4.4
028	13:12:13	17.06.16	2	4.5
017	13:12:26	17.06.16	2	4.5
016	13:12:27	17.06.16	2	4.5
020	13:13:05	17.06.16	2	4.5
017	13:13:07	17.06.16	2	4.5
016	13:15:21	17.06.16	2	3.6
012	13:20:58	17.06.16	2	4.5
022	13:21:01	17.06.16	2	4.5
016	13:23:04	17.06.16	2	4.5
015	13:23:19	17.06.16	2	4.5
015	13:59:27	17.06.16	2	3.9
019	14:02:19	17.06.16	2	3.6
006	14:10:36	17.06.16	2	4.6
022	14:17:01	17.06.16	2	4.9
017	14:18:04	17.06.16	2	4.3
006	14:24:42	17.06.16	2	4.6
015	14:35:00	17.06.16	2	3.9
032	14:35:53	17.06.16	2	5.2
005	14:42:26	17.06.16	2	4.7
006	14:42:27	17.06.16	2	4.7
011	14:46:00	17.06.16	2	3.3
021	14:51:27	17.06.16	2	5.1
018	15:01:42	17.06.16	2	3.5
014	15:04:37	17.06.16	2	3.6
006	15:09:26	17.06.16	2	4.8
006	15:09:27	17.06.16	2	4.8
023	15:21:44	17.06.16	2	5.0
037	15:34:30	17.06.16	2	1.6
