

Standort: 2-Immenbachstras

[km/h]				 [m]
Dateformat: dd.mm.yy
021	14:15:21	27.02.15	2	3.5
022	14:22:09	27.02.15	2	3.9
016	14:23:08	27.02.15	2	3.8
033	14:23:55	27.02.15	2	4.6
029	14:31:01	27.02.15	2	4.1
037	14:33:55	27.02.15	2	5.7
025	14:35:14	27.02.15	2	4.1
020	14:35:54	27.02.15	2	5.1
038	14:38:43	27.02.15	2	4.4
024	14:39:28	27.02.15	2	4.0
035	14:43:00	27.02.15	2	3.9
031	14:43:28	27.02.15	2	4.8
032	14:45:24	27.02.15	2	5.3
035	14:45:35	27.02.15	2	5.7
021	14:49:16	27.02.15	2	5.4
038	14:52:28	27.02.15	2	3.9
030	14:53:41	27.02.15	2	4.6
020	14:57:59	27.02.15	2	3.6
034	15:02:10	27.02.15	2	4.5
036	15:03:44	27.02.15	2	4.4
027	15:08:14	27.02.15	2	4.8
035	15:09:32	27.02.15	2	4.4
035	15:09:41	27.02.15	2	4.0
033	15:10:51	27.02.15	2	4.4
035	15:11:56	27.02.15	2	4.9
019	15:12:16	27.02.15	2	7.2
010	15:17:08	27.02.15	2	4.5
038	15:18:34	27.02.15	2	5.1
037	15:21:24	27.02.15	2	4.3
025	15:26:08	27.02.15	2	4.5
025	15:26:10	27.02.15	2	4.9
029	15:36:10	27.02.15	2	4.0
030	15:36:29	27.02.15	2	5.0
034	15:39:21	27.02.15	2	7.3
020	15:41:32	27.02.15	2	6.2
038	15:45:55	27.02.15	2	5.1
035	15:48:52	27.02.15	2	4.0
038	15:50:19	27.02.15	2	4.3
034	15:54:30	27.02.15	2	6.4
025	15:59:02	27.02.15	2	3.1
034	16:03:16	27.02.15	2	4.4
038	16:06:22	27.02.15	2	4.2
028	16:07:54	27.02.15	2	4.7
028	16:07:57	27.02.15	2	5.6
036	16:08:14	27.02.15	2	5.4
035	16:08:50	27.02.15	2	4.5
032	16:28:00	27.02.15	2	4.8
019	16:36:51	27.02.15	2	1.2
026	16:42:19	27.02.15	2	3.3
038	16:48:46	27.02.15	2	4.2
035	16:49:19	27.02.15	2	5.5
029	16:52:15	27.02.15	2	4.6
043	16:53:12	27.02.15	2	4.2
025	16:54:11	27.02.15	2	4.7
016	16:58:25	27.02.15	2	3.3
028	16:58:28	27.02.15	2	4.2
031	16:59:26	27.02.15	2	4.6
028	17:03:15	27.02.15	2	4.2
039	17:11:04	27.02.15	2	4.7
032	17:11:32	27.02.15	2	6.3
034	17:14:52	27.02.15	2	5.3
024	17:19:44	27.02.15	2	3.7
035	17:37:44	27.02.15	2	3.5
021	17:37:57	27.02.15	2	3.9
037	17:39:31	27.02.15	2	3.8
029	17:43:00	27.02.15	2	3.8
032	17:55:54	27.02.15	2	5.9
032	17:58:15	27.02.15	2	5.4
029	18:01:44	27.02.15	2	4.6
018	18:04:32	27.02.15	2	5.7
031	18:04:37	27.02.15	2	4.1
025	18:07:54	27.02.15	2	5.4
022	18:09:57	27.02.15	2	5.0
039	18:11:24	27.02.15	2	5.6
