

Standort: 2-Keltenweg

[km/h]				 [m]
Dateformat: dd.mm.yy
035	09:18:44	09.05.14	1	4.3
031	10:02:13	09.05.14	1	5.1
037	10:03:33	09.05.14	1	4.6
021	10:04:59	09.05.14	1	4.9
011	10:05:06	09.05.14	1	2.1
018	10:06:14	09.05.14	1	1.7
024	10:08:01	09.05.14	1	3.7
024	10:08:55	09.05.14	1	7.3
028	10:11:30	09.05.14	1	6.1
021	10:13:32	09.05.14	1	1.7
028	10:13:57	09.05.14	1	4.7
029	10:14:38	09.05.14	1	4.1
019	10:15:24	09.05.14	1	1.6
029	10:15:33	09.05.14	1	4.7
026	10:16:02	09.05.14	1	3.3
026	10:18:19	09.05.14	1	0.9
032	10:22:23	09.05.14	1	5.4
029	10:23:48	09.05.14	1	4.7
032	10:23:57	09.05.14	1	4.4
034	10:24:17	09.05.14	1	3.7
032	10:24:33	09.05.14	1	4.7
025	10:26:15	09.05.14	1	8.0
022	10:27:31	09.05.14	1	0.9
037	10:29:08	09.05.14	1	4.9
017	10:29:30	09.05.14	1	1.3
030	10:30:05	09.05.14	1	3.5
022	10:30:24	09.05.14	1	3.1
020	10:30:35	09.05.14	1	1.3
033	10:33:45	09.05.14	1	3.8
032	10:36:44	09.05.14	1	4.3
019	10:38:00	09.05.14	1	1.8
025	10:39:26	09.05.14	1	4.3
028	10:41:04	09.05.14	1	4.1
030	10:43:48	09.05.14	1	4.5
038	10:45:03	09.05.14	1	4.1
022	10:46:34	09.05.14	1	4.8
032	10:47:30	09.05.14	1	8.3
030	10:47:57	09.05.14	1	4.6
028	10:49:07	09.05.14	1	4.1
014	10:52:54	09.05.14	1	0.8
028	10:54:50	09.05.14	1	4.4
028	10:59:39	09.05.14	1	4.2
028	11:00:02	09.05.14	1	5.4
034	11:00:18	09.05.14	1	5.6
030	11:02:20	09.05.14	1	6.5
038	11:03:06	09.05.14	1	3.7
031	11:05:25	09.05.14	1	5.5
017	11:05:58	09.05.14	1	3.7
024	11:07:14	09.05.14	1	4.5
031	11:07:55	09.05.14	1	4.2
032	11:08:04	09.05.14	1	4.4
029	11:17:30	09.05.14	1	5.4
028	11:17:52	09.05.14	1	5.1
030	11:17:54	09.05.14	1	4.3
020	11:18:16	09.05.14	1	4.5
038	11:19:48	09.05.14	1	4.3
015	11:21:45	09.05.14	1	3.1
007	11:22:23	09.05.14	1	1.2
040	11:23:07	09.05.14	1	1.6
035	11:24:06	09.05.14	1	5.8
028	11:25:30	09.05.14	1	5.6
014	11:26:35	09.05.14	1	1.3
029	11:27:02	09.05.14	1	4.7
025	11:27:25	09.05.14	1	4.9
020	11:28:12	09.05.14	1	3.6
027	11:30:00	09.05.14	1	5.6
027	11:30:35	09.05.14	1	6.1
017	11:30:54	09.05.14	1	2.4
020	11:31:07	09.05.14	1	4.3
025	11:31:10	09.05.14	1	3.8
025	11:31:41	09.05.14	1	4.8
025	11:36:18	09.05.14	1	4.5
026	11:36:50	09.05.14	1	5.0
015	11:37:39	09.05.14	1	3.0
032	11:38:23	09.05.14	1	3.9
014	11:39:46	09.05.14	1	10.7
