

Standort: 2-Kleinhuenigera

[km/h]				 [m]
Dateformat: dd.mm.yy
049	14:18:12	07.04.17	1	3.5
047	14:18:15	07.04.17	1	4.9
047	14:18:20	07.04.17	1	4.7
033	14:18:49	07.04.17	1	3.8
030	14:18:50	07.04.17	1	4.2
028	14:18:52	07.04.17	1	3.9
030	14:18:54	07.04.17	1	4.9
032	14:18:55	07.04.17	1	4.0
033	14:18:56	07.04.17	1	3.5
036	14:19:08	07.04.17	1	4.8
043	14:19:35	07.04.17	1	3.5
040	14:19:38	07.04.17	1	4.0
043	14:19:43	07.04.17	1	4.3
042	14:19:45	07.04.17	1	4.1
044	14:19:48	07.04.17	1	4.0
049	14:19:54	07.04.17	1	4.5
044	14:19:58	07.04.17	1	4.0
028	14:20:09	07.04.17	1	3.9
044	14:20:23	07.04.17	1	4.4
038	14:20:26	07.04.17	1	3.8
036	14:20:27	07.04.17	1	4.4
047	14:20:30	07.04.17	1	4.4
040	14:20:33	07.04.17	1	3.6
043	14:20:34	07.04.17	1	4.2
042	14:20:39	07.04.17	1	4.2
044	14:20:49	07.04.17	1	4.7
016	14:20:56	07.04.17	1	4.4
025	14:21:00	07.04.17	1	3.8
042	14:21:41	07.04.17	1	1.3
042	14:21:43	07.04.17	1	4.0
043	14:21:45	07.04.17	1	4.9
035	14:21:49	07.04.17	1	6.8
043	14:21:55	07.04.17	1	3.7
034	14:22:03	07.04.17	1	25.5
031	14:22:05	07.04.17	1	6.3
034	14:22:07	07.04.17	1	4.2
034	14:22:10	07.04.17	1	4.3
031	14:22:12	07.04.17	1	5.2
022	14:22:16	07.04.17	1	3.5
016	14:22:20	07.04.17	1	0.6
009	14:22:46	07.04.17	1	4.9
009	14:22:53	07.04.17	1	3.9
014	14:22:55	07.04.17	1	3.7
016	14:22:59	07.04.17	1	4.4
018	14:23:01	07.04.17	1	4.6
016	14:23:05	07.04.17	1	3.8
010	14:23:11	07.04.17	1	4.9
010	14:23:18	07.04.17	1	4.4
010	14:23:36	07.04.17	1	3.2
015	14:23:40	07.04.17	1	4.4
016	14:23:43	07.04.17	1	3.3
021	14:23:46	07.04.17	1	4.0
022	14:23:49	07.04.17	1	3.8
024	14:23:51	07.04.17	1	4.6
027	14:23:54	07.04.17	1	4.0
029	14:23:57	07.04.17	1	4.0
027	14:23:59	07.04.17	1	4.0
025	14:24:03	07.04.17	1	4.4
024	14:24:06	07.04.17	1	5.3
023	14:24:11	07.04.17	1	4.3
024	14:24:15	07.04.17	1	4.5
026	14:24:17	07.04.17	1	4.1
027	14:24:20	07.04.17	1	4.8
024	14:24:23	07.04.17	1	3.4
021	14:24:28	07.04.17	1	5.1
022	14:24:30	07.04.17	1	5.0
028	14:24:33	07.04.17	1	3.9
024	14:24:37	07.04.17	1	4.5
036	14:25:03	07.04.17	1	3.7
043	14:25:14	07.04.17	1	4.9
042	14:25:17	07.04.17	1	5.0
046	14:25:34	07.04.17	1	4.6
052	14:25:47	07.04.17	1	4.4
045	14:25:49	07.04.17	1	4.3
037	14:25:53	07.04.17	1	4.1
040	14:25:59	07.04.17	1	4.5
047	14:26:31	07.04.17	1	5.3
042	14:26:47	07.04.17	1	4.3
038	14:26:54	07.04.17	1	3.0
036	14:27:21	07.04.17	1	3.4
027	14:27:25	07.04.17	1	3.8
026	14:27:29	07.04.17	1	3.9
018	14:27:33	07.04.17	1	3.6
016	14:27:43	07.04.17	1	4.4
043	14:27:57	07.04.17	1	4.1
043	14:27:59	07.04.17	1	6.1
033	14:28:01	07.04.17	1	4.2
043	14:28:08	07.04.17	1	4.5
040	14:28:10	07.04.17	1	4.7
048	14:28:30	07.04.17	1	4.0
047	14:28:45	07.04.17	1	5.1
040	14:28:52	07.04.17	1	4.1
041	14:29:05	07.04.17	1	3.2
044	14:29:07	07.04.17	1	4.1
037	14:29:14	07.04.17	1	4.2
038	14:29:50	07.04.17	1	3.7
037	14:29:53	07.04.17	1	4.1
048	14:30:08	07.04.17	1	4.4
039	14:30:20	07.04.17	1	3.8
035	14:30:23	07.04.17	1	2.9
041	14:30:29	07.04.17	1	3.9
041	14:30:30	07.04.17	1	4.6
040	14:30:33	07.04.17	1	4.9
036	14:30:36	07.04.17	1	4.2
038	14:30:39	07.04.17	1	4.3
