

Standort: 2-Laufenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
022	14:13:19	07.02.14	1	4.1
029	14:13:34	07.02.14	1	4.5
009	14:38:07	07.02.14	1	1.8
008	14:44:50	07.02.14	1	3.5
026	14:45:28	07.02.14	1	3.6
009	14:46:53	07.02.14	1	3.5
017	14:50:14	07.02.14	1	6.0
019	14:51:13	07.02.14	1	2.7
022	14:56:04	07.02.14	1	4.3
023	14:56:56	07.02.14	1	3.8
023	14:58:21	07.02.14	1	3.6
019	15:01:58	07.02.14	1	0.9
022	15:05:09	07.02.14	1	3.8
023	15:05:32	07.02.14	1	4.8
021	15:07:53	07.02.14	1	0.9
009	15:10:49	07.02.14	1	0.9
016	15:11:09	07.02.14	1	0.8
018	15:11:12	07.02.14	1	0.8
030	15:16:26	07.02.14	1	6.6
024	15:16:31	07.02.14	1	5.3
008	15:17:43	07.02.14	1	0.8
009	15:27:50	07.02.14	1	1.8
008	15:28:02	07.02.14	1	3.7
009	15:31:57	07.02.14	1	1.6
007	15:35:09	07.02.14	1	1.0
009	15:35:17	07.02.14	1	3.6
024	15:37:36	07.02.14	1	3.7
021	15:38:23	07.02.14	1	0.7
007	15:38:41	07.02.14	1	3.7
027	15:39:15	07.02.14	1	5.3
022	15:50:13	07.02.14	1	4.2
031	15:51:51	07.02.14	1	3.9
007	15:54:13	07.02.14	1	3.8
024	15:56:31	07.02.14	1	3.8
009	16:06:21	07.02.14	1	3.8
007	16:06:26	07.02.14	1	1.0
018	16:06:43	07.02.14	1	4.4
024	16:07:50	07.02.14	1	4.1
018	16:08:56	07.02.14	1	1.7
010	16:10:05	07.02.14	1	0.9
023	16:11:24	07.02.14	1	4.3
019	16:11:56	07.02.14	1	4.3
009	16:14:27	07.02.14	1	3.9
013	16:14:51	07.02.14	1	3.6
021	16:16:21	07.02.14	1	4.5
007	16:18:52	07.02.14	1	3.9
010	16:23:57	07.02.14	1	3.6
023	16:24:48	07.02.14	1	3.8
017	16:27:49	07.02.14	1	3.6
020	16:27:53	07.02.14	1	4.3
020	16:30:56	07.02.14	1	5.3
008	16:32:56	07.02.14	1	1.1
027	16:36:09	07.02.14	1	4.6
023	16:42:13	07.02.14	1	4.0
023	16:43:53	07.02.14	1	5.6
023	16:43:55	07.02.14	1	3.8
022	16:51:59	07.02.14	1	3.8
023	16:53:41	07.02.14	1	4.6
028	16:57:12	07.02.14	1	3.8
027	16:57:54	07.02.14	1	4.3
022	16:58:27	07.02.14	1	4.6
026	16:58:30	07.02.14	1	3.9
020	16:59:23	07.02.14	1	0.7
008	17:06:58	07.02.14	1	1.0
028	17:08:00	07.02.14	1	4.3
016	17:08:13	07.02.14	1	3.2
032	17:10:18	07.02.14	1	4.4
009	17:11:36	07.02.14	1	0.5
026	17:13:02	07.02.14	1	4.5
029	17:16:03	07.02.14	1	3.8
022	17:16:11	07.02.14	1	0.9
020	17:18:43	07.02.14	1	3.7
037	17:23:13	07.02.14	1	3.7
019	17:28:00	07.02.14	1	4.2
021	17:30:17	07.02.14	1	3.8
019	17:30:43	07.02.14	1	3.2
018	17:31:56	07.02.14	1	4.2
024	17:32:42	07.02.14	1	5.5
008	17:34:15	07.02.14	1	0.9
