

Standort: 2-Lerchenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
023	15:00:43	27.12.13	1	4.5
010	15:00:47	27.12.13	1	1.0
006	15:01:44	27.12.13	1	0.8
031	15:03:25	27.12.13	1	3.7
031	15:03:27	27.12.13	1	3.8
022	15:05:01	27.12.13	1	4.3
028	15:05:23	27.12.13	1	4.6
026	15:05:25	27.12.13	1	3.5
033	15:07:17	27.12.13	1	4.6
030	15:07:36	27.12.13	1	4.8
035	15:08:14	27.12.13	1	4.8
027	15:08:35	27.12.13	1	4.1
028	15:08:56	27.12.13	1	5.0
029	15:10:30	27.12.13	1	4.3
030	15:10:32	27.12.13	1	3.9
026	15:10:49	27.12.13	1	4.4
029	15:15:09	27.12.13	1	4.3
027	15:16:33	27.12.13	1	4.3
024	15:16:44	27.12.13	1	4.3
033	15:17:06	27.12.13	1	4.0
034	15:17:25	27.12.13	1	4.7
026	15:19:53	27.12.13	1	3.8
030	15:21:01	27.12.13	1	1.6
025	15:22:38	27.12.13	1	4.8
034	15:23:02	27.12.13	1	3.2
029	15:23:22	27.12.13	1	4.0
027	15:23:44	27.12.13	1	4.4
021	15:24:11	27.12.13	1	1.5
030	15:25:52	27.12.13	1	4.6
025	15:26:11	27.12.13	1	4.2
024	15:26:45	27.12.13	1	4.3
028	15:29:29	27.12.13	1	4.5
030	15:30:29	27.12.13	1	4.5
035	15:31:39	27.12.13	1	1.7
010	15:33:10	27.12.13	1	2.2
028	15:33:51	27.12.13	1	4.8
027	15:35:02	27.12.13	1	1.4
027	15:35:16	27.12.13	1	4.6
027	15:35:24	27.12.13	1	3.8
031	15:35:56	27.12.13	1	4.5
032	15:36:19	27.12.13	1	2.7
029	15:38:57	27.12.13	1	1.8
031	15:39:08	27.12.13	1	4.7
026	15:40:22	27.12.13	1	3.8
030	15:40:39	27.12.13	1	3.9
049	15:40:49	27.12.13	1	4.4
035	15:41:03	27.12.13	1	1.5
031	15:41:08	27.12.13	1	1.6
028	15:42:09	27.12.13	1	4.5
030	15:44:04	27.12.13	1	4.2
027	15:44:23	27.12.13	1	4.4
023	15:45:38	27.12.13	1	1.3
024	15:46:59	27.12.13	1	3.8
021	15:47:05	27.12.13	1	4.7
030	15:47:14	27.12.13	1	4.1
028	15:48:10	27.12.13	1	4.4
026	15:48:12	27.12.13	1	1.8
031	15:49:18	27.12.13	1	5.0
032	15:51:36	27.12.13	1	4.2
031	15:53:53	27.12.13	1	4.6
033	15:55:31	27.12.13	1	4.6
029	15:56:22	27.12.13	1	5.2
026	15:56:52	27.12.13	1	4.3
037	15:57:15	27.12.13	1	4.3
028	16:00:56	27.12.13	1	5.2
031	16:01:41	27.12.13	1	4.5
035	16:01:45	27.12.13	1	4.6
031	16:02:33	27.12.13	1	4.1
030	16:02:37	27.12.13	1	4.0
035	16:03:07	27.12.13	1	4.4
028	16:03:16	27.12.13	1	4.1
029	16:06:44	27.12.13	1	3.9
028	16:06:46	27.12.13	1	4.2
035	16:07:18	27.12.13	1	4.6
029	16:07:44	27.12.13	1	5.3
022	16:07:52	27.12.13	1	4.5
032	16:08:03	27.12.13	1	4.0
028	16:08:32	27.12.13	1	4.1
036	16:08:54	27.12.13	1	4.6
019	16:09:27	27.12.13	1	5.0
032	16:10:44	27.12.13	1	4.7
035	16:11:03	27.12.13	1	3.7
026	16:11:54	27.12.13	1	4.6
026	16:12:15	27.12.13	1	4.2
023	16:13:23	27.12.13	1	1.4
032	16:14:30	27.12.13	1	4.4
032	16:15:50	27.12.13	1	4.1
026	16:16:08	27.12.13	1	4.1
033	16:16:24	27.12.13	1	1.5
029	16:16:28	27.12.13	1	4.9
033	16:19:09	27.12.13	1	3.9
033	16:19:56	27.12.13	1	4.2
031	16:20:38	27.12.13	1	4.0
023	16:25:07	27.12.13	1	4.2
029	16:25:14	27.12.13	1	4.2
029	16:25:20	27.12.13	1	4.5
031	16:25:36	27.12.13	1	4.6
031	16:25:57	27.12.13	1	3.5
032	16:27:26	27.12.13	1	1.5
026	16:28:40	27.12.13	1	4.4
027	16:29:30	27.12.13	1	4.2
030	16:30:19	27.12.13	1	1.9
025	16:33:24	27.12.13	1	4.1
