

Standort: 2-Marktplatz

[km/h]				 [m]
Dateformat: dd.mm.yy
008	14:26:18	11.03.16	2	4.1
020	14:26:52	11.03.16	2	4.4
020	14:27:14	11.03.16	2	4.7
006	14:31:24	11.03.16	2	1.6
006	14:31:25	11.03.16	2	1.7
004	14:31:39	11.03.16	2	1.6
015	14:32:48	11.03.16	2	3.6
017	14:33:31	11.03.16	2	4.0
009	14:39:22	11.03.16	2	3.6
021	14:40:43	11.03.16	2	4.1
010	14:41:22	11.03.16	2	3.6
007	14:41:24	11.03.16	2	3.9
013	14:41:56	11.03.16	2	4.5
008	14:42:15	11.03.16	2	4.6
010	14:42:16	11.03.16	2	4.3
011	14:42:27	11.03.16	2	3.8
018	14:42:49	11.03.16	2	4.4
011	14:44:35	11.03.16	2	4.7
007	14:44:43	11.03.16	2	4.2
016	14:45:20	11.03.16	2	4.4
020	14:46:13	11.03.16	2	5.2
015	14:46:19	11.03.16	2	4.0
024	14:46:53	11.03.16	2	4.8
018	14:47:36	11.03.16	2	4.8
023	14:47:44	11.03.16	2	4.6
016	14:48:50	11.03.16	2	4.5
017	14:49:47	11.03.16	2	5.1
022	14:50:11	11.03.16	2	5.1
018	14:51:26	11.03.16	2	4.8
017	14:52:02	11.03.16	2	4.8
019	14:53:12	11.03.16	2	4.6
027	14:53:56	11.03.16	2	4.5
020	14:53:59	11.03.16	2	6.8
015	14:54:13	11.03.16	2	4.3
014	14:54:57	11.03.16	2	4.5
010	14:54:59	11.03.16	2	4.4
024	14:55:13	11.03.16	2	4.1
006	14:56:43	11.03.16	2	3.3
022	14:57:02	11.03.16	2	4.1
021	14:57:06	11.03.16	2	4.9
020	14:57:08	11.03.16	2	5.0
019	14:57:18	11.03.16	2	5.0
023	14:59:22	11.03.16	2	3.6
026	14:59:32	11.03.16	2	4.2
013	14:59:42	11.03.16	2	3.9
016	15:00:15	11.03.16	2	4.4
014	15:00:31	11.03.16	2	4.7
010	15:00:44	11.03.16	2	3.4
010	15:00:54	11.03.16	2	6.7
008	15:02:04	11.03.16	2	3.3
010	15:02:36	11.03.16	2	4.1
006	15:04:22	11.03.16	2	3.2
017	15:05:31	11.03.16	2	3.5
019	15:05:38	11.03.16	2	4.5
014	15:06:14	11.03.16	2	4.0
014	15:06:30	11.03.16	2	3.1
016	15:08:41	11.03.16	2	3.2
015	15:08:44	11.03.16	2	3.5
020	15:09:38	11.03.16	2	3.7
017	15:11:18	11.03.16	2	3.1
006	15:12:28	11.03.16	2	2.1
019	15:14:23	11.03.16	2	2.8
018	15:14:26	11.03.16	2	3.3
020	15:15:46	11.03.16	2	3.9
017	15:15:48	11.03.16	2	3.6
019	15:16:52	11.03.16	2	4.1
006	15:17:46	11.03.16	2	3.1
006	15:19:02	11.03.16	2	2.9
024	15:19:15	11.03.16	2	3.3
005	15:19:51	11.03.16	2	1.6
018	15:20:01	11.03.16	2	3.5
011	15:21:19	11.03.16	2	2.3
007	15:21:58	11.03.16	2	2.7
020	15:22:13	11.03.16	2	6.7
022	15:22:18	11.03.16	2	3.0
026	15:22:34	11.03.16	2	2.9
006	15:22:36	11.03.16	2	2.8
018	15:22:37	11.03.16	2	3.0
013	15:23:20	11.03.16	2	2.8
017	15:24:42	11.03.16	2	2.8
021	15:25:12	11.03.16	2	3.3
027	15:25:25	11.03.16	2	3.4
012	15:26:14	11.03.16	2	2.3
007	15:26:22	11.03.16	2	2.7
017	15:26:30	11.03.16	2	4.7
016	15:26:31	11.03.16	2	4.6
008	15:27:20	11.03.16	2	2.2
005	15:27:24	11.03.16	2	2.4
016	15:27:41	11.03.16	2	3.4
007	15:27:55	11.03.16	2	1.7
014	15:28:43	11.03.16	2	3.3
006	15:28:48	11.03.16	2	1.9
007	15:29:22	11.03.16	2	2.8
023	15:30:11	11.03.16	2	4.6
017	15:30:18	11.03.16	2	4.4
017	15:30:29	11.03.16	2	3.5
008	15:30:42	11.03.16	2	1.9
012	15:31:15	11.03.16	2	2.5
021	15:31:39	11.03.16	2	3.8
005	15:31:44	11.03.16	2	1.6
018	15:31:49	11.03.16	2	3.6
021	15:32:22	11.03.16	2	3.5
007	15:33:07	11.03.16	2	3.8
019	15:34:12	11.03.16	2	3.8
006	15:34:26	11.03.16	2	3.5
008	15:34:30	11.03.16	2	3.6
026	15:34:43	11.03.16	2	4.2
008	15:35:36	11.03.16	2	3.7
008	15:35:39	11.03.16	2	4.3
015	15:36:03	11.03.16	2	3.4
021	15:36:09	11.03.16	2	4.0
017	15:36:39	11.03.16	2	3.6
016	15:37:09	11.03.16	2	3.6
004	15:37:11	11.03.16	2	3.9
010	15:37:48	11.03.16	2	5.4
010	15:37:48	11.03.16	2	3.9
010	15:38:03	11.03.16	2	3.9
007	15:38:56	11.03.16	2	3.9
018	15:39:07	11.03.16	2	4.0
004	15:39:43	11.03.16	2	3.9
029	15:40:16	11.03.16	2	4.0
008	15:40:57	11.03.16	2	4.0
018	15:41:26	11.03.16	2	3.7
009	15:41:32	11.03.16	2	6.6
023	15:41:52	11.03.16	2	4.3
008	15:42:29	11.03.16	2	4.0
004	15:43:04	11.03.16	2	4.0
026	15:43:34	11.03.16	2	4.1
008	15:44:29	11.03.16	2	4.1
006	15:45:03	11.03.16	2	4.1
005	15:45:06	11.03.16	2	4.1
006	15:45:45	11.03.16	2	4.1
020	15:46:02	11.03.16	2	4.1
013	15:46:06	11.03.16	2	4.1
017	15:46:17	11.03.16	2	4.1
005	15:46:20	11.03.16	2	1.7
006	15:46:23	11.03.16	2	3.3
008	15:46:37	11.03.16	2	3.7
008	15:48:28	11.03.16	2	4.1
006	15:48:29	11.03.16	2	4.1
006	15:48:35	11.03.16	2	4.2
005	15:48:56	11.03.16	2	4.2
007	15:49:14	11.03.16	2	4.2
010	15:49:27	11.03.16	2	8.2
008	15:50:00	11.03.16	2	4.2
006	15:50:07	11.03.16	2	4.2
009	15:50:41	11.03.16	2	3.9
016	15:51:09	11.03.16	2	3.8
017	15:51:12	11.03.16	2	4.2
006	15:51:47	11.03.16	2	4.3
008	15:52:31	11.03.16	2	5.5
006	15:52:45	11.03.16	2	4.3
007	15:53:50	11.03.16	2	5.7
007	15:53:51	11.03.16	2	4.3
007	15:53:51	11.03.16	2	4.3
006	15:53:52	11.03.16	2	4.3
019	15:53:57	11.03.16	2	5.3
008	15:54:25	11.03.16	2	4.4
008	15:54:26	11.03.16	2	4.4
008	15:54:26	11.03.16	2	4.4
008	15:54:45	11.03.16	2	3.8
018	15:54:49	11.03.16	2	4.0
006	15:54:50	11.03.16	2	4.4
017	15:55:42	11.03.16	2	3.9
008	15:55:54	11.03.16	2	4.4
027	15:56:33	11.03.16	2	3.6
008	15:57:11	11.03.16	2	4.5
010	15:57:13	11.03.16	2	4.5
005	15:57:45	11.03.16	2	4.5
007	15:58:09	11.03.16	2	6.4
020	15:58:35	11.03.16	2	4.3
019	15:58:44	11.03.16	2	4.7
009	15:59:20	11.03.16	2	5.2
021	15:59:21	11.03.16	2	4.0
016	16:00:59	11.03.16	2	4.3
010	16:01:24	11.03.16	2	4.5
020	16:01:49	11.03.16	2	6.3
018	16:02:26	11.03.16	2	4.4
029	16:03:38	11.03.16	2	3.9
007	16:03:51	11.03.16	2	3.2
006	16:04:19	11.03.16	2	4.6
009	16:04:20	11.03.16	2	3.9
007	16:04:58	11.03.16	2	4.7
009	16:05:08	11.03.16	2	4.7
008	16:05:09	11.03.16	2	4.7
008	16:05:25	11.03.16	2	4.7
027	16:06:23	11.03.16	2	4.8
006	16:07:01	11.03.16	2	4.8
007	16:07:29	11.03.16	2	3.7
006	16:07:38	11.03.16	2	4.8
012	16:07:42	11.03.16	2	4.7
008	16:07:57	11.03.16	2	4.1
009	16:08:30	11.03.16	2	6.2
025	16:08:51	11.03.16	2	4.9
006	16:08:57	11.03.16	2	3.3
007	16:09:20	11.03.16	2	4.8
006	16:09:21	11.03.16	2	4.9
022	16:09:32	11.03.16	2	5.5
006	16:09:43	11.03.16	2	4.9
006	16:09:58	11.03.16	2	4.9
008	16:10:17	11.03.16	2	3.5
006	16:10:53	11.03.16	2	4.9
008	16:10:54	11.03.16	2	5.0
022	16:11:24	11.03.16	2	4.8
019	16:11:46	11.03.16	2	4.1
005	16:11:48	11.03.16	2	5.0
009	16:12:03	11.03.16	2	5.0
006	16:12:15	11.03.16	2	1.7
007	16:12:44	11.03.16	2	4.7
005	16:13:22	11.03.16	2	5.1
009	16:13:25	11.03.16	2	6.8
009	16:13:32	11.03.16	2	5.3
008	16:13:32	11.03.16	2	5.1
007	16:13:51	11.03.16	2	5.1
006	16:14:16	11.03.16	2	5.1
023	16:14:17	11.03.16	2	3.4
014	16:14:24	11.03.16	2	3.5
020	16:14:26	11.03.16	2	4.1
005	16:14:46	11.03.16	2	5.2
013	16:14:53	11.03.16	2	5.2
016	16:14:55	11.03.16	2	5.4
008	16:15:08	11.03.16	2	5.7
008	16:15:09	11.03.16	2	3.7
007	16:15:57	11.03.16	2	5.3
021	16:17:10	11.03.16	2	6.0
007	16:17:14	11.03.16	2	5.3
020	16:18:12	11.03.16	2	5.1
016	16:19:15	11.03.16	2	5.1
014	16:19:28	11.03.16	2	5.1
006	16:19:40	11.03.16	2	5.4
004	16:20:53	11.03.16	2	5.4
009	16:21:41	11.03.16	2	4.6
008	16:22:34	11.03.16	2	5.5
006	16:22:35	11.03.16	2	5.5
010	16:23:00	11.03.16	2	16.9
007	16:23:24	11.03.16	2	5.6
017	16:23:34	11.03.16	2	5.4
020	16:23:49	11.03.16	2	4.3
005	16:24:11	11.03.16	2	2.7
022	16:24:31	11.03.16	2	5.6
006	16:24:47	11.03.16	2	3.0
016	16:25:10	11.03.16	2	4.4
009	16:25:34	11.03.16	2	3.2
006	16:26:12	11.03.16	2	3.2
016	16:26:20	11.03.16	2	4.8
006	16:26:25	11.03.16	2	3.3
019	16:26:30	11.03.16	2	4.5
007	16:26:35	11.03.16	2	3.3
031	16:26:38	11.03.16	2	5.6
018	16:27:14	11.03.16	2	4.4
019	16:27:23	11.03.16	2	5.7
019	16:27:27	11.03.16	2	4.0
005	16:28:21	11.03.16	2	3.4
019	16:28:51	11.03.16	2	4.2
007	16:29:15	11.03.16	2	2.9
007	16:29:18	11.03.16	2	3.4
016	16:29:20	11.03.16	2	5.0
007	16:29:48	11.03.16	2	3.5
007	16:29:49	11.03.16	2	3.5
006	16:29:57	11.03.16	2	3.5
025	16:29:58	11.03.16	2	5.1
022	16:30:33	11.03.16	2	4.4
033	16:30:42	11.03.16	2	5.0
007	16:31:01	11.03.16	2	3.6
016	16:31:08	11.03.16	2	6.9
017	16:31:20	11.03.16	2	4.1
008	16:31:34	11.03.16	2	4.7
008	16:31:39	11.03.16	2	3.1
026	16:31:40	11.03.16	2	4.7
009	16:32:09	11.03.16	2	3.3
008	16:32:16	11.03.16	2	3.7
006	16:32:18	11.03.16	2	3.8
019	16:32:33	11.03.16	2	4.5
007	16:32:38	11.03.16	2	3.8
018	16:33:08	11.03.16	2	4.5
004	16:34:19	11.03.16	2	3.8
006	16:35:07	11.03.16	2	2.2
011	16:36:52	11.03.16	2	3.9
028	16:38:54	11.03.16	2	4.6
021	16:39:07	11.03.16	2	5.2
008	16:39:41	11.03.16	2	4.0
006	16:39:54	11.03.16	2	4.0
027	16:40:11	11.03.16	2	4.4
023	16:40:22	11.03.16	2	3.9
008	16:40:25	11.03.16	2	4.1
008	16:40:38	11.03.16	2	5.1
015	16:40:41	11.03.16	2	4.6
022	16:40:53	11.03.16	2	5.5
021	16:40:57	11.03.16	2	5.4
007	16:41:17	11.03.16	2	4.1
006	16:41:25	11.03.16	2	4.1
008	16:41:38	11.03.16	2	3.6
023	16:41:45	11.03.16	2	5.3
013	16:42:48	11.03.16	2	4.5
013	16:43:26	11.03.16	2	3.6
014	16:43:45	11.03.16	2	4.8
004	16:43:53	11.03.16	2	4.1
004	16:44:20	11.03.16	2	4.1
007	16:44:37	11.03.16	2	4.1
016	16:44:50	11.03.16	2	4.6
016	16:44:52	11.03.16	2	4.3
011	16:45:37	11.03.16	2	4.2
021	16:46:27	11.03.16	2	4.3
018	16:46:39	11.03.16	2	5.7
007	16:46:56	11.03.16	2	3.4
011	16:47:23	11.03.16	2	3.6
007	16:47:30	11.03.16	2	4.2
006	16:47:47	11.03.16	2	4.2
005	16:48:09	11.03.16	2	4.2
006	16:49:00	11.03.16	2	4.2
020	16:49:13	11.03.16	2	4.5
017	16:49:14	11.03.16	2	4.8
018	16:49:16	11.03.16	2	5.1
007	16:49:37	11.03.16	2	4.2
019	16:49:51	11.03.16	2	5.3
021	16:56:10	11.03.16	2	1.8
012	16:56:53	11.03.16	2	4.3
025	16:57:24	11.03.16	2	2.0
030	16:58:18	11.03.16	2	4.3
005	17:03:22	11.03.16	2	4.3
020	17:06:11	11.03.16	2	1.6
017	17:08:39	11.03.16	2	4.3
017	17:13:11	11.03.16	2	4.4
018	17:13:50	11.03.16	2	1.6
018	17:15:12	11.03.16	2	1.6
015	17:24:49	11.03.16	2	4.4
009	17:26:13	11.03.16	2	4.4
021	17:26:27	11.03.16	2	4.2
023	17:26:33	11.03.16	2	5.0
006	17:26:34	11.03.16	2	4.4
023	17:26:51	11.03.16	2	4.4
006	17:26:55	11.03.16	2	4.4
007	17:26:56	11.03.16	2	4.4
007	17:27:10	11.03.16	2	4.5
006	17:27:20	11.03.16	2	4.5
019	17:27:56	11.03.16	2	4.2
009	17:28:14	11.03.16	2	4.5
018	17:28:18	11.03.16	2	4.6
018	17:28:19	11.03.16	2	5.0
027	17:29:03	11.03.16	2	4.4
029	17:29:05	11.03.16	2	5.8
013	17:29:13	11.03.16	2	3.7
005	17:29:59	11.03.16	2	4.6
026	17:31:21	11.03.16	2	3.6
027	17:31:52	11.03.16	2	5.2
005	17:32:12	11.03.16	2	4.7
020	17:32:14	11.03.16	2	4.4
015	17:32:37	11.03.16	2	4.7
008	17:33:15	11.03.16	2	3.3
017	17:33:21	11.03.16	2	4.6
006	17:33:29	11.03.16	2	4.7
008	17:33:30	11.03.16	2	4.7
006	17:33:31	11.03.16	2	4.8
007	17:33:36	11.03.16	2	4.8
022	17:33:40	11.03.16	2	5.1
006	17:33:45	11.03.16	2	4.8
005	17:33:46	11.03.16	2	4.8
021	17:34:33	11.03.16	2	4.1
019	17:35:07	11.03.16	2	5.1
009	17:35:28	11.03.16	2	4.9
024	17:35:31	11.03.16	2	5.4
016	17:36:28	11.03.16	2	5.6
020	17:36:38	11.03.16	2	4.5
020	17:36:39	11.03.16	2	4.6
022	17:37:42	11.03.16	2	4.8
028	17:37:55	11.03.16	2	4.6
008	17:37:56	11.03.16	2	5.0
023	17:38:03	11.03.16	2	5.3
018	17:38:35	11.03.16	2	3.6
018	17:38:36	11.03.16	2	5.1
026	17:38:38	11.03.16	2	5.2
006	17:38:41	11.03.16	2	5.0
007	17:38:55	11.03.16	2	5.0
027	17:38:59	11.03.16	2	4.3
007	17:39:29	11.03.16	2	5.1
007	17:39:47	11.03.16	2	5.1
006	17:39:57	11.03.16	2	5.1
012	17:40:07	11.03.16	2	4.0
016	17:40:11	11.03.16	2	2.2
005	17:40:13	11.03.16	2	5.1
019	17:40:16	11.03.16	2	4.1
018	17:40:52	11.03.16	2	3.5
005	17:42:08	11.03.16	2	5.2
007	17:42:19	11.03.16	2	5.8
019	17:42:21	11.03.16	2	4.5
009	17:42:41	11.03.16	2	5.3
023	17:42:53	11.03.16	2	5.0
008	17:43:28	11.03.16	2	4.2
020	17:43:31	11.03.16	2	4.0
