

Standort: 2-Meierweg

[km/h]				 [m]
Dateformat: dd.mm.yy
018	08:37:41	07.10.16	1	5.2
016	08:40:24	07.10.16	1	4.6
013	08:41:13	07.10.16	1	3.7
022	08:46:17	07.10.16	1	4.5
007	08:50:46	07.10.16	1	3.8
018	08:56:37	07.10.16	1	4.3
018	08:58:51	07.10.16	1	4.1
014	09:01:00	07.10.16	1	5.7
010	09:02:27	07.10.16	1	3.8
014	09:08:22	07.10.16	1	3.3
014	09:16:37	07.10.16	1	6.4
017	09:21:53	07.10.16	1	4.3
028	09:26:37	07.10.16	1	4.0
030	09:29:16	07.10.16	1	3.8
020	09:29:42	07.10.16	1	4.5
016	09:33:08	07.10.16	1	3.8
020	09:35:29	07.10.16	1	4.7
018	09:36:34	07.10.16	1	4.2
016	09:38:49	07.10.16	1	4.1
004	09:46:50	07.10.16	1	2.4
018	09:49:13	07.10.16	1	4.5
014	09:49:49	07.10.16	1	4.6
017	10:01:24	07.10.16	1	3.5
029	10:01:32	07.10.16	1	7.2
013	10:02:12	07.10.16	1	3.9
018	10:02:24	07.10.16	1	4.6
013	10:03:12	07.10.16	1	4.2
036	10:11:42	07.10.16	1	4.5
025	10:16:23	07.10.16	1	9.0
015	10:16:42	07.10.16	1	3.5
007	10:17:08	07.10.16	1	3.5
022	10:17:44	07.10.16	1	3.9
005	10:19:25	07.10.16	1	2.9
016	10:20:47	07.10.16	1	4.4
013	10:23:10	07.10.16	1	4.1
015	10:23:13	07.10.16	1	4.5
012	10:32:00	07.10.16	1	3.7
009	10:33:41	07.10.16	1	4.1
006	10:37:39	07.10.16	1	3.2
012	10:40:13	07.10.16	1	4.2
007	10:40:54	07.10.16	1	3.6
016	10:42:25	07.10.16	1	4.2
021	10:42:52	07.10.16	1	3.9
007	10:43:03	07.10.16	1	3.5
020	10:43:14	07.10.16	1	4.1
016	10:47:50	07.10.16	1	4.5
021	10:48:11	07.10.16	1	7.0
021	10:48:15	07.10.16	1	7.0
011	10:50:00	07.10.16	1	4.2
016	10:50:41	07.10.16	1	4.1
012	10:51:19	07.10.16	1	4.1
010	10:51:25	07.10.16	1	3.0
019	10:55:36	07.10.16	1	4.6
005	10:59:12	07.10.16	1	2.2
018	11:01:18	07.10.16	1	4.4
020	11:03:16	07.10.16	1	4.8
036	11:05:41	07.10.16	1	7.1
020	11:07:09	07.10.16	1	3.9
020	11:16:01	07.10.16	1	5.4
018	11:17:24	07.10.16	1	4.0
020	11:22:30	07.10.16	1	3.9
014	11:23:31	07.10.16	1	4.8
014	11:27:41	07.10.16	1	4.8
025	11:28:17	07.10.16	1	7.2
026	11:29:34	07.10.16	1	7.4
008	11:36:44	07.10.16	1	3.7
024	11:37:37	07.10.16	1	5.4
005	11:40:41	07.10.16	1	2.4
024	11:41:09	07.10.16	1	4.7
015	11:42:28	07.10.16	1	4.6
021	11:46:58	07.10.16	1	4.5
017	11:47:51	07.10.16	1	4.1
005	11:49:35	07.10.16	1	2.2
030	11:51:32	07.10.16	1	4.1
017	11:52:14	07.10.16	1	3.8
016	11:52:15	07.10.16	1	4.1
031	11:52:36	07.10.16	1	9.6
011	11:55:15	07.10.16	1	4.0
019	12:00:42	07.10.16	1	4.8
006	12:01:09	07.10.16	1	4.9
005	12:02:02	07.10.16	1	3.0
004	12:05:12	07.10.16	1	2.5
019	12:05:42	07.10.16	1	4.3
010	12:06:21	07.10.16	1	3.3
015	12:06:24	07.10.16	1	3.8
030	12:07:07	07.10.16	1	4.4
013	12:09:24	07.10.16	1	4.7
024	12:09:39	07.10.16	1	4.6
005	12:12:42	07.10.16	1	2.7
020	12:13:25	07.10.16	1	4.2
008	12:13:43	07.10.16	1	3.0
018	12:14:10	07.10.16	1	4.6
013	12:17:34	07.10.16	1	3.8
015	12:20:30	07.10.16	1	3.9
017	12:22:43	07.10.16	1	4.2
013	12:23:31	07.10.16	1	5.2
024	12:28:04	07.10.16	1	7.0
013	12:29:55	07.10.16	1	5.1
015	12:32:08	07.10.16	1	4.3
015	12:34:06	07.10.16	1	4.1
019	12:35:08	07.10.16	1	4.1
019	12:39:49	07.10.16	1	4.3
011	12:40:06	07.10.16	1	3.9
015	12:40:12	07.10.16	1	4.3
021	12:40:17	07.10.16	1	4.3
019	12:41:20	07.10.16	1	4.5
030	12:41:24	07.10.16	1	6.1
015	12:42:46	07.10.16	1	4.4
016	12:44:02	07.10.16	1	4.0
023	12:44:47	07.10.16	1	4.7
019	12:45:36	07.10.16	1	4.4
007	12:49:55	07.10.16	1	4.3
014	12:51:14	07.10.16	1	3.4
021	12:54:04	07.10.16	1	3.9
014	12:56:40	07.10.16	1	3.8
011	12:56:45	07.10.16	1	2.5
014	12:56:51	07.10.16	1	3.7
014	13:00:33	07.10.16	1	4.0
014	13:03:47	07.10.16	1	3.6
014	13:04:38	07.10.16	1	4.6
022	13:10:40	07.10.16	1	7.8
021	13:19:48	07.10.16	1	4.7
010	13:23:20	07.10.16	1	3.2
031	13:27:23	07.10.16	1	3.8
025	13:27:27	07.10.16	1	7.8
022	13:27:27	07.10.16	1	3.9
020	13:30:31	07.10.16	1	4.2
026	13:38:16	07.10.16	1	4.4
023	13:43:58	07.10.16	1	4.2
018	13:45:40	07.10.16	1	5.5
013	13:47:14	07.10.16	1	3.9
010	13:47:33	07.10.16	1	3.4
019	13:47:54	07.10.16	1	4.7
014	13:50:37	07.10.16	1	4.1
011	13:58:22	07.10.16	1	4.2
022	14:03:56	07.10.16	1	4.3
005	14:04:50	07.10.16	1	2.7
024	14:07:50	07.10.16	1	3.9
022	14:09:15	07.10.16	1	8.8
020	14:09:24	07.10.16	1	4.7
016	14:21:38	07.10.16	1	4.2
021	14:22:44	07.10.16	1	6.6
006	14:36:19	07.10.16	1	3.5
018	14:36:56	07.10.16	1	4.9
019	14:37:27	07.10.16	1	4.5
015	14:41:07	07.10.16	1	4.6
020	14:51:18	07.10.16	1	3.5
020	15:01:47	07.10.16	1	3.8
007	15:04:16	07.10.16	1	3.3
016	15:04:18	07.10.16	1	3.4
013	15:06:35	07.10.16	1	3.3
011	15:07:07	07.10.16	1	6.3
022	15:13:46	07.10.16	1	4.0
020	15:15:47	07.10.16	1	7.2
003	15:27:10	07.10.16	1	1.6
006	15:27:20	07.10.16	1	3.5
006	15:27:21	07.10.16	1	3.5
021	15:33:32	07.10.16	1	4.5
011	15:36:43	07.10.16	1	3.6
014	15:39:57	07.10.16	1	3.9
018	15:43:04	07.10.16	1	4.2
018	15:43:05	07.10.16	1	4.7
018	15:43:15	07.10.16	1	3.7
005	15:43:48	07.10.16	1	3.3
012	15:45:19	07.10.16	1	4.4
012	15:47:49	07.10.16	1	7.1
019	15:51:17	07.10.16	1	4.7
017	15:51:38	07.10.16	1	4.2
025	15:52:55	07.10.16	1	3.8
018	15:57:13	07.10.16	1	4.5
016	15:57:19	07.10.16	1	4.3
019	16:00:27	07.10.16	1	3.9
005	16:04:29	07.10.16	1	2.8
013	16:10:32	07.10.16	1	4.2
006	16:11:24	07.10.16	1	3.1
013	16:12:12	07.10.16	1	3.4
013	16:13:05	07.10.16	1	3.0
013	16:15:12	07.10.16	1	4.3
016	16:21:35	07.10.16	1	4.3
007	16:22:29	07.10.16	1	3.1
014	16:23:11	07.10.16	1	4.1
015	16:23:13	07.10.16	1	4.6
015	16:24:39	07.10.16	1	4.5
017	16:24:43	07.10.16	1	4.0
016	16:27:28	07.10.16	1	4.2
015	16:31:30	07.10.16	1	3.7
015	16:32:00	07.10.16	1	3.6
015	16:32:15	07.10.16	1	4.3
