

Standort: 2-Paradieshofstr

[km/h]				 [m]
Dateformat: dd.mm.yy
005	14:57:23	06.11.15	1	3.5
018	14:59:19	06.11.15	1	5.4
016	15:00:18	06.11.15	1	7.9
003	15:01:20	06.11.15	1	0.9
014	15:15:27	06.11.15	1	3.8
017	15:16:15	06.11.15	1	4.4
016	15:22:30	06.11.15	1	4.3
012	15:25:10	06.11.15	1	3.9
005	15:54:15	06.11.15	1	1.2
015	15:59:01	06.11.15	1	4.3
006	16:02:17	06.11.15	1	1.1
017	16:05:56	06.11.15	1	4.3
007	16:17:39	06.11.15	1	3.7
007	16:17:40	06.11.15	1	3.7
005	16:18:15	06.11.15	1	3.7
014	16:31:24	06.11.15	1	3.7
006	16:43:17	06.11.15	1	0.9
013	16:44:19	06.11.15	1	3.3
020	16:51:06	06.11.15	1	3.8
015	16:57:53	06.11.15	1	9.3
009	17:01:07	06.11.15	1	11.1
005	17:11:22	06.11.15	1	1.0
015	17:14:37	06.11.15	1	8.6
016	17:16:55	06.11.15	1	3.6
006	17:18:43	06.11.15	1	3.8
024	17:21:34	06.11.15	1	4.4
014	17:29:32	06.11.15	1	3.5
013	17:35:09	06.11.15	1	3.9
021	18:07:04	06.11.15	1	4.4
006	18:15:52	06.11.15	1	3.9
006	18:15:53	06.11.15	1	3.9
006	18:15:54	06.11.15	1	3.9
014	18:20:44	06.11.15	1	4.1
009	18:25:30	06.11.15	1	7.5
008	18:35:24	06.11.15	1	10.3
018	18:39:10	06.11.15	1	6.9
010	18:42:01	06.11.15	1	3.7
005	18:56:18	06.11.15	1	1.2
010	19:09:12	06.11.15	1	4.0
012	19:09:18	06.11.15	1	4.0
005	19:43:31	06.11.15	1	1.2
011	20:01:56	06.11.15	1	1.8
024	20:13:19	06.11.15	1	4.7
007	20:45:50	06.11.15	1	1.9
005	21:14:03	06.11.15	1	1.2
005	22:05:42	06.11.15	1	1.1
016	22:31:31	06.11.15	1	4.0
005	23:00:13	06.11.15	1	1.1
010	00:06:25	07.11.15	1	6.0
008	01:27:30	07.11.15	1	1.9
020	05:50:22	07.11.15	1	4.4
005	06:24:45	07.11.15	1	4.0
013	07:36:10	07.11.15	1	3.6
015	07:56:43	07.11.15	1	4.7
023	08:02:50	07.11.15	1	4.2
018	08:10:14	07.11.15	1	3.6
005	08:44:54	07.11.15	1	1.1
006	09:07:04	07.11.15	1	4.0
005	09:07:05	07.11.15	1	1.1
016	09:12:02	07.11.15	1	4.4
008	09:30:33	07.11.15	1	2.2
017	09:32:02	07.11.15	1	4.8
009	09:34:34	07.11.15	1	1.8
006	09:37:04	07.11.15	1	0.9
007	09:37:05	07.11.15	1	4.1
014	09:38:29	07.11.15	1	4.1
009	09:45:06	07.11.15	1	3.5
011	09:45:09	07.11.15	1	4.9
007	09:45:43	07.11.15	1	4.1
018	09:50:55	07.11.15	1	3.6
006	09:52:20	07.11.15	1	2.1
017	09:53:22	07.11.15	1	4.3
018	09:59:37	07.11.15	1	4.3
017	10:06:21	07.11.15	1	5.0
017	10:18:08	07.11.15	1	4.1
014	10:45:33	07.11.15	1	3.4
014	10:55:47	07.11.15	1	2.9
