

Standort: 2-Passwangstr

[km/h]				 [m]
Dateformat: dd.mm.yy
024	15:15:41	14.02.14	1	7.3
017	15:22:39	14.02.14	1	5.7
011	15:23:25	14.02.14	1	3.2
019	15:24:14	14.02.14	1	4.4
028	15:27:07	14.02.14	1	6.3
022	15:39:25	14.02.14	1	6.8
025	15:45:42	14.02.14	1	4.7
025	15:45:51	14.02.14	1	3.9
029	15:56:58	14.02.14	1	3.7
023	16:04:59	14.02.14	1	3.9
022	16:06:09	14.02.14	1	4.9
026	16:13:31	14.02.14	1	3.5
018	16:17:16	14.02.14	1	4.4
029	16:22:28	14.02.14	1	4.6
028	16:22:36	14.02.14	1	6.3
014	16:24:16	14.02.14	1	0.9
033	16:26:06	14.02.14	1	6.9
026	16:28:37	14.02.14	1	5.6
014	16:32:23	14.02.14	1	4.3
030	16:32:34	14.02.14	1	3.4
042	16:34:05	14.02.14	1	3.7
035	16:35:28	14.02.14	1	7.4
021	16:47:33	14.02.14	1	5.8
023	16:56:02	14.02.14	1	6.1
023	16:56:56	14.02.14	1	3.9
027	17:07:25	14.02.14	1	3.6
025	17:12:21	14.02.14	1	5.6
024	17:13:53	14.02.14	1	7.0
020	17:19:15	14.02.14	1	3.6
034	17:19:34	14.02.14	1	4.3
037	17:32:21	14.02.14	1	3.6
024	17:33:19	14.02.14	1	4.1
020	17:35:29	14.02.14	1	4.9
024	17:41:43	14.02.14	1	3.7
024	17:53:26	14.02.14	1	4.2
032	17:55:04	14.02.14	1	4.5
023	17:56:18	14.02.14	1	3.6
010	18:02:56	14.02.14	1	2.9
007	18:03:57	14.02.14	1	2.0
024	18:04:01	14.02.14	1	5.3
026	18:04:04	14.02.14	1	3.3
021	18:07:09	14.02.14	1	6.6
024	18:11:55	14.02.14	1	4.4
027	18:13:08	14.02.14	1	5.8
026	18:13:09	14.02.14	1	4.2
033	18:18:03	14.02.14	1	6.5
029	18:18:07	14.02.14	1	6.4
026	18:24:59	14.02.14	1	4.6
027	18:25:28	14.02.14	1	4.3
019	18:32:17	14.02.14	1	1.3
019	18:33:49	14.02.14	1	4.6
031	18:36:02	14.02.14	1	4.2
023	18:37:47	14.02.14	1	3.2
020	18:38:49	14.02.14	1	5.3
024	18:39:44	14.02.14	1	4.3
019	18:41:29	14.02.14	1	6.6
017	18:48:08	14.02.14	1	1.0
022	18:50:38	14.02.14	1	4.2
005	18:51:46	14.02.14	1	3.7
020	18:53:05	14.02.14	1	4.3
021	18:55:16	14.02.14	1	5.4
015	18:59:15	14.02.14	1	0.6
027	19:01:58	14.02.14	1	6.6
024	19:02:41	14.02.14	1	6.9
024	19:04:17	14.02.14	1	6.1
021	19:06:06	14.02.14	1	3.8
023	19:10:19	14.02.14	1	4.1
027	19:11:14	14.02.14	1	4.6
