

Standort: 2-Pfeffingerstra

[km/h]				 [m]
Dateformat: dd.mm.yy
004	10:23:50	22.04.16	2	1.6
009	10:24:03	22.04.16	2	3.5
005	10:24:07	22.04.16	2	2.1
005	10:24:23	22.04.16	2	3.5
008	10:25:37	22.04.16	2	3.6
007	10:27:11	22.04.16	2	3.6
007	10:34:03	22.04.16	2	3.6
007	10:34:03	22.04.16	2	3.7
022	10:35:03	22.04.16	2	4.2
005	10:35:31	22.04.16	2	3.7
006	10:36:20	22.04.16	2	3.7
005	10:39:11	22.04.16	2	3.8
009	10:43:34	22.04.16	2	3.4
020	10:49:42	22.04.16	2	4.1
017	10:54:35	22.04.16	2	5.5
017	10:54:37	22.04.16	2	5.4
008	10:56:12	22.04.16	2	3.8
005	11:01:29	22.04.16	2	3.8
006	11:01:30	22.04.16	2	3.8
020	11:03:52	22.04.16	2	4.4
019	11:04:48	22.04.16	2	3.9
016	11:06:09	22.04.16	2	3.9
018	11:09:06	22.04.16	2	4.3
008	11:27:31	22.04.16	2	3.9
026	11:31:14	22.04.16	2	4.6
019	11:50:41	22.04.16	2	2.0
018	12:15:29	22.04.16	2	1.7
006	13:59:28	22.04.16	2	3.9
009	14:01:56	22.04.16	2	4.0
008	14:01:56	22.04.16	2	4.0
021	14:02:03	22.04.16	2	5.5
018	14:11:10	22.04.16	2	3.9
006	14:12:21	22.04.16	2	4.0
008	14:14:28	22.04.16	2	4.0
006	14:15:35	22.04.16	2	1.6
016	14:15:42	22.04.16	2	5.5
006	14:17:25	22.04.16	2	4.1
009	14:18:21	22.04.16	2	4.1
022	14:18:23	22.04.16	2	3.9
010	14:20:27	22.04.16	2	4.6
007	14:20:27	22.04.16	2	4.1
008	14:26:53	22.04.16	2	4.1
009	14:26:56	22.04.16	2	6.9
008	14:26:57	22.04.16	2	4.1
020	14:27:56	22.04.16	2	4.3
018	14:33:15	22.04.16	2	4.9
006	14:34:09	22.04.16	2	4.1
013	14:35:08	22.04.16	2	3.9
008	14:39:19	22.04.16	2	4.1
020	14:40:26	22.04.16	2	4.9
020	14:45:21	22.04.16	2	5.3
007	14:48:49	22.04.16	2	4.2
016	14:50:36	22.04.16	2	5.3
006	14:52:40	22.04.16	2	4.2
023	14:55:05	22.04.16	2	4.8
008	15:12:44	22.04.16	2	9.5
008	15:15:29	22.04.16	2	4.0
009	15:18:06	22.04.16	2	4.2
011	15:19:08	22.04.16	2	9.1
019	15:20:10	22.04.16	2	5.4
008	15:25:21	22.04.16	2	4.2
007	15:25:21	22.04.16	2	4.2
007	15:29:47	22.04.16	2	4.2
019	15:32:14	22.04.16	2	4.0
008	15:32:18	22.04.16	2	4.2
018	15:38:29	22.04.16	2	4.4
023	15:40:30	22.04.16	2	4.3
007	15:43:35	22.04.16	2	3.7
006	15:43:59	22.04.16	2	4.3
018	15:50:29	22.04.16	2	3.1
015	15:54:29	22.04.16	2	4.1
019	15:54:32	22.04.16	2	3.5
010	15:54:46	22.04.16	2	4.4
006	15:55:55	22.04.16	2	4.4
021	16:04:36	22.04.16	2	3.8
017	16:06:11	22.04.16	2	4.4
008	16:11:19	22.04.16	2	4.5
008	16:11:19	22.04.16	2	4.5
014	16:21:15	22.04.16	2	3.8
017	16:25:12	22.04.16	2	4.2
005	16:25:31	22.04.16	2	4.5
006	16:26:33	22.04.16	2	4.5
008	16:26:34	22.04.16	2	4.5
019	16:28:20	22.04.16	2	4.9
015	16:29:15	22.04.16	2	4.0
008	16:35:50	22.04.16	2	4.5
007	16:43:52	22.04.16	2	4.6
005	16:43:54	22.04.16	2	4.6
