

Standort: 2-Realpstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
017	14:49:29	07.06.17	2	8.2
022	14:54:41	07.06.17	2	4.2
020	14:57:06	07.06.17	2	4.1
011	14:57:16	07.06.17	2	2.6
016	15:01:08	07.06.17	2	4.3
009	15:04:45	07.06.17	2	3.5
009	15:11:02	07.06.17	2	6.5
018	15:19:56	07.06.17	2	4.8
017	15:21:55	07.06.17	2	3.7
015	15:22:46	07.06.17	2	5.3
025	15:24:27	07.06.17	2	4.2
021	15:25:11	07.06.17	2	3.9
005	15:27:20	07.06.17	2	3.6
006	15:27:21	07.06.17	2	3.6
016	15:28:35	07.06.17	2	4.4
016	15:36:08	07.06.17	2	3.7
019	15:38:13	07.06.17	2	4.6
012	15:42:30	07.06.17	2	3.4
010	15:44:45	07.06.17	2	3.7
028	15:46:30	07.06.17	2	4.6
013	15:47:00	07.06.17	2	4.8
024	15:49:30	07.06.17	2	4.5
020	15:51:33	07.06.17	2	4.2
008	15:52:28	07.06.17	2	1.8
020	15:58:07	07.06.17	2	3.8
006	15:58:10	07.06.17	2	3.7
005	15:58:11	07.06.17	2	3.8
019	16:02:15	07.06.17	2	4.7
019	16:03:20	07.06.17	2	4.3
017	16:05:52	07.06.17	2	3.6
019	16:09:04	07.06.17	2	4.3
007	16:10:55	07.06.17	2	1.9
015	16:11:18	07.06.17	2	4.7
021	16:11:26	07.06.17	2	4.6
024	16:12:24	07.06.17	2	4.7
009	16:16:06	07.06.17	2	4.4
011	16:16:08	07.06.17	2	4.4
023	16:16:51	07.06.17	2	7.7
017	16:19:28	07.06.17	2	4.5
023	16:21:46	07.06.17	2	4.9
016	16:25:25	07.06.17	2	4.7
019	16:29:15	07.06.17	2	3.6
027	16:29:16	07.06.17	2	5.4
019	16:29:24	07.06.17	2	3.7
017	16:30:16	07.06.17	2	3.6
016	16:33:03	07.06.17	2	4.0
006	16:35:03	07.06.17	2	3.8
015	16:35:06	07.06.17	2	4.2
008	16:37:12	07.06.17	2	3.8
015	16:37:28	07.06.17	2	3.8
021	16:37:47	07.06.17	2	4.0
018	16:37:50	07.06.17	2	4.4
015	16:38:38	07.06.17	2	4.2
031	16:39:34	07.06.17	2	8.2
023	16:41:34	07.06.17	2	4.1
024	16:41:52	07.06.17	2	4.6
019	16:44:00	07.06.17	2	3.7
009	16:47:15	07.06.17	2	3.9
024	16:48:29	07.06.17	2	8.0
018	16:53:13	07.06.17	2	7.7
014	16:55:20	07.06.17	2	4.5
007	16:57:14	07.06.17	2	3.9
019	17:02:41	07.06.17	2	4.5
024	17:04:33	07.06.17	2	4.2
020	17:05:07	07.06.17	2	4.4
018	17:07:44	07.06.17	2	4.4
019	17:07:48	07.06.17	2	4.4
007	17:08:21	07.06.17	2	3.6
019	17:09:19	07.06.17	2	7.7
008	17:09:34	07.06.17	2	11.0
008	17:09:34	07.06.17	2	3.9
036	17:09:40	07.06.17	2	4.8
021	17:11:21	07.06.17	2	4.5
016	17:12:02	07.06.17	2	3.8
013	17:13:21	07.06.17	2	4.4
020	17:13:51	07.06.17	2	3.9
004	17:13:58	07.06.17	2	1.3
017	17:14:08	07.06.17	2	3.9
018	17:14:25	07.06.17	2	3.5
010	17:14:47	07.06.17	2	1.5
017	17:14:50	07.06.17	2	3.9
009	17:15:32	07.06.17	2	3.8
015	17:16:52	07.06.17	2	3.9
022	17:17:02	07.06.17	2	4.8
022	17:19:42	07.06.17	2	8.2
019	17:20:25	07.06.17	2	4.3
017	17:21:12	07.06.17	2	4.3
017	17:22:14	07.06.17	2	5.1
025	17:22:30	07.06.17	2	4.7
008	17:24:38	07.06.17	2	4.0
011	17:26:20	07.06.17	2	5.5
022	17:30:46	07.06.17	2	4.1
016	17:31:13	07.06.17	2	4.5
026	17:33:23	07.06.17	2	4.8
018	17:34:10	07.06.17	2	5.4
016	17:37:09	07.06.17	2	4.1
018	17:38:30	07.06.17	2	5.6
019	17:42:16	07.06.17	2	4.6
023	17:42:21	07.06.17	2	4.6
018	17:46:19	07.06.17	2	4.7
018	17:46:25	07.06.17	2	5.2
016	17:47:49	07.06.17	2	4.7
021	17:48:45	07.06.17	2	4.2
023	17:49:00	07.06.17	2	4.2
025	17:49:06	07.06.17	2	4.1
019	17:49:13	07.06.17	2	4.5
030	17:49:36	07.06.17	2	9.3
015	17:55:44	07.06.17	2	4.1
018	17:55:46	07.06.17	2	4.5
017	17:57:19	07.06.17	2	3.8
025	17:57:24	07.06.17	2	4.8
016	17:58:45	07.06.17	2	4.2
017	17:59:34	07.06.17	2	3.9
017	18:00:03	07.06.17	2	4.4
015	18:02:04	07.06.17	2	4.2
015	18:03:26	07.06.17	2	3.7
026	18:04:27	07.06.17	2	7.9
017	18:04:33	07.06.17	2	4.4
026	18:06:09	07.06.17	2	4.7
018	18:08:12	07.06.17	2	5.2
006	18:08:44	07.06.17	2	4.0
016	18:08:48	07.06.17	2	4.8
017	18:09:29	07.06.17	2	4.7
012	18:10:52	07.06.17	2	4.1
021	18:11:23	07.06.17	2	4.2
019	18:12:37	07.06.17	2	3.4
020	18:15:00	07.06.17	2	4.1
018	18:16:27	07.06.17	2	3.9
013	18:16:41	07.06.17	2	4.1
016	18:17:10	07.06.17	2	3.4
015	18:17:33	07.06.17	2	4.1
013	18:18:08	07.06.17	2	3.7
013	18:19:23	07.06.17	2	2.3
019	18:20:06	07.06.17	2	4.6
018	18:20:52	07.06.17	2	4.4
019	18:21:59	07.06.17	2	3.6
018	18:22:53	07.06.17	2	4.2
024	18:25:15	07.06.17	2	4.3
020	18:25:47	07.06.17	2	5.4
019	18:25:53	07.06.17	2	4.4
012	18:26:11	07.06.17	2	4.3
009	18:27:32	07.06.17	2	5.3
022	18:32:25	07.06.17	2	4.3
015	18:32:30	07.06.17	2	4.4
019	18:34:52	07.06.17	2	4.1
021	18:36:38	07.06.17	2	5.3
022	18:37:33	07.06.17	2	4.0
018	18:42:43	07.06.17	2	4.4
032	18:46:13	07.06.17	2	4.7
020	18:46:41	07.06.17	2	4.2
023	18:47:11	07.06.17	2	3.9
021	18:47:27	07.06.17	2	4.1
016	18:48:53	07.06.17	2	3.9
007	18:50:28	07.06.17	2	4.2
016	18:50:48	07.06.17	2	5.3
021	18:51:41	07.06.17	2	4.0
019	18:52:44	07.06.17	2	4.0
019	18:53:25	07.06.17	2	4.7
021	18:54:18	07.06.17	2	3.9
008	18:55:07	07.06.17	2	4.2
013	18:56:09	07.06.17	2	4.2
008	18:57:07	07.06.17	2	10.2
018	18:57:43	07.06.17	2	4.3
016	19:02:03	07.06.17	2	4.1
024	19:02:16	07.06.17	2	4.1
020	19:06:37	07.06.17	2	8.5
028	19:07:48	07.06.17	2	8.2
021	19:08:07	07.06.17	2	7.8
018	19:08:14	07.06.17	2	8.9
019	19:08:16	07.06.17	2	4.7
018	19:11:07	07.06.17	2	3.5
017	19:12:31	07.06.17	2	4.0
015	19:13:02	07.06.17	2	4.0
015	19:15:46	07.06.17	2	4.0
018	19:16:46	07.06.17	2	4.6
026	19:19:50	07.06.17	2	4.2
005	19:26:07	07.06.17	2	1.6
013	19:29:55	07.06.17	2	9.4
012	19:30:04	07.06.17	2	3.9
021	19:30:44	07.06.17	2	4.2
020	19:30:51	07.06.17	2	4.2
027	19:34:26	07.06.17	2	4.7
013	19:36:45	07.06.17	2	8.4
008	19:38:13	07.06.17	2	4.2
024	19:40:28	07.06.17	2	4.1
015	19:42:11	07.06.17	2	9.0
016	19:42:59	07.06.17	2	3.6
013	19:46:04	07.06.17	2	3.0
017	19:49:22	07.06.17	2	5.1
015	19:49:28	07.06.17	2	4.2
017	19:51:05	07.06.17	2	4.0
006	19:55:36	07.06.17	2	4.3
008	19:56:22	07.06.17	2	4.3
010	19:57:02	07.06.17	2	4.3
009	19:57:20	07.06.17	2	4.3
011	19:57:21	07.06.17	2	4.3
018	20:03:04	07.06.17	2	4.4
018	20:05:43	07.06.17	2	4.0
014	20:05:55	07.06.17	2	3.6
022	20:17:05	07.06.17	2	7.0
019	20:20:17	07.06.17	2	4.1
019	20:20:59	07.06.17	2	4.4
020	20:28:56	07.06.17	2	4.8
013	20:34:39	07.06.17	2	7.8
019	20:35:34	07.06.17	2	4.7
019	20:36:11	07.06.17	2	5.0
021	20:39:42	07.06.17	2	4.5
028	20:41:49	07.06.17	2	5.2
021	20:46:03	07.06.17	2	4.7
022	20:46:09	07.06.17	2	5.0
016	20:47:32	07.06.17	2	3.7
015	20:48:52	07.06.17	2	4.0
016	20:55:16	07.06.17	2	4.2
021	20:58:25	07.06.17	2	5.0
022	21:05:08	07.06.17	2	4.7
015	21:08:28	07.06.17	2	4.1
016	21:09:14	07.06.17	2	3.9
019	21:15:54	07.06.17	2	8.6
019	21:22:21	07.06.17	2	7.5
