

Standort: 2-Ruedinstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
008	14:49:27	09.09.16	2	3.2
019	14:49:44	09.09.16	2	3.5
012	14:50:44	09.09.16	2	3.6
027	14:51:09	09.09.16	2	4.1
027	15:08:30	09.09.16	2	3.9
022	15:19:28	09.09.16	2	4.6
014	15:20:09	09.09.16	2	0.8
017	15:29:08	09.09.16	2	1.0
009	15:42:29	09.09.16	2	3.7
031	15:51:58	09.09.16	2	4.3
036	15:56:23	09.09.16	2	3.5
024	16:17:22	09.09.16	2	4.4
018	16:27:44	09.09.16	2	1.2
032	16:30:53	09.09.16	2	3.9
026	16:31:30	09.09.16	2	4.1
029	16:42:42	09.09.16	2	4.3
017	16:50:42	09.09.16	2	4.3
026	16:57:46	09.09.16	2	5.3
031	17:05:11	09.09.16	2	0.8
016	17:28:28	09.09.16	2	5.1
024	17:31:39	09.09.16	2	3.8
029	17:53:36	09.09.16	2	4.7
027	17:56:54	09.09.16	2	3.8
024	18:08:37	09.09.16	2	0.6
033	18:16:09	09.09.16	2	6.7
017	18:29:45	09.09.16	2	3.9
031	18:32:51	09.09.16	2	4.0
019	18:46:14	09.09.16	2	3.9
026	18:49:07	09.09.16	2	7.0
026	18:53:22	09.09.16	2	1.0
029	19:11:17	09.09.16	2	4.9
028	19:25:41	09.09.16	2	4.0
024	19:42:42	09.09.16	2	5.2
014	19:44:13	09.09.16	2	1.4
018	19:48:27	09.09.16	2	4.7
027	20:05:43	09.09.16	2	4.6
026	20:33:09	09.09.16	2	4.3
016	20:54:26	09.09.16	2	4.9
033	20:55:50	09.09.16	2	4.1
032	21:27:35	09.09.16	2	4.5
017	21:41:55	09.09.16	2	0.6
020	21:43:00	09.09.16	2	0.8
022	22:24:30	09.09.16	2	4.7
021	22:38:06	09.09.16	2	4.0
015	22:49:17	09.09.16	2	4.0
009	22:49:22	09.09.16	2	1.5
022	23:12:38	09.09.16	2	4.7
028	23:55:12	09.09.16	2	4.3
025	08:34:13	10.09.16	2	5.0
024	08:50:52	10.09.16	2	4.7
021	08:59:00	10.09.16	2	4.5
032	09:08:49	10.09.16	2	4.6
018	09:17:03	10.09.16	2	1.5
025	09:20:36	10.09.16	2	4.8
021	09:41:39	10.09.16	2	4.6
027	09:44:47	10.09.16	2	4.7
016	09:52:56	10.09.16	2	4.6
032	10:13:01	10.09.16	2	4.1
026	10:25:22	10.09.16	2	4.7
029	10:26:15	10.09.16	2	4.9
027	10:26:38	10.09.16	2	3.9
033	10:26:44	10.09.16	2	4.8
016	10:29:36	10.09.16	2	0.7
021	10:43:53	10.09.16	2	0.8
028	11:02:32	10.09.16	2	4.4
027	11:09:55	10.09.16	2	4.4
032	11:28:13	10.09.16	2	4.1
030	11:34:46	10.09.16	2	4.8
019	11:37:59	10.09.16	2	4.1
024	11:40:59	10.09.16	2	5.2
026	11:46:46	10.09.16	2	3.9
