

Standort: 2-Schaffhauserrh

[km/h]				 [m]
Dateformat: dd.mm.yy
007	13:48:21	23.01.15	2	3.7
009	13:48:23	23.01.15	2	3.5
018	13:48:42	23.01.15	2	3.9
022	13:54:18	23.01.15	2	4.4
019	13:57:50	23.01.15	2	4.9
021	14:01:29	23.01.15	2	4.9
017	14:03:35	23.01.15	2	4.5
022	14:04:34	23.01.15	2	4.1
028	14:11:04	23.01.15	2	4.1
023	14:11:22	23.01.15	2	4.2
021	14:11:23	23.01.15	2	3.7
021	14:12:30	23.01.15	2	6.0
020	14:13:14	23.01.15	2	4.4
019	14:13:59	23.01.15	2	4.4
022	14:14:01	23.01.15	2	4.8
026	14:15:36	23.01.15	2	6.4
024	14:18:09	23.01.15	2	6.0
021	14:19:34	23.01.15	2	5.7
028	14:20:43	23.01.15	2	4.0
021	14:21:39	23.01.15	2	5.7
017	14:21:40	23.01.15	2	3.8
017	14:25:40	23.01.15	2	5.7
019	14:38:54	23.01.15	2	6.2
022	14:42:24	23.01.15	2	3.9
022	14:45:01	23.01.15	2	5.6
032	14:49:37	23.01.15	2	4.2
030	14:49:37	23.01.15	2	3.8
022	14:50:12	23.01.15	2	4.4
025	14:52:02	23.01.15	2	5.9
029	14:52:35	23.01.15	2	4.0
021	15:00:56	23.01.15	2	5.7
023	15:04:09	23.01.15	2	6.2
015	15:04:35	23.01.15	2	5.8
020	15:08:42	23.01.15	2	4.2
015	15:09:59	23.01.15	2	4.1
019	15:11:18	23.01.15	2	4.1
020	15:12:14	23.01.15	2	3.9
018	15:14:49	23.01.15	2	3.9
018	15:15:12	23.01.15	2	5.6
008	15:17:23	23.01.15	2	3.8
020	15:17:26	23.01.15	2	6.1
031	15:17:34	23.01.15	2	3.8
020	15:20:31	23.01.15	2	4.8
022	15:21:02	23.01.15	2	4.0
023	15:21:03	23.01.15	2	3.8
019	15:22:39	23.01.15	2	4.4
023	15:22:49	23.01.15	2	4.4
026	15:23:16	23.01.15	2	5.7
021	15:24:00	23.01.15	2	10.1
013	15:27:33	23.01.15	2	4.6
016	15:27:44	23.01.15	2	6.5
