

Standort: 2-Schuetzenrainw

[km/h]				 [m]
Dateformat: dd.mm.yy
028	14:29:20	20.02.15	2	4.6
016	14:36:38	20.02.15	2	2.9
034	14:48:03	20.02.15	2	4.4
028	15:04:11	20.02.15	2	9.4
021	15:04:58	20.02.15	2	5.0
031	15:08:08	20.02.15	2	3.8
035	15:08:21	20.02.15	2	3.8
027	15:08:52	20.02.15	2	9.5
028	15:10:23	20.02.15	2	3.5
022	15:16:15	20.02.15	2	4.7
032	15:25:07	20.02.15	2	4.2
027	15:32:44	20.02.15	2	3.5
014	16:09:19	20.02.15	2	4.6
033	16:17:12	20.02.15	2	4.2
023	16:18:18	20.02.15	2	3.4
026	16:20:31	20.02.15	2	4.0
029	16:25:26	20.02.15	2	4.9
012	16:40:19	20.02.15	2	0.7
027	16:41:07	20.02.15	2	4.5
028	16:50:16	20.02.15	2	3.6
030	16:57:48	20.02.15	2	5.2
017	16:58:48	20.02.15	2	4.3
030	17:06:29	20.02.15	2	8.0
035	17:18:13	20.02.15	2	3.5
028	18:11:27	20.02.15	2	2.9
014	18:29:10	20.02.15	2	4.5
025	18:31:14	20.02.15	2	3.2
008	18:40:40	20.02.15	2	2.4
033	18:44:29	20.02.15	2	4.2
022	18:55:43	20.02.15	2	2.6
026	19:08:51	20.02.15	2	4.0
025	19:12:47	20.02.15	2	5.4
030	19:34:04	20.02.15	2	4.0
022	19:37:17	20.02.15	2	3.4
014	19:45:34	20.02.15	2	3.5
023	20:22:10	20.02.15	2	5.4
021	20:43:04	20.02.15	2	4.5
022	21:38:55	20.02.15	2	6.6
028	23:54:55	20.02.15	2	4.7
025	06:00:54	21.02.15	2	5.4
027	06:37:07	21.02.15	2	7.6
034	07:34:54	21.02.15	2	4.0
026	07:46:52	21.02.15	2	5.0
036	08:04:56	21.02.15	2	4.2
008	08:43:44	21.02.15	2	7.8
028	08:59:37	21.02.15	2	3.9
029	09:09:40	21.02.15	2	4.6
022	09:24:47	21.02.15	2	5.2
024	09:56:22	21.02.15	2	1.1
025	10:02:31	21.02.15	2	5.2
023	10:23:20	21.02.15	2	5.0
028	11:25:40	21.02.15	2	4.7
