

Standort: 2-Schweizergasse

[km/h]				 [m]
Dateformat: dd.mm.yy
011	08:31:19	31.12.15	2	3.5
016	08:34:33	31.12.15	2	8.4
017	08:43:30	31.12.15	2	5.4
009	08:46:23	31.12.15	2	3.9
018	08:47:41	31.12.15	2	7.4
009	08:56:14	31.12.15	2	4.2
007	09:28:53	31.12.15	2	3.5
004	09:47:18	31.12.15	2	3.5
010	09:48:24	31.12.15	2	6.7
021	09:49:11	31.12.15	2	13.4
008	09:52:14	31.12.15	2	4.0
018	09:53:06	31.12.15	2	6.8
007	09:54:59	31.12.15	2	3.6
013	09:56:59	31.12.15	2	3.6
008	09:57:36	31.12.15	2	3.6
009	09:57:39	31.12.15	2	5.8
008	09:57:40	31.12.15	2	3.7
013	09:59:20	31.12.15	2	9.2
020	10:09:05	31.12.15	2	6.9
011	10:12:37	31.12.15	2	8.2
008	10:34:52	31.12.15	2	3.7
008	10:42:02	31.12.15	2	2.2
016	10:43:45	31.12.15	2	6.9
017	10:44:09	31.12.15	2	7.7
008	10:57:28	31.12.15	2	3.9
016	11:14:41	31.12.15	2	11.2
015	11:15:34	31.12.15	2	5.4
014	11:17:35	31.12.15	2	8.5
022	11:17:53	31.12.15	2	8.6
008	11:20:08	31.12.15	2	3.6
008	11:22:20	31.12.15	2	3.8
020	11:32:19	31.12.15	2	5.2
008	11:38:04	31.12.15	2	3.8
021	11:39:16	31.12.15	2	4.4
008	11:40:59	31.12.15	2	3.8
005	11:44:55	31.12.15	2	3.8
009	11:45:05	31.12.15	2	14.9
007	11:45:06	31.12.15	2	3.8
020	11:48:42	31.12.15	2	8.7
016	11:50:50	31.12.15	2	6.9
019	11:52:39	31.12.15	2	5.6
023	11:53:15	31.12.15	2	7.9
021	12:03:37	31.12.15	2	7.7
011	12:10:25	31.12.15	2	7.5
008	12:15:40	31.12.15	2	3.9
019	12:17:20	31.12.15	2	8.3
011	12:22:44	31.12.15	2	7.4
020	12:25:10	31.12.15	2	5.5
011	12:29:50	31.12.15	2	6.8
026	12:31:39	31.12.15	2	4.1
014	12:46:27	31.12.15	2	7.1
008	12:46:56	31.12.15	2	3.0
009	12:57:48	31.12.15	2	3.9
009	13:01:41	31.12.15	2	6.0
015	13:02:27	31.12.15	2	7.9
022	13:02:48	31.12.15	2	8.4
021	13:04:12	31.12.15	2	4.5
017	13:12:55	31.12.15	2	7.3
014	13:14:10	31.12.15	2	3.7
018	13:14:15	31.12.15	2	4.8
014	13:19:01	31.12.15	2	4.8
008	13:33:38	31.12.15	2	3.5
006	13:34:30	31.12.15	2	3.9
008	13:34:33	31.12.15	2	4.0
016	13:34:51	31.12.15	2	4.9
006	13:41:21	31.12.15	2	4.7
006	13:48:47	31.12.15	2	1.7
017	14:19:27	31.12.15	2	5.4
009	14:23:50	31.12.15	2	3.4
006	14:25:36	31.12.15	2	4.0
016	14:26:35	31.12.15	2	7.2
007	14:41:38	31.12.15	2	3.1
013	14:45:22	31.12.15	2	4.0
006	14:52:11	31.12.15	2	3.5
006	14:52:49	31.12.15	2	4.0
017	15:06:55	31.12.15	2	7.5
008	15:09:03	31.12.15	2	4.0
008	15:31:17	31.12.15	2	3.4
007	15:40:18	31.12.15	2	1.8
005	15:40:47	31.12.15	2	3.2
015	15:42:55	31.12.15	2	4.0
020	15:43:45	31.12.15	2	7.1
015	15:46:11	31.12.15	2	7.6
008	15:47:01	31.12.15	2	3.7
008	16:10:15	31.12.15	2	4.1
008	16:12:16	31.12.15	2	4.7
007	16:20:12	31.12.15	2	4.1
009	16:25:10	31.12.15	2	4.6
009	16:29:58	31.12.15	2	4.4
008	16:35:51	31.12.15	2	4.1
017	16:38:55	31.12.15	2	5.3
020	16:51:53	31.12.15	2	4.7
007	16:58:00	31.12.15	2	1.6
008	17:01:43	31.12.15	2	7.1
008	17:10:27	31.12.15	2	2.9
009	17:13:46	31.12.15	2	7.9
008	17:13:48	31.12.15	2	4.1
013	17:13:52	31.12.15	2	4.9
012	17:33:27	31.12.15	2	7.3
017	17:40:44	31.12.15	2	8.2
007	17:48:58	31.12.15	2	2.4
010	17:49:01	31.12.15	2	4.1
008	18:08:29	31.12.15	2	1.6
021	18:14:47	31.12.15	2	7.6
007	18:20:21	31.12.15	2	4.1
008	18:20:22	31.12.15	2	4.1
016	18:21:38	31.12.15	2	8.2
009	18:21:55	31.12.15	2	3.8
013	18:49:59	31.12.15	2	7.2
008	18:52:11	31.12.15	2	4.1
007	18:52:11	31.12.15	2	4.1
023	18:53:28	31.12.15	2	8.3
008	19:17:00	31.12.15	2	3.7
014	19:22:03	31.12.15	2	5.0
014	19:22:05	31.12.15	2	4.3
013	19:22:16	31.12.15	2	6.4
004	19:25:49	31.12.15	2	4.1
020	19:47:00	31.12.15	2	8.3
021	19:54:05	31.12.15	2	7.8
015	20:08:20	31.12.15	2	4.3
018	20:23:50	31.12.15	2	6.7
007	20:53:54	31.12.15	2	4.2
006	20:56:05	31.12.15	2	4.2
033	21:57:00	31.12.15	2	6.7
008	22:13:19	31.12.15	2	4.2
021	22:44:15	31.12.15	2	7.6
008	22:46:46	31.12.15	2	4.0
006	22:46:47	31.12.15	2	4.2
007	23:20:39	31.12.15	2	4.2
007	23:24:40	31.12.15	2	5.7
016	23:39:54	31.12.15	2	8.3
007	23:53:44	31.12.15	2	3.8
007	23:53:46	31.12.15	2	4.2
007	00:02:39	01.01.16	2	3.0
008	00:31:05	01.01.16	2	3.9
024	00:33:01	01.01.16	2	8.5
008	01:45:00	01.01.16	2	3.2
020	02:05:47	01.01.16	2	7.2
025	02:32:50	01.01.16	2	9.8
010	03:58:28	01.01.16	2	4.9
005	04:53:35	01.01.16	2	4.2
005	04:53:36	01.01.16	2	4.2
005	05:23:44	01.01.16	2	1.4
007	05:31:43	01.01.16	2	3.8
017	09:05:39	01.01.16	2	5.0
017	09:39:07	01.01.16	2	7.1
018	11:53:03	01.01.16	2	8.0
018	11:53:12	01.01.16	2	4.6
008	12:10:49	01.01.16	2	5.0
019	12:58:00	01.01.16	2	7.5
014	13:00:18	01.01.16	2	4.7
017	13:06:10	01.01.16	2	7.4
019	13:32:19	01.01.16	2	7.7
008	13:39:52	01.01.16	2	4.3
018	13:42:29	01.01.16	2	4.1
009	13:43:16	01.01.16	2	5.8
008	13:43:16	01.01.16	2	4.3
008	13:43:18	01.01.16	2	4.3
008	13:43:18	01.01.16	2	4.3
013	13:44:42	01.01.16	2	6.3
014	13:47:37	01.01.16	2	7.4
008	13:55:41	01.01.16	2	4.4
007	13:58:15	01.01.16	2	2.6
007	13:59:42	01.01.16	2	4.4
017	14:01:21	01.01.16	2	4.7
018	14:01:23	01.01.16	2	4.7
018	14:05:10	01.01.16	2	6.6
013	14:06:36	01.01.16	2	4.3
011	14:06:37	01.01.16	2	3.7
007	14:11:20	01.01.16	2	4.4
008	14:15:17	01.01.16	2	4.4
008	14:23:26	01.01.16	2	3.1
007	14:30:09	01.01.16	2	4.4
010	14:50:25	01.01.16	2	3.2
016	14:54:21	01.01.16	2	5.3
010	14:57:10	01.01.16	2	4.0
009	15:07:31	01.01.16	2	6.5
014	15:12:34	01.01.16	2	4.6
015	15:36:22	01.01.16	2	7.6
008	15:36:53	01.01.16	2	6.2
007	15:36:53	01.01.16	2	4.5
007	15:39:00	01.01.16	2	3.7
023	15:47:10	01.01.16	2	8.1
014	16:08:02	01.01.16	2	6.4
016	16:08:05	01.01.16	2	6.5
008	16:28:44	01.01.16	2	4.8
016	16:43:43	01.01.16	2	4.1
004	17:00:17	01.01.16	2	4.6
007	17:00:30	01.01.16	2	4.3
020	17:02:41	01.01.16	2	5.3
020	17:03:45	01.01.16	2	6.5
