

Standort: 2-St Galler Ring

[km/h]				 [m]
Dateformat: dd.mm.yy
018	11:22:28	22.11.13	1	3.5
021	11:23:53	22.11.13	1	3.6
021	11:25:26	22.11.13	1	3.6
030	11:26:12	22.11.13	1	3.2
020	11:26:32	22.11.13	1	3.7
020	11:28:13	22.11.13	1	3.7
023	11:29:14	22.11.13	1	3.6
020	11:30:08	22.11.13	1	3.7
030	11:30:19	22.11.13	1	4.2
032	11:33:25	22.11.13	1	4.7
029	11:39:01	22.11.13	1	4.6
016	11:41:41	22.11.13	1	1.2
023	11:41:53	22.11.13	1	3.8
008	11:44:55	22.11.13	1	3.8
021	11:45:22	22.11.13	1	3.8
033	11:46:25	22.11.13	1	4.1
038	11:48:09	22.11.13	1	3.8
030	11:48:56	22.11.13	1	3.5
028	11:48:58	22.11.13	1	4.4
030	11:49:20	22.11.13	1	3.9
017	11:49:46	22.11.13	1	1.9
029	11:51:21	22.11.13	1	4.3
042	11:53:09	22.11.13	1	3.9
013	11:53:47	22.11.13	1	3.9
014	11:55:10	22.11.13	1	3.9
041	11:55:56	22.11.13	1	4.5
018	12:01:56	22.11.13	1	4.0
018	12:06:29	22.11.13	1	4.0
025	12:10:16	22.11.13	1	4.5
023	12:10:48	22.11.13	1	4.0
022	12:10:59	22.11.13	1	5.1
022	12:11:18	22.11.13	1	4.0
021	12:14:29	22.11.13	1	0.6
021	12:14:54	22.11.13	1	4.1
019	12:16:12	22.11.13	1	4.1
038	12:16:14	22.11.13	1	5.6
026	12:17:33	22.11.13	1	0.5
019	12:19:04	22.11.13	1	1.2
023	12:19:38	22.11.13	1	4.1
029	12:20:11	22.11.13	1	4.5
031	12:20:34	22.11.13	1	3.8
034	12:21:00	22.11.13	1	4.2
023	12:22:19	22.11.13	1	3.4
011	12:24:27	22.11.13	1	1.0
021	12:25:35	22.11.13	1	4.1
027	12:27:05	22.11.13	1	5.2
024	12:27:38	22.11.13	1	2.2
019	12:27:56	22.11.13	1	0.7
027	12:28:25	22.11.13	1	3.7
026	12:29:35	22.11.13	1	3.7
041	12:30:17	22.11.13	1	4.1
025	12:34:20	22.11.13	1	4.1
044	12:39:17	22.11.13	1	4.3
031	12:39:49	22.11.13	1	5.1
029	12:39:51	22.11.13	1	4.7
037	12:41:18	22.11.13	1	4.4
029	12:41:37	22.11.13	1	4.7
016	12:43:09	22.11.13	1	2.0
038	12:44:10	22.11.13	1	3.9
023	12:45:42	22.11.13	1	4.1
021	12:47:27	22.11.13	1	4.1
023	12:47:38	22.11.13	1	5.3
027	12:48:36	22.11.13	1	5.1
020	12:48:54	22.11.13	1	0.9
035	12:52:22	22.11.13	1	4.7
033	12:53:21	22.11.13	1	6.8
031	12:54:58	22.11.13	1	5.0
019	12:55:16	22.11.13	1	4.1
032	12:59:27	22.11.13	1	4.2
023	13:01:54	22.11.13	1	4.2
025	13:05:41	22.11.13	1	0.8
016	13:06:57	22.11.13	1	0.6
021	13:12:40	22.11.13	1	0.7
032	13:16:55	22.11.13	1	4.2
031	13:21:57	22.11.13	1	4.2
020	13:22:49	22.11.13	1	0.9
019	13:24:47	22.11.13	1	4.2
019	13:25:18	22.11.13	1	4.2
026	13:25:25	22.11.13	1	3.8
025	13:27:23	22.11.13	1	6.9
032	13:28:21	22.11.13	1	4.3
040	13:29:19	22.11.13	1	4.4
022	13:30:22	22.11.13	1	4.2
024	13:31:09	22.11.13	1	4.2
022	13:31:18	22.11.13	1	0.7
026	13:31:48	22.11.13	1	4.8
031	13:32:42	22.11.13	1	3.6
026	13:35:48	22.11.13	1	4.3
026	13:37:10	22.11.13	1	6.2
033	13:47:16	22.11.13	1	4.5
021	13:51:43	22.11.13	1	3.4
026	13:53:56	22.11.13	1	3.3
019	13:54:22	22.11.13	1	4.3
023	13:55:23	22.11.13	1	4.3
013	13:56:45	22.11.13	1	4.3
044	13:57:11	22.11.13	1	6.1
017	13:59:05	22.11.13	1	4.3
030	14:01:20	22.11.13	1	4.0
038	14:01:29	22.11.13	1	3.5
026	14:06:00	22.11.13	1	3.6
020	14:08:02	22.11.13	1	4.4
037	14:10:26	22.11.13	1	3.7
030	14:10:50	22.11.13	1	3.8
031	14:13:56	22.11.13	1	3.4
029	14:14:36	22.11.13	1	4.4
033	14:14:43	22.11.13	1	3.9
036	14:15:19	22.11.13	1	3.9
028	14:20:13	22.11.13	1	4.4
031	14:21:53	22.11.13	1	4.2
027	14:21:59	22.11.13	1	3.6
031	14:22:41	22.11.13	1	4.4
028	14:23:07	22.11.13	1	4.5
036	14:23:12	22.11.13	1	4.6
030	14:27:25	22.11.13	1	4.3
033	14:29:40	22.11.13	1	3.8
026	14:29:58	22.11.13	1	3.5
036	14:32:21	22.11.13	1	4.0
033	14:32:34	22.11.13	1	4.1
018	14:33:24	22.11.13	1	4.4
018	14:36:30	22.11.13	1	0.7
037	14:36:43	22.11.13	1	5.0
018	14:40:15	22.11.13	1	0.5
036	14:40:34	22.11.13	1	4.5
020	14:47:04	22.11.13	1	0.7
024	14:48:17	22.11.13	1	4.5
026	14:49:03	22.11.13	1	4.2
023	14:51:13	22.11.13	1	3.5
009	14:53:10	22.11.13	1	4.5
036	14:54:36	22.11.13	1	3.6
029	14:55:20	22.11.13	1	3.8
031	14:57:01	22.11.13	1	4.5
031	14:58:36	22.11.13	1	3.3
007	14:59:11	22.11.13	1	1.3
036	15:01:17	22.11.13	1	4.5
033	15:04:07	22.11.13	1	4.2
029	15:06:11	22.11.13	1	4.1
033	15:09:05	22.11.13	1	3.9
035	15:09:18	22.11.13	1	4.2
022	15:11:30	22.11.13	1	0.7
045	15:12:19	22.11.13	1	3.5
041	15:12:56	22.11.13	1	4.5
044	15:12:59	22.11.13	1	4.6
044	15:17:29	22.11.13	1	4.5
031	15:18:06	22.11.13	1	6.2
029	15:18:19	22.11.13	1	3.6
032	15:19:54	22.11.13	1	3.9
042	15:26:59	22.11.13	1	3.2
015	15:28:34	22.11.13	1	4.6
031	15:32:24	22.11.13	1	4.2
026	15:32:27	22.11.13	1	3.9
015	15:33:08	22.11.13	1	4.6
031	15:33:48	22.11.13	1	3.9
038	15:36:37	22.11.13	1	3.9
028	15:37:34	22.11.13	1	4.1
022	15:41:20	22.11.13	1	4.6
035	15:41:42	22.11.13	1	4.6
034	15:42:45	22.11.13	1	5.1
031	15:43:21	22.11.13	1	2.8
029	15:44:08	22.11.13	1	4.9
035	15:45:58	22.11.13	1	4.6
021	15:50:33	22.11.13	1	1.8
031	15:51:26	22.11.13	1	4.1
019	15:52:53	22.11.13	1	1.0
041	15:54:06	22.11.13	1	5.0
