

Standort: 2-St.Alban-Ring

[km/h]				 [m]
Dateformat: dd.mm.yy
015	14:47:26	01.11.13	2	5.5
031	14:47:52	01.11.13	2	4.6
015	14:48:55	01.11.13	2	3.9
025	14:49:51	01.11.13	2	3.3
019	14:50:26	01.11.13	2	1.2
032	14:52:04	01.11.13	2	4.1
031	14:52:43	01.11.13	2	4.6
021	14:53:31	01.11.13	2	4.5
035	14:56:26	01.11.13	2	5.9
028	14:57:11	01.11.13	2	2.6
035	14:57:23	01.11.13	2	4.6
033	14:58:07	01.11.13	2	0.5
034	14:58:08	01.11.13	2	3.0
037	14:58:54	01.11.13	2	4.7
024	15:00:35	01.11.13	2	4.4
023	15:01:34	01.11.13	2	4.1
024	15:01:40	01.11.13	2	4.2
018	15:03:36	01.11.13	2	1.0
037	15:04:39	01.11.13	2	4.9
034	15:05:03	01.11.13	2	6.3
036	15:06:45	01.11.13	2	2.2
030	15:07:35	01.11.13	2	3.3
032	15:07:53	01.11.13	2	2.7
032	15:08:43	01.11.13	2	3.0
027	15:09:33	01.11.13	2	2.8
026	15:10:13	01.11.13	2	2.7
027	15:11:02	01.11.13	2	2.8
030	15:11:24	01.11.13	2	12.8
034	15:13:07	01.11.13	2	2.6
031	15:13:50	01.11.13	2	2.4
034	15:14:19	01.11.13	2	1.2
030	15:16:46	01.11.13	2	2.4
030	15:17:03	01.11.13	2	2.1
040	15:17:58	01.11.13	2	3.4
030	15:19:49	01.11.13	2	2.1
027	15:20:19	01.11.13	2	2.2
027	15:20:29	01.11.13	2	2.7
020	15:21:56	01.11.13	2	1.5
031	15:24:13	01.11.13	2	11.6
031	15:24:17	01.11.13	2	3.0
034	15:25:04	01.11.13	2	2.1
034	15:25:24	01.11.13	2	3.1
036	15:27:38	01.11.13	2	3.3
033	15:29:16	01.11.13	2	2.8
031	15:30:24	01.11.13	2	2.4
035	15:31:14	01.11.13	2	1.4
030	15:32:48	01.11.13	2	2.2
028	15:33:04	01.11.13	2	3.4
034	15:33:05	01.11.13	2	2.7
033	15:33:09	01.11.13	2	3.7
032	15:33:58	01.11.13	2	3.0
035	15:36:23	01.11.13	2	2.9
031	15:36:37	01.11.13	2	2.6
029	15:36:40	01.11.13	2	2.9
014	15:38:12	01.11.13	2	2.6
036	15:38:27	01.11.13	2	2.0
039	15:38:56	01.11.13	2	6.6
035	15:39:00	01.11.13	2	2.8
044	15:40:16	01.11.13	2	3.5
026	15:41:09	01.11.13	2	3.6
030	15:41:48	01.11.13	2	11.4
029	15:44:25	01.11.13	2	3.6
026	15:45:31	01.11.13	2	3.5
033	15:46:36	01.11.13	2	2.8
029	15:48:16	01.11.13	2	3.7
036	15:49:24	01.11.13	2	3.7
040	15:50:42	01.11.13	2	3.1
035	15:51:22	01.11.13	2	2.6
031	15:53:02	01.11.13	2	3.8
037	15:53:30	01.11.13	2	2.3
028	15:54:06	01.11.13	2	1.5
027	15:54:27	01.11.13	2	10.0
049	15:55:56	01.11.13	2	3.5
036	15:56:01	01.11.13	2	5.3
035	15:57:47	01.11.13	2	2.8
032	15:58:21	01.11.13	2	3.8
036	16:00:16	01.11.13	2	1.9
043	16:00:45	01.11.13	2	3.2
040	16:01:05	01.11.13	2	2.2
025	16:01:40	01.11.13	2	1.3
030	16:01:43	01.11.13	2	2.2
031	16:01:56	01.11.13	2	2.7
031	16:03:19	01.11.13	2	2.6
031	16:04:57	01.11.13	2	2.9
031	16:05:39	01.11.13	2	3.3
039	16:06:34	01.11.13	2	2.0
049	16:07:23	01.11.13	2	3.2
040	16:07:26	01.11.13	2	3.7
038	16:07:38	01.11.13	2	3.9
032	16:11:06	01.11.13	2	3.9
032	16:11:09	01.11.13	2	3.9
031	16:11:48	01.11.13	2	2.1
026	16:12:42	01.11.13	2	3.9
037	16:13:00	01.11.13	2	1.7
028	16:13:34	01.11.13	2	3.9
030	16:15:01	01.11.13	2	2.7
025	16:15:28	01.11.13	2	3.9
037	16:15:57	01.11.13	2	3.1
033	16:16:09	01.11.13	2	6.8
039	16:16:58	01.11.13	2	2.0
038	16:17:01	01.11.13	2	4.0
034	16:17:03	01.11.13	2	3.1
029	16:17:20	01.11.13	2	2.3
029	16:20:23	01.11.13	2	7.7
037	16:22:46	01.11.13	2	3.9
030	16:23:04	01.11.13	2	3.0
037	16:23:44	01.11.13	2	1.1
038	16:25:11	01.11.13	2	4.1
036	16:25:19	01.11.13	2	3.8
025	16:27:06	01.11.13	2	4.0
030	16:27:15	01.11.13	2	4.5
032	16:27:18	01.11.13	2	3.8
028	16:27:22	01.11.13	2	5.1
024	16:27:32	01.11.13	2	3.9
025	16:30:26	01.11.13	2	6.7
028	16:30:46	01.11.13	2	4.0
033	16:31:23	01.11.13	2	4.8
029	16:33:17	01.11.13	2	3.9
030	16:33:29	01.11.13	2	4.0
034	16:33:58	01.11.13	2	4.3
037	16:34:46	01.11.13	2	4.2
035	16:35:05	01.11.13	2	3.0
029	16:35:24	01.11.13	2	4.3
029	16:35:27	01.11.13	2	4.5
038	16:35:37	01.11.13	2	3.6
036	16:36:27	01.11.13	2	4.0
022	16:39:38	01.11.13	2	4.1
030	16:40:29	01.11.13	2	12.6
030	16:40:36	01.11.13	2	4.3
028	16:42:04	01.11.13	2	3.8
026	16:43:21	01.11.13	2	4.6
029	16:43:38	01.11.13	2	4.6
030	16:44:03	01.11.13	2	4.0
032	16:45:23	01.11.13	2	4.1
029	16:46:45	01.11.13	2	4.3
028	16:46:47	01.11.13	2	5.0
033	16:47:38	01.11.13	2	6.5
030	16:48:34	01.11.13	2	4.3
034	16:52:04	01.11.13	2	4.3
031	16:52:06	01.11.13	2	4.5
024	16:52:10	01.11.13	2	4.6
026	16:52:57	01.11.13	2	3.3
030	16:53:10	01.11.13	2	3.5
