

Standort: 2-St.Jakobs-Str

[km/h]				 [m]
Dateformat: dd.mm.yy
015	10:00:17	20.12.13	1	3.5
014	10:25:54	20.12.13	1	3.5
013	10:25:57	20.12.13	1	4.8
023	10:26:15	20.12.13	1	7.3
025	10:26:19	20.12.13	1	3.6
027	10:32:11	20.12.13	1	7.1
022	10:32:52	20.12.13	1	6.6
018	10:33:16	20.12.13	1	3.6
012	10:33:34	20.12.13	1	7.0
017	10:34:06	20.12.13	1	5.3
018	10:34:16	20.12.13	1	5.2
023	10:34:54	20.12.13	1	5.5
017	10:34:59	20.12.13	1	5.2
024	10:35:24	20.12.13	1	6.0
030	10:35:45	20.12.13	1	6.9
030	10:36:16	20.12.13	1	6.7
020	10:36:59	20.12.13	1	6.0
024	10:37:03	20.12.13	1	5.0
024	10:37:39	20.12.13	1	5.0
027	10:38:44	20.12.13	1	8.3
024	10:39:50	20.12.13	1	7.3
020	10:39:57	20.12.13	1	13.5
020	10:40:10	20.12.13	1	6.2
031	10:40:31	20.12.13	1	8.9
024	10:40:35	20.12.13	1	6.3
027	10:41:06	20.12.13	1	6.6
018	10:43:43	20.12.13	1	9.1
029	10:43:54	20.12.13	1	5.3
026	10:45:22	20.12.13	1	5.3
020	10:45:31	20.12.13	1	6.6
021	10:46:53	20.12.13	1	8.1
020	10:47:12	20.12.13	1	2.5
023	10:50:37	20.12.13	1	5.7
021	10:51:01	20.12.13	1	7.1
026	10:51:20	20.12.13	1	5.6
026	10:51:32	20.12.13	1	5.8
028	10:51:38	20.12.13	1	3.1
021	10:52:31	20.12.13	1	5.8
025	10:52:35	20.12.13	1	6.8
030	10:52:41	20.12.13	1	6.8
023	10:55:12	20.12.13	1	6.5
015	10:56:27	20.12.13	1	7.6
015	10:56:32	20.12.13	1	7.7
014	10:56:34	20.12.13	1	5.6
019	10:56:42	20.12.13	1	3.6
016	10:56:44	20.12.13	1	4.2
021	10:57:31	20.12.13	1	6.5
021	10:57:44	20.12.13	1	6.6
020	10:57:46	20.12.13	1	6.1
023	10:58:20	20.12.13	1	6.4
019	10:59:09	20.12.13	1	9.4
011	10:59:20	20.12.13	1	5.5
008	10:59:55	20.12.13	1	4.9
007	11:00:25	20.12.13	1	3.4
009	11:00:34	20.12.13	1	4.6
021	11:00:40	20.12.13	1	4.7
017	11:01:19	20.12.13	1	3.8
012	11:01:40	20.12.13	1	4.6
007	11:01:41	20.12.13	1	1.3
006	11:01:45	20.12.13	1	3.1
010	11:03:24	20.12.13	1	3.6
022	11:04:43	20.12.13	1	8.8
028	11:05:34	20.12.13	1	7.5
024	11:05:38	20.12.13	1	5.8
024	11:06:27	20.12.13	1	6.2
023	11:07:02	20.12.13	1	6.3
024	11:07:09	20.12.13	1	6.3
020	11:08:30	20.12.13	1	6.2
021	11:08:40	20.12.13	1	5.7
025	11:09:27	20.12.13	1	6.2
027	11:09:41	20.12.13	1	7.4
025	11:10:19	20.12.13	1	6.5
025	11:11:09	20.12.13	1	6.0
019	11:11:45	20.12.13	1	5.0
030	11:12:46	20.12.13	1	7.6
010	11:13:52	20.12.13	1	2.5
015	11:15:31	20.12.13	1	6.8
026	11:18:17	20.12.13	1	5.6
026	11:18:48	20.12.13	1	5.3
028	11:21:24	20.12.13	1	6.7
019	11:21:39	20.12.13	1	3.7
025	11:22:50	20.12.13	1	6.6
017	11:23:22	20.12.13	1	8.7
025	11:23:25	20.12.13	1	4.6
007	11:24:12	20.12.13	1	2.6
025	11:27:37	20.12.13	1	6.0
021	11:28:25	20.12.13	1	6.2
029	11:29:12	20.12.13	1	7.0
029	11:30:02	20.12.13	1	5.9
038	11:31:18	20.12.13	1	6.2
019	11:31:40	20.12.13	1	6.3
020	11:32:20	20.12.13	1	6.6
024	11:32:26	20.12.13	1	7.1
017	11:32:36	20.12.13	1	6.3
021	11:33:18	20.12.13	1	6.6
020	11:33:28	20.12.13	1	6.2
026	11:33:45	20.12.13	1	6.4
028	11:34:22	20.12.13	1	5.4
021	11:34:57	20.12.13	1	9.0
022	11:35:00	20.12.13	1	6.2
016	11:36:36	20.12.13	1	7.2
018	11:36:45	20.12.13	1	6.4
020	11:37:35	20.12.13	1	6.2
020	11:39:38	20.12.13	1	5.6
022	11:41:00	20.12.13	1	2.6
007	11:41:18	20.12.13	1	2.5
025	11:42:34	20.12.13	1	6.1
030	11:43:59	20.12.13	1	6.9
026	11:44:05	20.12.13	1	7.5
030	11:44:29	20.12.13	1	5.6
034	11:45:22	20.12.13	1	3.9
025	11:46:01	20.12.13	1	6.1
025	11:46:10	20.12.13	1	5.9
033	11:46:34	20.12.13	1	6.9
026	11:46:44	20.12.13	1	6.5
018	11:47:06	20.12.13	1	2.8
026	11:47:19	20.12.13	1	6.6
020	11:47:22	20.12.13	1	4.4
024	11:47:31	20.12.13	1	5.7
016	11:48:41	20.12.13	1	10.3
032	11:49:23	20.12.13	1	6.6
016	11:49:57	20.12.13	1	5.7
020	11:50:04	20.12.13	1	6.5
030	11:50:13	20.12.13	1	6.1
024	11:52:45	20.12.13	1	6.0
030	11:52:53	20.12.13	1	3.0
024	11:53:10	20.12.13	1	6.2
025	11:53:46	20.12.13	1	6.4
027	11:53:53	20.12.13	1	6.7
