

Standort: 2-Thiersteinerra

[km/h]				 [m]
Dateformat: dd.mm.yy
037	14:02:37	16.04.14	1	4.3
017	14:56:22	16.04.14	1	1.1
019	15:26:11	16.04.14	1	1.1
013	15:54:51	16.04.14	1	0.9
027	16:04:48	16.04.14	1	4.4
026	16:27:51	16.04.14	1	3.5
033	16:37:58	16.04.14	1	10.1
034	17:15:12	16.04.14	1	4.3
032	17:48:53	16.04.14	1	5.8
013	17:51:43	16.04.14	1	0.9
027	18:06:07	16.04.14	1	4.6
011	19:31:54	16.04.14	1	1.1
009	19:49:17	16.04.14	1	1.9
029	20:32:50	16.04.14	1	6.4
024	20:39:53	16.04.14	1	4.7
016	05:53:56	17.04.14	1	1.3
014	07:09:44	17.04.14	1	4.0
029	07:25:41	17.04.14	1	7.3
037	07:55:26	17.04.14	1	3.9
031	08:00:53	17.04.14	1	4.7
008	08:09:52	17.04.14	1	3.8
023	08:23:02	17.04.14	1	3.9
029	08:23:29	17.04.14	1	13.0
020	08:32:47	17.04.14	1	3.9
029	08:48:18	17.04.14	1	4.5
027	09:01:24	17.04.14	1	4.6
033	09:21:09	17.04.14	1	5.2
012	09:40:26	17.04.14	1	0.9
041	09:48:15	17.04.14	1	9.6
011	10:02:27	17.04.14	1	0.8
037	10:12:13	17.04.14	1	4.5
024	10:42:37	17.04.14	1	4.7
040	10:47:08	17.04.14	1	3.4
025	11:06:47	17.04.14	1	1.3
035	11:24:25	17.04.14	1	8.3
013	11:31:48	17.04.14	1	0.9
028	11:55:03	17.04.14	1	4.3
030	12:33:47	17.04.14	1	4.1
021	12:54:17	17.04.14	1	4.8
015	13:08:32	17.04.14	1	1.2
023	13:25:32	17.04.14	1	4.0
030	14:03:53	17.04.14	1	4.2
033	14:53:45	17.04.14	1	4.1
024	15:06:29	17.04.14	1	4.1
034	15:10:26	17.04.14	1	4.4
028	15:24:01	17.04.14	1	4.0
026	15:24:14	17.04.14	1	4.1
032	15:43:25	17.04.14	1	4.9
036	17:05:57	17.04.14	1	4.1
020	17:08:40	17.04.14	1	4.1
027	17:10:06	17.04.14	1	4.1
016	17:15:09	17.04.14	1	4.1
012	18:31:43	17.04.14	1	1.1
013	20:26:33	17.04.14	1	0.6
015	05:55:25	18.04.14	1	0.9
031	07:46:04	18.04.14	1	4.2
008	10:00:46	18.04.14	1	4.2
014	10:31:53	18.04.14	1	0.7
018	10:45:07	18.04.14	1	4.5
031	10:51:29	18.04.14	1	4.2
019	11:02:40	18.04.14	1	0.5
031	11:44:14	18.04.14	1	4.5
023	12:44:27	18.04.14	1	4.2
035	14:48:51	18.04.14	1	3.0
033	17:48:35	18.04.14	1	4.3
029	19:07:52	18.04.14	1	3.5
019	22:32:30	18.04.14	1	4.1
015	05:55:19	19.04.14	1	0.9
028	08:16:45	19.04.14	1	3.8
030	08:42:53	19.04.14	1	4.4
013	09:13:24	19.04.14	1	1.1
024	09:13:55	19.04.14	1	0.5
029	09:17:37	19.04.14	1	4.7
027	10:27:59	19.04.14	1	5.3
015	10:34:31	19.04.14	1	4.4
012	10:34:37	19.04.14	1	3.7
035	10:56:30	19.04.14	1	3.7
025	11:00:33	19.04.14	1	4.5
033	11:02:01	19.04.14	1	3.6
016	11:05:13	19.04.14	1	1.2
023	11:08:39	19.04.14	1	4.1
030	11:12:29	19.04.14	1	4.5
030	11:17:49	19.04.14	1	3.9
016	11:18:24	19.04.14	1	1.0
009	12:09:59	19.04.14	1	4.4
039	12:28:43	19.04.14	1	4.6
034	13:30:49	19.04.14	1	3.9
027	14:06:52	19.04.14	1	4.9
023	15:17:04	19.04.14	1	1.1
025	15:58:57	19.04.14	1	3.3
025	16:19:48	19.04.14	1	4.3
037	17:46:38	19.04.14	1	4.4
012	19:24:30	19.04.14	1	0.6
016	20:24:08	19.04.14	1	2.6
008	22:00:22	19.04.14	1	3.1
029	22:06:26	19.04.14	1	4.5
011	07:54:11	20.04.14	1	0.6
018	09:07:20	20.04.14	1	4.5
015	09:39:47	20.04.14	1	2.0
012	09:39:54	20.04.14	1	4.5
038	09:59:23	20.04.14	1	3.8
038	11:07:38	20.04.14	1	4.6
026	11:19:22	20.04.14	1	4.3
027	11:20:22	20.04.14	1	4.5
017	12:57:33	20.04.14	1	2.5
009	13:17:26	20.04.14	1	2.6
014	13:37:17	20.04.14	1	0.6
029	14:49:55	20.04.14	1	4.2
016	16:05:11	20.04.14	1	1.1
015	16:27:30	20.04.14	1	0.9
013	16:27:32	20.04.14	1	4.6
026	16:55:17	20.04.14	1	1.5
038	16:57:30	20.04.14	1	4.2
026	17:37:45	20.04.14	1	4.1
016	17:43:36	20.04.14	1	0.9
011	17:47:33	20.04.14	1	0.9
008	18:22:03	20.04.14	1	1.2
020	21:51:26	20.04.14	1	4.5
017	01:47:44	21.04.14	1	2.6
036	07:45:20	21.04.14	1	5.8
038	09:27:22	21.04.14	1	2.9
031	09:32:11	21.04.14	1	4.1
035	10:55:26	21.04.14	1	4.1
032	11:14:22	21.04.14	1	3.3
036	11:17:03	21.04.14	1	4.5
031	13:25:27	21.04.14	1	3.9
027	13:34:06	21.04.14	1	4.3
032	15:42:19	21.04.14	1	3.9
025	16:50:22	21.04.14	1	4.7
013	17:07:43	21.04.14	1	1.2
044	17:08:39	21.04.14	1	4.2
016	17:33:30	21.04.14	1	1.3
013	18:05:49	21.04.14	1	0.6
030	21:04:07	21.04.14	1	3.8
019	06:45:01	22.04.14	1	1.2
012	08:01:23	22.04.14	1	1.9
024	08:29:16	22.04.14	1	5.8
009	08:47:43	22.04.14	1	4.4
015	09:58:22	22.04.14	1	11.1
011	10:40:18	22.04.14	1	0.6
013	12:20:04	22.04.14	1	1.7
010	12:21:45	22.04.14	1	2.6
009	12:41:31	22.04.14	1	1.3
025	13:08:50	22.04.14	1	2.3
030	13:21:05	22.04.14	1	9.7
023	13:37:44	22.04.14	1	8.2
031	13:59:40	22.04.14	1	3.8
031	14:02:47	22.04.14	1	5.4
009	15:32:41	22.04.14	1	0.9
031	15:35:22	22.04.14	1	3.8
041	16:06:38	22.04.14	1	4.2
024	16:09:37	22.04.14	1	3.7
020	16:19:14	22.04.14	1	3.8
016	16:30:58	22.04.14	1	1.0
027	16:38:12	22.04.14	1	3.6
008	16:40:14	22.04.14	1	1.0
030	17:05:58	22.04.14	1	3.4
015	17:24:40	22.04.14	1	1.1
016	17:31:16	22.04.14	1	0.5
020	18:13:17	22.04.14	1	5.2
023	19:05:18	22.04.14	1	6.1
017	19:55:54	22.04.14	1	1.0
016	23:00:40	22.04.14	1	1.1
013	06:28:36	23.04.14	1	0.8
018	06:44:25	23.04.14	1	0.9
025	08:13:41	23.04.14	1	5.8
018	08:55:44	23.04.14	1	1.4
024	09:23:55	23.04.14	1	9.3
015	10:01:11	23.04.14	1	0.8
016	10:37:19	23.04.14	1	1.0
028	11:02:22	23.04.14	1	3.9
028	11:27:55	23.04.14	1	6.4
037	11:35:43	23.04.14	1	3.9
016	13:00:55	23.04.14	1	5.5
030	13:53:14	23.04.14	1	4.1
024	13:58:42	23.04.14	1	3.7
008	14:03:32	23.04.14	1	1.0
015	15:15:47	23.04.14	1	0.8
034	15:20:54	23.04.14	1	4.3
009	15:44:57	23.04.14	1	1.4
014	16:26:25	23.04.14	1	0.5
027	16:51:45	23.04.14	1	3.0
018	17:33:53	23.04.14	1	0.5
016	17:41:26	23.04.14	1	0.6
025	17:49:08	23.04.14	1	4.7
009	19:04:43	23.04.14	1	2.4
018	22:10:41	23.04.14	1	0.9
034	07:36:34	24.04.14	1	9.6
029	07:43:21	24.04.14	1	3.4
