

Standort: 2-Voltastrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
040	08:55:01	30.12.16	1	6.4
040	08:55:07	30.12.16	1	6.4
037	08:55:41	30.12.16	1	5.7
026	08:55:49	30.12.16	1	25.5
024	08:55:51	30.12.16	1	10.2
041	08:56:27	30.12.16	1	19.4
038	08:56:28	30.12.16	1	8.5
038	08:57:02	30.12.16	1	5.4
038	08:57:05	30.12.16	1	5.3
037	08:57:07	30.12.16	1	5.6
040	08:59:30	30.12.16	1	6.3
029	09:00:10	30.12.16	1	5.0
028	09:01:27	30.12.16	1	2.2
052	09:01:39	30.12.16	1	6.2
029	09:02:04	30.12.16	1	5.6
032	09:02:09	30.12.16	1	25.5
029	09:02:12	30.12.16	1	17.3
044	09:02:24	30.12.16	1	4.5
043	09:02:27	30.12.16	1	4.8
031	09:02:32	30.12.16	1	11.7
034	09:02:58	30.12.16	1	4.9
028	09:03:00	30.12.16	1	4.7
035	09:03:10	30.12.16	1	3.7
044	09:03:55	30.12.16	1	4.2
033	09:04:03	30.12.16	1	3.4
033	09:04:07	30.12.16	1	4.3
040	09:04:09	30.12.16	1	5.9
041	09:04:12	30.12.16	1	5.6
035	09:04:27	30.12.16	1	4.8
051	09:04:56	30.12.16	1	6.5
033	09:05:03	30.12.16	1	3.5
028	09:05:38	30.12.16	1	25.5
041	09:06:04	30.12.16	1	4.8
037	09:06:06	30.12.16	1	7.1
033	09:06:25	30.12.16	1	4.2
040	09:06:27	30.12.16	1	5.5
036	09:06:28	30.12.16	1	5.5
032	09:06:33	30.12.16	1	4.7
039	09:06:40	30.12.16	1	6.6
047	09:07:07	30.12.16	1	4.8
048	09:07:10	30.12.16	1	4.7
052	09:07:21	30.12.16	1	4.7
054	09:07:33	30.12.16	1	6.2
043	09:08:04	30.12.16	1	3.9
049	09:08:11	30.12.16	1	4.6
043	09:09:05	30.12.16	1	4.3
038	09:09:06	30.12.16	1	5.5
037	09:09:20	30.12.16	1	4.8
027	09:09:43	30.12.16	1	25.5
025	09:09:45	30.12.16	1	9.0
046	09:09:47	30.12.16	1	3.9
048	09:09:57	30.12.16	1	4.7
036	09:10:28	30.12.16	1	5.7
034	09:10:32	30.12.16	1	5.5
038	09:11:13	30.12.16	1	4.7
038	09:11:20	30.12.16	1	4.2
036	09:11:22	30.12.16	1	3.8
045	09:11:37	30.12.16	1	6.5
056	09:12:31	30.12.16	1	5.9
046	09:12:35	30.12.16	1	4.2
041	09:12:45	30.12.16	1	5.8
040	09:13:17	30.12.16	1	3.5
048	09:13:30	30.12.16	1	4.9
049	09:13:32	30.12.16	1	4.7
047	09:14:00	30.12.16	1	3.6
050	09:14:01	30.12.16	1	4.6
040	09:14:09	30.12.16	1	4.2
027	09:15:06	30.12.16	1	17.2
029	09:15:14	30.12.16	1	4.8
029	09:15:20	30.12.16	1	3.8
025	09:15:27	30.12.16	1	4.4
025	09:15:32	30.12.16	1	4.8
040	09:15:37	30.12.16	1	5.8
011	09:15:44	30.12.16	1	3.6
032	09:16:02	30.12.16	1	4.6
040	09:16:04	30.12.16	1	5.3
026	09:16:06	30.12.16	1	4.6
044	09:16:39	30.12.16	1	7.0
043	09:17:08	30.12.16	1	4.3
033	09:17:12	30.12.16	1	4.0
023	09:17:30	30.12.16	1	25.5
024	09:17:31	30.12.16	1	9.5
050	09:17:38	30.12.16	1	4.0
053	09:17:44	30.12.16	1	3.5
067	09:18:21	30.12.16	1	4.9
058	09:18:24	30.12.16	1	5.6
044	09:18:27	30.12.16	1	10.1
048	09:19:02	30.12.16	1	6.0
044	09:19:03	30.12.16	1	4.4
036	09:19:08	30.12.16	1	4.0
040	09:19:27	30.12.16	1	6.1
038	09:19:28	30.12.16	1	4.4
041	09:19:52	30.12.16	1	5.0
055	09:20:22	30.12.16	1	2.4
039	09:20:26	30.12.16	1	1.2
036	09:20:28	30.12.16	1	5.3
039	09:20:31	30.12.16	1	4.1
039	09:21:10	30.12.16	1	4.6
035	09:21:37	30.12.16	1	4.1
035	09:21:38	30.12.16	1	4.3
038	09:22:42	30.12.16	1	5.2
043	09:22:44	30.12.16	1	4.5
034	09:22:48	30.12.16	1	4.5
037	09:22:50	30.12.16	1	3.6
033	09:22:52	30.12.16	1	4.9
033	09:23:07	30.12.16	1	4.5
045	09:23:22	30.12.16	1	3.8
039	09:23:26	30.12.16	1	3.7
034	09:23:28	30.12.16	1	4.9
028	09:23:52	30.12.16	1	25.5
023	09:23:54	30.12.16	1	10.2
035	09:24:10	30.12.16	1	17.6
033	09:24:13	30.12.16	1	4.7
040	09:24:36	30.12.16	1	7.9
034	09:24:37	30.12.16	1	4.4
027	09:24:39	30.12.16	1	3.3
022	09:24:43	30.12.16	1	4.2
019	09:25:00	30.12.16	1	3.5
031	09:25:23	30.12.16	1	3.6
034	09:25:24	30.12.16	1	4.0
029	09:25:28	30.12.16	1	5.1
050	09:26:30	30.12.16	1	7.8
034	09:27:08	30.12.16	1	5.7
045	09:27:14	30.12.16	1	5.0
046	09:28:05	30.12.16	1	3.7
045	09:28:28	30.12.16	1	6.1
041	09:28:30	30.12.16	1	4.3
044	09:28:31	30.12.16	1	5.0
052	09:28:35	30.12.16	1	5.7
042	09:28:38	30.12.16	1	4.5
047	09:29:10	30.12.16	1	3.8
051	09:29:17	30.12.16	1	6.7
048	09:29:19	30.12.16	1	4.1
048	09:29:50	30.12.16	1	4.2
040	09:29:54	30.12.16	1	4.2
044	09:30:03	30.12.16	1	5.7
040	09:30:05	30.12.16	1	5.3
033	09:30:07	30.12.16	1	4.3
023	09:30:35	30.12.16	1	3.9
032	09:30:41	30.12.16	1	4.3
049	09:30:50	30.12.16	1	4.1
049	09:30:52	30.12.16	1	4.1
041	09:30:57	30.12.16	1	3.9
050	09:31:16	30.12.16	1	5.2
038	09:31:22	30.12.16	1	3.8
036	09:31:24	30.12.16	1	4.8
052	09:31:29	30.12.16	1	5.4
057	09:32:08	30.12.16	1	5.1
036	09:32:09	30.12.16	1	4.5
035	09:32:11	30.12.16	1	1.4
030	09:32:16	30.12.16	1	4.0
