

Standort: 2-Weilstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
013	15:31:24	23.08.13	1	1.1
047	08:49:38	28.08.13	1	4.6
056	08:49:45	28.08.13	1	3.8
043	08:49:55	28.08.13	1	6.0
056	08:50:09	28.08.13	1	3.5
047	08:50:31	28.08.13	1	4.6
047	08:50:43	28.08.13	1	4.8
039	08:56:44	28.08.13	1	5.2
042	08:58:00	28.08.13	1	5.5
048	08:58:09	28.08.13	1	4.1
027	08:58:21	28.08.13	1	5.4
046	08:58:38	28.08.13	1	4.0
037	08:59:33	28.08.13	1	3.5
031	08:59:39	28.08.13	1	4.2
035	08:59:42	28.08.13	1	3.0
037	08:59:58	28.08.13	1	4.1
052	09:00:32	28.08.13	1	4.6
032	09:00:49	28.08.13	1	13.1
030	09:01:30	28.08.13	1	3.6
032	09:01:33	28.08.13	1	2.8
036	09:01:58	28.08.13	1	3.6
050	09:02:50	28.08.13	1	4.6
039	09:03:17	28.08.13	1	3.8
053	09:03:25	28.08.13	1	5.3
045	09:03:42	28.08.13	1	5.4
044	09:03:44	28.08.13	1	5.8
043	09:03:46	28.08.13	1	4.4
042	09:04:10	28.08.13	1	4.9
042	09:04:14	28.08.13	1	4.2
039	09:04:29	28.08.13	1	4.9
037	09:04:32	28.08.13	1	5.2
048	09:05:01	28.08.13	1	5.4
039	09:05:13	28.08.13	1	5.5
030	09:05:17	28.08.13	1	3.7
034	09:05:24	28.08.13	1	5.8
040	09:05:29	28.08.13	1	4.0
045	09:06:30	28.08.13	1	4.2
041	09:06:37	28.08.13	1	3.5
044	09:06:50	28.08.13	1	5.3
040	09:06:56	28.08.13	1	4.1
039	09:07:33	28.08.13	1	3.7
043	09:07:45	28.08.13	1	3.3
043	09:07:57	28.08.13	1	4.7
040	09:08:01	28.08.13	1	3.8
040	09:08:03	28.08.13	1	3.3
048	09:08:06	28.08.13	1	5.4
046	09:09:03	28.08.13	1	3.6
043	09:09:05	28.08.13	1	5.6
053	09:09:08	28.08.13	1	2.7
051	09:09:11	28.08.13	1	4.6
038	09:09:24	28.08.13	1	4.4
039	09:09:26	28.08.13	1	4.9
037	09:09:30	28.08.13	1	4.0
035	09:09:51	28.08.13	1	15.3
047	09:10:30	28.08.13	1	6.1
051	09:10:44	28.08.13	1	4.5
043	09:10:46	28.08.13	1	3.9
045	09:10:55	28.08.13	1	4.5
024	09:10:57	28.08.13	1	4.2
048	09:11:02	28.08.13	1	4.3
043	09:12:17	28.08.13	1	3.9
044	09:12:31	28.08.13	1	3.3
041	09:12:35	28.08.13	1	4.7
037	09:12:49	28.08.13	1	5.7
039	09:12:51	28.08.13	1	3.7
046	09:12:57	28.08.13	1	4.6
039	09:13:05	28.08.13	1	3.8
038	09:13:09	28.08.13	1	3.8
046	09:13:19	28.08.13	1	2.6
050	09:13:41	28.08.13	1	4.1
045	09:14:06	28.08.13	1	5.5
047	09:14:08	28.08.13	1	5.2
047	09:14:11	28.08.13	1	3.6
047	09:14:17	28.08.13	1	5.3
045	09:14:18	28.08.13	1	4.2
045	09:14:26	28.08.13	1	3.8
044	09:14:29	28.08.13	1	5.9
049	09:14:31	28.08.13	1	3.8
051	09:14:35	28.08.13	1	3.1
040	09:15:13	28.08.13	1	5.1
046	09:15:22	28.08.13	1	4.4
053	09:15:43	28.08.13	1	3.9
040	09:15:53	28.08.13	1	6.0
036	09:16:30	28.08.13	1	3.5
035	09:16:43	28.08.13	1	3.7
049	09:17:31	28.08.13	1	4.8
044	09:17:33	28.08.13	1	4.3
047	09:17:37	28.08.13	1	3.5
033	09:17:58	28.08.13	1	3.7
037	09:18:00	28.08.13	1	3.8
051	09:18:03	28.08.13	1	5.0
034	09:18:18	28.08.13	1	4.1
053	09:18:24	28.08.13	1	3.3
028	09:18:33	28.08.13	1	4.8
044	09:18:46	28.08.13	1	3.9
051	09:19:06	28.08.13	1	5.0
045	09:19:08	28.08.13	1	3.1
048	09:19:27	28.08.13	1	4.6
037	09:19:36	28.08.13	1	3.5
036	09:19:38	28.08.13	1	4.3
045	09:19:49	28.08.13	1	3.9
042	09:19:54	28.08.13	1	4.8
045	09:20:00	28.08.13	1	4.2
046	09:20:02	28.08.13	1	3.6
048	09:20:05	28.08.13	1	5.9
051	09:20:09	28.08.13	1	5.5
049	09:21:18	28.08.13	1	4.4
044	09:21:20	28.08.13	1	2.7
046	09:21:33	28.08.13	1	4.0
042	09:22:11	28.08.13	1	4.0
047	09:22:13	28.08.13	1	3.6
057	09:22:56	28.08.13	1	5.1
045	09:24:19	28.08.13	1	3.7
046	09:24:49	28.08.13	1	4.3
043	09:25:12	28.08.13	1	5.0
040	09:25:18	28.08.13	1	3.9
040	09:25:34	28.08.13	1	4.0
024	09:25:43	28.08.13	1	3.9
040	09:26:08	28.08.13	1	3.8
045	09:26:48	28.08.13	1	4.0
038	09:26:53	28.08.13	1	3.6
036	09:26:58	28.08.13	1	14.7
037	09:27:01	28.08.13	1	3.5
048	09:27:20	28.08.13	1	4.1
042	09:27:45	28.08.13	1	3.1
047	09:27:52	28.08.13	1	4.0
043	09:28:05	28.08.13	1	4.8
045	09:28:07	28.08.13	1	3.7
041	09:28:10	28.08.13	1	4.5
053	09:28:42	28.08.13	1	4.2
048	09:28:48	28.08.13	1	3.4
041	09:29:30	28.08.13	1	3.4
043	09:29:32	28.08.13	1	4.1
046	09:29:34	28.08.13	1	3.3
047	09:29:58	28.08.13	1	5.0
038	09:30:21	28.08.13	1	2.1
042	09:30:26	28.08.13	1	3.6
030	09:30:33	28.08.13	1	4.2
034	09:30:54	28.08.13	1	13.1
046	09:31:04	28.08.13	1	5.3
