

Standort: 2-Wenkenstr,

[km/h]				 [m]
Dateformat: dd.mm.yy
021	08:43:12	13.02.15	2	4.1
023	08:43:17	13.02.15	2	17.8
027	08:43:20	13.02.15	2	7.4
035	09:13:10	13.02.15	2	3.6
017	09:30:09	13.02.15	2	3.6
026	09:34:02	13.02.15	2	6.0
020	09:57:42	13.02.15	2	11.9
041	10:00:04	13.02.15	2	5.2
037	10:25:37	13.02.15	2	5.6
021	10:36:06	13.02.15	2	3.7
030	10:44:28	13.02.15	2	7.0
029	10:48:16	13.02.15	2	3.7
033	10:52:54	13.02.15	2	2.9
018	10:54:06	13.02.15	2	2.0
039	10:58:03	13.02.15	2	5.0
032	11:16:01	13.02.15	2	4.2
024	11:21:10	13.02.15	2	11.1
011	11:21:33	13.02.15	2	0.5
049	11:25:34	13.02.15	2	3.8
021	11:25:50	13.02.15	2	1.3
025	11:32:39	13.02.15	2	1.8
042	11:33:29	13.02.15	2	3.1
036	11:34:25	13.02.15	2	5.1
032	11:37:14	13.02.15	2	3.6
010	11:38:34	13.02.15	2	3.8
035	11:39:07	13.02.15	2	4.8
025	11:52:06	13.02.15	2	0.6
042	11:54:43	13.02.15	2	3.0
027	12:02:09	13.02.15	2	3.4
029	12:12:31	13.02.15	2	4.9
035	12:13:52	13.02.15	2	4.1
032	12:14:11	13.02.15	2	3.9
038	12:16:42	13.02.15	2	3.7
041	12:19:07	13.02.15	2	4.1
033	12:20:22	13.02.15	2	3.8
032	12:29:07	13.02.15	2	5.7
035	12:52:03	13.02.15	2	4.7
025	12:57:22	13.02.15	2	5.2
055	12:59:25	13.02.15	2	3.7
034	13:01:44	13.02.15	2	4.1
033	13:04:25	13.02.15	2	2.8
034	13:06:19	13.02.15	2	4.2
034	13:07:11	13.02.15	2	3.9
031	13:09:15	13.02.15	2	3.7
013	13:15:34	13.02.15	2	5.1
016	13:15:37	13.02.15	2	3.8
015	13:15:45	13.02.15	2	0.5
037	13:17:53	13.02.15	2	4.5
026	13:21:40	13.02.15	2	6.8
034	13:39:49	13.02.15	2	3.8
021	13:51:17	13.02.15	2	7.7
