

Standort: 2-Wiesenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
006	15:00:37	06.12.13	2	3.5
026	15:02:33	06.12.13	2	7.4
013	15:04:15	06.12.13	2	4.4
008	15:05:11	06.12.13	2	5.7
025	15:10:23	06.12.13	2	6.9
021	15:11:19	06.12.13	2	4.3
029	15:13:20	06.12.13	2	9.4
029	15:13:20	06.12.13	2	3.6
020	15:15:35	06.12.13	2	10.4
031	15:16:32	06.12.13	2	10.0
020	15:21:07	06.12.13	2	4.2
016	15:21:31	06.12.13	2	4.0
016	15:25:53	06.12.13	2	4.7
012	15:27:07	06.12.13	2	3.9
041	15:28:03	06.12.13	2	12.0
022	15:36:17	06.12.13	2	9.1
024	15:36:17	06.12.13	2	3.6
018	15:36:46	06.12.13	2	4.4
012	15:37:12	06.12.13	2	3.6
038	15:37:31	06.12.13	2	8.2
039	15:37:32	06.12.13	2	3.7
017	15:41:37	06.12.13	2	5.2
020	15:42:33	06.12.13	2	4.2
018	15:44:02	06.12.13	2	4.1
008	15:57:08	06.12.13	2	4.5
008	15:59:23	06.12.13	2	3.5
022	15:59:24	06.12.13	2	3.6
013	16:00:14	06.12.13	2	3.9
029	16:01:29	06.12.13	2	11.3
028	16:01:29	06.12.13	2	3.8
016	16:02:32	06.12.13	2	3.8
022	16:02:49	06.12.13	2	4.1
016	16:04:51	06.12.13	2	3.9
015	16:05:21	06.12.13	2	4.2
022	16:06:49	06.12.13	2	4.3
031	16:12:07	06.12.13	2	4.4
045	16:12:52	06.12.13	2	9.0
044	16:12:52	06.12.13	2	3.9
040	16:14:50	06.12.13	2	8.0
041	16:14:51	06.12.13	2	3.8
037	16:15:54	06.12.13	2	7.8
032	16:16:11	06.12.13	2	11.3
030	16:17:40	06.12.13	2	14.0
022	16:19:12	06.12.13	2	4.4
016	16:22:07	06.12.13	2	4.4
015	16:27:10	06.12.13	2	5.4
022	16:28:11	06.12.13	2	4.5
038	16:31:39	06.12.13	2	11.5
027	16:34:18	06.12.13	2	4.2
039	16:34:43	06.12.13	2	11.7
028	16:46:07	06.12.13	2	12.3
022	16:49:52	06.12.13	2	4.7
022	16:51:04	06.12.13	2	4.3
020	16:51:33	06.12.13	2	4.4
033	16:52:02	06.12.13	2	4.5
015	16:53:09	06.12.13	2	4.2
023	16:54:27	06.12.13	2	5.0
033	16:55:46	06.12.13	2	9.7
030	16:55:46	06.12.13	2	3.8
012	16:56:41	06.12.13	2	2.7
023	16:57:35	06.12.13	2	4.1
018	16:58:09	06.12.13	2	3.8
017	17:00:50	06.12.13	2	4.6
018	17:06:02	06.12.13	2	4.3
018	17:07:31	06.12.13	2	4.1
032	17:07:57	06.12.13	2	7.9
037	17:07:58	06.12.13	2	3.9
040	17:09:45	06.12.13	2	11.9
023	17:10:37	06.12.13	2	4.7
024	17:10:48	06.12.13	2	4.1
030	17:16:21	06.12.13	2	11.3
027	17:19:46	06.12.13	2	11.1
019	17:20:35	06.12.13	2	4.1
020	17:23:44	06.12.13	2	4.3
019	17:23:51	06.12.13	2	5.8
019	17:23:52	06.12.13	2	4.8
025	17:30:35	06.12.13	2	7.9
020	17:32:30	06.12.13	2	4.1
029	17:32:53	06.12.13	2	4.1
018	17:34:51	06.12.13	2	7.3
014	17:38:25	06.12.13	2	4.0
030	17:38:58	06.12.13	2	12.8
023	17:41:51	06.12.13	2	5.0
027	17:43:25	06.12.13	2	4.1
009	17:44:12	06.12.13	2	4.8
029	17:44:41	06.12.13	2	10.1
031	17:44:42	06.12.13	2	3.9
035	17:47:39	06.12.13	2	11.0
024	17:53:20	06.12.13	2	5.0
033	17:53:56	06.12.13	2	4.9
030	17:53:57	06.12.13	2	3.9
023	17:55:02	06.12.13	2	4.9
015	17:56:04	06.12.13	2	3.8
024	17:58:09	06.12.13	2	4.2
022	17:58:47	06.12.13	2	4.6
013	18:03:04	06.12.13	2	3.4
034	18:06:36	06.12.13	2	9.4
033	18:06:37	06.12.13	2	3.7
026	18:08:45	06.12.13	2	11.7
032	18:13:21	06.12.13	2	8.8
018	18:14:42	06.12.13	2	3.8
