

Standort: 2-Wyhlenweg

[km/h]				 [m]
Dateformat: dd.mm.yy
038	15:52:13	10.04.15	2	4.0
028	15:56:52	10.04.15	2	3.5
029	15:56:55	10.04.15	2	3.5
016	16:04:52	10.04.15	2	0.5
039	16:06:37	10.04.15	2	3.6
035	16:13:02	10.04.15	2	4.3
032	16:27:13	10.04.15	2	3.1
027	16:40:14	10.04.15	2	4.1
028	16:45:18	10.04.15	2	3.5
034	16:48:12	10.04.15	2	3.5
031	16:49:33	10.04.15	2	4.9
034	16:53:53	10.04.15	2	4.6
022	17:09:29	10.04.15	2	3.8
034	17:11:56	10.04.15	2	3.8
033	17:20:01	10.04.15	2	6.9
033	17:20:07	10.04.15	2	4.4
033	17:23:26	10.04.15	2	3.4
024	17:28:39	10.04.15	2	3.6
027	17:47:06	10.04.15	2	4.3
031	17:49:49	10.04.15	2	0.5
028	17:56:59	10.04.15	2	3.1
040	18:02:16	10.04.15	2	3.7
030	18:22:43	10.04.15	2	4.3
040	18:48:15	10.04.15	2	3.7
028	18:57:26	10.04.15	2	3.0
023	19:15:07	10.04.15	2	3.4
019	19:51:09	10.04.15	2	6.6
036	19:55:05	10.04.15	2	3.6
014	19:57:29	10.04.15	2	6.4
029	20:05:41	10.04.15	2	3.8
031	20:06:19	10.04.15	2	4.6
030	20:07:14	10.04.15	2	4.1
034	20:16:12	10.04.15	2	3.8
025	20:42:57	10.04.15	2	4.4
030	20:53:25	10.04.15	2	4.6
034	21:18:26	10.04.15	2	4.4
032	21:23:35	10.04.15	2	3.5
040	23:39:24	10.04.15	2	4.3
021	01:35:12	11.04.15	2	3.8
022	01:35:18	11.04.15	2	3.3
024	01:35:25	11.04.15	2	3.8
019	01:35:31	11.04.15	2	3.8
018	01:35:53	11.04.15	2	3.9
020	03:30:32	11.04.15	2	3.9
028	06:09:16	11.04.15	2	4.5
032	06:17:26	11.04.15	2	3.9
028	06:25:33	11.04.15	2	3.9
032	07:11:58	11.04.15	2	3.3
016	07:13:34	11.04.15	2	3.4
033	07:20:35	11.04.15	2	3.7
034	07:51:48	11.04.15	2	3.7
036	07:52:16	11.04.15	2	2.3
032	08:22:01	11.04.15	2	0.6
034	08:39:47	11.04.15	2	3.3
039	08:46:05	11.04.15	2	5.2
033	08:46:28	11.04.15	2	2.8
034	08:55:18	11.04.15	2	4.4
025	09:02:46	11.04.15	2	4.9
030	09:07:37	11.04.15	2	3.9
026	09:13:32	11.04.15	2	3.3
037	09:20:32	11.04.15	2	4.0
041	09:24:02	11.04.15	2	4.5
028	09:29:14	11.04.15	2	4.5
034	09:31:25	11.04.15	2	4.0
036	09:33:22	11.04.15	2	4.0
030	09:42:29	11.04.15	2	4.8
040	10:07:56	11.04.15	2	4.9
024	10:40:53	11.04.15	2	5.2
033	10:44:48	11.04.15	2	3.8
021	10:48:47	11.04.15	2	5.1
031	10:52:57	11.04.15	2	3.7
037	11:11:34	11.04.15	2	4.2
025	11:13:42	11.04.15	2	3.5
033	11:42:56	11.04.15	2	4.4
027	12:07:19	11.04.15	2	4.8
039	12:10:49	11.04.15	2	4.0
042	12:11:03	11.04.15	2	4.2
029	12:19:32	11.04.15	2	5.3
037	12:27:08	11.04.15	2	4.0
030	12:46:48	11.04.15	2	4.3
039	13:17:41	11.04.15	2	3.2
031	13:25:03	11.04.15	2	5.9
022	13:34:39	11.04.15	2	3.7
036	13:35:33	11.04.15	2	3.6
027	13:38:47	11.04.15	2	4.1
028	13:40:55	11.04.15	2	4.6
027	13:44:41	11.04.15	2	4.6
029	14:08:04	11.04.15	2	3.0
026	14:10:58	11.04.15	2	3.8
033	14:43:02	11.04.15	2	4.3
031	15:06:21	11.04.15	2	4.0
040	15:13:33	11.04.15	2	3.1
033	15:14:06	11.04.15	2	2.5
034	15:25:09	11.04.15	2	2.8
037	15:46:22	11.04.15	2	4.8
032	15:48:04	11.04.15	2	4.1
027	16:05:15	11.04.15	2	4.3
032	16:10:37	11.04.15	2	3.9
033	16:31:43	11.04.15	2	4.1
037	16:33:32	11.04.15	2	1.0
035	16:50:57	11.04.15	2	3.9
036	17:08:18	11.04.15	2	0.7
034	17:31:14	11.04.15	2	2.9
035	17:48:47	11.04.15	2	2.9
032	18:03:42	11.04.15	2	3.7
037	18:15:10	11.04.15	2	4.1
026	18:16:40	11.04.15	2	4.1
008	18:29:47	11.04.15	2	4.1
031	19:20:09	11.04.15	2	3.9
032	19:21:08	11.04.15	2	3.9
034	19:21:39	11.04.15	2	4.3
032	19:29:26	11.04.15	2	3.5
007	22:06:17	11.04.15	2	1.2
036	23:02:04	11.04.15	2	3.3
036	04:54:17	12.04.15	2	5.3
027	06:07:22	12.04.15	2	4.1
031	06:08:48	12.04.15	2	4.1
034	06:25:31	12.04.15	2	4.1
018	07:05:47	12.04.15	2	4.4
038	08:05:50	12.04.15	2	4.1
032	08:40:15	12.04.15	2	3.3
039	08:45:45	12.04.15	2	4.0
026	08:51:55	12.04.15	2	4.4
034	08:57:14	12.04.15	2	3.4
039	08:58:01	12.04.15	2	3.6
009	09:36:14	12.04.15	2	1.5
029	09:58:23	12.04.15	2	4.3
030	10:03:01	12.04.15	2	4.9
033	10:11:42	12.04.15	2	3.6
033	10:15:25	12.04.15	2	2.9
033	10:29:24	12.04.15	2	4.2
034	10:44:29	12.04.15	2	3.6
035	10:51:06	12.04.15	2	5.7
038	11:08:56	12.04.15	2	3.8
034	11:25:58	12.04.15	2	3.6
027	11:26:22	12.04.15	2	4.0
008	11:30:50	12.04.15	2	0.8
008	11:59:43	12.04.15	2	1.3
032	12:10:05	12.04.15	2	4.6
032	12:20:18	12.04.15	2	3.6
029	12:26:59	12.04.15	2	3.4
008	12:42:15	12.04.15	2	1.3
033	13:38:25	12.04.15	2	5.1
027	13:52:34	12.04.15	2	4.8
039	13:57:48	12.04.15	2	0.6
039	14:06:35	12.04.15	2	4.0
036	14:08:55	12.04.15	2	0.8
034	14:14:33	12.04.15	2	4.3
031	14:22:51	12.04.15	2	4.1
041	14:22:54	12.04.15	2	1.6
