

Standort: 3-Fatiostrasse d

[km/h]				 [m]
Dateformat: dd.mm.yy
013	14:37:14	02.10.17	1	2.7
007	14:41:26	02.10.17	1	1.9
009	14:51:42	02.10.17	1	2.0
023	14:59:22	02.10.17	1	3.9
008	15:08:26	02.10.17	1	1.8
019	15:20:14	02.10.17	1	3.6
006	15:24:41	02.10.17	1	2.3
007	15:24:43	02.10.17	1	2.0
008	15:41:01	02.10.17	1	3.7
027	15:42:22	02.10.17	1	5.2
019	15:51:35	02.10.17	1	3.1
009	15:54:53	02.10.17	1	3.5
005	15:56:32	02.10.17	1	1.6
007	16:03:52	02.10.17	1	1.8
023	16:08:14	02.10.17	1	6.7
005	16:20:22	02.10.17	1	1.7
022	16:22:21	02.10.17	1	8.2
006	16:25:17	02.10.17	1	2.1
024	16:59:27	02.10.17	1	4.5
018	17:00:42	02.10.17	1	4.5
018	17:21:39	02.10.17	1	4.4
007	17:24:28	02.10.17	1	2.6
008	17:24:28	02.10.17	1	1.9
009	17:27:58	02.10.17	1	2.5
007	17:28:58	02.10.17	1	1.7
007	17:31:21	02.10.17	1	2.0
027	17:38:15	02.10.17	1	5.3
011	17:46:54	02.10.17	1	2.9
011	17:58:59	02.10.17	1	3.5
023	18:01:00	02.10.17	1	4.2
026	18:03:52	02.10.17	1	3.8
007	18:07:58	02.10.17	1	1.6
023	18:11:23	02.10.17	1	4.2
027	18:20:43	02.10.17	1	5.4
019	18:27:27	02.10.17	1	4.1
018	18:37:36	02.10.17	1	5.5
018	18:39:11	02.10.17	1	4.4
023	18:39:31	02.10.17	1	1.8
022	18:39:33	02.10.17	1	9.4
013	18:39:42	02.10.17	1	1.9
023	18:40:24	02.10.17	1	1.9
022	18:41:52	02.10.17	1	4.3
006	18:44:26	02.10.17	1	1.9
008	18:47:13	02.10.17	1	4.6
020	18:47:26	02.10.17	1	3.9
022	18:48:24	02.10.17	1	4.2
020	18:48:47	02.10.17	1	4.3
023	18:56:42	02.10.17	1	4.2
015	19:04:40	02.10.17	1	5.6
005	19:05:34	02.10.17	1	1.6
022	19:06:58	02.10.17	1	4.5
009	19:08:52	02.10.17	1	4.5
019	19:09:08	02.10.17	1	4.6
010	19:15:50	02.10.17	1	5.4
007	19:17:47	02.10.17	1	2.1
024	19:24:55	02.10.17	1	3.2
020	19:34:59	02.10.17	1	3.6
006	19:37:49	02.10.17	1	2.1
020	19:38:35	02.10.17	1	7.1
