

Standort: Florastrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
018	11:21:25	24.06.16	2	4.2
018	11:21:36	24.06.16	2	4.3
023	11:29:42	24.06.16	2	4.8
023	11:29:52	24.06.16	2	5.9
017	11:35:19	24.06.16	2	3.4
012	11:36:44	24.06.16	2	0.6
022	11:39:38	24.06.16	2	5.2
014	11:39:50	24.06.16	2	4.1
021	11:46:35	24.06.16	2	3.3
020	11:46:36	24.06.16	2	0.5
020	11:49:11	24.06.16	2	5.3
026	11:56:21	24.06.16	2	0.6
013	12:00:11	24.06.16	2	0.6
013	12:00:34	24.06.16	2	0.7
020	12:01:49	24.06.16	2	0.7
019	12:01:50	24.06.16	2	1.2
008	12:03:46	24.06.16	2	1.2
019	12:10:07	24.06.16	2	6.4
013	12:17:13	24.06.16	2	0.5
011	12:17:16	24.06.16	2	2.1
029	12:17:39	24.06.16	2	4.1
025	12:18:47	24.06.16	2	4.5
023	12:19:33	24.06.16	2	5.7
020	12:19:36	24.06.16	2	4.9
024	12:20:07	24.06.16	2	5.6
021	12:20:14	24.06.16	2	5.4
030	12:23:21	24.06.16	2	6.0
020	12:24:11	24.06.16	2	5.5
014	12:25:17	24.06.16	2	4.6
015	12:25:21	24.06.16	2	6.4
021	12:26:46	24.06.16	2	4.3
026	12:27:07	24.06.16	2	5.4
016	12:32:03	24.06.16	2	4.7
011	12:33:14	24.06.16	2	0.5
022	12:33:34	24.06.16	2	4.8
024	12:34:09	24.06.16	2	5.7
021	12:35:31	24.06.16	2	6.1
024	12:38:43	24.06.16	2	4.4
011	12:39:32	24.06.16	2	0.6
030	12:41:35	24.06.16	2	5.4
016	12:41:51	24.06.16	2	0.5
031	12:42:39	24.06.16	2	5.7
031	12:43:31	24.06.16	2	0.8
030	12:43:33	24.06.16	2	0.8
029	12:43:35	24.06.16	2	1.5
010	12:45:09	24.06.16	2	0.5
021	12:48:08	24.06.16	2	4.8
029	12:49:17	24.06.16	2	4.4
016	12:50:12	24.06.16	2	5.7
019	12:50:20	24.06.16	2	5.6
013	13:00:42	24.06.16	2	1.1
013	13:05:41	24.06.16	2	0.8
014	13:05:55	24.06.16	2	6.8
016	13:06:00	24.06.16	2	0.5
025	13:07:11	24.06.16	2	7.9
015	13:10:05	24.06.16	2	3.8
026	13:13:28	24.06.16	2	5.7
012	13:14:12	24.06.16	2	0.7
010	13:14:19	24.06.16	2	0.8
020	13:15:43	24.06.16	2	5.3
013	13:18:17	24.06.16	2	0.5
030	13:22:53	24.06.16	2	4.3
022	13:22:58	24.06.16	2	6.1
023	13:23:32	24.06.16	2	6.1
023	13:23:36	24.06.16	2	2.1
019	13:24:13	24.06.16	2	5.1
010	13:25:39	24.06.16	2	14.8
019	13:26:17	24.06.16	2	4.2
016	13:27:53	24.06.16	2	5.4
013	13:28:29	24.06.16	2	1.6
011	13:33:06	24.06.16	2	0.5
019	13:38:27	24.06.16	2	4.7
026	13:38:34	24.06.16	2	5.2
023	13:39:32	24.06.16	2	5.6
