

Standort: Inzlingerstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
026	15:11:26	29.04.16	2	4.5
016	15:12:57	29.04.16	2	0.9
027	15:13:51	29.04.16	2	1.4
034	15:14:08	29.04.16	2	3.6
031	15:14:15	29.04.16	2	4.1
031	15:14:17	29.04.16	2	5.0
031	15:14:23	29.04.16	2	4.1
034	15:14:25	29.04.16	2	3.8
030	15:14:48	29.04.16	2	4.1
023	15:16:16	29.04.16	2	9.2
021	15:16:18	29.04.16	2	4.0
025	15:16:22	29.04.16	2	4.2
027	15:17:51	29.04.16	2	3.1
022	15:20:17	29.04.16	2	5.6
032	15:20:46	29.04.16	2	3.5
038	15:20:59	29.04.16	2	3.7
037	15:21:02	29.04.16	2	4.7
043	15:21:03	29.04.16	2	5.3
039	15:21:05	29.04.16	2	4.0
037	15:21:09	29.04.16	2	3.9
029	15:22:21	29.04.16	2	4.2
037	15:22:37	29.04.16	2	4.5
040	15:22:59	29.04.16	2	3.8
041	15:23:00	29.04.16	2	2.1
036	15:23:18	29.04.16	2	3.7
032	15:23:35	29.04.16	2	5.2
035	15:24:04	29.04.16	2	3.6
036	15:24:05	29.04.16	2	3.8
042	15:24:08	29.04.16	2	6.9
041	15:24:17	29.04.16	2	4.4
036	15:26:01	29.04.16	2	4.6
045	15:26:36	29.04.16	2	5.3
036	15:27:11	29.04.16	2	3.8
038	15:27:17	29.04.16	2	4.4
035	15:27:41	29.04.16	2	3.4
036	15:27:49	29.04.16	2	1.3
036	15:27:50	29.04.16	2	4.3
035	15:27:51	29.04.16	2	3.8
033	15:27:53	29.04.16	2	1.7
044	15:28:08	29.04.16	2	4.5
040	15:28:31	29.04.16	2	4.2
037	15:28:54	29.04.16	2	4.4
017	15:28:59	29.04.16	2	0.7
022	15:29:06	29.04.16	2	1.0
035	15:29:17	29.04.16	2	4.8
036	15:29:19	29.04.16	2	3.7
040	15:29:25	29.04.16	2	4.6
040	15:30:12	29.04.16	2	4.2
037	15:31:34	29.04.16	2	4.3
037	15:31:35	29.04.16	2	5.8
015	15:31:43	29.04.16	2	0.6
043	15:33:06	29.04.16	2	3.9
037	15:33:38	29.04.16	2	3.8
038	15:34:52	29.04.16	2	3.8
040	15:34:58	29.04.16	2	5.2
044	15:35:00	29.04.16	2	4.2
038	15:35:26	29.04.16	2	4.0
037	15:35:43	29.04.16	2	4.5
047	15:35:56	29.04.16	2	4.2
044	15:36:19	29.04.16	2	4.8
039	15:36:23	29.04.16	2	4.3
044	15:38:17	29.04.16	2	4.5
048	15:38:49	29.04.16	2	4.6
039	15:39:14	29.04.16	2	4.8
039	15:39:19	29.04.16	2	3.5
036	15:39:27	29.04.16	2	4.3
038	15:39:39	29.04.16	2	4.9
028	15:40:00	29.04.16	2	1.5
040	15:40:15	29.04.16	2	3.8
041	15:41:53	29.04.16	2	3.5
039	15:42:22	29.04.16	2	4.2
042	15:42:34	29.04.16	2	5.3
045	15:42:36	29.04.16	2	3.7
043	15:43:04	29.04.16	2	1.3
041	15:43:33	29.04.16	2	4.3
036	15:45:54	29.04.16	2	4.5
035	15:46:02	29.04.16	2	4.1
038	15:46:04	29.04.16	2	4.0
037	15:46:11	29.04.16	2	3.9
033	15:47:46	29.04.16	2	8.3
044	15:48:17	29.04.16	2	4.4
036	15:49:22	29.04.16	2	4.9
036	15:51:18	29.04.16	2	4.3
036	15:51:21	29.04.16	2	4.7
044	15:51:33	29.04.16	2	4.5
048	15:51:44	29.04.16	2	4.6
022	15:51:55	29.04.16	2	1.2
040	15:52:02	29.04.16	2	4.4
042	15:52:04	29.04.16	2	3.7
042	15:52:07	29.04.16	2	4.2
040	15:52:18	29.04.16	2	4.0
036	15:52:28	29.04.16	2	3.5
034	15:52:31	29.04.16	2	4.2
038	15:52:43	29.04.16	2	4.2
036	15:52:58	29.04.16	2	5.9
013	15:53:50	29.04.16	2	1.5
024	15:53:57	29.04.16	2	4.5
037	15:54:26	29.04.16	2	5.0
015	15:54:43	29.04.16	2	0.9
037	15:54:53	29.04.16	2	5.0
038	15:54:58	29.04.16	2	3.4
043	15:55:49	29.04.16	2	4.0
036	15:56:14	29.04.16	2	4.2
037	15:56:15	29.04.16	2	4.3
039	15:56:17	29.04.16	2	3.3
042	15:56:57	29.04.16	2	3.7
041	15:57:04	29.04.16	2	3.6
017	15:58:04	29.04.16	2	0.6
048	15:58:10	29.04.16	2	4.5
032	15:59:01	29.04.16	2	3.7
036	15:59:03	29.04.16	2	4.1
017	15:59:21	29.04.16	2	1.0
037	15:59:26	29.04.16	2	3.7
040	15:59:48	29.04.16	2	4.6
037	15:59:52	29.04.16	2	3.7
041	16:00:16	29.04.16	2	3.2
045	16:00:36	29.04.16	2	5.6
042	16:00:47	29.04.16	2	3.8
039	16:01:15	29.04.16	2	3.9
040	16:01:16	29.04.16	2	1.1
022	16:01:24	29.04.16	2	0.9
042	16:02:03	29.04.16	2	3.5
025	16:02:23	29.04.16	2	1.1
025	16:03:58	29.04.16	2	1.3
046	16:04:07	29.04.16	2	4.6
040	16:04:35	29.04.16	2	5.5
042	16:04:37	29.04.16	2	3.6
039	16:04:39	29.04.16	2	3.8
042	16:04:40	29.04.16	2	4.0
042	16:04:43	29.04.16	2	4.3
034	16:04:51	29.04.16	2	4.2
013	16:06:24	29.04.16	2	1.4
017	16:07:00	29.04.16	2	12.5
014	16:07:03	29.04.16	2	4.0
017	16:07:06	29.04.16	2	4.0
017	16:07:09	29.04.16	2	4.5
018	16:07:11	29.04.16	2	4.0
020	16:07:14	29.04.16	2	4.9
021	16:07:17	29.04.16	2	4.8
039	16:08:06	29.04.16	2	4.9
038	16:08:08	29.04.16	2	4.2
031	16:09:08	29.04.16	2	4.6
043	16:09:19	29.04.16	2	3.8
044	16:09:20	29.04.16	2	1.6
039	16:10:32	29.04.16	2	4.4
037	16:10:53	29.04.16	2	5.2
030	16:10:57	29.04.16	2	5.1
038	16:11:20	29.04.16	2	4.2
037	16:11:41	29.04.16	2	6.2
035	16:11:43	29.04.16	2	4.0
040	16:12:03	29.04.16	2	3.5
037	16:12:05	29.04.16	2	3.6
046	16:12:07	29.04.16	2	4.6
038	16:13:03	29.04.16	2	4.5
037	16:13:32	29.04.16	2	3.2
023	16:13:43	29.04.16	2	1.0
023	16:13:45	29.04.16	2	4.9
027	16:14:38	29.04.16	2	1.2
024	16:15:22	29.04.16	2	4.2
043	16:15:36	29.04.16	2	4.4
038	16:15:38	29.04.16	2	3.2
038	16:15:52	29.04.16	2	4.4
038	16:15:55	29.04.16	2	4.8
024	16:16:01	29.04.16	2	1.0
044	16:16:12	29.04.16	2	4.1
046	16:16:45	29.04.16	2	4.7
033	16:17:44	29.04.16	2	3.3
035	16:17:45	29.04.16	2	4.4
033	16:17:48	29.04.16	2	4.0
028	16:17:54	29.04.16	2	4.6
025	16:18:00	29.04.16	2	9.0
027	16:19:30	29.04.16	2	5.0
045	16:20:50	29.04.16	2	2.3
031	16:21:31	29.04.16	2	3.6
035	16:21:34	29.04.16	2	4.7
044	16:21:43	29.04.16	2	4.2
041	16:21:45	29.04.16	2	4.0
038	16:21:48	29.04.16	2	3.6
041	16:21:51	29.04.16	2	4.5
042	16:22:02	29.04.16	2	3.6
025	16:22:08	29.04.16	2	3.7
025	16:22:09	29.04.16	2	4.2
027	16:22:12	29.04.16	2	6.5
042	16:22:14	29.04.16	2	6.3
038	16:22:20	29.04.16	2	4.0
042	16:22:23	29.04.16	2	5.5
041	16:22:27	29.04.16	2	3.9
037	16:22:29	29.04.16	2	5.1
043	16:22:38	29.04.16	2	4.4
035	16:23:38	29.04.16	2	3.9
011	16:24:47	29.04.16	2	0.7
024	16:24:53	29.04.16	2	3.8
031	16:24:57	29.04.16	2	4.6
043	16:25:36	29.04.16	2	3.9
034	16:26:04	29.04.16	2	4.8
044	16:26:27	29.04.16	2	5.7
034	16:27:10	29.04.16	2	3.5
039	16:27:12	29.04.16	2	1.8
011	16:27:28	29.04.16	2	0.5
037	16:27:34	29.04.16	2	5.3
036	16:27:36	29.04.16	2	3.8
014	16:28:08	29.04.16	2	0.9
037	16:28:25	29.04.16	2	3.6
034	16:30:13	29.04.16	2	3.5
034	16:30:22	29.04.16	2	4.0
029	16:30:23	29.04.16	2	3.8
032	16:30:43	29.04.16	2	4.4
034	16:30:44	29.04.16	2	3.7
035	16:30:46	29.04.16	2	4.7
036	16:30:50	29.04.16	2	2.8
044	16:31:01	29.04.16	2	4.4
032	16:31:26	29.04.16	2	3.0
034	16:31:28	29.04.16	2	4.5
037	16:31:50	29.04.16	2	4.7
037	16:31:51	29.04.16	2	4.4
036	16:31:54	29.04.16	2	4.1
037	16:32:20	29.04.16	2	5.3
037	16:33:54	29.04.16	2	4.6
040	16:33:55	29.04.16	2	4.4
039	16:33:58	29.04.16	2	4.1
034	16:33:59	29.04.16	2	4.0
032	16:34:15	29.04.16	2	4.7
032	16:34:17	29.04.16	2	4.0
021	16:34:25	29.04.16	2	1.5
041	16:34:36	29.04.16	2	4.1
039	16:35:02	29.04.16	2	4.8
034	16:35:04	29.04.16	2	3.9
038	16:35:08	29.04.16	2	4.3
041	16:35:21	29.04.16	2	4.6
041	16:35:23	29.04.16	2	4.9
045	16:35:28	29.04.16	2	5.1
023	16:35:40	29.04.16	2	1.5
035	16:35:42	29.04.16	2	4.2
042	16:35:58	29.04.16	2	4.5
040	16:36:25	29.04.16	2	3.5
039	16:36:43	29.04.16	2	4.2
019	16:37:07	29.04.16	2	1.2
035	16:37:20	29.04.16	2	4.1
033	16:37:24	29.04.16	2	4.2
034	16:37:26	29.04.16	2	4.2
033	16:37:27	29.04.16	2	3.6
035	16:37:29	29.04.16	2	3.7
033	16:37:32	29.04.16	2	3.3
030	16:37:33	29.04.16	2	4.7
040	16:37:44	29.04.16	2	4.5
038	16:37:53	29.04.16	2	4.1
036	16:39:09	29.04.16	2	4.3
039	16:39:34	29.04.16	2	3.5
037	16:39:36	29.04.16	2	4.5
038	16:39:45	29.04.16	2	3.8
046	16:39:55	29.04.16	2	1.3
041	16:40:59	29.04.16	2	5.2
044	16:41:30	29.04.16	2	4.8
039	16:41:44	29.04.16	2	4.2
044	16:41:46	29.04.16	2	2.4
037	16:42:01	29.04.16	2	2.1
035	16:42:08	29.04.16	2	4.5
041	16:42:16	29.04.16	2	4.1
041	16:42:17	29.04.16	2	4.5
038	16:42:49	29.04.16	2	4.9
039	16:43:59	29.04.16	2	4.9
038	16:44:01	29.04.16	2	4.0
042	16:44:39	29.04.16	2	3.7
035	16:44:56	29.04.16	2	3.2
032	16:45:02	29.04.16	2	4.5
042	16:45:07	29.04.16	2	3.8
046	16:45:13	29.04.16	2	5.3
036	16:45:32	29.04.16	2	6.7
020	16:45:44	29.04.16	2	3.8
038	16:45:47	29.04.16	2	1.8
043	16:46:16	29.04.16	2	6.4
037	16:46:49	29.04.16	2	9.9
034	16:46:53	29.04.16	2	4.7
033	16:46:56	29.04.16	2	3.1
035	16:48:00	29.04.16	2	9.1
032	16:48:02	29.04.16	2	5.0
036	16:48:03	29.04.16	2	4.1
034	16:48:05	29.04.16	2	5.0
036	16:48:07	29.04.16	2	5.5
034	16:48:20	29.04.16	2	5.3
034	16:48:21	29.04.16	2	4.7
036	16:48:24	29.04.16	2	4.3
030	16:48:30	29.04.16	2	4.5
018	16:50:43	29.04.16	2	1.1
039	16:51:21	29.04.16	2	4.3
042	16:51:23	29.04.16	2	4.0
040	16:51:26	29.04.16	2	5.1
040	16:51:29	29.04.16	2	3.6
041	16:51:36	29.04.16	2	3.4
045	16:51:47	29.04.16	2	4.6
047	16:51:49	29.04.16	2	4.0
039	16:52:05	29.04.16	2	4.4
037	16:52:11	29.04.16	2	3.6
041	16:52:13	29.04.16	2	3.9
039	16:52:36	29.04.16	2	4.4
043	16:52:50	29.04.16	2	7.7
043	16:53:20	29.04.16	2	4.4
042	16:53:43	29.04.16	2	4.4
020	16:54:08	29.04.16	2	2.8
028	16:54:12	29.04.16	2	6.6
026	16:54:15	29.04.16	2	4.8
036	16:54:37	29.04.16	2	4.4
036	16:54:40	29.04.16	2	3.8
034	16:55:51	29.04.16	2	5.3
035	16:56:52	29.04.16	2	4.0
035	16:56:55	29.04.16	2	4.4
031	16:56:58	29.04.16	2	4.3
031	16:57:01	29.04.16	2	3.7
034	16:57:13	29.04.16	2	3.7
042	16:57:20	29.04.16	2	4.5
040	16:57:53	29.04.16	2	3.4
020	16:59:08	29.04.16	2	4.0
023	16:59:10	29.04.16	2	4.3
028	16:59:12	29.04.16	2	4.4
033	16:59:35	29.04.16	2	4.5
030	16:59:38	29.04.16	2	4.1
017	16:59:46	29.04.16	2	3.6
040	17:00:12	29.04.16	2	5.3
032	17:00:39	29.04.16	2	3.5
033	17:00:40	29.04.16	2	4.3
046	17:00:52	29.04.16	2	5.1
047	17:01:08	29.04.16	2	3.5
042	17:01:46	29.04.16	2	5.5
038	17:01:52	29.04.16	2	4.0
038	17:01:55	29.04.16	2	3.9
041	17:01:57	29.04.16	2	4.6
041	17:02:07	29.04.16	2	4.4
040	17:02:32	29.04.16	2	6.7
047	17:02:42	29.04.16	2	4.4
037	17:03:26	29.04.16	2	4.9
041	17:03:28	29.04.16	2	1.8
041	17:03:36	29.04.16	2	4.0
038	17:03:58	29.04.16	2	4.8
039	17:04:20	29.04.16	2	4.5
034	17:04:51	29.04.16	2	4.5
031	17:04:55	29.04.16	2	4.9
026	17:04:56	29.04.16	2	5.1
031	17:04:58	29.04.16	2	4.0
030	17:05:00	29.04.16	2	3.6
028	17:05:03	29.04.16	2	3.5
028	17:05:05	29.04.16	2	3.9
029	17:05:06	29.04.16	2	4.5
037	17:05:12	29.04.16	2	5.0
032	17:05:33	29.04.16	2	4.5
032	17:05:35	29.04.16	2	4.4
017	17:05:36	29.04.16	2	0.8
034	17:06:20	29.04.16	2	4.5
030	17:06:21	29.04.16	2	3.8
031	17:06:22	29.04.16	2	3.7
048	17:06:50	29.04.16	2	5.1
036	17:07:17	29.04.16	2	4.2
037	17:07:45	29.04.16	2	4.0
036	17:07:54	29.04.16	2	4.4
033	17:07:56	29.04.16	2	4.0
033	17:07:57	29.04.16	2	3.6
038	17:08:01	29.04.16	2	3.7
031	17:08:02	29.04.16	2	3.5
035	17:08:05	29.04.16	2	3.5
035	17:08:25	29.04.16	2	2.9
040	17:08:27	29.04.16	2	3.7
041	17:08:29	29.04.16	2	4.6
039	17:08:48	29.04.16	2	4.2
039	17:09:38	29.04.16	2	4.2
036	17:09:59	29.04.16	2	6.3
033	17:10:01	29.04.16	2	7.2
010	17:10:04	29.04.16	2	2.8
032	17:10:26	29.04.16	2	4.0
035	17:10:28	29.04.16	2	3.5
015	17:10:46	29.04.16	2	3.6
025	17:10:51	29.04.16	2	4.7
040	17:11:06	29.04.16	2	3.7
037	17:11:36	29.04.16	2	3.8
038	17:11:47	29.04.16	2	3.8
026	17:13:27	29.04.16	2	13.4
027	17:13:30	29.04.16	2	3.5
025	17:13:32	29.04.16	2	4.2
029	17:13:34	29.04.16	2	4.3
028	17:13:36	29.04.16	2	4.4
029	17:13:55	29.04.16	2	3.4
029	17:13:57	29.04.16	2	4.7
032	17:13:59	29.04.16	2	4.0
020	17:14:10	29.04.16	2	1.1
028	17:14:13	29.04.16	2	4.1
025	17:14:14	29.04.16	2	3.6
017	17:14:43	29.04.16	2	2.5
041	17:15:15	29.04.16	2	4.6
038	17:15:21	29.04.16	2	4.4
035	17:15:31	29.04.16	2	3.6
038	17:15:33	29.04.16	2	4.9
043	17:15:43	29.04.16	2	4.2
032	17:17:15	29.04.16	2	8.6
030	17:17:17	29.04.16	2	4.2
030	17:17:18	29.04.16	2	4.5
033	17:17:31	29.04.16	2	4.4
041	17:17:34	29.04.16	2	4.3
039	17:17:53	29.04.16	2	5.6
040	17:18:23	29.04.16	2	4.7
037	17:19:22	29.04.16	2	2.5
042	17:19:36	29.04.16	2	4.6
043	17:19:53	29.04.16	2	2.2
038	17:21:05	29.04.16	2	4.4
038	17:21:12	29.04.16	2	4.2
035	17:21:14	29.04.16	2	4.8
034	17:21:16	29.04.16	2	0.8
039	17:21:29	29.04.16	2	4.3
039	17:21:31	29.04.16	2	3.7
037	17:21:35	29.04.16	2	5.0
028	17:21:43	29.04.16	2	5.9
038	17:22:01	29.04.16	2	4.5
041	17:22:41	29.04.16	2	5.1
035	17:23:09	29.04.16	2	4.2
036	17:23:10	29.04.16	2	4.2
043	17:23:19	29.04.16	2	3.5
040	17:23:37	29.04.16	2	4.1
038	17:24:21	29.04.16	2	3.6
039	17:24:23	29.04.16	2	1.5
032	17:24:55	29.04.16	2	4.1
039	17:25:40	29.04.16	2	3.1
035	17:26:44	29.04.16	2	4.0
036	17:26:51	29.04.16	2	4.1
039	17:26:58	29.04.16	2	4.4
033	17:27:00	29.04.16	2	4.7
034	17:27:02	29.04.16	2	4.8
033	17:27:03	29.04.16	2	2.1
018	17:27:14	29.04.16	2	0.5
019	17:27:19	29.04.16	2	1.1
036	17:27:22	29.04.16	2	5.3
038	17:27:51	29.04.16	2	4.5
033	17:27:53	29.04.16	2	4.3
042	17:28:50	29.04.16	2	4.9
039	17:29:04	29.04.16	2	4.4
044	17:29:29	29.04.16	2	4.0
041	17:29:35	29.04.16	2	4.2
039	17:30:17	29.04.16	2	5.3
032	17:30:20	29.04.16	2	3.3
039	17:30:52	29.04.16	2	3.6
037	17:31:13	29.04.16	2	4.2
039	17:31:53	29.04.16	2	4.2
038	17:32:16	29.04.16	2	4.3
041	17:32:22	29.04.16	2	4.8
041	17:32:32	29.04.16	2	3.9
020	17:33:42	29.04.16	2	0.8
027	17:33:44	29.04.16	2	3.6
042	17:34:03	29.04.16	2	4.7
036	17:34:34	29.04.16	2	4.9
034	17:34:45	29.04.16	2	3.9
027	17:34:57	29.04.16	2	4.3
030	17:34:58	29.04.16	2	1.7
030	17:35:00	29.04.16	2	4.9
034	17:35:02	29.04.16	2	3.7
034	17:35:07	29.04.16	2	4.6
030	17:35:24	29.04.16	2	3.5
031	17:35:25	29.04.16	2	3.2
038	17:35:28	29.04.16	2	4.8
035	17:35:30	29.04.16	2	4.7
037	17:35:31	29.04.16	2	4.9
038	17:35:37	29.04.16	2	5.1
035	17:35:54	29.04.16	2	5.0
034	17:36:16	29.04.16	2	3.8
033	17:36:18	29.04.16	2	3.6
035	17:36:21	29.04.16	2	4.2
034	17:36:25	29.04.16	2	4.6
033	17:36:28	29.04.16	2	3.8
035	17:36:42	29.04.16	2	4.8
035	17:36:44	29.04.16	2	4.5
037	17:37:03	29.04.16	2	4.2
038	17:37:04	29.04.16	2	4.3
035	17:37:29	29.04.16	2	3.8
039	17:37:37	29.04.16	2	4.1
033	17:38:04	29.04.16	2	4.1
033	17:38:06	29.04.16	2	4.6
039	17:38:22	29.04.16	2	4.5
035	17:38:25	29.04.16	2	4.0
034	17:38:27	29.04.16	2	4.0
031	17:38:58	29.04.16	2	4.0
033	17:39:00	29.04.16	2	4.1
034	17:39:31	29.04.16	2	4.6
040	17:39:34	29.04.16	2	3.7
025	17:39:53	29.04.16	2	1.3
011	17:40:14	29.04.16	2	0.9
016	17:40:37	29.04.16	2	0.9
037	17:40:48	29.04.16	2	5.0
042	17:41:13	29.04.16	2	3.9
037	17:41:28	29.04.16	2	3.5
043	17:41:32	29.04.16	2	3.4
038	17:42:21	29.04.16	2	4.5
037	17:42:42	29.04.16	2	3.4
041	17:43:01	29.04.16	2	4.1
040	17:43:02	29.04.16	2	1.8
045	17:43:05	29.04.16	2	6.7
019	17:43:09	29.04.16	2	0.8
041	17:43:12	29.04.16	2	5.0
040	17:43:32	29.04.16	2	3.5
032	17:44:20	29.04.16	2	4.8
039	17:44:24	29.04.16	2	3.9
037	17:44:27	29.04.16	2	4.0
040	17:44:52	29.04.16	2	4.5
032	17:45:18	29.04.16	2	4.8
029	17:45:19	29.04.16	2	3.4
029	17:45:40	29.04.16	2	4.2
031	17:45:43	29.04.16	2	4.9
031	17:45:44	29.04.16	2	4.2
042	17:45:51	29.04.16	2	1.7
018	17:46:24	29.04.16	2	1.2
034	17:46:54	29.04.16	2	8.1
034	17:46:55	29.04.16	2	4.1
033	17:46:56	29.04.16	2	1.8
034	17:46:58	29.04.16	2	2.0
035	17:47:02	29.04.16	2	4.5
034	17:47:09	29.04.16	2	4.1
035	17:47:33	29.04.16	2	3.7
039	17:47:34	29.04.16	2	4.7
037	17:47:40	29.04.16	2	4.6
040	17:47:43	29.04.16	2	4.9
043	17:47:49	29.04.16	2	4.4
037	17:48:34	29.04.16	2	4.0
038	17:48:36	29.04.16	2	3.8
050	17:49:11	29.04.16	2	3.6
025	17:49:55	29.04.16	2	0.9
035	17:50:45	29.04.16	2	3.2
040	17:50:50	29.04.16	2	4.3
