

Standort: 3-Ruetimeyerstra

[km/h]				 [m]
Dateformat: dd.mm.yy
052	09:04:27	26.05.17	1	4.0
052	09:04:27	26.05.17	1	4.0
051	09:05:28	26.05.17	1	1.6
051	09:05:28	26.05.17	1	1.6
053	09:06:00	26.05.17	1	1.6
053	09:06:00	26.05.17	1	1.6
038	09:06:57	26.05.17	1	4.2
038	09:06:57	26.05.17	1	4.2
041	09:07:07	26.05.17	1	2.7
041	09:07:07	26.05.17	1	2.7
039	09:07:11	26.05.17	1	3.6
039	09:07:11	26.05.17	1	3.6
049	09:08:08	26.05.17	1	6.0
049	09:08:08	26.05.17	1	6.0
038	09:08:38	26.05.17	1	1.7
038	09:08:38	26.05.17	1	1.7
035	09:08:54	26.05.17	1	2.4
035	09:08:54	26.05.17	1	2.4
049	09:09:25	26.05.17	1	1.5
049	09:09:25	26.05.17	1	1.5
043	09:09:33	26.05.17	1	0.5
043	09:09:33	26.05.17	1	0.5
051	09:11:14	26.05.17	1	6.6
051	09:11:14	26.05.17	1	6.6
043	09:11:16	26.05.17	1	4.5
043	09:11:16	26.05.17	1	4.5
047	09:11:20	26.05.17	1	6.3
047	09:11:20	26.05.17	1	6.3
045	09:11:23	26.05.17	1	4.3
045	09:11:23	26.05.17	1	4.3
024	09:11:38	26.05.17	1	19.2
024	09:11:38	26.05.17	1	19.2
053	09:12:18	26.05.17	1	4.9
053	09:12:18	26.05.17	1	4.9
034	09:12:37	26.05.17	1	3.8
034	09:12:37	26.05.17	1	3.8
040	09:12:47	26.05.17	1	12.9
040	09:12:47	26.05.17	1	12.9
038	09:12:49	26.05.17	1	4.3
038	09:12:49	26.05.17	1	4.3
042	09:12:55	26.05.17	1	4.4
042	09:12:55	26.05.17	1	4.4
038	09:13:25	26.05.17	1	2.0
038	09:13:25	26.05.17	1	2.0
043	09:14:19	26.05.17	1	4.3
043	09:14:19	26.05.17	1	4.3
044	09:14:57	26.05.17	1	4.4
044	09:14:57	26.05.17	1	4.4
016	09:15:25	26.05.17	1	2.7
016	09:15:25	26.05.17	1	2.7
056	09:15:45	26.05.17	1	5.9
056	09:15:45	26.05.17	1	5.9
059	09:17:31	26.05.17	1	4.4
059	09:17:31	26.05.17	1	4.4
049	09:17:38	26.05.17	1	1.4
049	09:17:38	26.05.17	1	1.4
048	09:17:52	26.05.17	1	8.0
048	09:17:52	26.05.17	1	8.0
049	09:17:54	26.05.17	1	6.7
049	09:17:54	26.05.17	1	6.7
057	09:18:14	26.05.17	1	5.8
057	09:18:14	26.05.17	1	5.8
049	09:18:15	26.05.17	1	7.4
049	09:18:15	26.05.17	1	7.4
044	09:18:31	26.05.17	1	7.3
044	09:18:31	26.05.17	1	7.3
047	09:18:33	26.05.17	1	5.7
047	09:18:33	26.05.17	1	5.7
022	09:18:40	26.05.17	1	17.9
022	09:18:40	26.05.17	1	17.9
056	09:19:41	26.05.17	1	4.2
056	09:19:41	26.05.17	1	4.2
058	09:19:48	26.05.17	1	4.5
058	09:19:48	26.05.17	1	4.5
045	09:20:10	26.05.17	1	1.1
045	09:20:10	26.05.17	1	1.1
043	09:20:14	26.05.17	1	4.1
043	09:20:14	26.05.17	1	4.1
043	09:20:17	26.05.17	1	4.4
043	09:20:17	26.05.17	1	4.4
042	09:20:20	26.05.17	1	3.7
042	09:20:20	26.05.17	1	3.7
052	09:20:33	26.05.17	1	5.3
052	09:20:33	26.05.17	1	5.3
045	09:20:53	26.05.17	1	3.8
045	09:20:53	26.05.17	1	3.8
046	09:20:54	26.05.17	1	1.2
046	09:20:54	26.05.17	1	1.2
043	09:20:58	26.05.17	1	4.4
043	09:20:58	26.05.17	1	4.4
045	09:21:44	26.05.17	1	4.7
045	09:21:44	26.05.17	1	4.7
049	09:21:53	26.05.17	1	4.5
049	09:21:53	26.05.17	1	4.5
