

Standort: 3-Saengergasse

[km/h]				 [m]
Dateformat: dd.mm.yy
029	14:23:36	08.01.16	1	0.6
031	14:30:43	08.01.16	1	4.1
031	14:34:00	08.01.16	1	3.1
029	14:34:15	08.01.16	1	3.6
017	14:38:18	08.01.16	1	0.6
016	14:39:05	08.01.16	1	4.2
028	14:42:46	08.01.16	1	3.4
031	14:44:14	08.01.16	1	3.4
014	14:45:37	08.01.16	1	2.0
008	14:53:52	08.01.16	1	0.6
024	14:54:18	08.01.16	1	3.0
025	14:54:44	08.01.16	1	1.4
027	14:57:09	08.01.16	1	3.6
026	14:57:18	08.01.16	1	3.8
031	14:59:00	08.01.16	1	1.0
021	14:59:51	08.01.16	1	3.9
009	15:07:41	08.01.16	1	1.1
023	15:09:03	08.01.16	1	2.5
027	15:10:53	08.01.16	1	3.2
032	15:21:56	08.01.16	1	3.2
035	15:28:03	08.01.16	1	4.2
017	15:38:39	08.01.16	1	1.7
006	15:40:08	08.01.16	1	1.9
032	15:40:42	08.01.16	1	3.9
009	15:43:03	08.01.16	1	1.0
030	16:14:36	08.01.16	1	2.5
031	16:16:11	08.01.16	1	2.4
025	18:13:15	08.01.16	1	1.6
013	18:18:18	08.01.16	1	3.8
016	18:20:34	08.01.16	1	2.2
039	18:22:18	08.01.16	1	4.2
035	18:26:44	08.01.16	1	3.9
015	18:29:09	08.01.16	1	2.8
039	18:36:29	08.01.16	1	3.4
022	18:44:54	08.01.16	1	1.5
032	18:49:11	08.01.16	1	3.8
018	18:55:24	08.01.16	1	2.4
032	19:03:43	08.01.16	1	1.1
029	19:04:08	08.01.16	1	4.1
018	19:13:22	08.01.16	1	1.1
021	19:14:18	08.01.16	1	1.6
022	19:14:36	08.01.16	1	2.0
035	19:14:50	08.01.16	1	0.6
009	19:19:44	08.01.16	1	1.7
027	19:26:05	08.01.16	1	2.2
014	19:29:27	08.01.16	1	2.9
026	19:32:48	08.01.16	1	1.4
027	19:33:45	08.01.16	1	6.2
018	19:37:22	08.01.16	1	0.8
038	19:42:00	08.01.16	1	4.6
011	19:46:53	08.01.16	1	4.0
022	20:00:28	08.01.16	1	3.5
033	20:11:08	08.01.16	1	4.5
024	20:45:20	08.01.16	1	4.4
027	20:47:31	08.01.16	1	4.3
034	20:54:26	08.01.16	1	4.0
029	21:03:32	08.01.16	1	4.0
019	21:04:03	08.01.16	1	3.4
035	07:55:14	09.01.16	1	6.3
020	08:48:50	09.01.16	1	1.8
012	08:53:01	09.01.16	1	0.7
021	08:53:49	09.01.16	1	2.1
012	08:57:05	09.01.16	1	6.4
021	09:30:03	09.01.16	1	4.9
013	09:34:50	09.01.16	1	4.8
009	09:37:22	09.01.16	1	3.4
032	10:00:51	09.01.16	1	4.8
009	10:11:57	09.01.16	1	3.1
028	10:18:10	09.01.16	1	4.9
026	10:18:15	09.01.16	1	4.4
027	10:18:19	09.01.16	1	5.2
032	10:24:41	09.01.16	1	4.3
024	10:25:11	09.01.16	1	5.1
018	10:25:33	09.01.16	1	2.0
024	10:28:08	09.01.16	1	4.6
017	10:46:51	09.01.16	1	5.0
023	10:48:50	09.01.16	1	4.3
025	10:51:46	09.01.16	1	5.5
034	10:51:54	09.01.16	1	4.4
012	10:53:02	09.01.16	1	0.6
016	10:53:19	09.01.16	1	4.4
028	10:53:24	09.01.16	1	4.9
023	10:53:54	09.01.16	1	4.0
015	11:02:44	09.01.16	1	1.5
016	11:07:02	09.01.16	1	1.8
018	11:07:19	09.01.16	1	1.5
009	11:17:15	09.01.16	1	3.5
018	11:20:06	09.01.16	1	0.9
021	11:21:17	09.01.16	1	1.5
035	11:24:13	09.01.16	1	5.2
018	11:27:05	09.01.16	1	1.4
