

Standort: 3-Steinentorstra

[km/h]				 [m]
Dateformat: dd.mm.yy
036	16:22:53	10.06.16	1	3.4
026	16:22:57	10.06.16	1	6.8
032	16:22:59	10.06.16	1	11.6
033	16:23:05	10.06.16	1	3.2
018	16:23:11	10.06.16	1	6.6
018	16:23:25	10.06.16	1	6.7
018	16:23:26	10.06.16	1	4.6
025	16:23:31	10.06.16	1	10.7
020	16:23:36	10.06.16	1	12.4
029	16:23:43	10.06.16	1	0.7
021	16:23:45	10.06.16	1	11.0
025	16:23:49	10.06.16	1	4.0
021	16:23:56	10.06.16	1	25.5
019	16:24:02	10.06.16	1	14.3
022	16:24:05	10.06.16	1	0.7
020	16:24:06	10.06.16	1	0.7
027	16:24:09	10.06.16	1	14.2
026	16:24:12	10.06.16	1	14.9
022	16:24:15	10.06.16	1	2.4
026	16:24:16	10.06.16	1	5.7
023	16:24:26	10.06.16	1	9.5
026	16:24:33	10.06.16	1	14.6
023	16:24:33	10.06.16	1	0.6
032	16:24:35	10.06.16	1	13.0
028	16:24:40	10.06.16	1	3.5
028	16:24:43	10.06.16	1	9.4
029	16:24:51	10.06.16	1	1.3
027	16:25:01	10.06.16	1	6.0
029	16:25:02	10.06.16	1	2.5
028	16:25:06	10.06.16	1	25.5
021	16:25:11	10.06.16	1	9.9
022	16:25:15	10.06.16	1	1.1
023	16:25:16	10.06.16	1	1.0
023	16:25:33	10.06.16	1	11.6
034	16:25:38	10.06.16	1	5.0
027	16:25:40	10.06.16	1	9.7
019	16:25:46	10.06.16	1	10.0
018	16:25:54	10.06.16	1	2.3
022	16:25:55	10.06.16	1	4.1
021	16:26:07	10.06.16	1	17.5
022	16:26:11	10.06.16	1	7.9
021	16:26:22	10.06.16	1	4.3
017	16:26:23	10.06.16	1	0.7
018	16:26:27	10.06.16	1	6.0
024	16:26:34	10.06.16	1	7.9
025	16:26:38	10.06.16	1	8.5
025	16:26:39	10.06.16	1	3.9
027	16:26:40	10.06.16	1	4.2
029	16:26:50	10.06.16	1	6.3
025	16:26:53	10.06.16	1	9.7
