

Standort: Wasserstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
008	11:23:38	24.03.15	2	0.5
017	11:26:53	24.03.15	2	7.5
017	11:27:07	24.03.15	2	1.4
007	11:27:16	24.03.15	2	4.5
017	11:27:32	24.03.15	2	3.1
016	11:28:46	24.03.15	2	4.1
015	11:34:49	24.03.15	2	1.0
016	11:36:14	24.03.15	2	3.3
016	11:43:42	24.03.15	2	1.4
014	11:44:30	24.03.15	2	1.0
022	11:46:47	24.03.15	2	3.1
017	11:47:58	24.03.15	2	1.5
010	11:48:09	24.03.15	2	5.0
017	11:49:59	24.03.15	2	12.1
018	11:51:12	24.03.15	2	3.7
013	11:52:24	24.03.15	2	5.3
016	11:52:53	24.03.15	2	4.5
017	11:53:29	24.03.15	2	4.8
021	11:54:48	24.03.15	2	4.6
012	11:56:10	24.03.15	2	3.4
024	11:56:30	24.03.15	2	3.5
019	11:56:48	24.03.15	2	5.1
018	11:57:24	24.03.15	2	6.8
013	11:59:01	24.03.15	2	5.3
021	12:02:21	24.03.15	2	4.5
025	12:02:32	24.03.15	2	3.7
021	12:04:49	24.03.15	2	1.1
023	12:05:31	24.03.15	2	4.4
014	12:09:04	24.03.15	2	8.1
014	12:11:38	24.03.15	2	7.7
016	12:15:39	24.03.15	2	3.9
024	12:20:15	24.03.15	2	4.9
025	12:22:37	24.03.15	2	4.3
017	12:23:49	24.03.15	2	4.3
016	12:24:00	24.03.15	2	1.3
015	12:28:59	24.03.15	2	1.8
017	12:31:04	24.03.15	2	2.7
015	12:34:09	24.03.15	2	5.0
017	12:35:17	24.03.15	2	5.1
022	12:36:53	24.03.15	2	4.3
025	12:38:50	24.03.15	2	5.7
014	12:41:28	24.03.15	2	11.1
017	12:41:31	24.03.15	2	1.7
017	12:49:13	24.03.15	2	6.1
022	12:50:02	24.03.15	2	5.0
028	12:56:10	24.03.15	2	4.2
020	12:59:06	24.03.15	2	4.1
010	13:01:34	24.03.15	2	2.6
014	13:03:33	24.03.15	2	6.8
009	13:07:15	24.03.15	2	7.7
012	13:12:25	24.03.15	2	11.4
011	13:12:31	24.03.15	2	3.8
012	13:13:00	24.03.15	2	6.5
019	13:13:49	24.03.15	2	3.6
019	13:14:16	24.03.15	2	5.5
021	13:14:22	24.03.15	2	5.1
017	13:16:41	24.03.15	2	6.2
014	13:17:08	24.03.15	2	4.7
009	13:20:47	24.03.15	2	1.3
012	13:24:14	24.03.15	2	5.5
014	13:25:00	24.03.15	2	0.6
018	13:25:03	24.03.15	2	7.2
015	13:26:18	24.03.15	2	9.8
014	13:26:56	24.03.15	2	6.2
015	13:28:56	24.03.15	2	0.7
019	13:30:09	24.03.15	2	3.8
021	13:30:19	24.03.15	2	2.9
022	13:30:46	24.03.15	2	5.2
021	13:31:41	24.03.15	2	1.6
009	13:36:55	24.03.15	2	0.8
005	13:37:05	24.03.15	2	1.2
005	13:37:11	24.03.15	2	2.3
019	13:38:48	24.03.15	2	4.4
010	13:39:21	24.03.15	2	0.8
015	13:44:12	24.03.15	2	4.1
011	13:45:20	24.03.15	2	1.2
006	13:45:23	24.03.15	2	1.5
017	13:47:08	24.03.15	2	4.8
012	13:48:31	24.03.15	2	7.2
019	13:51:49	24.03.15	2	4.4
018	13:53:55	24.03.15	2	3.7
011	13:54:17	24.03.15	2	0.8
020	13:55:13	24.03.15	2	3.0
014	13:56:47	24.03.15	2	1.7
017	13:58:26	24.03.15	2	7.3
014	13:59:10	24.03.15	2	5.7
021	14:02:34	24.03.15	2	3.9
020	14:09:02	24.03.15	2	3.8
013	14:09:42	24.03.15	2	0.5
013	14:10:46	24.03.15	2	1.7
018	14:11:07	24.03.15	2	7.8
013	14:14:40	24.03.15	2	4.9
015	14:20:53	24.03.15	2	5.9
020	14:21:01	24.03.15	2	1.4
012	14:23:05	24.03.15	2	4.2
019	14:23:59	24.03.15	2	6.5
018	14:26:36	24.03.15	2	5.3
018	14:27:37	24.03.15	2	3.6
011	14:27:49	24.03.15	2	3.3
014	14:27:57	24.03.15	2	1.1
019	14:30:55	24.03.15	2	8.7
016	14:37:01	24.03.15	2	7.9
013	14:37:25	24.03.15	2	3.3
011	14:37:58	24.03.15	2	2.5
019	14:44:14	24.03.15	2	7.0
016	14:52:34	24.03.15	2	4.5
018	14:53:38	24.03.15	2	10.3
016	14:56:56	24.03.15	2	3.6
018	15:00:51	24.03.15	2	5.8
018	15:06:05	24.03.15	2	4.1
026	15:13:33	24.03.15	2	1.4
018	15:14:22	24.03.15	2	4.1
020	15:15:29	24.03.15	2	1.2
016	15:15:42	24.03.15	2	4.4
018	15:20:21	24.03.15	2	4.7
014	15:21:50	24.03.15	2	3.9
024	15:21:54	24.03.15	2	5.1
017	15:26:25	24.03.15	2	0.9
018	15:28:38	24.03.15	2	3.5
020	15:28:51	24.03.15	2	6.0
019	15:29:01	24.03.15	2	4.5
017	15:29:05	24.03.15	2	3.6
011	15:32:42	24.03.15	2	0.7
010	15:35:03	24.03.15	2	0.7
021	15:41:11	24.03.15	2	3.3
022	15:41:44	24.03.15	2	3.6
020	15:43:13	24.03.15	2	3.6
020	15:43:20	24.03.15	2	4.5
015	15:44:42	24.03.15	2	1.2
020	15:46:43	24.03.15	2	6.6
019	15:52:27	24.03.15	2	4.2
018	15:54:33	24.03.15	2	8.5
016	15:55:45	24.03.15	2	1.0
020	15:56:36	24.03.15	2	2.2
028	15:59:49	24.03.15	2	1.9
023	16:00:15	24.03.15	2	5.8
017	16:01:10	24.03.15	2	5.0
014	16:01:26	24.03.15	2	1.8
020	16:01:58	24.03.15	2	1.5
020	16:06:01	24.03.15	2	1.1
012	16:07:20	24.03.15	2	0.9
015	16:09:15	24.03.15	2	8.2
016	16:11:31	24.03.15	2	1.8
020	16:12:53	24.03.15	2	6.8
007	16:14:22	24.03.15	2	3.1
015	16:15:03	24.03.15	2	5.9
019	16:16:01	24.03.15	2	0.9
