

Standort: 4-Baeumliweg

[km/h]				 [m]
Dateformat: dd.mm.yy
032	08:36:02	05.08.16	1	2.3
020	08:39:12	05.08.16	1	10.1
028	08:41:25	05.08.16	1	4.9
028	08:42:41	05.08.16	1	7.2
030	08:42:43	05.08.16	1	5.5
030	08:48:34	05.08.16	1	5.3
030	08:54:04	05.08.16	1	11.5
018	08:54:59	05.08.16	1	5.1
017	08:55:02	05.08.16	1	5.2
014	08:55:07	05.08.16	1	7.9
034	08:56:54	05.08.16	1	7.4
022	08:58:56	05.08.16	1	6.0
034	09:04:03	05.08.16	1	4.9
019	09:07:50	05.08.16	1	12.1
033	09:12:34	05.08.16	1	5.0
029	09:14:28	05.08.16	1	4.1
034	09:14:42	05.08.16	1	5.6
041	09:16:49	05.08.16	1	5.1
027	09:19:01	05.08.16	1	8.0
025	09:23:39	05.08.16	1	11.9
040	09:24:10	05.08.16	1	1.9
025	09:25:33	05.08.16	1	4.1
031	09:26:09	05.08.16	1	1.4
021	09:34:44	05.08.16	1	1.3
037	09:37:12	05.08.16	1	5.1
033	09:39:01	05.08.16	1	12.3
022	09:39:05	05.08.16	1	6.5
035	09:39:37	05.08.16	1	5.4
034	09:53:47	05.08.16	1	12.1
032	09:56:30	05.08.16	1	4.9
036	09:56:52	05.08.16	1	5.2
041	10:02:40	05.08.16	1	5.4
039	10:04:53	05.08.16	1	3.9
046	10:05:47	05.08.16	1	5.9
007	10:06:12	05.08.16	1	1.2
027	10:08:15	05.08.16	1	5.6
031	10:08:46	05.08.16	1	11.1
019	10:10:55	05.08.16	1	5.2
035	10:11:19	05.08.16	1	7.3
035	10:13:59	05.08.16	1	7.1
030	10:23:10	05.08.16	1	11.9
034	10:23:33	05.08.16	1	5.0
042	10:23:37	05.08.16	1	5.2
051	10:24:22	05.08.16	1	4.6
031	10:27:30	05.08.16	1	4.9
030	10:27:35	05.08.16	1	5.7
008	10:28:56	05.08.16	1	1.9
034	10:29:28	05.08.16	1	5.7
034	10:29:32	05.08.16	1	6.4
037	10:33:22	05.08.16	1	5.4
032	10:39:55	05.08.16	1	11.9
035	10:43:39	05.08.16	1	5.3
031	10:53:23	05.08.16	1	11.5
031	10:57:24	05.08.16	1	5.4
048	10:57:36	05.08.16	1	5.1
036	11:06:07	05.08.16	1	5.5
030	11:08:09	05.08.16	1	4.7
035	11:08:54	05.08.16	1	4.5
021	11:11:25	05.08.16	1	7.1
029	11:12:14	05.08.16	1	11.4
032	11:14:27	05.08.16	1	5.1
033	11:15:17	05.08.16	1	4.7
022	11:16:03	05.08.16	1	5.5
041	11:17:01	05.08.16	1	5.8
041	11:18:24	05.08.16	1	4.8
034	11:21:00	05.08.16	1	6.1
017	11:21:26	05.08.16	1	6.8
031	11:24:29	05.08.16	1	12.0
037	11:27:27	05.08.16	1	5.3
031	11:32:43	05.08.16	1	4.8
012	11:34:59	05.08.16	1	0.8
034	11:38:30	05.08.16	1	4.9
033	11:38:46	05.08.16	1	12.4
040	11:39:55	05.08.16	1	5.6
026	11:46:56	05.08.16	1	6.1
014	11:47:37	05.08.16	1	6.3
009	11:49:08	05.08.16	1	6.2
031	11:49:12	05.08.16	1	1.8
031	11:49:16	05.08.16	1	8.6
045	11:49:58	05.08.16	1	7.5
034	11:52:36	05.08.16	1	2.5
034	11:52:37	05.08.16	1	4.2
030	11:53:29	05.08.16	1	12.6
020	11:57:19	05.08.16	1	8.1
022	12:00:30	05.08.16	1	6.9
009	12:00:45	05.08.16	1	3.9
025	12:00:48	05.08.16	1	2.2
020	12:00:50	05.08.16	1	5.4
038	12:01:59	05.08.16	1	5.0
017	12:02:11	05.08.16	1	2.7
041	12:08:12	05.08.16	1	4.4
034	12:09:27	05.08.16	1	11.5
030	12:12:41	05.08.16	1	2.0
033	12:13:30	05.08.16	1	0.7
031	12:13:32	05.08.16	1	4.2
033	12:23:17	05.08.16	1	13.8
009	12:26:15	05.08.16	1	4.7
038	12:29:17	05.08.16	1	5.2
034	12:32:23	05.08.16	1	4.4
008	12:36:29	05.08.16	1	1.3
028	12:39:13	05.08.16	1	12.1
042	12:41:22	05.08.16	1	5.3
026	12:43:32	05.08.16	1	1.2
039	12:51:43	05.08.16	1	4.2
038	12:52:43	05.08.16	1	5.8
035	12:54:06	05.08.16	1	12.3
021	13:01:21	05.08.16	1	0.9
042	13:03:38	05.08.16	1	5.3
040	13:06:13	05.08.16	1	5.3
034	13:08:19	05.08.16	1	12.2
015	13:08:56	05.08.16	1	1.3
014	13:10:45	05.08.16	1	2.0
050	13:16:25	05.08.16	1	0.5
050	13:16:25	05.08.16	1	1.0
045	13:16:26	05.08.16	1	6.9
020	13:22:01	05.08.16	1	1.3
019	13:23:18	05.08.16	1	1.3
024	13:23:25	05.08.16	1	12.4
042	13:26:50	05.08.16	1	7.4
016	13:28:48	05.08.16	1	2.0
036	13:39:04	05.08.16	1	11.8
040	13:40:22	05.08.16	1	5.9
052	13:41:22	05.08.16	1	5.6
024	13:46:17	05.08.16	1	5.8
042	13:50:36	05.08.16	1	5.5
030	13:53:31	05.08.16	1	11.3
021	13:53:40	05.08.16	1	1.9
038	14:05:36	05.08.16	1	9.6
025	14:10:15	05.08.16	1	12.2
033	14:17:57	05.08.16	1	11.5
038	14:18:12	05.08.16	1	4.5
021	14:22:16	05.08.16	1	1.3
036	14:26:00	05.08.16	1	11.9
043	14:34:33	05.08.16	1	6.0
033	14:38:05	05.08.16	1	12.1
026	14:38:22	05.08.16	1	5.5
011	14:43:22	05.08.16	1	0.8
029	14:45:56	05.08.16	1	5.7
041	14:50:56	05.08.16	1	3.7
031	14:54:12	05.08.16	1	12.2
042	14:55:23	05.08.16	1	5.7
023	14:55:40	05.08.16	1	1.7
042	14:57:01	05.08.16	1	5.1
034	15:10:46	05.08.16	1	11.4
015	15:16:49	05.08.16	1	2.7
040	15:18:32	05.08.16	1	5.3
036	15:21:46	05.08.16	1	6.0
033	15:25:30	05.08.16	1	12.0
045	15:26:24	05.08.16	1	5.1
017	15:28:17	05.08.16	1	6.6
038	15:31:21	05.08.16	1	5.2
043	15:33:18	05.08.16	1	4.7
033	15:33:47	05.08.16	1	7.5
039	15:39:01	05.08.16	1	5.7
039	15:39:05	05.08.16	1	4.7
036	15:40:15	05.08.16	1	11.7
041	15:44:13	05.08.16	1	4.2
040	15:44:19	05.08.16	1	5.2
018	15:48:36	05.08.16	1	0.9
040	15:48:37	05.08.16	1	5.0
026	15:49:03	05.08.16	1	5.8
030	15:55:39	05.08.16	1	12.2
007	15:55:43	05.08.16	1	1.9
009	15:55:48	05.08.16	1	3.8
026	16:01:05	05.08.16	1	1.4
043	16:06:45	05.08.16	1	6.4
033	16:09:38	05.08.16	1	12.1
044	16:10:44	05.08.16	1	7.0
042	16:10:52	05.08.16	1	9.5
013	16:15:15	05.08.16	1	1.3
027	16:16:10	05.08.16	1	1.4
013	16:20:05	05.08.16	1	4.1
036	16:20:18	05.08.16	1	5.6
031	16:21:54	05.08.16	1	3.3
021	16:22:23	05.08.16	1	7.8
035	16:23:02	05.08.16	1	5.1
030	16:25:20	05.08.16	1	12.7
038	16:26:29	05.08.16	1	5.3
