

Standort: Blauenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
005	08:42:07	10.07.15	2	1.5
020	08:48:36	10.07.15	2	3.4
017	08:48:37	10.07.15	2	1.6
013	08:48:52	10.07.15	2	3.1
021	08:52:15	10.07.15	2	2.7
018	08:53:47	10.07.15	2	2.2
012	08:54:45	10.07.15	2	2.4
011	08:54:45	10.07.15	2	1.9
015	08:55:04	10.07.15	2	2.4
012	08:55:14	10.07.15	2	2.8
022	08:55:16	10.07.15	2	5.2
015	08:57:57	10.07.15	2	2.5
021	09:03:38	10.07.15	2	5.5
020	09:04:52	10.07.15	2	7.5
008	09:10:32	10.07.15	2	2.1
021	09:12:04	10.07.15	2	5.2
025	09:15:29	10.07.15	2	3.8
016	09:18:04	10.07.15	2	2.8
015	09:22:27	10.07.15	2	2.6
008	09:26:18	10.07.15	2	1.6
019	09:27:48	10.07.15	2	4.5
016	09:32:54	10.07.15	2	3.2
016	09:37:35	10.07.15	2	4.4
015	09:37:36	10.07.15	2	1.6
020	09:41:45	10.07.15	2	3.7
029	09:42:09	10.07.15	2	5.7
011	09:43:24	10.07.15	2	2.4
017	09:44:05	10.07.15	2	3.0
019	09:45:59	10.07.15	2	5.4
019	09:54:38	10.07.15	2	5.2
020	09:55:27	10.07.15	2	2.6
020	09:55:51	10.07.15	2	3.0
006	09:57:57	10.07.15	2	1.6
014	09:58:58	10.07.15	2	5.3
014	10:02:37	10.07.15	2	3.1
017	10:05:03	10.07.15	2	3.6
014	10:07:28	10.07.15	2	2.3
018	10:11:28	10.07.15	2	3.2
016	10:11:28	10.07.15	2	2.4
004	10:12:05	10.07.15	2	1.9
006	10:12:56	10.07.15	2	1.6
024	10:19:46	10.07.15	2	3.8
021	10:22:43	10.07.15	2	3.6
012	10:27:28	10.07.15	2	4.4
012	10:28:08	10.07.15	2	3.7
018	10:28:55	10.07.15	2	3.0
006	10:30:41	10.07.15	2	2.0
006	10:31:45	10.07.15	2	3.2
008	10:31:57	10.07.15	2	3.2
009	10:32:48	10.07.15	2	7.2
010	10:32:48	10.07.15	2	2.2
008	10:32:49	10.07.15	2	1.8
009	10:33:22	10.07.15	2	5.6
008	10:34:06	10.07.15	2	5.6
021	10:38:43	10.07.15	2	2.9
016	10:39:21	10.07.15	2	3.4
012	10:40:22	10.07.15	2	2.8
012	10:40:23	10.07.15	2	4.2
016	10:40:55	10.07.15	2	3.5
008	10:42:54	10.07.15	2	3.6
005	10:43:50	10.07.15	2	1.6
005	10:45:28	10.07.15	2	2.0
018	10:50:49	10.07.15	2	1.6
014	10:52:04	10.07.15	2	3.5
011	10:54:38	10.07.15	2	1.8
016	11:04:54	10.07.15	2	2.5
019	11:05:11	10.07.15	2	2.9
024	11:05:53	10.07.15	2	3.9
012	11:08:23	10.07.15	2	3.6
014	11:08:53	10.07.15	2	3.2
022	11:12:42	10.07.15	2	4.1
015	11:20:05	10.07.15	2	3.3
015	11:22:27	10.07.15	2	3.7
020	11:23:03	10.07.15	2	4.1
021	11:23:06	10.07.15	2	3.7
007	11:36:06	10.07.15	2	2.5
008	11:36:08	10.07.15	2	2.5
021	11:39:04	10.07.15	2	3.8
011	11:39:21	10.07.15	2	3.5
019	11:39:27	10.07.15	2	3.8
020	11:39:34	10.07.15	2	3.5
019	11:44:00	10.07.15	2	3.8
017	11:44:12	10.07.15	2	3.5
015	11:44:13	10.07.15	2	2.9
015	11:44:14	10.07.15	2	3.7
016	11:52:13	10.07.15	2	3.7
015	12:02:27	10.07.15	2	3.4
027	12:03:54	10.07.15	2	3.8
017	12:05:04	10.07.15	2	3.0
015	12:05:05	10.07.15	2	2.1
019	12:07:01	10.07.15	2	4.2
010	12:09:42	10.07.15	2	8.8
022	12:13:33	10.07.15	2	3.7
007	12:14:22	10.07.15	2	2.2
017	12:16:07	10.07.15	2	3.6
022	12:22:46	10.07.15	2	3.5
014	12:24:46	10.07.15	2	1.9
009	12:26:20	10.07.15	2	2.3
009	12:26:21	10.07.15	2	1.7
008	12:28:26	10.07.15	2	2.1
017	12:28:56	10.07.15	2	3.2
017	12:29:13	10.07.15	2	3.4
010	12:29:31	10.07.15	2	1.8
014	12:32:49	10.07.15	2	3.0
008	12:38:23	10.07.15	2	1.7
005	12:38:53	10.07.15	2	1.8
017	12:38:53	10.07.15	2	3.2
020	12:50:21	10.07.15	2	3.5
015	13:01:52	10.07.15	2	1.6
014	13:01:53	10.07.15	2	3.5
007	13:06:15	10.07.15	2	1.7
021	13:09:17	10.07.15	2	3.7
012	13:12:17	10.07.15	2	3.1
020	13:22:43	10.07.15	2	3.5
024	13:24:45	10.07.15	2	3.4
009	13:30:23	10.07.15	2	2.5
017	13:34:35	10.07.15	2	2.4
012	13:37:15	10.07.15	2	2.3
038	13:41:46	10.07.15	2	3.9
015	13:46:52	10.07.15	2	3.0
018	13:48:48	10.07.15	2	2.8
014	13:49:20	10.07.15	2	3.1
015	13:53:20	10.07.15	2	3.8
020	13:54:56	10.07.15	2	3.8
012	13:55:16	10.07.15	2	2.8
009	13:55:56	10.07.15	2	2.5
006	13:57:02	10.07.15	2	5.2
019	13:57:50	10.07.15	2	3.4
018	14:00:10	10.07.15	2	3.6
018	14:03:45	10.07.15	2	4.1
004	14:06:13	10.07.15	2	1.6
019	14:06:17	10.07.15	2	3.1
016	14:07:44	10.07.15	2	2.0
015	14:10:25	10.07.15	2	4.0
013	14:12:11	10.07.15	2	1.9
024	14:13:16	10.07.15	2	3.8
018	14:14:20	10.07.15	2	4.5
021	14:15:07	10.07.15	2	3.5
010	14:16:03	10.07.15	2	2.7
017	14:20:28	10.07.15	2	2.7
018	14:25:15	10.07.15	2	4.0
020	14:28:11	10.07.15	2	4.1
022	14:28:21	10.07.15	2	3.6
021	14:35:24	10.07.15	2	3.5
020	14:48:36	10.07.15	2	3.2
020	14:50:41	10.07.15	2	3.2
023	14:54:53	10.07.15	2	3.8
014	14:57:07	10.07.15	2	3.5
020	15:01:57	10.07.15	2	3.6
016	15:02:36	10.07.15	2	3.9
006	15:05:01	10.07.15	2	1.6
006	15:05:03	10.07.15	2	1.9
016	15:06:19	10.07.15	2	4.3
015	15:06:20	10.07.15	2	1.6
020	15:09:40	10.07.15	2	3.3
019	15:11:00	10.07.15	2	3.3
016	15:16:02	10.07.15	2	3.9
020	15:17:27	10.07.15	2	3.8
019	15:20:17	10.07.15	2	4.4
012	15:21:30	10.07.15	2	3.1
015	15:24:34	10.07.15	2	3.5
010	15:26:59	10.07.15	2	3.5
017	15:33:47	10.07.15	2	3.6
017	15:45:19	10.07.15	2	3.6
022	15:45:28	10.07.15	2	3.9
016	15:56:53	10.07.15	2	3.3
018	15:57:56	10.07.15	2	3.3
023	16:03:18	10.07.15	2	3.9
012	16:06:25	10.07.15	2	3.4
021	16:10:55	10.07.15	2	3.6
015	16:11:02	10.07.15	2	2.9
015	16:11:51	10.07.15	2	3.3
016	16:27:18	10.07.15	2	3.6
019	16:28:20	10.07.15	2	4.0
024	16:33:02	10.07.15	2	2.9
021	16:33:12	10.07.15	2	3.6
015	16:34:33	10.07.15	2	2.5
020	16:36:24	10.07.15	2	3.6
024	16:38:46	10.07.15	2	3.7
021	16:40:00	10.07.15	2	3.6
017	16:42:06	10.07.15	2	3.8
017	16:46:13	10.07.15	2	3.5
020	16:51:59	10.07.15	2	3.3
021	16:52:00	10.07.15	2	3.4
024	16:53:48	10.07.15	2	3.5
018	16:54:23	10.07.15	2	3.4
016	17:00:26	10.07.15	2	3.5
022	17:05:22	10.07.15	2	2.9
019	17:14:46	10.07.15	2	3.7
023	17:18:34	10.07.15	2	4.0
022	17:19:49	10.07.15	2	3.6
017	17:20:51	10.07.15	2	3.4
017	17:22:24	10.07.15	2	3.2
018	17:24:08	10.07.15	2	3.8
017	17:32:49	10.07.15	2	4.0
018	17:35:34	10.07.15	2	3.7
