

Standort: 4-Claragraben

[km/h]				 [m]
Dateformat: dd.mm.yy
028	15:26:41	06.01.15	1	1.9
046	15:26:45	06.01.15	1	4.2
042	15:26:51	06.01.15	1	1.6
035	15:26:56	06.01.15	1	3.0
026	15:27:02	06.01.15	1	3.4
032	15:27:24	06.01.15	1	16.7
030	15:27:38	06.01.15	1	5.0
025	15:27:40	06.01.15	1	4.4
035	15:27:42	06.01.15	1	5.2
031	15:27:57	06.01.15	1	3.8
025	15:28:13	06.01.15	1	1.5
037	15:28:29	06.01.15	1	5.1
040	15:28:32	06.01.15	1	4.5
038	15:28:36	06.01.15	1	4.2
044	15:28:42	06.01.15	1	5.1
035	15:29:04	06.01.15	1	5.0
014	15:29:19	06.01.15	1	1.5
030	15:29:37	06.01.15	1	2.6
020	15:31:35	06.01.15	1	1.0
022	15:31:39	06.01.15	1	2.9
022	15:31:53	06.01.15	1	2.3
031	15:32:19	06.01.15	1	3.9
032	15:32:27	06.01.15	1	3.5
055	15:32:51	06.01.15	1	5.7
031	15:33:10	06.01.15	1	3.6
041	15:33:11	06.01.15	1	5.6
031	15:33:19	06.01.15	1	5.2
032	15:33:22	06.01.15	1	4.5
029	15:33:32	06.01.15	1	6.2
032	15:33:35	06.01.15	1	5.3
024	15:33:42	06.01.15	1	5.7
038	15:33:55	06.01.15	1	7.5
035	15:33:59	06.01.15	1	2.8
033	15:34:03	06.01.15	1	7.9
035	15:34:11	06.01.15	1	23.5
039	15:34:12	06.01.15	1	3.1
032	15:34:20	06.01.15	1	4.7
038	15:34:28	06.01.15	1	5.3
034	15:34:32	06.01.15	1	1.8
050	15:34:44	06.01.15	1	5.5
035	15:35:12	06.01.15	1	22.1
035	15:35:17	06.01.15	1	5.8
026	15:35:19	06.01.15	1	3.3
033	15:35:22	06.01.15	1	7.8
025	15:35:30	06.01.15	1	4.0
024	15:35:34	06.01.15	1	4.5
028	15:35:38	06.01.15	1	4.4
031	15:35:42	06.01.15	1	9.9
023	15:35:48	06.01.15	1	4.5
026	15:35:53	06.01.15	1	5.4
032	15:35:59	06.01.15	1	4.0
037	15:36:04	06.01.15	1	3.2
033	15:36:07	06.01.15	1	5.6
029	15:36:21	06.01.15	1	4.5
030	15:36:25	06.01.15	1	4.6
029	15:37:01	06.01.15	1	1.3
042	15:37:32	06.01.15	1	4.4
037	15:38:10	06.01.15	1	5.7
039	15:38:17	06.01.15	1	0.8
011	15:38:25	06.01.15	1	6.5
028	15:38:28	06.01.15	1	4.5
025	15:38:30	06.01.15	1	4.5
022	15:38:36	06.01.15	1	7.3
019	15:38:39	06.01.15	1	1.8
032	15:38:56	06.01.15	1	6.5
029	15:39:01	06.01.15	1	5.7
042	15:39:18	06.01.15	1	5.1
038	15:39:36	06.01.15	1	5.5
033	15:39:56	06.01.15	1	5.5
049	15:40:01	06.01.15	1	2.7
044	15:40:10	06.01.15	1	4.2
042	15:40:14	06.01.15	1	4.1
046	15:40:21	06.01.15	1	5.9
032	15:40:38	06.01.15	1	5.8
034	15:40:42	06.01.15	1	5.6
043	15:40:43	06.01.15	1	4.3
059	15:40:52	06.01.15	1	5.2
050	15:40:55	06.01.15	1	6.7
047	15:41:06	06.01.15	1	4.9
035	15:41:15	06.01.15	1	5.2
035	15:41:17	06.01.15	1	4.3
035	15:41:29	06.01.15	1	3.8
042	15:41:33	06.01.15	1	4.0
028	15:41:53	06.01.15	1	4.2
020	15:41:56	06.01.15	1	1.3
028	15:42:04	06.01.15	1	4.6
034	15:42:07	06.01.15	1	5.0
044	15:42:09	06.01.15	1	5.7
035	15:42:12	06.01.15	1	4.8
033	15:42:15	06.01.15	1	4.1
039	15:42:22	06.01.15	1	3.7
033	15:42:30	06.01.15	1	21.1
040	15:42:38	06.01.15	1	4.0
036	15:42:42	06.01.15	1	6.1
037	15:43:01	06.01.15	1	4.2
039	15:43:10	06.01.15	1	4.0
034	15:43:19	06.01.15	1	22.2
037	15:43:21	06.01.15	1	4.4
045	15:43:23	06.01.15	1	2.6
047	15:43:31	06.01.15	1	5.0
040	15:43:49	06.01.15	1	5.1
038	15:44:06	06.01.15	1	5.3
041	15:44:10	06.01.15	1	4.3
038	15:44:22	06.01.15	1	5.8
039	15:44:24	06.01.15	1	3.4
041	15:44:33	06.01.15	1	4.3
048	15:44:57	06.01.15	1	3.7
035	15:45:03	06.01.15	1	8.2
037	15:45:07	06.01.15	1	4.3
033	15:45:14	06.01.15	1	4.8
035	15:45:17	06.01.15	1	4.0
033	15:45:24	06.01.15	1	4.0
035	15:45:27	06.01.15	1	3.8
034	15:45:30	06.01.15	1	3.7
035	15:45:32	06.01.15	1	4.1
038	15:45:38	06.01.15	1	5.2
034	15:45:40	06.01.15	1	4.9
041	15:45:51	06.01.15	1	3.9
037	15:45:56	06.01.15	1	3.8
032	15:46:18	06.01.15	1	4.6
060	15:46:22	06.01.15	1	4.2
035	15:46:28	06.01.15	1	4.1
042	15:46:33	06.01.15	1	3.9
021	15:47:16	06.01.15	1	3.6
039	15:47:29	06.01.15	1	8.7
041	15:47:31	06.01.15	1	3.8
040	15:47:33	06.01.15	1	4.4
034	15:47:36	06.01.15	1	4.3
034	15:47:39	06.01.15	1	5.1
034	15:47:41	06.01.15	1	4.5
035	15:47:46	06.01.15	1	2.4
035	15:47:51	06.01.15	1	4.6
035	15:47:53	06.01.15	1	4.5
034	15:47:59	06.01.15	1	4.1
037	15:48:06	06.01.15	1	3.2
033	15:48:18	06.01.15	1	7.1
033	15:48:28	06.01.15	1	5.0
043	15:48:41	06.01.15	1	4.6
031	15:48:51	06.01.15	1	5.1
034	15:48:57	06.01.15	1	21.9
034	15:49:01	06.01.15	1	4.5
033	15:49:03	06.01.15	1	4.7
029	15:49:09	06.01.15	1	4.0
032	15:49:13	06.01.15	1	6.3
029	15:49:23	06.01.15	1	5.4
027	15:49:24	06.01.15	1	4.1
049	15:49:37	06.01.15	1	1.1
039	15:49:45	06.01.15	1	3.3
049	15:50:16	06.01.15	1	4.9
039	15:50:23	06.01.15	1	5.6
038	15:50:26	06.01.15	1	4.2
039	15:50:29	06.01.15	1	4.3
037	15:50:34	06.01.15	1	20.9
033	15:50:48	06.01.15	1	3.4
047	15:50:52	06.01.15	1	5.4
034	15:51:03	06.01.15	1	5.3
