

Standort: 4-Im Niederholzb

[km/h]				 [m]
Dateformat: dd.mm.yy
020	15:14:35	11.11.16	1	4.2
024	15:16:17	11.11.16	1	2.9
017	15:16:26	11.11.16	1	1.5
025	15:21:26	11.11.16	1	4.4
024	15:22:01	11.11.16	1	5.8
007	15:22:46	11.11.16	1	1.3
021	15:30:51	11.11.16	1	4.1
011	15:36:09	11.11.16	1	4.2
007	15:37:44	11.11.16	1	0.8
019	15:41:37	11.11.16	1	1.4
021	15:41:39	11.11.16	1	4.2
024	15:47:19	11.11.16	1	4.8
025	15:49:23	11.11.16	1	4.2
012	15:53:29	11.11.16	1	2.4
025	15:58:18	11.11.16	1	4.7
025	16:02:16	11.11.16	1	4.1
011	16:02:36	11.11.16	1	5.8
025	16:06:41	11.11.16	1	4.5
023	16:09:06	11.11.16	1	2.6
024	16:21:27	11.11.16	1	3.1
022	16:23:57	11.11.16	1	6.5
011	16:26:24	11.11.16	1	1.6
030	16:29:19	11.11.16	1	4.4
028	16:29:43	11.11.16	1	4.1
031	16:33:39	11.11.16	1	4.8
025	16:40:37	11.11.16	1	3.7
028	16:47:58	11.11.16	1	3.8
020	16:52:17	11.11.16	1	7.8
032	16:55:53	11.11.16	1	5.5
014	16:56:49	11.11.16	1	0.6
022	16:57:19	11.11.16	1	4.0
032	17:01:36	11.11.16	1	3.8
017	17:06:52	11.11.16	1	1.6
028	17:08:02	11.11.16	1	4.8
026	17:08:13	11.11.16	1	4.4
032	17:09:29	11.11.16	1	4.7
036	17:09:36	11.11.16	1	5.0
031	17:11:16	11.11.16	1	4.8
023	17:14:01	11.11.16	1	4.0
025	17:14:03	11.11.16	1	3.8
015	17:16:40	11.11.16	1	3.8
017	17:17:28	11.11.16	1	3.7
028	17:22:35	11.11.16	1	4.2
020	17:23:56	11.11.16	1	3.9
030	17:25:03	11.11.16	1	4.3
015	17:27:55	11.11.16	1	2.4
014	17:27:57	11.11.16	1	1.5
009	17:29:29	11.11.16	1	3.3
019	17:34:37	11.11.16	1	4.6
030	17:35:20	11.11.16	1	3.9
028	17:41:12	11.11.16	1	5.4
028	17:50:19	11.11.16	1	4.0
028	17:50:41	11.11.16	1	4.6
029	18:04:21	11.11.16	1	3.5
030	18:04:40	11.11.16	1	3.8
023	18:10:39	11.11.16	1	3.1
019	18:12:15	11.11.16	1	3.4
024	18:14:22	11.11.16	1	0.8
022	18:15:07	11.11.16	1	3.8
018	18:17:39	11.11.16	1	3.5
013	18:19:46	11.11.16	1	1.6
008	18:19:49	11.11.16	1	2.1
023	18:20:23	11.11.16	1	3.7
007	18:26:35	11.11.16	1	0.8
018	18:28:07	11.11.16	1	4.5
010	18:31:03	11.11.16	1	1.5
031	18:32:14	11.11.16	1	4.1
034	18:34:32	11.11.16	1	3.9
027	18:35:09	11.11.16	1	3.5
016	18:36:30	11.11.16	1	1.1
016	18:40:16	11.11.16	1	1.3
026	18:41:26	11.11.16	1	3.4
022	18:45:44	11.11.16	1	4.3
014	18:48:39	11.11.16	1	4.4
009	18:50:13	11.11.16	1	4.2
016	18:50:50	11.11.16	1	3.7
014	19:01:39	11.11.16	1	0.6
026	19:06:16	11.11.16	1	3.6
007	19:17:13	11.11.16	1	1.1
020	19:27:58	11.11.16	1	1.1
026	19:31:19	11.11.16	1	3.9
026	19:35:01	11.11.16	1	4.2
019	19:37:51	11.11.16	1	2.4
013	19:43:06	11.11.16	1	1.8
025	19:48:30	11.11.16	1	3.8
026	19:54:19	11.11.16	1	3.4
027	19:55:25	11.11.16	1	3.8
