

Standort: Inzlingerstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
028	14:51:06	29.04.16	2	5.2
028	14:51:06	29.04.16	2	5.2
034	14:51:48	29.04.16	2	4.8
034	14:51:48	29.04.16	2	4.8
034	14:51:50	29.04.16	2	4.5
034	14:51:50	29.04.16	2	4.5
022	14:52:39	29.04.16	2	5.6
022	14:52:39	29.04.16	2	5.6
039	14:53:38	29.04.16	2	5.3
039	14:53:38	29.04.16	2	5.3
019	14:53:52	29.04.16	2	2.7
019	14:53:52	29.04.16	2	2.7
034	14:55:23	29.04.16	2	5.6
034	14:55:23	29.04.16	2	5.6
031	14:55:31	29.04.16	2	5.6
031	14:55:31	29.04.16	2	5.6
028	14:56:45	29.04.16	2	2.1
028	14:56:45	29.04.16	2	2.1
034	14:57:21	29.04.16	2	5.6
034	14:57:21	29.04.16	2	5.6
021	14:57:28	29.04.16	2	2.4
021	14:57:28	29.04.16	2	2.4
022	14:57:31	29.04.16	2	5.8
022	14:57:31	29.04.16	2	5.8
035	14:57:39	29.04.16	2	3.6
035	14:57:39	29.04.16	2	3.6
047	14:58:05	29.04.16	2	5.5
047	14:58:05	29.04.16	2	5.5
043	14:58:07	29.04.16	2	5.0
043	14:58:07	29.04.16	2	5.0
038	14:58:35	29.04.16	2	5.8
038	14:58:35	29.04.16	2	5.8
039	14:58:37	29.04.16	2	5.5
039	14:58:37	29.04.16	2	5.5
036	14:58:57	29.04.16	2	5.7
036	14:58:57	29.04.16	2	5.7
024	14:59:19	29.04.16	2	2.8
024	14:59:19	29.04.16	2	2.8
042	14:59:44	29.04.16	2	5.1
042	14:59:44	29.04.16	2	5.1
045	14:59:55	29.04.16	2	5.2
045	14:59:55	29.04.16	2	5.2
044	15:00:23	29.04.16	2	6.2
044	15:00:23	29.04.16	2	6.2
044	15:00:31	29.04.16	2	5.4
044	15:00:31	29.04.16	2	5.4
045	15:00:57	29.04.16	2	5.3
045	15:00:57	29.04.16	2	5.3
047	15:01:44	29.04.16	2	6.3
047	15:01:44	29.04.16	2	6.3
018	15:01:55	29.04.16	2	2.3
018	15:01:55	29.04.16	2	2.3
023	15:02:52	29.04.16	2	1.6
023	15:02:52	29.04.16	2	1.6
030	15:03:31	29.04.16	2	13.7
030	15:03:31	29.04.16	2	13.7
032	15:03:33	29.04.16	2	4.7
032	15:03:33	29.04.16	2	4.7
043	15:03:49	29.04.16	2	5.6
043	15:03:49	29.04.16	2	5.6
040	15:04:14	29.04.16	2	5.4
040	15:04:14	29.04.16	2	5.4
045	15:04:58	29.04.16	2	3.9
045	15:04:58	29.04.16	2	3.9
039	15:05:56	29.04.16	2	4.8
039	15:05:56	29.04.16	2	4.8
039	15:06:32	29.04.16	2	4.2
039	15:06:32	29.04.16	2	4.2
033	15:07:15	29.04.16	2	3.2
033	15:07:15	29.04.16	2	3.2
036	15:07:42	29.04.16	2	5.6
036	15:07:42	29.04.16	2	5.6
017	15:08:03	29.04.16	2	3.1
017	15:08:03	29.04.16	2	3.1
017	15:08:04	29.04.16	2	0.7
017	15:08:04	29.04.16	2	0.7
036	15:09:58	29.04.16	2	5.6
036	15:09:58	29.04.16	2	5.6
040	15:10:22	29.04.16	2	5.7
040	15:10:22	29.04.16	2	5.7
039	15:10:24	29.04.16	2	4.7
039	15:10:24	29.04.16	2	4.7
038	15:10:26	29.04.16	2	4.9
038	15:10:26	29.04.16	2	4.9
034	15:10:52	29.04.16	2	5.1
034	15:10:52	29.04.16	2	5.1
038	15:11:06	29.04.16	2	5.3
038	15:11:06	29.04.16	2	5.3
041	15:11:10	29.04.16	2	5.8
041	15:11:10	29.04.16	2	5.8
039	15:11:33	29.04.16	2	5.3
039	15:11:33	29.04.16	2	5.3
038	15:12:50	29.04.16	2	5.9
038	15:12:50	29.04.16	2	5.9
024	15:13:09	29.04.16	2	2.7
024	15:13:09	29.04.16	2	2.7
035	15:13:57	29.04.16	2	2.5
035	15:13:57	29.04.16	2	2.5
045	15:14:13	29.04.16	2	4.9
045	15:14:13	29.04.16	2	4.9
038	15:14:21	29.04.16	2	4.7
038	15:14:21	29.04.16	2	4.7
040	15:14:23	29.04.16	2	6.4
040	15:14:23	29.04.16	2	6.4
042	15:14:28	29.04.16	2	5.1
042	15:14:28	29.04.16	2	5.1
041	15:14:30	29.04.16	2	5.1
041	15:14:30	29.04.16	2	5.1
036	15:14:55	29.04.16	2	6.3
036	15:14:55	29.04.16	2	6.3
025	15:16:24	29.04.16	2	9.9
025	15:16:24	29.04.16	2	9.9
024	15:16:26	29.04.16	2	0.6
024	15:16:26	29.04.16	2	0.6
032	15:16:30	29.04.16	2	6.2
032	15:16:30	29.04.16	2	6.2
036	15:17:57	29.04.16	2	5.1
036	15:17:57	29.04.16	2	5.1
029	15:20:26	29.04.16	2	5.9
029	15:20:26	29.04.16	2	5.9
041	15:20:52	29.04.16	2	4.8
041	15:20:52	29.04.16	2	4.8
051	15:21:05	29.04.16	2	4.7
051	15:21:05	29.04.16	2	4.7
046	15:21:07	29.04.16	2	6.1
046	15:21:07	29.04.16	2	6.1
043	15:21:09	29.04.16	2	6.4
043	15:21:09	29.04.16	2	6.4
040	15:21:11	29.04.16	2	5.5
040	15:21:11	29.04.16	2	5.5
039	15:21:15	29.04.16	2	5.6
039	15:21:15	29.04.16	2	5.6
028	15:22:29	29.04.16	2	5.3
028	15:22:29	29.04.16	2	5.3
041	15:22:43	29.04.16	2	5.5
041	15:22:43	29.04.16	2	5.5
044	15:23:04	29.04.16	2	5.7
044	15:23:04	29.04.16	2	5.7
042	15:23:05	29.04.16	2	2.9
042	15:23:05	29.04.16	2	2.9
043	15:23:23	29.04.16	2	5.4
043	15:23:23	29.04.16	2	5.4
036	15:23:41	29.04.16	2	6.3
036	15:23:41	29.04.16	2	6.3
041	15:24:10	29.04.16	2	5.3
041	15:24:10	29.04.16	2	5.3
040	15:24:11	29.04.16	2	5.1
040	15:24:11	29.04.16	2	5.1
041	15:24:14	29.04.16	2	7.3
041	15:24:14	29.04.16	2	7.3
041	15:24:23	29.04.16	2	5.2
041	15:24:23	29.04.16	2	5.2
037	15:26:07	29.04.16	2	5.5
037	15:26:07	29.04.16	2	5.5
047	15:26:41	29.04.16	2	6.6
047	15:26:41	29.04.16	2	6.6
038	15:27:17	29.04.16	2	4.1
038	15:27:17	29.04.16	2	4.1
046	15:27:23	29.04.16	2	5.3
046	15:27:23	29.04.16	2	5.3
040	15:27:47	29.04.16	2	4.3
040	15:27:47	29.04.16	2	4.3
035	15:27:56	29.04.16	2	7.2
035	15:27:56	29.04.16	2	7.2
033	15:27:57	29.04.16	2	4.7
033	15:27:57	29.04.16	2	4.7
037	15:28:00	29.04.16	2	3.1
037	15:28:00	29.04.16	2	3.1
053	15:28:13	29.04.16	2	6.1
053	15:28:13	29.04.16	2	6.1
047	15:28:36	29.04.16	2	4.6
047	15:28:36	29.04.16	2	4.6
048	15:28:58	29.04.16	2	6.0
048	15:28:58	29.04.16	2	6.0
020	15:29:12	29.04.16	2	2.8
020	15:29:12	29.04.16	2	2.8
027	15:29:16	29.04.16	2	2.7
027	15:29:16	29.04.16	2	2.7
041	15:29:23	29.04.16	2	5.4
041	15:29:23	29.04.16	2	5.4
040	15:29:24	29.04.16	2	5.2
040	15:29:24	29.04.16	2	5.2
042	15:29:31	29.04.16	2	5.9
042	15:29:31	29.04.16	2	5.9
043	15:30:18	29.04.16	2	6.1
043	15:30:18	29.04.16	2	6.1
045	15:31:39	29.04.16	2	6.4
045	15:31:39	29.04.16	2	6.4
042	15:31:41	29.04.16	2	7.3
042	15:31:41	29.04.16	2	7.3
016	15:32:00	29.04.16	2	2.3
016	15:32:00	29.04.16	2	2.3
