

Standort: 4-Mohrgartenring

[km/h]				 [m]
Dateformat: dd.mm.yy
033	13:45:24	17.02.17	1	17.5
031	13:45:25	17.02.17	1	4.2
031	13:45:27	17.02.17	1	4.2
033	13:45:29	17.02.17	1	3.8
033	13:45:31	17.02.17	1	2.5
032	13:45:34	17.02.17	1	3.7
029	13:45:36	17.02.17	1	3.8
027	13:45:37	17.02.17	1	2.3
035	13:45:44	17.02.17	1	4.6
042	13:46:29	17.02.17	1	5.4
037	13:46:31	17.02.17	1	5.0
044	13:46:41	17.02.17	1	4.5
039	13:46:45	17.02.17	1	2.8
037	13:46:47	17.02.17	1	3.3
039	13:46:50	17.02.17	1	4.1
037	13:46:52	17.02.17	1	4.6
025	13:47:19	17.02.17	1	0.5
034	13:47:24	17.02.17	1	6.5
028	13:47:33	17.02.17	1	4.9
027	13:47:35	17.02.17	1	4.1
025	13:47:40	17.02.17	1	2.0
026	13:47:44	17.02.17	1	8.3
024	13:47:46	17.02.17	1	6.9
035	13:47:51	17.02.17	1	5.7
035	13:47:52	17.02.17	1	5.6
032	13:47:54	17.02.17	1	5.0
030	13:48:25	17.02.17	1	25.5
042	13:49:24	17.02.17	1	6.5
040	13:49:25	17.02.17	1	3.6
042	13:49:28	17.02.17	1	4.5
042	13:49:30	17.02.17	1	5.4
038	13:49:33	17.02.17	1	0.9
039	13:49:34	17.02.17	1	4.8
043	13:49:45	17.02.17	1	1.8
043	13:49:46	17.02.17	1	4.2
045	13:49:52	17.02.17	1	4.8
044	13:49:56	17.02.17	1	4.5
043	13:49:59	17.02.17	1	5.0
041	13:50:02	17.02.17	1	4.8
048	13:50:05	17.02.17	1	5.3
052	13:50:11	17.02.17	1	4.3
052	13:50:27	17.02.17	1	4.9
044	13:50:52	17.02.17	1	4.2
045	13:51:04	17.02.17	1	4.2
046	13:51:06	17.02.17	1	4.4
046	13:51:18	17.02.17	1	1.7
050	13:51:19	17.02.17	1	5.7
058	13:51:25	17.02.17	1	4.6
053	13:51:28	17.02.17	1	0.7
053	13:51:29	17.02.17	1	4.4
052	13:51:33	17.02.17	1	4.4
051	13:51:35	17.02.17	1	5.2
046	13:51:38	17.02.17	1	3.1
048	13:51:41	17.02.17	1	4.8
052	13:52:12	17.02.17	1	5.1
050	13:52:14	17.02.17	1	5.2
049	13:52:18	17.02.17	1	4.7
047	13:52:28	17.02.17	1	3.8
049	13:52:29	17.02.17	1	6.3
049	13:52:45	17.02.17	1	4.4
045	13:52:47	17.02.17	1	4.3
057	13:52:51	17.02.17	1	1.8
056	13:52:52	17.02.17	1	3.7
045	13:53:02	17.02.17	1	2.5
045	13:53:03	17.02.17	1	5.2
054	13:53:12	17.02.17	1	0.9
055	13:53:13	17.02.17	1	4.0
054	13:53:23	17.02.17	1	0.8
056	13:53:24	17.02.17	1	4.3
057	13:53:26	17.02.17	1	5.0
058	13:53:45	17.02.17	1	4.6
046	13:53:58	17.02.17	1	1.4
048	13:53:59	17.02.17	1	5.2
051	13:54:04	17.02.17	1	5.2
049	13:54:07	17.02.17	1	3.8
050	13:54:09	17.02.17	1	4.7
048	13:54:12	17.02.17	1	4.0
050	13:54:28	17.02.17	1	0.8
055	13:54:29	17.02.17	1	5.5
048	13:54:32	17.02.17	1	4.3
051	13:54:58	17.02.17	1	1.2
050	13:54:58	17.02.17	1	5.2
046	13:55:03	17.02.17	1	4.6
053	13:55:07	17.02.17	1	2.2
057	13:55:08	17.02.17	1	4.7
057	13:55:41	17.02.17	1	4.5
022	13:55:51	17.02.17	1	0.5
046	13:56:09	17.02.17	1	4.7
042	13:56:19	17.02.17	1	4.5
039	13:56:27	17.02.17	1	5.8
040	13:56:30	17.02.17	1	20.0
040	13:56:32	17.02.17	1	5.4
048	13:56:51	17.02.17	1	2.8
048	13:56:52	17.02.17	1	4.6
048	13:57:10	17.02.17	1	0.7
050	13:57:11	17.02.17	1	6.0
047	13:57:14	17.02.17	1	4.1
049	13:57:26	17.02.17	1	18.4
047	13:57:28	17.02.17	1	4.4
049	13:57:29	17.02.17	1	1.4
049	13:57:30	17.02.17	1	5.1
049	13:57:31	17.02.17	1	2.3
050	13:57:32	17.02.17	1	5.8
046	13:57:34	17.02.17	1	5.2
047	13:57:36	17.02.17	1	3.6
046	13:57:38	17.02.17	1	4.2
048	13:57:41	17.02.17	1	4.5
047	13:57:42	17.02.17	1	4.3
053	13:58:20	17.02.17	1	6.3
050	13:58:25	17.02.17	1	19.2
046	13:58:27	17.02.17	1	2.4
