

Standort: 4-Reinacherstras

[km/h]				 [m]
Dateformat: dd.mm.yy
020	09:24:55	22.01.16	1	2.2
056	09:25:32	22.01.16	1	3.4
028	09:25:52	22.01.16	1	6.0
026	09:25:59	22.01.16	1	6.7
041	09:26:03	22.01.16	1	5.4
056	09:26:28	22.01.16	1	4.3
042	09:26:53	22.01.16	1	7.1
052	09:26:57	22.01.16	1	4.1
051	09:26:58	22.01.16	1	3.6
047	09:28:06	22.01.16	1	6.7
049	09:28:08	22.01.16	1	7.4
052	09:28:59	22.01.16	1	6.3
052	09:29:31	22.01.16	1	4.7
055	09:29:34	22.01.16	1	6.6
017	09:29:39	22.01.16	1	2.7
041	09:29:46	22.01.16	1	5.9
046	09:30:06	22.01.16	1	5.4
038	09:30:24	22.01.16	1	1.5
038	09:30:25	22.01.16	1	13.9
041	09:30:28	22.01.16	1	20.3
038	09:30:34	22.01.16	1	4.7
035	09:30:35	22.01.16	1	4.7
036	09:30:38	22.01.16	1	1.5
031	09:30:43	22.01.16	1	8.8
052	09:31:03	22.01.16	1	5.6
049	09:31:07	22.01.16	1	6.6
050	09:31:10	22.01.16	1	6.6
040	09:31:13	22.01.16	1	8.2
045	09:31:31	22.01.16	1	5.0
048	09:31:40	22.01.16	1	6.6
047	09:31:42	22.01.16	1	5.7
045	09:31:49	22.01.16	1	12.6
050	09:31:50	22.01.16	1	12.5
050	09:31:52	22.01.16	1	5.6
049	09:32:32	22.01.16	1	6.2
050	09:32:35	22.01.16	1	6.0
051	09:32:36	22.01.16	1	5.8
052	09:33:15	22.01.16	1	5.9
053	09:33:21	22.01.16	1	4.2
056	09:33:39	22.01.16	1	6.0
060	09:35:23	22.01.16	1	5.5
060	09:35:25	22.01.16	1	5.8
054	09:35:29	22.01.16	1	6.3
051	09:35:31	22.01.16	1	7.9
051	09:35:34	22.01.16	1	6.8
050	09:35:36	22.01.16	1	5.1
055	09:36:03	22.01.16	1	4.9
060	09:36:06	22.01.16	1	6.8
051	09:36:11	22.01.16	1	5.9
048	09:36:31	22.01.16	1	7.7
052	09:36:32	22.01.16	1	6.6
058	09:37:08	22.01.16	1	7.2
049	09:37:16	22.01.16	1	5.7
060	09:37:42	22.01.16	1	7.2
059	09:37:44	22.01.16	1	7.4
038	09:37:52	22.01.16	1	4.9
051	09:38:00	22.01.16	1	7.7
055	09:38:52	22.01.16	1	9.9
056	09:38:55	22.01.16	1	5.2
058	09:39:07	22.01.16	1	4.9
059	09:39:15	22.01.16	1	4.7
054	09:40:19	22.01.16	1	5.9
056	09:40:25	22.01.16	1	6.4
052	09:40:27	22.01.16	1	6.0
056	09:40:29	22.01.16	1	5.4
056	09:40:32	22.01.16	1	6.4
059	09:40:34	22.01.16	1	6.1
058	09:41:10	22.01.16	1	5.8
045	09:41:17	22.01.16	1	5.4
055	09:41:21	22.01.16	1	5.8
049	09:41:23	22.01.16	1	6.3
047	09:41:41	22.01.16	1	6.0
052	09:41:52	22.01.16	1	4.9
053	09:41:54	22.01.16	1	5.3
053	09:41:55	22.01.16	1	6.3
050	09:42:17	22.01.16	1	6.4
046	09:42:45	22.01.16	1	6.6
048	09:42:48	22.01.16	1	5.4
044	09:42:50	22.01.16	1	3.4
045	09:42:51	22.01.16	1	6.2
045	09:42:53	22.01.16	1	6.7
050	09:43:01	22.01.16	1	7.4
055	09:43:05	22.01.16	1	4.1
049	09:43:10	22.01.16	1	8.7
055	09:44:15	22.01.16	1	5.4
055	09:44:19	22.01.16	1	6.5
046	09:44:52	22.01.16	1	7.7
047	09:44:54	22.01.16	1	14.3
049	09:44:57	22.01.16	1	22.0
054	09:44:59	22.01.16	1	10.2
052	09:45:01	22.01.16	1	6.1
054	09:45:03	22.01.16	1	5.7
050	09:45:05	22.01.16	1	5.7
046	09:45:10	22.01.16	1	5.5
048	09:45:16	22.01.16	1	7.4
047	09:45:18	22.01.16	1	6.3
048	09:45:26	22.01.16	1	6.4
041	09:45:33	22.01.16	1	6.3
054	09:45:38	22.01.16	1	4.7
050	09:45:42	22.01.16	1	6.8
050	09:45:44	22.01.16	1	6.9
051	09:45:49	22.01.16	1	5.2
052	09:46:02	22.01.16	1	5.8
050	09:46:04	22.01.16	1	4.2
048	09:46:07	22.01.16	1	5.9
051	09:46:35	22.01.16	1	7.0
042	09:46:50	22.01.16	1	8.4
047	09:46:52	22.01.16	1	12.5
023	09:46:56	22.01.16	1	3.2
049	09:46:59	22.01.16	1	5.8
055	09:47:47	22.01.16	1	3.1
058	09:47:52	22.01.16	1	25.5
053	09:47:57	22.01.16	1	6.4
032	09:47:59	22.01.16	1	4.5
049	09:48:01	22.01.16	1	6.2
040	09:48:12	22.01.16	1	7.3
036	09:48:15	22.01.16	1	6.2
037	09:48:18	22.01.16	1	14.8
035	09:48:19	22.01.16	1	5.0
036	09:48:22	22.01.16	1	19.5
038	09:48:24	22.01.16	1	4.3
054	09:48:46	22.01.16	1	6.2
051	09:48:48	22.01.16	1	7.2
049	09:48:49	22.01.16	1	6.5
053	09:49:43	22.01.16	1	5.6
052	09:49:45	22.01.16	1	5.4
049	09:49:48	22.01.16	1	4.7
047	09:49:51	22.01.16	1	6.5
046	09:49:52	22.01.16	1	4.8
045	09:49:55	22.01.16	1	4.6
047	09:49:57	22.01.16	1	5.0
049	09:50:02	22.01.16	1	7.1
051	09:50:04	22.01.16	1	4.1
046	09:50:07	22.01.16	1	5.1
044	09:50:08	22.01.16	1	4.8
045	09:50:11	22.01.16	1	4.8
052	09:50:14	22.01.16	1	3.8
048	09:51:01	22.01.16	1	7.2
047	09:51:03	22.01.16	1	7.1
053	09:51:05	22.01.16	1	5.7
050	09:51:07	22.01.16	1	5.0
053	09:51:12	22.01.16	1	7.2
043	09:51:13	22.01.16	1	2.3
048	09:51:16	22.01.16	1	12.5
054	09:51:17	22.01.16	1	6.4
046	09:51:21	22.01.16	1	5.0
048	09:51:24	22.01.16	1	6.3
054	09:51:25	22.01.16	1	3.6
050	09:51:31	22.01.16	1	4.9
054	09:51:34	22.01.16	1	6.3
