

Standort: 4-Schaeublinstr

[km/h]				 [m]
Dateformat: dd.mm.yy
041	17:29:27	07.08.17	1	1.6
023	17:33:16	07.08.17	1	2.8
042	17:40:26	07.08.17	1	6.0
033	17:41:03	07.08.17	1	1.4
040	17:49:31	07.08.17	1	5.7
042	17:51:23	07.08.17	1	5.8
010	17:55:21	07.08.17	1	3.0
045	17:56:39	07.08.17	1	6.4
049	17:58:24	07.08.17	1	6.2
035	18:01:34	07.08.17	1	5.3
043	18:03:04	07.08.17	1	2.6
038	18:07:06	07.08.17	1	2.2
040	18:08:15	07.08.17	1	5.4
048	18:19:58	07.08.17	1	5.9
027	18:28:09	07.08.17	1	4.9
037	18:32:04	07.08.17	1	1.2
045	18:41:13	07.08.17	1	1.9
030	18:47:16	07.08.17	1	4.8
023	18:52:35	07.08.17	1	2.3
040	18:55:19	07.08.17	1	2.2
044	18:56:05	07.08.17	1	1.8
034	18:56:40	07.08.17	1	8.0
028	18:59:23	07.08.17	1	1.8
037	19:06:51	07.08.17	1	2.4
035	19:10:07	07.08.17	1	5.7
009	19:21:07	07.08.17	1	2.5
032	19:34:15	07.08.17	1	5.8
043	19:41:35	07.08.17	1	2.2
045	19:45:17	07.08.17	1	6.3
041	19:48:08	07.08.17	1	5.9
033	19:49:55	07.08.17	1	6.5
047	19:55:56	07.08.17	1	6.5
029	19:58:37	07.08.17	1	5.3
036	20:02:45	07.08.17	1	5.7
007	20:04:58	07.08.17	1	1.2
042	20:07:32	07.08.17	1	2.9
039	20:26:19	07.08.17	1	6.1
046	20:27:38	07.08.17	1	6.2
038	20:28:31	07.08.17	1	5.4
041	20:34:26	07.08.17	1	1.7
047	20:47:56	07.08.17	1	5.4
024	20:48:19	07.08.17	1	3.0
042	20:53:07	07.08.17	1	2.0
009	20:56:02	07.08.17	1	0.9
039	20:57:10	07.08.17	1	2.5
033	21:07:10	07.08.17	1	5.4
013	21:13:04	07.08.17	1	1.2
015	21:13:06	07.08.17	1	2.0
031	21:16:53	07.08.17	1	5.9
028	21:33:05	07.08.17	1	6.3
039	21:46:04	07.08.17	1	5.8
031	22:11:29	07.08.17	1	5.0
046	22:23:55	07.08.17	1	2.5
033	22:36:15	07.08.17	1	1.9
007	22:37:21	07.08.17	1	0.9
008	22:37:26	07.08.17	1	2.0
036	22:43:41	07.08.17	1	1.5
