

Standort: 4-Schliengerweg

[km/h]				 [m]
Dateformat: dd.mm.yy
033	13:51:57	02.10.17	2	3.9
024	13:53:32	02.10.17	2	6.3
022	13:54:55	02.10.17	2	4.3
029	13:55:58	02.10.17	2	7.9
022	13:58:02	02.10.17	2	1.1
032	13:58:48	02.10.17	2	8.3
031	14:02:26	02.10.17	2	5.8
028	14:02:59	02.10.17	2	7.2
027	14:04:09	02.10.17	2	7.4
030	14:06:58	02.10.17	2	6.2
019	14:09:56	02.10.17	2	5.9
009	14:13:11	02.10.17	2	25.5
009	14:13:15	02.10.17	2	5.1
033	14:19:50	02.10.17	2	5.1
033	14:21:33	02.10.17	2	6.8
025	14:24:15	02.10.17	2	5.1
025	14:24:21	02.10.17	2	2.1
023	14:25:02	02.10.17	2	6.6
031	14:26:50	02.10.17	2	3.7
030	14:29:32	02.10.17	2	5.4
027	14:31:25	02.10.17	2	6.8
027	14:31:48	02.10.17	2	5.0
042	14:32:14	02.10.17	2	7.1
025	14:32:19	02.10.17	2	6.7
021	14:32:45	02.10.17	2	4.7
034	14:33:12	02.10.17	2	5.3
027	14:34:26	02.10.17	2	5.9
024	14:34:32	02.10.17	2	5.6
033	14:35:13	02.10.17	2	6.6
015	14:40:31	02.10.17	2	5.8
022	14:40:37	02.10.17	2	16.9
023	14:41:31	02.10.17	2	6.3
040	14:42:53	02.10.17	2	4.3
016	14:44:34	02.10.17	2	6.0
023	14:49:13	02.10.17	2	5.5
019	14:50:54	02.10.17	2	2.1
020	15:03:45	02.10.17	2	1.3
014	15:05:26	02.10.17	2	1.9
025	15:09:54	02.10.17	2	5.9
020	15:12:42	02.10.17	2	6.3
029	15:13:33	02.10.17	2	9.0
031	15:17:03	02.10.17	2	5.8
026	15:18:22	02.10.17	2	4.6
026	15:18:26	02.10.17	2	5.3
020	15:21:12	02.10.17	2	5.8
013	15:22:56	02.10.17	2	3.1
027	15:26:35	02.10.17	2	7.3
035	15:28:37	02.10.17	2	6.2
018	15:30:24	02.10.17	2	10.5
032	15:31:38	02.10.17	2	6.1
032	15:31:41	02.10.17	2	6.0
022	15:32:00	02.10.17	2	5.0
017	15:34:11	02.10.17	2	1.5
023	15:34:37	02.10.17	2	4.5
027	15:36:42	02.10.17	2	6.9
026	15:38:11	02.10.17	2	6.7
032	15:42:25	02.10.17	2	5.5
027	15:42:55	02.10.17	2	4.9
026	15:43:02	02.10.17	2	7.0
019	15:47:40	02.10.17	2	7.5
028	15:48:50	02.10.17	2	9.2
020	15:52:14	02.10.17	2	1.4
035	16:03:15	02.10.17	2	6.7
027	16:03:29	02.10.17	2	4.6
035	16:04:54	02.10.17	2	6.7
024	16:05:08	02.10.17	2	9.5
025	16:09:59	02.10.17	2	7.8
028	16:12:49	02.10.17	2	5.1
