

Standort: 4-Sieglinweg

[km/h]				 [m]
Dateformat: dd.mm.yy
011	17:08:59	28.10.16	1	4.2
013	17:10:43	28.10.16	1	4.3
009	17:11:13	28.10.16	1	3.4
009	17:12:27	28.10.16	1	2.4
007	17:12:47	28.10.16	1	1.6
009	17:12:50	28.10.16	1	2.7
005	17:13:06	28.10.16	1	1.8
006	17:22:05	28.10.16	1	2.3
014	17:30:01	28.10.16	1	4.2
018	17:39:21	28.10.16	1	3.9
028	17:40:48	28.10.16	1	5.9
015	17:47:39	28.10.16	1	4.2
009	17:57:12	28.10.16	1	5.4
006	18:03:48	28.10.16	1	1.6
012	18:05:21	28.10.16	1	7.0
016	18:05:24	28.10.16	1	4.3
015	18:12:43	28.10.16	1	1.7
015	18:12:45	28.10.16	1	4.1
020	18:12:47	28.10.16	1	5.0
025	18:16:48	28.10.16	1	3.9
006	18:20:23	28.10.16	1	1.8
022	18:27:53	28.10.16	1	4.3
020	18:28:07	28.10.16	1	4.7
017	18:28:15	28.10.16	1	4.7
018	18:30:17	28.10.16	1	4.6
017	18:35:28	28.10.16	1	4.1
009	18:43:15	28.10.16	1	6.4
013	18:58:34	28.10.16	1	3.9
009	19:07:57	28.10.16	1	5.4
019	19:44:57	28.10.16	1	7.0
017	19:58:51	28.10.16	1	3.5
015	20:05:42	28.10.16	1	4.9
007	20:29:32	28.10.16	1	3.8
009	20:52:39	28.10.16	1	5.5
016	21:32:17	28.10.16	1	3.6
019	21:41:52	28.10.16	1	5.0
010	22:49:27	28.10.16	1	6.4
018	22:49:46	28.10.16	1	4.7
021	00:02:14	29.10.16	1	6.2
008	04:45:17	29.10.16	1	3.9
019	05:23:42	29.10.16	1	5.1
007	07:01:18	29.10.16	1	1.8
009	08:12:25	29.10.16	1	6.0
013	08:43:24	29.10.16	1	4.8
016	08:47:25	29.10.16	1	4.1
007	08:55:25	29.10.16	1	2.0
022	08:56:13	29.10.16	1	4.1
009	09:09:11	29.10.16	1	6.1
015	09:34:46	29.10.16	1	3.7
006	09:37:31	29.10.16	1	2.3
007	09:50:56	29.10.16	1	1.7
022	09:52:32	29.10.16	1	5.5
022	09:59:17	29.10.16	1	3.6
025	10:00:08	29.10.16	1	3.9
008	10:01:50	29.10.16	1	1.7
008	10:03:50	29.10.16	1	3.2
012	10:11:53	29.10.16	1	2.2
021	10:14:49	29.10.16	1	4.5
009	10:21:07	29.10.16	1	6.2
