

Standort: 4-StJakobs-Stras

[km/h]				 [m]
Dateformat: dd.mm.yy
010	11:36:08	08.07.16	1	2.7
012	11:38:04	08.07.16	1	4.5
015	11:42:32	08.07.16	1	1.9
017	11:42:35	08.07.16	1	14.4
004	11:50:05	08.07.16	1	1.5
006	11:51:59	08.07.16	1	1.7
005	12:00:25	08.07.16	1	1.6
005	12:01:41	08.07.16	1	1.7
018	12:04:20	08.07.16	1	4.1
005	12:06:48	08.07.16	1	1.7
024	12:16:38	08.07.16	1	4.7
026	12:18:22	08.07.16	1	9.5
015	12:31:06	08.07.16	1	3.6
016	12:31:15	08.07.16	1	3.3
006	12:36:34	08.07.16	1	1.4
035	12:49:18	08.07.16	1	3.8
034	12:49:18	08.07.16	1	4.7
038	12:50:19	08.07.16	1	9.8
042	12:51:44	08.07.16	1	7.4
024	13:05:11	08.07.16	1	1.8
023	13:05:11	08.07.16	1	1.8
023	13:05:11	08.07.16	1	3.1
039	13:10:12	08.07.16	1	8.9
006	13:15:35	08.07.16	1	1.5
009	13:16:09	08.07.16	1	2.4
005	13:17:13	08.07.16	1	1.7
005	13:22:49	08.07.16	1	1.7
008	13:22:59	08.07.16	1	3.7
034	13:26:24	08.07.16	1	7.4
029	13:27:40	08.07.16	1	3.1
031	13:28:16	08.07.16	1	4.2
029	13:28:17	08.07.16	1	1.5
005	13:40:27	08.07.16	1	1.5
013	13:40:30	08.07.16	1	4.9
041	13:57:48	08.07.16	1	7.3
039	13:59:48	08.07.16	1	6.9
007	14:18:39	08.07.16	1	3.1
005	14:28:06	08.07.16	1	1.4
043	14:28:30	08.07.16	1	3.4
043	14:28:30	08.07.16	1	4.4
041	14:45:47	08.07.16	1	9.4
006	14:46:08	08.07.16	1	1.8
007	14:58:10	08.07.16	1	3.1
012	14:58:20	08.07.16	1	4.4
015	15:01:10	08.07.16	1	2.2
023	15:03:04	08.07.16	1	1.4
026	15:03:05	08.07.16	1	3.6
020	15:06:15	08.07.16	1	16.8
006	15:23:19	08.07.16	1	2.0
048	15:26:57	08.07.16	1	5.5
007	15:28:09	08.07.16	1	1.6
042	15:39:13	08.07.16	1	6.7
039	15:40:22	08.07.16	1	3.5
038	15:40:22	08.07.16	1	2.2
006	15:41:59	08.07.16	1	1.6
007	15:47:08	08.07.16	1	4.3
008	15:47:09	08.07.16	1	3.3
009	15:47:10	08.07.16	1	1.7
008	15:47:12	08.07.16	1	5.2
005	15:48:52	08.07.16	1	2.3
004	15:54:12	08.07.16	1	2.0
005	15:55:20	08.07.16	1	1.7
014	15:57:26	08.07.16	1	1.5
007	15:57:30	08.07.16	1	4.5
029	15:58:06	08.07.16	1	1.4
030	15:58:06	08.07.16	1	4.6
028	15:58:07	08.07.16	1	1.7
030	15:58:56	08.07.16	1	7.5
023	15:59:44	08.07.16	1	2.8
020	15:59:44	08.07.16	1	2.6
006	16:14:20	08.07.16	1	2.0
005	16:14:20	08.07.16	1	1.4
044	16:19:09	08.07.16	1	9.5
027	16:23:13	08.07.16	1	2.5
024	16:23:14	08.07.16	1	4.7
008	16:28:26	08.07.16	1	4.7
034	16:33:34	08.07.16	1	7.6
004	16:36:06	08.07.16	1	2.2
005	16:39:03	08.07.16	1	1.4
005	16:44:05	08.07.16	1	1.8
021	17:01:11	08.07.16	1	3.7
005	17:06:20	08.07.16	1	1.4
019	17:07:28	08.07.16	1	4.7
