

Standort: Elisabethenstras

[km/h]				 [m]
Dateformat: dd.mm.yy
013	08:54:34	10.03.15	2	1.7
043	08:54:55	10.03.15	2	8.3
031	08:54:57	10.03.15	2	3.9
027	08:54:59	10.03.15	2	9.0
027	08:55:01	10.03.15	2	7.8
029	08:55:04	10.03.15	2	9.4
025	08:55:05	10.03.15	2	4.5
028	08:55:05	10.03.15	2	3.1
026	08:55:09	10.03.15	2	6.8
025	08:55:10	10.03.15	2	4.5
042	08:55:25	10.03.15	2	9.2
037	08:55:44	10.03.15	2	8.3
037	08:55:48	10.03.15	2	8.9
032	08:55:50	10.03.15	2	7.9
031	08:55:52	10.03.15	2	8.8
024	08:55:55	10.03.15	2	8.1
023	08:55:57	10.03.15	2	8.4
037	08:56:42	10.03.15	2	9.2
022	08:56:47	10.03.15	2	4.8
019	08:56:48	10.03.15	2	3.6
028	08:57:36	10.03.15	2	1.6
028	08:57:40	10.03.15	2	3.5
026	08:57:43	10.03.15	2	2.7
040	08:58:37	10.03.15	2	9.4
030	08:58:39	10.03.15	2	4.5
026	08:58:41	10.03.15	2	2.1
038	08:58:42	10.03.15	2	3.4
030	08:59:03	10.03.15	2	16.0
026	08:59:06	10.03.15	2	4.1
031	08:59:06	10.03.15	2	3.1
034	08:59:09	10.03.15	2	3.2
035	08:59:10	10.03.15	2	2.3
042	08:59:10	10.03.15	2	2.3
025	08:59:23	10.03.15	2	3.3
030	08:59:23	10.03.15	2	2.5
030	08:59:23	10.03.15	2	1.7
030	08:59:23	10.03.15	2	1.7
037	08:59:56	10.03.15	2	2.1
047	08:59:56	10.03.15	2	2.9
030	09:00:04	10.03.15	2	9.7
036	09:00:36	10.03.15	2	5.9
037	09:00:37	10.03.15	2	2.2
026	09:00:56	10.03.15	2	3.2
031	09:00:59	10.03.15	2	18.5
031	09:01:02	10.03.15	2	25.5
027	09:01:04	10.03.15	2	2.7
030	09:01:04	10.03.15	2	4.1
023	09:01:06	10.03.15	2	3.5
029	09:01:06	10.03.15	2	4.2
028	09:01:09	10.03.15	2	6.6
023	09:01:13	10.03.15	2	3.8
022	09:01:13	10.03.15	2	1.7
015	09:01:16	10.03.15	2	2.3
016	09:01:17	10.03.15	2	2.0
032	09:01:43	10.03.15	2	4.3
037	09:01:44	10.03.15	2	4.6
031	09:01:46	10.03.15	2	11.7
038	09:01:50	10.03.15	2	6.8
051	09:02:00	10.03.15	2	7.8
035	09:02:29	10.03.15	2	7.5
032	09:03:51	10.03.15	2	8.5
031	09:03:52	10.03.15	2	5.3
032	09:03:56	10.03.15	2	8.0
035	09:03:59	10.03.15	2	8.7
029	09:04:03	10.03.15	2	11.1
018	09:04:05	10.03.15	2	4.5
031	09:04:31	10.03.15	2	7.1
019	09:10:10	10.03.15	2	4.4
018	09:10:18	10.03.15	2	5.7
020	09:10:19	10.03.15	2	2.1
019	09:10:51	10.03.15	2	6.2
034	09:11:32	10.03.15	2	3.7
033	09:11:37	10.03.15	2	5.5
033	09:11:39	10.03.15	2	1.2
030	09:11:42	10.03.15	2	3.2
036	09:12:06	10.03.15	2	7.8
020	09:12:42	10.03.15	2	0.8
036	09:13:25	10.03.15	2	5.9
034	09:13:26	10.03.15	2	4.5
030	09:13:32	10.03.15	2	4.5
029	09:13:34	10.03.15	2	4.5
029	09:13:37	10.03.15	2	4.2
026	09:13:40	10.03.15	2	5.4
037	09:14:29	10.03.15	2	7.9
039	09:14:36	10.03.15	2	2.9
035	09:14:39	10.03.15	2	4.2
021	09:14:41	10.03.15	2	0.7
019	09:14:45	10.03.15	2	3.7
028	09:14:58	10.03.15	2	25.5
031	09:14:59	10.03.15	2	4.0
027	09:15:01	10.03.15	2	3.7
027	09:15:03	10.03.15	2	4.9
028	09:15:05	10.03.15	2	6.0
022	09:15:10	10.03.15	2	0.9
034	09:15:24	10.03.15	2	5.6
018	09:15:33	10.03.15	2	0.7
031	09:15:39	10.03.15	2	6.4
032	09:16:40	10.03.15	2	6.1
029	09:16:45	10.03.15	2	7.8
029	09:16:46	10.03.15	2	4.3
026	09:16:48	10.03.15	2	3.9
042	09:17:27	10.03.15	2	3.3
032	09:17:55	10.03.15	2	5.5
031	09:17:57	10.03.15	2	4.1
033	09:18:00	10.03.15	2	2.3
045	09:18:48	10.03.15	2	10.8
038	09:18:52	10.03.15	2	4.6
035	09:18:55	10.03.15	2	5.9
021	09:18:56	10.03.15	2	0.7
021	09:18:57	10.03.15	2	0.7
027	09:19:04	10.03.15	2	12.1
023	09:19:06	10.03.15	2	4.3
025	09:19:08	10.03.15	2	4.6
025	09:19:11	10.03.15	2	4.1
021	09:19:13	10.03.15	2	3.3
035	09:19:38	10.03.15	2	7.0
025	09:19:56	10.03.15	2	16.0
022	09:19:57	10.03.15	2	1.1
023	09:20:03	10.03.15	2	6.2
023	09:20:05	10.03.15	2	5.8
017	09:20:08	10.03.15	2	1.4
038	09:20:25	10.03.15	2	4.3
030	09:20:31	10.03.15	2	1.1
033	09:20:32	10.03.15	2	0.7
040	09:21:27	10.03.15	2	3.7
032	09:21:34	10.03.15	2	4.2
033	09:22:23	10.03.15	2	5.7
043	09:22:30	10.03.15	2	4.7
040	09:22:34	10.03.15	2	4.9
043	09:23:09	10.03.15	2	1.9
027	09:23:22	10.03.15	2	0.9
025	09:23:24	10.03.15	2	5.9
025	09:23:26	10.03.15	2	7.2
023	09:23:29	10.03.15	2	2.9
039	09:24:19	10.03.15	2	4.9
035	09:24:21	10.03.15	2	6.1
016	09:24:25	10.03.15	2	1.8
026	09:24:30	10.03.15	2	3.4
026	09:25:24	10.03.15	2	21.5
024	09:25:27	10.03.15	2	12.7
022	09:25:29	10.03.15	2	5.5
019	09:25:34	10.03.15	2	8.1
020	09:25:36	10.03.15	2	3.6
019	09:25:38	10.03.15	2	1.2
030	09:25:50	10.03.15	2	4.4
040	09:26:07	10.03.15	2	7.6
035	09:26:12	10.03.15	2	4.1
046	09:26:46	10.03.15	2	4.8
021	09:27:41	10.03.15	2	1.0
025	09:27:43	10.03.15	2	5.0
026	09:27:46	10.03.15	2	6.1
023	09:27:51	10.03.15	2	19.0
017	09:27:54	10.03.15	2	2.3
032	09:28:29	10.03.15	2	5.8
037	09:28:41	10.03.15	2	9.1
030	09:28:44	10.03.15	2	5.5
042	09:28:52	10.03.15	2	4.8
042	09:28:56	10.03.15	2	4.6
037	09:29:20	10.03.15	2	5.7
032	09:29:36	10.03.15	2	3.6
035	09:29:38	10.03.15	2	4.3
032	09:29:41	10.03.15	2	5.1
029	09:30:38	10.03.15	2	16.0
031	09:30:41	10.03.15	2	18.3
028	09:30:43	10.03.15	2	0.5
020	09:30:52	10.03.15	2	19.4
021	09:30:55	10.03.15	2	4.5
021	09:30:57	10.03.15	2	4.3
020	09:31:00	10.03.15	2	5.4
036	09:31:28	10.03.15	2	4.4
034	09:31:30	10.03.15	2	4.7
017	09:31:44	10.03.15	2	0.5
029	09:31:49	10.03.15	2	3.6
026	09:31:59	10.03.15	2	8.2
038	09:32:16	10.03.15	2	3.9
033	09:32:19	10.03.15	2	3.6
029	09:32:22	10.03.15	2	4.1
022	09:32:29	10.03.15	2	2.8
020	09:33:31	10.03.15	2	3.2
027	09:33:35	10.03.15	2	16.7
030	09:33:38	10.03.15	2	5.0
035	09:34:01	10.03.15	2	1.8
042	09:34:14	10.03.15	2	5.2
041	09:34:15	10.03.15	2	1.7
036	09:34:22	10.03.15	2	4.0
020	09:34:30	10.03.15	2	0.5
028	09:34:48	10.03.15	2	4.6
037	09:35:18	10.03.15	2	4.5
035	09:35:20	10.03.15	2	3.5
028	09:35:57	10.03.15	2	5.2
029	09:35:59	10.03.15	2	4.2
030	09:36:02	10.03.15	2	8.6
013	09:36:18	10.03.15	2	2.8
020	09:36:26	10.03.15	2	0.5
027	09:36:57	10.03.15	2	1.1
027	09:37:00	10.03.15	2	4.2
036	09:37:09	10.03.15	2	2.3
039	09:37:11	10.03.15	2	4.3
034	09:37:13	10.03.15	2	3.6
033	09:37:15	10.03.15	2	6.1
032	09:37:17	10.03.15	2	4.6
019	09:37:24	10.03.15	2	3.0
019	09:37:27	10.03.15	2	3.8
017	09:37:29	10.03.15	2	4.5
039	09:38:05	10.03.15	2	4.2
033	09:38:07	10.03.15	2	6.0
024	09:38:28	10.03.15	2	25.5
023	09:38:29	10.03.15	2	3.9
018	09:38:38	10.03.15	2	1.3
041	09:38:46	10.03.15	2	1.2
031	09:38:50	10.03.15	2	4.3
033	09:39:34	10.03.15	2	5.1
033	09:39:36	10.03.15	2	4.0
034	09:39:39	10.03.15	2	5.0
022	09:40:06	10.03.15	2	1.2
038	09:40:22	10.03.15	2	4.0
034	09:40:24	10.03.15	2	4.4
036	09:40:29	10.03.15	2	4.1
027	09:40:33	10.03.15	2	4.0
026	09:40:34	10.03.15	2	4.9
018	09:41:03	10.03.15	2	2.2
029	09:41:17	10.03.15	2	7.5
027	09:41:19	10.03.15	2	3.3
027	09:41:22	10.03.15	2	4.6
027	09:41:25	10.03.15	2	0.6
020	09:42:20	10.03.15	2	1.1
020	09:42:22	10.03.15	2	3.9
018	09:42:24	10.03.15	2	3.4
023	09:42:28	10.03.15	2	4.7
020	09:42:30	10.03.15	2	2.6
039	09:42:53	10.03.15	2	5.1
040	09:43:03	10.03.15	2	4.8
036	09:43:09	10.03.15	2	3.9
036	09:43:12	10.03.15	2	4.8
031	09:43:16	10.03.15	2	4.4
025	09:43:57	10.03.15	2	12.5
022	09:44:07	10.03.15	2	5.1
014	09:44:13	10.03.15	2	4.2
014	09:44:16	10.03.15	2	2.3
014	09:45:54	10.03.15	2	2.6
015	09:46:03	10.03.15	2	2.4
018	09:46:10	10.03.15	2	25.5
017	09:46:15	10.03.15	2	4.3
018	09:46:19	10.03.15	2	5.9
016	09:46:21	10.03.15	2	1.0
018	09:46:26	10.03.15	2	4.6
018	09:46:29	10.03.15	2	3.6
013	09:46:31	10.03.15	2	1.7
013	09:46:46	10.03.15	2	1.4
014	09:46:53	10.03.15	2	4.7
014	09:46:57	10.03.15	2	3.1
010	09:47:00	10.03.15	2	1.5
012	09:47:05	10.03.15	2	3.2
013	09:47:16	10.03.15	2	4.0
017	09:47:20	10.03.15	2	3.9
016	09:47:23	10.03.15	2	4.0
013	09:47:27	10.03.15	2	1.3
045	09:47:46	10.03.15	2	4.0
041	09:47:48	10.03.15	2	2.6
034	09:47:53	10.03.15	2	7.7
033	09:47:55	10.03.15	2	5.2
022	09:48:00	10.03.15	2	11.5
049	09:48:01	10.03.15	2	4.3
029	09:48:06	10.03.15	2	4.4
019	09:48:09	10.03.15	2	4.1
018	09:48:12	10.03.15	2	4.0
030	09:48:35	10.03.15	2	4.3
033	09:48:37	10.03.15	2	6.3
036	09:48:49	10.03.15	2	5.4
032	09:48:52	10.03.15	2	4.9
033	09:48:54	10.03.15	2	4.2
030	09:48:56	10.03.15	2	4.0
032	09:48:58	10.03.15	2	4.7
033	09:49:00	10.03.15	2	4.8
031	09:49:04	10.03.15	2	3.9
030	09:49:07	10.03.15	2	3.8
030	09:49:09	10.03.15	2	5.6
024	09:49:15	10.03.15	2	5.6
022	09:49:19	10.03.15	2	3.8
035	09:49:41	10.03.15	2	4.4
032	09:49:47	10.03.15	2	7.7
033	09:49:55	10.03.15	2	1.5
030	09:49:59	10.03.15	2	2.6
028	09:50:01	10.03.15	2	3.8
028	09:50:03	10.03.15	2	3.4
029	09:50:05	10.03.15	2	5.1
026	09:50:08	10.03.15	2	3.6
022	09:50:11	10.03.15	2	4.7
019	09:50:20	10.03.15	2	8.5
016	09:50:23	10.03.15	2	1.7
041	09:50:45	10.03.15	2	3.3
012	09:51:53	10.03.15	2	1.6
017	09:51:59	10.03.15	2	4.0
017	09:52:01	10.03.15	2	1.2
012	09:52:03	10.03.15	2	1.1
017	09:52:32	10.03.15	2	3.8
018	09:52:37	10.03.15	2	4.1
029	09:52:50	10.03.15	2	4.7
021	09:52:54	10.03.15	2	3.6
015	09:53:01	10.03.15	2	9.3
