

Standort: 1-Hauptstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
034	10:03:59	25.04.14	2	4.5
037	10:07:27	25.04.14	2	7.1
039	10:08:52	25.04.14	2	4.7
042	10:12:28	25.04.14	2	4.3
050	10:14:52	25.04.14	2	5.3
045	10:17:04	25.04.14	2	3.4
042	10:18:00	25.04.14	2	4.2
051	10:18:07	25.04.14	2	8.5
043	10:19:22	25.04.14	2	4.5
041	10:21:05	25.04.14	2	6.2
037	10:21:57	25.04.14	2	4.6
042	10:36:29	25.04.14	2	4.5
039	10:38:16	25.04.14	2	4.7
047	10:42:10	25.04.14	2	4.3
046	10:43:49	25.04.14	2	5.7
038	10:45:18	25.04.14	2	4.1
046	10:45:35	25.04.14	2	5.4
042	10:45:42	25.04.14	2	3.2
044	10:49:52	25.04.14	2	4.8
036	10:50:21	25.04.14	2	4.0
039	10:51:55	25.04.14	2	5.0
045	10:53:07	25.04.14	2	4.7
043	10:56:57	25.04.14	2	5.0
034	10:57:45	25.04.14	2	4.8
044	10:57:57	25.04.14	2	5.3
038	11:00:01	25.04.14	2	4.9
039	11:02:46	25.04.14	2	4.5
033	11:11:57	25.04.14	2	5.4
037	11:13:05	25.04.14	2	5.1
043	11:13:22	25.04.14	2	4.0
047	11:14:07	25.04.14	2	4.4
040	11:15:34	25.04.14	2	8.7
046	11:16:19	25.04.14	2	5.1
036	11:19:45	25.04.14	2	12.9
044	11:21:19	25.04.14	2	6.2
034	11:21:45	25.04.14	2	12.5
010	11:22:20	25.04.14	2	0.8
048	11:25:38	25.04.14	2	3.6
031	11:25:54	25.04.14	2	7.3
044	11:27:14	25.04.14	2	6.0
039	11:29:21	25.04.14	2	4.5
034	11:29:52	25.04.14	2	3.6
042	11:33:40	25.04.14	2	5.6
034	11:36:21	25.04.14	2	4.1
031	11:37:05	25.04.14	2	12.6
045	11:37:08	25.04.14	2	5.4
046	11:39:24	25.04.14	2	5.2
041	11:40:12	25.04.14	2	3.2
040	11:41:31	25.04.14	2	4.4
036	11:42:54	25.04.14	2	5.9
043	11:42:57	25.04.14	2	3.6
048	11:43:07	25.04.14	2	4.8
051	11:44:38	25.04.14	2	5.6
035	11:45:34	25.04.14	2	4.2
042	11:46:50	25.04.14	2	3.8
046	11:48:01	25.04.14	2	3.6
048	11:49:42	25.04.14	2	4.4
040	11:50:35	25.04.14	2	4.8
034	11:52:11	25.04.14	2	12.7
042	11:55:53	25.04.14	2	4.1
036	11:56:25	25.04.14	2	3.8
047	11:58:11	25.04.14	2	4.4
039	11:58:40	25.04.14	2	4.7
046	11:59:09	25.04.14	2	4.8
045	12:03:07	25.04.14	2	4.1
045	12:03:47	25.04.14	2	3.5
047	12:04:33	25.04.14	2	4.3
038	12:06:34	25.04.14	2	5.0
018	12:07:14	25.04.14	2	13.0
056	12:11:09	25.04.14	2	3.6
058	12:11:21	25.04.14	2	4.8
042	12:12:23	25.04.14	2	4.3
043	12:18:11	25.04.14	2	3.7
046	12:19:38	25.04.14	2	5.3
041	12:20:50	25.04.14	2	5.8
041	12:21:06	25.04.14	2	4.1
038	12:21:46	25.04.14	2	5.3
041	12:22:22	25.04.14	2	8.2
041	12:22:44	25.04.14	2	4.7
027	12:23:04	25.04.14	2	12.5
042	12:24:30	25.04.14	2	3.7
042	12:25:01	25.04.14	2	3.7
049	12:26:04	25.04.14	2	5.8
039	12:26:38	25.04.14	2	4.5
037	12:27:25	25.04.14	2	3.9
040	12:28:28	25.04.14	2	3.4
039	12:34:03	25.04.14	2	4.3
053	12:35:39	25.04.14	2	3.8
036	12:36:40	25.04.14	2	13.4
040	12:37:20	25.04.14	2	3.7
044	12:37:47	25.04.14	2	4.3
049	12:41:18	25.04.14	2	4.0
053	12:41:21	25.04.14	2	6.5
051	12:41:34	25.04.14	2	4.8
042	12:42:25	25.04.14	2	12.5
029	12:44:22	25.04.14	2	12.1
041	12:44:50	25.04.14	2	3.8
034	12:46:42	25.04.14	2	7.8
043	12:46:59	25.04.14	2	5.4
041	12:47:54	25.04.14	2	4.7
047	12:49:40	25.04.14	2	4.8
034	12:50:12	25.04.14	2	10.3
022	12:52:24	25.04.14	2	12.5
034	12:52:52	25.04.14	2	4.6
046	12:55:11	25.04.14	2	4.6
045	12:57:36	25.04.14	2	5.5
059	12:59:39	25.04.14	2	5.2
039	13:00:23	25.04.14	2	4.1
049	13:00:46	25.04.14	2	3.5
045	13:02:10	25.04.14	2	3.6
050	13:06:04	25.04.14	2	4.4
033	13:08:13	25.04.14	2	13.6
051	13:10:44	25.04.14	2	3.9
036	13:12:24	25.04.14	2	4.9
038	13:12:28	25.04.14	2	4.8
031	13:14:00	25.04.14	2	12.7
038	13:17:13	25.04.14	2	5.9
045	13:17:46	25.04.14	2	4.2
040	13:19:01	25.04.14	2	5.3
041	13:20:16	25.04.14	2	3.5
042	13:20:59	25.04.14	2	4.9
025	13:22:38	25.04.14	2	12.7
057	13:23:59	25.04.14	2	3.5
044	13:29:06	25.04.14	2	4.7
048	13:30:02	25.04.14	2	4.9
033	13:31:41	25.04.14	2	5.2
038	13:32:37	25.04.14	2	4.5
027	13:33:22	25.04.14	2	7.9
048	13:34:39	25.04.14	2	6.2
043	13:35:20	25.04.14	2	5.0
041	13:36:13	25.04.14	2	4.5
026	13:37:48	25.04.14	2	13.0
035	13:38:09	25.04.14	2	4.2
043	13:38:43	25.04.14	2	4.6
039	13:43:50	25.04.14	2	4.9
042	13:44:27	25.04.14	2	4.1
047	13:44:51	25.04.14	2	4.2
047	13:47:14	25.04.14	2	4.1
041	13:48:10	25.04.14	2	4.4
043	13:49:38	25.04.14	2	5.3
043	13:50:03	25.04.14	2	5.7
043	13:50:54	25.04.14	2	5.2
035	13:51:57	25.04.14	2	12.0
037	13:51:59	25.04.14	2	4.6
038	13:54:28	25.04.14	2	4.8
010	13:57:00	25.04.14	2	4.0
029	13:59:21	25.04.14	2	12.0
035	13:59:23	25.04.14	2	4.2
044	14:00:31	25.04.14	2	4.7
045	14:01:13	25.04.14	2	4.1
037	14:02:21	25.04.14	2	4.5
026	14:07:42	25.04.14	2	12.0
037	14:08:32	25.04.14	2	4.5
040	14:11:44	25.04.14	2	5.2
050	14:12:54	25.04.14	2	5.0
040	14:14:03	25.04.14	2	5.2
043	14:15:13	25.04.14	2	3.9
047	14:15:59	25.04.14	2	3.5
038	14:16:34	25.04.14	2	6.3
047	14:17:02	25.04.14	2	4.8
053	14:18:07	25.04.14	2	5.5
042	14:20:00	25.04.14	2	0.9
046	14:20:38	25.04.14	2	6.1
034	14:21:42	25.04.14	2	4.1
027	14:22:39	25.04.14	2	13.0
045	14:23:43	25.04.14	2	3.8
047	14:23:51	25.04.14	2	5.5
043	14:24:57	25.04.14	2	4.7
041	14:24:59	25.04.14	2	4.1
042	14:25:17	25.04.14	2	5.0
047	14:27:32	25.04.14	2	4.2
044	14:27:54	25.04.14	2	5.7
048	14:29:35	25.04.14	2	3.0
044	14:29:40	25.04.14	2	4.8
043	14:31:45	25.04.14	2	5.2
040	14:34:28	25.04.14	2	4.7
028	14:36:51	25.04.14	2	13.4
011	14:37:16	25.04.14	2	1.4
045	14:38:52	25.04.14	2	4.1
043	14:40:23	25.04.14	2	4.7
042	14:41:06	25.04.14	2	7.4
040	14:43:01	25.04.14	2	12.4
040	14:47:03	25.04.14	2	7.0
042	14:50:15	25.04.14	2	4.2
023	14:52:30	25.04.14	2	12.1
042	14:53:37	25.04.14	2	4.5
035	14:54:51	25.04.14	2	5.6
037	14:55:35	25.04.14	2	3.6
046	15:01:26	25.04.14	2	5.3
050	15:02:04	25.04.14	2	5.1
045	15:03:19	25.04.14	2	5.6
019	15:04:53	25.04.14	2	4.8
043	15:05:08	25.04.14	2	4.9
040	15:05:36	25.04.14	2	4.6
023	15:07:02	25.04.14	2	12.7
009	15:07:06	25.04.14	2	4.1
044	15:07:43	25.04.14	2	5.5
045	15:10:19	25.04.14	2	4.0
040	15:10:25	25.04.14	2	3.3
049	15:11:18	25.04.14	2	3.5
044	15:12:30	25.04.14	2	4.6
034	15:13:19	25.04.14	2	3.8
043	15:14:21	25.04.14	2	4.1
048	15:15:55	25.04.14	2	5.5
036	15:16:17	25.04.14	2	4.8
038	15:16:18	25.04.14	2	5.0
044	15:20:21	25.04.14	2	3.6
040	15:20:40	25.04.14	2	4.5
040	15:20:46	25.04.14	2	4.2
039	15:21:09	25.04.14	2	5.0
029	15:21:26	25.04.14	2	12.0
034	15:21:42	25.04.14	2	1.1
039	15:21:44	25.04.14	2	4.5
046	15:23:24	25.04.14	2	1.2
035	15:25:27	25.04.14	2	4.5
057	15:27:33	25.04.14	2	4.6
039	15:29:06	25.04.14	2	4.6
038	15:30:40	25.04.14	2	3.4
044	15:30:55	25.04.14	2	4.3
042	15:33:41	25.04.14	2	5.2
044	15:34:38	25.04.14	2	4.8
034	15:35:50	25.04.14	2	7.7
036	15:35:53	25.04.14	2	4.9
032	15:36:26	25.04.14	2	12.4
042	15:37:56	25.04.14	2	4.2
035	15:38:25	25.04.14	2	4.3
041	15:42:21	25.04.14	2	3.9
047	15:42:54	25.04.14	2	4.5
041	15:43:37	25.04.14	2	4.7
038	15:43:54	25.04.14	2	3.8
058	15:46:45	25.04.14	2	4.8
052	15:47:37	25.04.14	2	4.1
047	15:48:07	25.04.14	2	5.1
032	15:50:24	25.04.14	2	4.9
044	15:50:54	25.04.14	2	5.3
031	15:51:22	25.04.14	2	12.4
031	15:51:24	25.04.14	2	4.0
045	15:53:06	25.04.14	2	5.2
052	15:53:49	25.04.14	2	1.0
047	15:54:28	25.04.14	2	3.9
049	15:54:42	25.04.14	2	5.3
044	15:54:53	25.04.14	2	3.7
044	15:55:39	25.04.14	2	4.6
046	15:56:31	25.04.14	2	4.4
042	15:57:20	25.04.14	2	4.8
035	16:00:38	25.04.14	2	5.1
050	16:00:54	25.04.14	2	4.9
036	16:01:11	25.04.14	2	4.3
039	16:04:31	25.04.14	2	5.2
044	16:05:34	25.04.14	2	4.1
044	16:05:40	25.04.14	2	4.2
044	16:05:56	25.04.14	2	5.6
046	16:07:06	25.04.14	2	4.2
041	16:08:59	25.04.14	2	5.0
039	16:10:28	25.04.14	2	11.8
049	16:10:46	25.04.14	2	4.4
042	16:11:50	25.04.14	2	4.4
041	16:14:11	25.04.14	2	4.5
035	16:15:38	25.04.14	2	4.4
038	16:16:12	25.04.14	2	4.5
039	16:18:20	25.04.14	2	6.9
039	16:18:22	25.04.14	2	3.2
030	16:18:50	25.04.14	2	4.7
049	16:19:29	25.04.14	2	4.6
043	16:20:10	25.04.14	2	4.3
027	16:22:08	25.04.14	2	13.0
027	16:22:10	25.04.14	2	5.6
041	16:23:33	25.04.14	2	4.4
040	16:23:50	25.04.14	2	5.3
041	16:24:28	25.04.14	2	4.6
043	16:25:25	25.04.14	2	4.8
043	16:25:26	25.04.14	2	5.2
040	16:25:34	25.04.14	2	5.1
039	16:26:04	25.04.14	2	3.9
031	16:28:38	25.04.14	2	4.2
036	16:29:44	25.04.14	2	3.7
045	16:30:44	25.04.14	2	4.7
040	16:33:57	25.04.14	2	4.8
045	16:34:46	25.04.14	2	4.9
034	16:36:20	25.04.14	2	5.8
032	16:36:21	25.04.14	2	4.5
020	16:36:30	25.04.14	2	10.8
040	16:37:20	25.04.14	2	4.7
034	16:37:22	25.04.14	2	5.7
047	16:38:26	25.04.14	2	5.8
043	16:41:02	25.04.14	2	4.2
035	16:41:45	25.04.14	2	5.2
040	16:41:48	25.04.14	2	5.2
049	16:42:07	25.04.14	2	4.3
049	16:42:26	25.04.14	2	4.0
050	16:42:33	25.04.14	2	4.6
042	16:42:40	25.04.14	2	4.9
042	16:43:25	25.04.14	2	5.9
035	16:43:37	25.04.14	2	4.8
039	16:43:39	25.04.14	2	4.9
047	16:44:16	25.04.14	2	3.6
048	16:44:32	25.04.14	2	3.9
030	16:45:08	25.04.14	2	4.4
042	16:46:49	25.04.14	2	3.8
040	16:50:37	25.04.14	2	3.4
029	16:51:26	25.04.14	2	12.8
043	16:51:43	25.04.14	2	4.3
044	16:54:13	25.04.14	2	4.2
041	16:55:28	25.04.14	2	3.9
050	16:56:46	25.04.14	2	4.1
040	16:59:11	25.04.14	2	4.5
042	16:59:16	25.04.14	2	4.5
047	16:59:32	25.04.14	2	4.8
043	16:59:33	25.04.14	2	4.4
047	17:00:44	25.04.14	2	4.1
046	17:02:57	25.04.14	2	5.1
038	17:03:17	25.04.14	2	5.5
039	17:03:33	25.04.14	2	6.0
049	17:05:16	25.04.14	2	3.3
046	17:06:11	25.04.14	2	3.8
043	17:06:58	25.04.14	2	4.9
024	17:07:37	25.04.14	2	12.9
011	17:07:40	25.04.14	2	1.8
044	17:08:04	25.04.14	2	5.1
041	17:08:17	25.04.14	2	5.6
041	17:12:25	25.04.14	2	4.7
043	17:13:40	25.04.14	2	4.6
041	17:13:42	25.04.14	2	5.2
043	17:15:45	25.04.14	2	4.7
048	17:15:57	25.04.14	2	5.6
040	17:16:59	25.04.14	2	5.9
053	17:17:05	25.04.14	2	4.0
045	17:19:17	25.04.14	2	4.2
042	17:20:59	25.04.14	2	4.5
041	17:22:08	25.04.14	2	1.4
041	17:22:58	25.04.14	2	5.6
045	17:23:25	25.04.14	2	4.2
032	17:23:46	25.04.14	2	13.9
026	17:23:47	25.04.14	2	4.3
046	17:25:39	25.04.14	2	4.3
051	17:27:02	25.04.14	2	4.3
033	17:27:51	25.04.14	2	4.8
040	17:28:01	25.04.14	2	4.2
042	17:28:37	25.04.14	2	4.3
033	17:29:36	25.04.14	2	3.5
045	17:31:33	25.04.14	2	6.0
052	17:34:33	25.04.14	2	4.2
044	17:36:26	25.04.14	2	4.7
048	17:36:47	25.04.14	2	4.3
030	17:37:38	25.04.14	2	12.5
039	17:39:35	25.04.14	2	4.8
034	17:41:46	25.04.14	2	4.6
035	17:41:49	25.04.14	2	4.3
044	17:42:49	25.04.14	2	4.3
045	17:46:33	25.04.14	2	4.5
043	17:49:01	25.04.14	2	3.1
041	17:49:37	25.04.14	2	3.9
048	17:50:50	25.04.14	2	5.3
031	17:52:08	25.04.14	2	7.8
043	17:55:50	25.04.14	2	4.9
045	17:55:58	25.04.14	2	4.3
041	17:56:22	25.04.14	2	4.3
035	18:00:46	25.04.14	2	5.0
055	18:00:52	25.04.14	2	0.9
022	18:07:23	25.04.14	2	13.2
022	18:07:24	25.04.14	2	4.3
