

Standort: 1-Baiergasse

[km/h]				 [m]
Dateformat: dd.mm.yy
008	10:22:52	02.05.14	1	0.7
027	10:23:39	02.05.14	1	4.0
031	11:13:34	02.05.14	1	4.5
027	12:23:56	02.05.14	1	3.5
018	12:47:55	02.05.14	1	4.2
019	13:39:45	02.05.14	1	3.4
028	13:49:02	02.05.14	1	4.0
014	13:51:05	02.05.14	1	0.7
050	14:14:01	02.05.14	1	1.0
013	15:19:40	02.05.14	1	5.0
028	15:54:20	02.05.14	1	4.4
025	16:01:12	02.05.14	1	4.7
010	16:20:00	02.05.14	1	0.7
011	16:36:56	02.05.14	1	2.9
029	17:39:22	02.05.14	1	3.6
034	17:39:57	02.05.14	1	3.1
029	17:40:34	02.05.14	1	4.1
027	18:27:09	02.05.14	1	3.6
031	19:32:29	02.05.14	1	4.2
031	21:37:07	02.05.14	1	3.7
022	22:00:09	02.05.14	1	2.4
028	00:00:55	03.05.14	1	3.3
027	04:24:36	03.05.14	1	2.8
037	05:28:13	03.05.14	1	3.2
027	10:11:23	03.05.14	1	3.0
030	10:16:03	03.05.14	1	4.1
020	11:12:29	03.05.14	1	3.8
018	12:14:50	03.05.14	1	2.5
022	12:46:26	03.05.14	1	2.9
035	13:24:20	03.05.14	1	5.1
014	14:46:33	03.05.14	1	1.0
036	18:21:52	03.05.14	1	4.4
030	21:03:00	03.05.14	1	4.4
025	21:22:20	03.05.14	1	4.7
036	00:15:54	04.05.14	1	4.5
029	05:20:05	04.05.14	1	3.7
036	07:16:40	04.05.14	1	4.4
035	09:30:45	04.05.14	1	4.5
026	09:48:28	04.05.14	1	4.1
011	11:01:10	04.05.14	1	1.4
013	12:12:52	04.05.14	1	1.0
033	12:21:26	04.05.14	1	3.7
022	13:02:20	04.05.14	1	4.3
023	13:11:53	04.05.14	1	2.5
024	13:47:01	04.05.14	1	1.9
024	13:55:15	04.05.14	1	3.2
028	15:25:12	04.05.14	1	3.0
032	16:00:47	04.05.14	1	5.3
034	16:01:51	04.05.14	1	4.4
035	16:52:12	04.05.14	1	1.4
015	17:43:47	04.05.14	1	1.6
027	18:59:32	04.05.14	1	3.9
044	19:04:38	04.05.14	1	3.5
036	19:31:29	04.05.14	1	4.2
013	19:44:20	04.05.14	1	1.1
012	20:05:14	04.05.14	1	0.8
030	04:17:46	05.05.14	1	4.4
031	05:14:37	05.05.14	1	4.8
028	05:51:05	05.05.14	1	4.8
010	07:33:37	05.05.14	1	6.1
012	08:51:46	05.05.14	1	1.5
034	09:47:06	05.05.14	1	5.5
013	09:52:09	05.05.14	1	3.1
030	10:33:24	05.05.14	1	4.5
041	10:37:28	05.05.14	1	1.7
029	10:39:53	05.05.14	1	5.6
014	11:04:11	05.05.14	1	1.3
028	11:07:51	05.05.14	1	4.2
023	11:14:03	05.05.14	1	4.2
014	12:35:48	05.05.14	1	4.1
032	13:19:31	05.05.14	1	1.2
028	13:33:15	05.05.14	1	4.7
040	15:00:23	05.05.14	1	5.2
012	15:13:59	05.05.14	1	1.2
033	15:27:24	05.05.14	1	3.0
029	15:59:00	05.05.14	1	4.4
015	16:12:07	05.05.14	1	4.9
018	16:44:07	05.05.14	1	1.5
014	17:24:58	05.05.14	1	0.9
013	18:02:57	05.05.14	1	3.6
023	18:11:48	05.05.14	1	3.0
024	19:13:51	05.05.14	1	3.4
016	19:15:22	05.05.14	1	4.1
010	19:18:23	05.05.14	1	4.0
016	20:07:46	05.05.14	1	0.7
027	20:26:07	05.05.14	1	6.8
028	20:29:10	05.05.14	1	5.0
037	21:59:33	05.05.14	1	6.0
029	04:14:51	06.05.14	1	5.0
023	06:47:28	06.05.14	1	5.0
030	08:10:26	06.05.14	1	4.3
013	08:34:15	06.05.14	1	3.1
017	08:57:28	06.05.14	1	3.9
034	09:06:40	06.05.14	1	4.0
037	09:36:09	06.05.14	1	5.4
014	09:58:30	06.05.14	1	0.9
013	10:34:10	06.05.14	1	0.7
020	10:39:53	06.05.14	1	3.3
014	11:17:11	06.05.14	1	3.9
029	11:23:14	06.05.14	1	5.2
017	11:45:33	06.05.14	1	5.8
021	11:48:04	06.05.14	1	4.2
020	12:02:06	06.05.14	1	2.9
015	12:13:16	06.05.14	1	2.9
009	12:15:42	06.05.14	1	1.9
021	12:39:15	06.05.14	1	2.7
018	13:36:22	06.05.14	1	7.8
015	13:54:04	06.05.14	1	2.2
030	15:16:51	06.05.14	1	3.9
009	16:01:52	06.05.14	1	0.6
006	16:33:34	06.05.14	1	1.1
023	16:37:45	06.05.14	1	4.7
039	18:40:18	06.05.14	1	3.3
037	20:10:06	06.05.14	1	6.8
023	20:48:40	06.05.14	1	5.0
035	21:17:11	06.05.14	1	7.3
035	22:34:15	06.05.14	1	7.4
016	23:06:39	06.05.14	1	1.0
026	04:12:27	07.05.14	1	4.1
033	06:29:03	07.05.14	1	4.8
032	08:09:21	07.05.14	1	2.9
