

Standort: 1-Wyhlenweg

[km/h]				 [m]
Dateformat: dd.mm.yy
018	14:11:09	05.09.14	2	3.5
024	14:47:03	05.09.14	2	3.5
025	14:47:38	05.09.14	2	4.0
026	14:48:34	05.09.14	2	4.6
029	14:51:15	05.09.14	2	4.3
018	14:52:06	05.09.14	2	4.5
012	14:53:03	05.09.14	2	3.5
030	14:57:51	05.09.14	2	4.8
028	15:08:41	05.09.14	2	6.7
036	15:15:26	05.09.14	2	5.5
022	15:20:32	05.09.14	2	6.1
031	15:25:38	05.09.14	2	7.0
023	15:29:57	05.09.14	2	3.6
023	15:46:57	05.09.14	2	7.1
028	15:48:01	05.09.14	2	4.9
028	16:00:21	05.09.14	2	7.5
041	16:07:05	05.09.14	2	3.9
033	16:28:03	05.09.14	2	3.3
008	16:54:21	05.09.14	2	0.7
019	17:15:45	05.09.14	2	6.7
027	17:24:21	05.09.14	2	5.0
019	17:44:07	05.09.14	2	5.5
033	18:04:48	05.09.14	2	3.9
026	18:08:28	05.09.14	2	4.7
019	18:12:55	05.09.14	2	4.0
037	18:26:28	05.09.14	2	4.7
032	18:27:03	05.09.14	2	3.8
023	18:29:57	05.09.14	2	1.5
033	18:30:44	05.09.14	2	4.8
034	19:09:16	05.09.14	2	4.9
014	19:17:14	05.09.14	2	3.6
012	19:17:20	05.09.14	2	3.7
026	19:18:28	05.09.14	2	12.9
031	19:21:01	05.09.14	2	3.8
029	19:25:36	05.09.14	2	5.0
030	19:32:54	05.09.14	2	5.3
035	20:12:50	05.09.14	2	5.5
033	20:20:29	05.09.14	2	3.6
035	20:35:55	05.09.14	2	5.4
045	21:32:45	05.09.14	2	1.0
009	22:47:09	05.09.14	2	1.5
032	23:24:15	05.09.14	2	4.8
035	23:40:08	05.09.14	2	4.7
029	23:48:01	05.09.14	2	5.2
027	04:54:19	06.09.14	2	3.4
038	07:31:15	06.09.14	2	4.2
034	07:51:04	06.09.14	2	3.8
031	07:56:48	06.09.14	2	2.9
029	08:20:59	06.09.14	2	5.6
030	08:32:37	06.09.14	2	3.9
032	08:56:03	06.09.14	2	4.5
031	08:57:32	06.09.14	2	3.7
040	09:20:01	06.09.14	2	3.7
031	09:23:48	06.09.14	2	4.6
034	09:27:20	06.09.14	2	4.2
033	09:31:36	06.09.14	2	3.7
031	09:36:46	06.09.14	2	3.9
032	09:38:58	06.09.14	2	1.2
020	09:40:04	06.09.14	2	4.2
009	09:45:39	06.09.14	2	1.2
039	09:55:06	06.09.14	2	5.5
040	09:56:31	06.09.14	2	1.4
015	10:04:12	06.09.14	2	3.8
032	10:15:43	06.09.14	2	4.6
031	10:16:32	06.09.14	2	5.4
016	10:20:34	06.09.14	2	8.3
022	10:34:38	06.09.14	2	5.5
029	10:38:54	06.09.14	2	4.5
028	10:43:30	06.09.14	2	4.4
029	10:49:28	06.09.14	2	5.3
037	11:07:08	06.09.14	2	5.3
036	11:08:39	06.09.14	2	3.9
025	11:11:29	06.09.14	2	4.1
031	11:23:02	06.09.14	2	3.6
038	11:36:59	06.09.14	2	4.7
040	11:45:02	06.09.14	2	4.2
035	11:47:45	06.09.14	2	3.8
027	11:57:37	06.09.14	2	5.7
033	12:01:23	06.09.14	2	5.9
039	12:11:19	06.09.14	2	3.8
031	12:13:20	06.09.14	2	5.1
034	12:15:41	06.09.14	2	3.7
033	12:20:05	06.09.14	2	4.4
042	12:28:21	06.09.14	2	4.4
034	12:29:48	06.09.14	2	3.8
009	12:33:04	06.09.14	2	3.8
031	12:46:50	06.09.14	2	4.5
037	12:46:52	06.09.14	2	1.0
009	12:59:14	06.09.14	2	3.9
024	13:01:29	06.09.14	2	4.1
030	13:11:08	06.09.14	2	1.2
017	13:17:21	06.09.14	2	4.1
027	13:22:19	06.09.14	2	4.4
024	13:24:29	06.09.14	2	5.0
034	14:03:58	06.09.14	2	5.4
029	14:29:03	06.09.14	2	4.2
035	14:32:56	06.09.14	2	1.2
018	14:37:04	06.09.14	2	1.0
016	14:37:06	06.09.14	2	3.9
035	14:40:33	06.09.14	2	5.2
031	15:03:34	06.09.14	2	4.8
023	15:06:00	06.09.14	2	3.2
028	15:21:24	06.09.14	2	3.8
027	15:24:25	06.09.14	2	4.6
028	15:28:23	06.09.14	2	8.3
032	15:47:04	06.09.14	2	3.4
019	15:51:31	06.09.14	2	6.2
021	16:03:44	06.09.14	2	4.8
029	16:09:44	06.09.14	2	3.9
017	16:10:42	06.09.14	2	3.3
032	16:23:17	06.09.14	2	4.2
026	16:23:25	06.09.14	2	3.9
017	16:26:59	06.09.14	2	4.0
035	16:33:02	06.09.14	2	3.3
031	16:37:10	06.09.14	2	0.8
034	16:37:28	06.09.14	2	1.0
039	16:39:59	06.09.14	2	0.6
039	16:39:59	06.09.14	2	4.0
030	16:44:22	06.09.14	2	4.1
019	16:52:13	06.09.14	2	4.0
026	16:56:20	06.09.14	2	0.9
024	16:56:22	06.09.14	2	4.0
032	17:21:32	06.09.14	2	4.2
028	17:25:34	06.09.14	2	5.0
019	17:48:30	06.09.14	2	0.5
018	17:48:32	06.09.14	2	4.1
009	18:07:01	06.09.14	2	1.5
036	18:12:10	06.09.14	2	6.7
029	18:16:18	06.09.14	2	4.7
035	18:30:19	06.09.14	2	4.6
031	18:30:31	06.09.14	2	5.0
034	18:35:31	06.09.14	2	4.5
033	18:42:58	06.09.14	2	4.2
029	18:48:05	06.09.14	2	15.7
032	18:53:39	06.09.14	2	5.2
016	18:57:12	06.09.14	2	4.9
032	19:02:34	06.09.14	2	4.5
018	19:04:21	06.09.14	2	5.1
029	19:05:14	06.09.14	2	3.2
021	19:06:03	06.09.14	2	5.0
031	19:19:17	06.09.14	2	6.6
034	19:22:23	06.09.14	2	1.8
037	19:31:24	06.09.14	2	4.3
025	19:39:04	06.09.14	2	3.8
030	19:44:23	06.09.14	2	4.8
029	19:45:15	06.09.14	2	14.9
035	20:05:25	06.09.14	2	4.5
026	20:14:44	06.09.14	2	3.6
029	20:39:47	06.09.14	2	5.0
009	20:47:09	06.09.14	2	4.1
026	20:58:29	06.09.14	2	4.2
032	21:26:09	06.09.14	2	3.7
031	21:45:27	06.09.14	2	5.5
026	22:00:22	06.09.14	2	4.5
026	22:55:17	06.09.14	2	5.1
042	05:52:56	07.09.14	2	3.6
036	07:39:28	07.09.14	2	4.1
036	07:41:07	07.09.14	2	5.7
025	07:42:31	07.09.14	2	4.9
031	07:54:46	07.09.14	2	3.4
031	08:18:02	07.09.14	2	4.0
026	08:35:24	07.09.14	2	4.1
031	08:47:18	07.09.14	2	4.8
028	09:09:28	07.09.14	2	5.2
034	09:09:37	07.09.14	2	3.7
043	09:26:51	07.09.14	2	1.2
018	09:39:32	07.09.14	2	4.4
037	09:40:40	07.09.14	2	5.3
034	10:01:05	07.09.14	2	4.2
026	10:08:07	07.09.14	2	4.9
026	10:12:59	07.09.14	2	4.4
038	10:13:56	07.09.14	2	4.3
027	10:35:16	07.09.14	2	5.4
018	10:49:19	07.09.14	2	4.2
019	10:50:17	07.09.14	2	4.8
028	11:02:07	07.09.14	2	4.8
038	11:07:23	07.09.14	2	4.8
034	11:18:24	07.09.14	2	3.9
023	11:39:34	07.09.14	2	4.1
024	11:39:36	07.09.14	2	4.1
030	11:55:58	07.09.14	2	5.1
023	11:58:21	07.09.14	2	5.1
029	12:00:45	07.09.14	2	4.1
039	12:03:56	07.09.14	2	4.1
034	12:31:52	07.09.14	2	5.0
036	12:43:58	07.09.14	2	4.1
034	12:51:33	07.09.14	2	4.1
026	12:51:48	07.09.14	2	0.9
041	13:16:23	07.09.14	2	2.9
008	13:39:43	07.09.14	2	4.2
021	13:47:36	07.09.14	2	4.2
033	13:49:45	07.09.14	2	4.2
036	13:52:01	07.09.14	2	4.6
016	14:13:28	07.09.14	2	4.2
027	14:43:58	07.09.14	2	4.6
034	15:19:07	07.09.14	2	4.4
009	15:21:41	07.09.14	2	0.5
