

Standort: 1-Belforterstras

[km/h]				 [m]
Dateformat: dd.mm.yy
052	14:02:35	21.03.14	2	4.4
032	14:03:02	21.03.14	2	4.3
040	14:03:08	21.03.14	2	3.5
036	14:06:10	21.03.14	2	3.6
040	14:06:20	21.03.14	2	4.2
044	14:06:22	21.03.14	2	4.8
033	14:06:29	21.03.14	2	3.6
046	14:06:43	21.03.14	2	10.9
039	14:06:48	21.03.14	2	4.6
040	14:06:51	21.03.14	2	5.1
045	14:07:00	21.03.14	2	4.4
040	14:07:03	21.03.14	2	4.9
043	14:07:07	21.03.14	2	3.8
044	14:07:10	21.03.14	2	4.3
044	14:10:03	21.03.14	2	10.3
046	14:10:04	21.03.14	2	5.0
045	14:10:07	21.03.14	2	5.7
044	14:10:10	21.03.14	2	5.5
041	14:10:11	21.03.14	2	6.2
049	14:10:16	21.03.14	2	4.4
051	14:11:10	21.03.14	2	8.9
047	14:14:30	21.03.14	2	10.5
047	14:15:34	21.03.14	2	9.1
028	14:15:49	21.03.14	2	4.4
017	14:17:18	21.03.14	2	1.1
021	14:17:20	21.03.14	2	4.0
024	14:17:20	21.03.14	2	2.8
031	14:17:31	21.03.14	2	13.0
030	14:17:34	21.03.14	2	10.0
033	14:17:44	21.03.14	2	1.4
044	14:20:16	21.03.14	2	0.5
045	14:20:36	21.03.14	2	1.0
044	14:21:53	21.03.14	2	1.5
044	14:21:54	21.03.14	2	5.1
039	14:22:50	21.03.14	2	1.0
046	14:23:12	21.03.14	2	0.7
044	14:24:27	21.03.14	2	13.3
039	14:25:59	21.03.14	2	2.0
037	14:26:00	21.03.14	2	4.4
036	14:26:39	21.03.14	2	0.6
046	14:27:07	21.03.14	2	0.9
031	14:28:10	21.03.14	2	0.5
050	14:28:40	21.03.14	2	5.4
049	14:28:45	21.03.14	2	4.0
041	14:29:56	21.03.14	2	0.6
050	14:30:05	21.03.14	2	1.6
047	14:30:07	21.03.14	2	0.9
035	14:31:12	21.03.14	2	1.3
027	14:31:40	21.03.14	2	16.9
033	14:31:41	21.03.14	2	2.5
036	14:31:43	21.03.14	2	2.6
046	14:31:57	21.03.14	2	1.2
037	14:32:04	21.03.14	2	3.5
046	14:33:26	21.03.14	2	1.2
044	14:33:44	21.03.14	2	2.5
043	14:34:12	21.03.14	2	0.5
049	14:34:15	21.03.14	2	0.7
037	14:35:11	21.03.14	2	0.8
043	14:35:22	21.03.14	2	0.8
038	14:35:52	21.03.14	2	0.5
040	14:35:53	21.03.14	2	1.7
035	14:36:32	21.03.14	2	1.1
040	14:36:35	21.03.14	2	1.0
045	14:36:40	21.03.14	2	1.5
039	14:36:43	21.03.14	2	1.1
047	14:36:49	21.03.14	2	1.4
041	14:37:10	21.03.14	2	0.7
046	14:37:40	21.03.14	2	0.5
049	14:37:50	21.03.14	2	1.5
046	14:38:07	21.03.14	2	0.9
038	14:40:27	21.03.14	2	0.6
040	14:40:49	21.03.14	2	9.9
040	14:40:50	21.03.14	2	3.0
053	14:41:15	21.03.14	2	0.8
052	14:41:34	21.03.14	2	2.2
040	14:41:47	21.03.14	2	2.7
044	14:42:07	21.03.14	2	2.2
043	14:42:27	21.03.14	2	1.7
047	14:43:12	21.03.14	2	1.5
043	14:43:19	21.03.14	2	1.3
047	14:43:21	21.03.14	2	3.4
043	14:43:27	21.03.14	2	0.6
050	14:43:28	21.03.14	2	0.5
049	14:43:32	21.03.14	2	1.6
027	14:44:08	21.03.14	2	1.6
039	14:44:13	21.03.14	2	0.8
048	14:44:14	21.03.14	2	2.8
037	14:44:19	21.03.14	2	0.7
044	14:44:40	21.03.14	2	2.1
051	14:44:44	21.03.14	2	1.2
039	14:45:05	21.03.14	2	9.9
038	14:45:09	21.03.14	2	4.8
044	14:45:16	21.03.14	2	2.6
036	14:45:19	21.03.14	2	1.4
032	14:46:42	21.03.14	2	16.1
028	14:46:46	21.03.14	2	1.8
028	14:46:48	21.03.14	2	10.3
030	14:46:50	21.03.14	2	5.5
032	14:46:52	21.03.14	2	6.2
030	14:46:58	21.03.14	2	17.2
031	14:47:00	21.03.14	2	1.8
034	14:47:03	21.03.14	2	2.0
040	14:47:15	21.03.14	2	2.5
047	14:47:18	21.03.14	2	3.3
049	14:47:21	21.03.14	2	1.9
044	14:47:24	21.03.14	2	0.6
050	14:47:36	21.03.14	2	3.1
040	14:47:47	21.03.14	2	1.6
045	14:47:50	21.03.14	2	2.2
043	14:47:56	21.03.14	2	0.6
048	14:47:59	21.03.14	2	3.6
060	14:48:25	21.03.14	2	4.0
043	14:48:43	21.03.14	2	0.7
041	14:48:58	21.03.14	2	1.7
048	14:49:23	21.03.14	2	0.6
048	14:49:33	21.03.14	2	2.0
050	14:49:42	21.03.14	2	0.5
044	14:50:13	21.03.14	2	18.1
053	14:51:03	21.03.14	2	2.5
051	14:51:09	21.03.14	2	3.3
044	14:51:14	21.03.14	2	3.6
052	14:51:32	21.03.14	2	0.5
044	14:51:37	21.03.14	2	4.1
048	14:51:46	21.03.14	2	3.1
046	14:51:53	21.03.14	2	2.6
043	14:52:27	21.03.14	2	3.5
049	14:53:25	21.03.14	2	2.8
050	14:53:26	21.03.14	2	0.8
034	14:54:06	21.03.14	2	4.2
036	14:54:06	21.03.14	2	2.7
040	14:54:09	21.03.14	2	1.5
040	14:54:22	21.03.14	2	1.8
049	14:54:33	21.03.14	2	1.0
047	14:54:42	21.03.14	2	2.5
051	14:55:07	21.03.14	2	3.1
041	14:55:09	21.03.14	2	2.7
052	14:55:51	21.03.14	2	0.5
052	14:55:53	21.03.14	2	1.2
055	14:57:33	21.03.14	2	3.7
037	14:57:56	21.03.14	2	2.6
035	14:57:57	21.03.14	2	0.7
035	14:58:34	21.03.14	2	2.7
038	14:58:39	21.03.14	2	2.8
049	14:59:02	21.03.14	2	2.9
