

Standort: 1Badenweilerstra

[km/h]				 [m]
Dateformat: dd.mm.yy
033	15:48:07	19.12.14	1	4.4
013	15:52:16	19.12.14	1	6.9
019	15:54:41	19.12.14	1	9.3
029	15:56:18	19.12.14	1	3.4
034	15:56:22	19.12.14	1	4.3
019	15:57:50	19.12.14	1	3.3
021	15:57:59	19.12.14	1	5.4
024	16:02:13	19.12.14	1	5.6
025	16:05:34	19.12.14	1	4.9
023	16:08:17	19.12.14	1	4.1
038	16:09:42	19.12.14	1	3.9
020	16:11:16	19.12.14	1	4.8
039	16:15:14	19.12.14	1	4.3
029	16:16:52	19.12.14	1	3.8
029	16:18:21	19.12.14	1	3.7
033	16:19:29	19.12.14	1	4.2
020	16:21:55	19.12.14	1	4.9
014	16:23:15	19.12.14	1	1.6
015	16:23:49	19.12.14	1	3.8
038	16:24:04	19.12.14	1	4.1
025	16:28:04	19.12.14	1	3.8
047	16:30:45	19.12.14	1	4.6
031	16:31:14	19.12.14	1	7.0
016	16:32:22	19.12.14	1	3.9
015	16:38:02	19.12.14	1	5.4
036	16:40:06	19.12.14	1	5.0
009	16:42:09	19.12.14	1	1.2
016	16:46:13	19.12.14	1	7.2
016	17:23:18	19.12.14	1	3.6
025	17:29:42	19.12.14	1	4.1
019	17:39:18	19.12.14	1	4.1
021	17:43:20	19.12.14	1	3.3
032	18:18:25	19.12.14	1	4.1
026	18:20:10	19.12.14	1	1.1
019	18:20:25	19.12.14	1	1.9
037	18:29:29	19.12.14	1	4.1
026	18:32:04	19.12.14	1	3.5
026	18:46:34	19.12.14	1	3.0
016	19:00:10	19.12.14	1	7.6
032	19:18:25	19.12.14	1	4.2
032	19:56:47	19.12.14	1	0.8
028	21:32:51	19.12.14	1	4.3
021	21:47:41	19.12.14	1	4.3
019	23:18:03	19.12.14	1	2.0
026	23:23:26	19.12.14	1	4.3
024	00:08:30	20.12.14	1	4.3
009	01:06:57	20.12.14	1	0.8
017	03:45:22	20.12.14	1	4.3
023	06:28:31	20.12.14	1	4.5
029	06:31:11	20.12.14	1	4.1
032	06:33:43	20.12.14	1	4.8
019	06:34:31	20.12.14	1	6.6
029	07:09:08	20.12.14	1	4.0
020	07:16:35	20.12.14	1	4.4
017	07:18:51	20.12.14	1	8.5
029	07:30:40	20.12.14	1	0.8
026	07:56:24	20.12.14	1	4.4
022	08:42:20	20.12.14	1	4.4
021	09:24:06	20.12.14	1	4.4
030	09:42:19	20.12.14	1	1.4
034	09:47:52	20.12.14	1	4.5
044	09:52:16	20.12.14	1	3.7
028	09:56:27	20.12.14	1	2.2
020	10:54:57	20.12.14	1	4.5
027	10:55:43	20.12.14	1	4.5
030	11:12:19	20.12.14	1	4.5
027	11:29:54	20.12.14	1	6.6
037	11:44:35	20.12.14	1	5.2
027	11:52:45	20.12.14	1	3.1
026	12:03:03	20.12.14	1	4.3
034	12:05:26	20.12.14	1	3.3
021	12:22:30	20.12.14	1	8.3
021	12:23:54	20.12.14	1	5.9
024	12:32:28	20.12.14	1	4.6
018	12:43:25	20.12.14	1	3.5
036	12:50:54	20.12.14	1	4.0
026	13:01:04	20.12.14	1	5.3
028	13:02:15	20.12.14	1	4.6
021	13:12:57	20.12.14	1	3.4
015	13:33:52	20.12.14	1	3.5
036	13:50:16	20.12.14	1	4.7
024	13:59:22	20.12.14	1	2.3
019	14:04:37	20.12.14	1	4.7
028	14:22:12	20.12.14	1	4.9
026	14:23:54	20.12.14	1	4.9
033	14:25:58	20.12.14	1	4.9
030	14:30:56	20.12.14	1	5.0
