

Standort: 1-Baselstr

[km/h]				 [m]
Dateformat: dd.mm.yy
024	14:16:59	19.09.14	2	3.5
021	14:17:08	19.09.14	2	3.5
050	14:23:46	19.09.14	2	3.6
031	14:23:52	19.09.14	2	3.6
035	14:24:37	19.09.14	2	4.1
035	14:24:40	19.09.14	2	3.7
028	14:25:05	19.09.14	2	3.7
031	14:25:07	19.09.14	2	5.0
037	14:25:11	19.09.14	2	3.8
030	14:25:33	19.09.14	2	3.2
032	14:25:35	19.09.14	2	4.8
034	14:25:38	19.09.14	2	4.5
035	14:25:49	19.09.14	2	4.9
040	14:26:16	19.09.14	2	4.5
025	14:26:20	19.09.14	2	3.1
037	14:26:26	19.09.14	2	3.8
015	14:26:54	19.09.14	2	5.4
016	14:27:18	19.09.14	2	3.6
018	14:27:21	19.09.14	2	3.8
022	14:27:23	19.09.14	2	5.1
027	14:27:27	19.09.14	2	3.5
027	14:27:29	19.09.14	2	3.8
033	14:28:08	19.09.14	2	3.9
034	14:28:18	19.09.14	2	4.4
036	14:28:29	19.09.14	2	4.5
034	14:28:49	19.09.14	2	4.7
030	14:28:52	19.09.14	2	3.4
030	14:28:55	19.09.14	2	4.0
036	14:29:12	19.09.14	2	3.5
044	14:29:37	19.09.14	2	4.9
043	14:29:39	19.09.14	2	4.6
040	14:30:01	19.09.14	2	4.4
034	14:30:03	19.09.14	2	4.1
040	14:30:06	19.09.14	2	4.5
036	14:30:09	19.09.14	2	3.6
040	14:30:14	19.09.14	2	4.2
038	14:30:40	19.09.14	2	3.6
033	14:30:49	19.09.14	2	3.0
031	14:30:52	19.09.14	2	4.4
031	14:30:56	19.09.14	2	4.7
031	14:31:03	19.09.14	2	3.5
031	14:31:08	19.09.14	2	4.0
032	14:31:14	19.09.14	2	3.6
034	14:31:32	19.09.14	2	4.0
033	14:31:39	19.09.14	2	4.0
033	14:31:42	19.09.14	2	4.8
039	14:31:45	19.09.14	2	3.2
036	14:31:47	19.09.14	2	4.3
035	14:31:49	19.09.14	2	4.1
039	14:31:56	19.09.14	2	4.3
037	14:31:58	19.09.14	2	4.3
034	14:32:01	19.09.14	2	6.4
033	14:32:02	19.09.14	2	3.5
035	14:32:07	19.09.14	2	3.6
033	14:32:16	19.09.14	2	4.0
024	14:32:20	19.09.14	2	5.3
026	14:32:29	19.09.14	2	2.5
034	14:32:33	19.09.14	2	4.2
034	14:32:35	19.09.14	2	3.6
032	14:32:36	19.09.14	2	4.1
034	14:32:38	19.09.14	2	3.3
033	14:32:41	19.09.14	2	3.9
032	14:32:44	19.09.14	2	5.2
035	14:32:46	19.09.14	2	3.6
036	14:32:49	19.09.14	2	4.4
037	14:33:08	19.09.14	2	4.1
032	14:33:10	19.09.14	2	3.7
031	14:33:19	19.09.14	2	10.7
034	14:33:31	19.09.14	2	4.7
013	14:35:25	19.09.14	2	3.8
009	14:35:48	19.09.14	2	3.5
022	14:35:49	19.09.14	2	4.1
033	14:35:54	19.09.14	2	4.1
038	14:35:58	19.09.14	2	3.2
037	14:36:01	19.09.14	2	4.1
027	14:36:05	19.09.14	2	4.3
028	14:36:06	19.09.14	2	4.1
031	14:36:14	19.09.14	2	6.3
029	14:36:17	19.09.14	2	4.6
032	14:36:21	19.09.14	2	4.4
024	14:36:24	19.09.14	2	3.8
033	14:36:47	19.09.14	2	4.0
028	14:36:50	19.09.14	2	5.3
033	14:36:55	19.09.14	2	4.5
029	14:36:59	19.09.14	2	4.9
022	14:37:05	19.09.14	2	4.1
025	14:37:07	19.09.14	2	4.6
024	14:37:09	19.09.14	2	4.1
025	14:37:12	19.09.14	2	4.1
025	14:37:14	19.09.14	2	4.0
024	14:37:17	19.09.14	2	4.1
026	14:37:20	19.09.14	2	4.3
025	14:37:23	19.09.14	2	4.2
029	14:37:25	19.09.14	2	4.8
023	14:37:29	19.09.14	2	4.2
039	14:37:37	19.09.14	2	3.8
042	14:37:42	19.09.14	2	3.8
038	14:37:47	19.09.14	2	3.9
039	14:37:48	19.09.14	2	3.9
036	14:37:50	19.09.14	2	4.1
039	14:37:56	19.09.14	2	3.8
040	14:38:01	19.09.14	2	4.8
041	14:38:02	19.09.14	2	4.0
038	14:38:25	19.09.14	2	4.7
039	14:38:27	19.09.14	2	4.3
040	14:38:30	19.09.14	2	3.4
031	14:38:34	19.09.14	2	5.3
034	14:38:36	19.09.14	2	4.0
035	14:38:57	19.09.14	2	4.5
031	14:38:59	19.09.14	2	4.5
026	14:39:15	19.09.14	2	5.1
035	14:39:18	19.09.14	2	4.1
037	14:39:20	19.09.14	2	3.5
051	14:39:25	19.09.14	2	7.0
041	14:39:43	19.09.14	2	4.4
043	14:40:05	19.09.14	2	3.6
036	14:40:09	19.09.14	2	5.0
035	14:40:11	19.09.14	2	3.8
046	14:40:18	19.09.14	2	4.2
041	14:40:21	19.09.14	2	5.0
039	14:40:25	19.09.14	2	3.6
042	14:40:58	19.09.14	2	5.0
044	14:41:02	19.09.14	2	13.5
046	14:41:04	19.09.14	2	13.7
047	14:41:07	19.09.14	2	5.0
032	14:41:15	19.09.14	2	4.5
032	14:41:16	19.09.14	2	3.9
033	14:41:37	19.09.14	2	4.2
031	14:41:42	19.09.14	2	4.8
035	14:42:07	19.09.14	2	3.1
038	14:42:08	19.09.14	2	4.9
037	14:42:10	19.09.14	2	5.1
039	14:42:12	19.09.14	2	5.1
037	14:42:15	19.09.14	2	4.5
039	14:42:17	19.09.14	2	4.0
038	14:42:20	19.09.14	2	5.4
034	14:42:21	19.09.14	2	4.2
040	14:42:22	19.09.14	2	3.6
041	14:42:27	19.09.14	2	5.4
