

Standort: 1-Hauptstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
041	10:08:13	25.04.14	1	4.8
037	10:10:27	25.04.14	1	4.3
037	10:10:28	25.04.14	1	4.8
044	10:10:33	25.04.14	1	7.5
039	10:11:00	25.04.14	1	5.8
014	10:11:45	25.04.14	1	3.5
040	10:14:07	25.04.14	1	10.7
010	10:15:05	25.04.14	1	3.7
040	10:17:00	25.04.14	1	4.7
045	10:17:26	25.04.14	1	4.6
041	10:19:51	25.04.14	1	3.8
040	10:19:53	25.04.14	1	3.7
037	10:22:38	25.04.14	1	4.3
036	10:22:41	25.04.14	1	4.1
041	10:23:48	25.04.14	1	4.3
042	10:28:56	25.04.14	1	4.9
047	10:29:16	25.04.14	1	4.1
010	10:31:41	25.04.14	1	1.0
040	10:32:08	25.04.14	1	4.5
037	10:32:53	25.04.14	1	4.7
040	10:34:00	25.04.14	1	8.1
036	10:35:40	25.04.14	1	4.6
036	10:37:13	25.04.14	1	3.9
039	10:37:13	25.04.14	1	3.5
033	10:40:22	25.04.14	1	4.0
019	10:44:05	25.04.14	1	4.4
045	10:47:49	25.04.14	1	3.8
036	10:49:38	25.04.14	1	4.4
033	10:51:14	25.04.14	1	3.7
038	10:51:32	25.04.14	1	4.1
039	10:56:16	25.04.14	1	5.0
033	10:58:22	25.04.14	1	3.9
042	10:58:44	25.04.14	1	6.2
037	11:00:19	25.04.14	1	4.2
035	11:01:58	25.04.14	1	4.2
037	11:02:02	25.04.14	1	3.9
043	11:03:26	25.04.14	1	4.7
034	11:06:21	25.04.14	1	4.3
036	11:06:23	25.04.14	1	4.1
032	11:10:20	25.04.14	1	10.5
032	11:18:02	25.04.14	1	5.0
038	11:18:07	25.04.14	1	5.6
042	11:21:07	25.04.14	1	4.9
041	11:21:11	25.04.14	1	3.6
038	11:21:23	25.04.14	1	3.8
031	11:21:41	25.04.14	1	4.2
031	11:22:40	25.04.14	1	4.5
030	11:23:26	25.04.14	1	4.7
024	11:26:21	25.04.14	1	11.3
029	11:26:23	25.04.14	1	4.7
038	11:29:08	25.04.14	1	4.2
040	11:29:18	25.04.14	1	3.9
038	11:30:21	25.04.14	1	4.0
032	11:31:20	25.04.14	1	4.2
038	11:35:22	25.04.14	1	4.0
040	11:35:23	25.04.14	1	5.1
041	11:38:32	25.04.14	1	4.1
033	11:39:40	25.04.14	1	11.2
038	11:43:33	25.04.14	1	4.4
040	11:44:10	25.04.14	1	4.7
037	11:44:22	25.04.14	1	1.6
038	11:47:46	25.04.14	1	4.2
051	11:48:43	25.04.14	1	4.6
040	11:51:29	25.04.14	1	4.8
023	11:54:52	25.04.14	1	11.3
033	11:57:33	25.04.14	1	4.1
038	11:58:18	25.04.14	1	4.2
037	11:58:21	25.04.14	1	4.8
039	11:59:09	25.04.14	1	4.4
043	12:00:10	25.04.14	1	7.8
041	12:05:02	25.04.14	1	3.9
040	12:05:09	25.04.14	1	4.4
035	12:05:36	25.04.14	1	4.7
036	12:05:53	25.04.14	1	4.9
039	12:06:27	25.04.14	1	3.8
033	12:07:27	25.04.14	1	4.2
026	12:08:30	25.04.14	1	4.0
046	12:08:58	25.04.14	1	4.5
033	12:09:49	25.04.14	1	10.8
042	12:10:16	25.04.14	1	4.7
047	12:10:38	25.04.14	1	5.3
037	12:11:04	25.04.14	1	3.6
046	12:12:27	25.04.14	1	4.7
037	12:12:38	25.04.14	1	4.3
035	12:14:05	25.04.14	1	4.6
041	12:21:58	25.04.14	1	4.8
029	12:23:21	25.04.14	1	11.0
037	12:25:06	25.04.14	1	4.1
035	12:28:29	25.04.14	1	4.5
029	12:29:55	25.04.14	1	4.4
031	12:30:39	25.04.14	1	11.1
035	12:31:29	25.04.14	1	4.4
031	12:31:55	25.04.14	1	8.9
032	12:31:58	25.04.14	1	10.2
038	12:32:30	25.04.14	1	4.2
018	12:32:41	25.04.14	1	1.4
