

Standort: 1-Belchenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
007	10:59:17	02.09.13	2	3.5
022	13:39:43	02.09.13	2	4.4
015	13:41:58	02.09.13	2	4.4
022	13:53:11	02.09.13	2	4.0
020	13:53:47	02.09.13	2	4.6
032	13:54:19	02.09.13	2	4.4
018	13:56:03	02.09.13	2	4.5
013	13:59:12	02.09.13	2	3.9
019	13:59:13	02.09.13	2	3.9
016	14:00:07	02.09.13	2	3.9
017	14:00:50	02.09.13	2	3.9
026	14:02:44	02.09.13	2	3.9
018	14:04:26	02.09.13	2	3.9
015	14:12:53	02.09.13	2	4.0
017	14:12:54	02.09.13	2	4.0
018	14:15:45	02.09.13	2	3.0
021	14:19:08	02.09.13	2	4.0
016	14:37:09	02.09.13	2	4.1
015	14:39:32	02.09.13	2	4.1
014	14:39:38	02.09.13	2	4.1
013	14:39:39	02.09.13	2	4.1
022	14:47:02	02.09.13	2	4.1
019	14:48:13	02.09.13	2	3.1
012	14:58:55	02.09.13	2	4.2
016	14:59:02	02.09.13	2	3.2
024	15:09:23	02.09.13	2	3.7
026	15:13:42	02.09.13	2	3.5
020	15:14:17	02.09.13	2	4.2
015	15:20:13	02.09.13	2	4.3
019	15:23:28	02.09.13	2	4.3
018	15:25:27	02.09.13	2	3.2
015	15:26:17	02.09.13	2	2.7
015	15:35:39	02.09.13	2	1.6
016	15:35:39	02.09.13	2	4.3
009	15:36:01	02.09.13	2	4.3
016	15:36:49	02.09.13	2	4.4
019	15:41:33	02.09.13	2	4.4
014	15:43:58	02.09.13	2	4.4
019	15:44:25	02.09.13	2	4.4
014	15:47:21	02.09.13	2	2.7
022	15:51:07	02.09.13	2	4.4
022	15:55:02	02.09.13	2	3.7
016	16:05:22	02.09.13	2	4.5
023	16:11:25	02.09.13	2	2.6
027	16:11:27	02.09.13	2	3.4
020	16:12:46	02.09.13	2	2.8
008	16:23:13	02.09.13	2	4.7
015	16:24:11	02.09.13	2	4.7
023	16:24:29	02.09.13	2	4.7
016	16:24:58	02.09.13	2	4.8
022	16:27:45	02.09.13	2	4.4
017	16:33:45	02.09.13	2	4.8
018	16:40:05	02.09.13	2	4.9
013	16:49:43	02.09.13	2	4.9
012	16:50:07	02.09.13	2	4.9
012	16:50:07	02.09.13	2	5.0
014	16:51:20	02.09.13	2	3.1
018	16:55:17	02.09.13	2	4.1
010	16:55:55	02.09.13	2	5.2
016	16:59:43	02.09.13	2	5.2
021	17:01:59	02.09.13	2	5.2
013	17:03:49	02.09.13	2	5.3
006	17:03:55	02.09.13	2	5.3
015	17:04:14	02.09.13	2	5.3
021	17:06:21	02.09.13	2	5.4
024	17:09:24	02.09.13	2	5.4
021	17:13:09	02.09.13	2	5.5
017	17:16:38	02.09.13	2	5.5
021	17:16:54	02.09.13	2	3.4
020	17:29:47	02.09.13	2	2.7
013	17:35:56	02.09.13	2	3.0
024	17:41:05	02.09.13	2	3.3
016	17:42:13	02.09.13	2	2.4
021	17:42:17	02.09.13	2	3.2
010	17:48:01	02.09.13	2	3.4
016	17:50:55	02.09.13	2	3.5
017	17:50:55	02.09.13	2	3.6
019	17:51:23	02.09.13	2	3.6
024	17:54:13	02.09.13	2	3.2
023	17:55:08	02.09.13	2	3.3
023	17:58:50	02.09.13	2	3.8
023	18:03:17	02.09.13	2	3.8
025	18:07:08	02.09.13	2	3.3
017	18:09:30	02.09.13	2	3.9
017	18:09:42	02.09.13	2	3.9
017	18:14:16	02.09.13	2	3.2
017	18:21:26	02.09.13	2	3.1
007	18:23:49	02.09.13	2	4.0
006	18:26:40	02.09.13	2	4.0
020	18:28:19	02.09.13	2	4.0
021	18:28:19	02.09.13	2	4.0
013	18:30:17	02.09.13	2	4.1
011	18:31:59	02.09.13	2	4.1
025	18:32:37	02.09.13	2	4.1
014	18:33:09	02.09.13	2	3.2
020	18:33:24	02.09.13	2	4.1
019	18:35:07	02.09.13	2	2.8
018	18:36:47	02.09.13	2	4.1
016	18:44:35	02.09.13	2	4.1
013	18:45:51	02.09.13	2	4.1
021	18:46:48	02.09.13	2	4.1
019	18:49:23	02.09.13	2	3.7
015	18:51:08	02.09.13	2	4.2
016	18:52:06	02.09.13	2	4.2
018	18:52:15	02.09.13	2	4.2
011	19:08:05	02.09.13	2	4.3
010	19:08:05	02.09.13	2	4.3
017	19:09:21	02.09.13	2	3.6
024	19:10:41	02.09.13	2	4.3
021	19:13:03	02.09.13	2	4.3
024	19:14:46	02.09.13	2	4.3
014	19:16:06	02.09.13	2	4.3
027	19:21:52	02.09.13	2	3.4
016	19:24:54	02.09.13	2	2.1
018	19:27:13	02.09.13	2	4.4
018	19:29:17	02.09.13	2	4.4
022	19:29:51	02.09.13	2	4.4
007	19:32:45	02.09.13	2	4.4
016	19:33:34	02.09.13	2	1.7
018	19:33:34	02.09.13	2	4.4
021	19:37:13	02.09.13	2	4.5
019	19:39:30	02.09.13	2	3.6
013	19:44:27	02.09.13	2	3.9
011	19:57:20	02.09.13	2	4.5
014	20:02:02	02.09.13	2	4.5
017	20:04:27	02.09.13	2	4.6
014	20:09:55	02.09.13	2	4.6
011	20:11:07	02.09.13	2	4.6
014	20:47:21	02.09.13	2	4.9
