

Standort: 1Altrheinweg

[km/h]				 [m]
Dateformat: dd.mm.yy
033	14:17:01	27.12.13	2	8.1
015	14:17:21	27.12.13	2	6.7
005	14:18:18	27.12.13	2	3.6
014	14:18:23	27.12.13	2	3.7
015	14:18:24	27.12.13	2	4.4
028	14:19:14	27.12.13	2	4.6
023	14:19:23	27.12.13	2	3.7
031	14:20:01	27.12.13	2	7.9
022	14:20:05	27.12.13	2	4.4
025	14:20:11	27.12.13	2	3.9
026	14:21:35	27.12.13	2	4.4
020	14:21:56	27.12.13	2	4.7
029	14:21:59	27.12.13	2	7.6
042	14:24:01	27.12.13	2	9.5
021	14:24:08	27.12.13	2	3.8
029	14:31:45	27.12.13	2	11.7
038	14:31:57	27.12.13	2	8.7
036	14:33:26	27.12.13	2	9.5
020	14:35:09	27.12.13	2	4.7
030	14:36:08	27.12.13	2	10.0
024	14:36:30	27.12.13	2	4.3
040	14:37:16	27.12.13	2	9.9
032	14:38:28	27.12.13	2	8.0
025	14:40:27	27.12.13	2	9.9
020	14:42:51	27.12.13	2	5.1
031	14:43:11	27.12.13	2	7.6
027	14:45:20	27.12.13	2	4.2
038	14:46:23	27.12.13	2	8.0
019	14:47:11	27.12.13	2	10.4
016	14:50:52	27.12.13	2	4.2
035	14:53:45	27.12.13	2	4.3
041	14:54:11	27.12.13	2	6.6
022	14:54:22	27.12.13	2	4.3
019	14:54:35	27.12.13	2	4.0
029	14:55:49	27.12.13	2	3.5
029	14:55:50	27.12.13	2	12.3
034	14:56:12	27.12.13	2	8.2
021	14:56:16	27.12.13	2	4.3
037	14:57:57	27.12.13	2	4.7
023	15:02:39	27.12.13	2	4.2
034	15:04:01	27.12.13	2	8.2
036	15:04:03	27.12.13	2	9.5
040	15:08:34	27.12.13	2	7.4
005	15:14:13	27.12.13	2	1.7
026	15:15:18	27.12.13	2	8.3
042	15:15:25	27.12.13	2	7.6
036	15:15:56	27.12.13	2	9.6
032	15:17:00	27.12.13	2	11.3
024	15:17:53	27.12.13	2	4.5
032	15:18:06	27.12.13	2	8.7
033	15:19:01	27.12.13	2	4.5
013	15:19:35	27.12.13	2	4.2
034	15:20:11	27.12.13	2	9.0
026	15:21:42	27.12.13	2	4.1
029	15:23:02	27.12.13	2	21.8
023	15:23:59	27.12.13	2	4.0
015	15:26:19	27.12.13	2	2.1
022	15:27:45	27.12.13	2	3.8
027	15:28:08	27.12.13	2	7.9
045	15:30:50	27.12.13	2	8.2
035	15:35:01	27.12.13	2	7.2
036	15:35:03	27.12.13	2	7.8
020	15:38:04	27.12.13	2	6.5
032	15:40:04	27.12.13	2	4.3
019	15:40:28	27.12.13	2	4.3
035	15:40:31	27.12.13	2	7.1
026	15:41:58	27.12.13	2	10.3
033	15:43:26	27.12.13	2	9.5
030	15:43:34	27.12.13	2	9.1
025	15:46:10	27.12.13	2	4.5
022	15:48:01	27.12.13	2	4.3
031	15:48:16	27.12.13	2	4.4
041	15:48:36	27.12.13	2	7.2
024	15:49:26	27.12.13	2	6.7
039	15:50:47	27.12.13	2	9.7
032	15:54:41	27.12.13	2	9.0
020	15:58:15	27.12.13	2	4.4
033	15:59:19	27.12.13	2	10.6
029	16:01:35	27.12.13	2	3.8
027	16:01:35	27.12.13	2	3.8
040	16:02:10	27.12.13	2	8.3
043	16:02:39	27.12.13	2	10.6
038	16:02:43	27.12.13	2	9.1
027	16:04:42	27.12.13	2	9.0
034	16:05:43	27.12.13	2	8.4
015	16:06:17	27.12.13	2	4.0
033	16:09:06	27.12.13	2	9.0
018	16:13:46	27.12.13	2	4.3
022	16:19:07	27.12.13	2	4.1
026	16:20:41	27.12.13	2	4.2
021	16:21:04	27.12.13	2	4.7
028	16:25:03	27.12.13	2	8.9
028	16:25:24	27.12.13	2	9.6
052	16:25:32	27.12.13	2	4.8
019	16:30:12	27.12.13	2	3.9
027	16:35:13	27.12.13	2	4.6
020	16:35:15	27.12.13	2	4.0
024	16:38:30	27.12.13	2	18.1
023	16:38:33	27.12.13	2	18.5
022	16:38:36	27.12.13	2	14.8
013	16:38:52	27.12.13	2	19.8
023	16:41:28	27.12.13	2	4.5
019	16:43:59	27.12.13	2	3.8
027	16:45:56	27.12.13	2	9.1
018	16:46:03	27.12.13	2	4.1
027	16:46:06	27.12.13	2	7.4
019	16:46:20	27.12.13	2	4.4
017	16:47:35	27.12.13	2	6.6
007	16:47:41	27.12.13	2	1.4
008	16:47:41	27.12.13	2	2.1
009	16:47:43	27.12.13	2	4.2
009	16:47:44	27.12.13	2	3.5
011	16:47:51	27.12.13	2	11.5
013	16:47:53	27.12.13	2	4.1
012	16:47:53	27.12.13	2	2.9
013	16:47:58	27.12.13	2	13.4
014	16:47:59	27.12.13	2	3.5
012	16:48:00	27.12.13	2	1.4
012	16:48:00	27.12.13	2	1.7
012	16:48:01	27.12.13	2	1.5
014	16:48:05	27.12.13	2	15.0
014	16:48:06	27.12.13	2	3.2
015	16:48:11	27.12.13	2	14.4
015	16:48:11	27.12.13	2	3.9
016	16:48:12	27.12.13	2	2.2
015	16:48:17	27.12.13	2	16.1
013	16:48:56	27.12.13	2	9.6
013	16:48:57	27.12.13	2	2.2
013	16:49:03	27.12.13	2	16.9
014	16:49:05	27.12.13	2	3.2
015	16:49:17	27.12.13	2	4.1
037	16:50:37	27.12.13	2	8.9
019	16:53:51	27.12.13	2	4.7
023	16:54:05	27.12.13	2	4.5
027	16:57:00	27.12.13	2	4.6
024	16:57:19	27.12.13	2	4.4
032	16:57:35	27.12.13	2	7.5
039	16:59:45	27.12.13	2	8.1
035	16:59:59	27.12.13	2	8.8
040	17:03:00	27.12.13	2	10.6
019	17:03:13	27.12.13	2	4.3
030	17:03:18	27.12.13	2	9.8
019	17:06:47	27.12.13	2	4.4
022	17:09:46	27.12.13	2	5.5
022	17:10:01	27.12.13	2	4.1
021	17:11:54	27.12.13	2	3.9
030	17:14:41	27.12.13	2	5.2
016	17:14:45	27.12.13	2	4.1
029	17:14:56	27.12.13	2	8.2
019	17:19:07	27.12.13	2	4.8
035	17:20:08	27.12.13	2	7.1
019	17:20:50	27.12.13	2	4.7
016	17:22:07	27.12.13	2	4.0
024	17:24:32	27.12.13	2	4.6
