

Standort: 1-Belchenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
015	10:52:48	02.09.13	1	3.5
034	11:00:09	02.09.13	1	3.6
031	11:00:09	02.09.13	1	3.6
020	11:20:22	02.09.13	1	3.6
024	11:37:18	02.09.13	1	3.7
021	11:47:41	02.09.13	1	7.9
027	11:55:11	02.09.13	1	5.0
021	11:56:54	02.09.13	1	3.7
025	12:11:53	02.09.13	1	3.7
007	12:25:35	02.09.13	1	3.7
033	12:37:40	02.09.13	1	3.8
019	12:42:16	02.09.13	1	4.0
020	12:55:47	02.09.13	1	2.2
026	13:12:24	02.09.13	1	4.2
029	13:19:56	02.09.13	1	3.8
023	13:36:40	02.09.13	1	2.1
022	13:36:41	02.09.13	1	3.8
008	13:38:32	02.09.13	1	2.4
020	13:39:03	02.09.13	1	3.8
016	13:48:07	02.09.13	1	4.1
030	13:49:01	02.09.13	1	8.6
026	13:49:32	02.09.13	1	7.9
010	13:49:38	02.09.13	1	3.8
024	13:51:46	02.09.13	1	3.9
019	13:52:17	02.09.13	1	4.7
028	13:52:38	02.09.13	1	7.7
019	13:53:06	02.09.13	1	3.4
015	13:55:31	02.09.13	1	5.3
019	13:57:56	02.09.13	1	6.8
025	14:01:21	02.09.13	1	6.4
028	14:03:35	02.09.13	1	5.4
031	14:06:20	02.09.13	1	3.9
016	14:07:26	02.09.13	1	4.8
011	14:07:53	02.09.13	1	4.0
007	14:08:06	02.09.13	1	4.0
036	14:08:46	02.09.13	1	7.1
020	14:09:09	02.09.13	1	9.4
032	14:15:32	02.09.13	1	5.5
027	14:16:17	02.09.13	1	5.6
039	14:16:39	02.09.13	1	5.0
027	14:16:46	02.09.13	1	9.2
032	14:18:19	02.09.13	1	5.6
015	14:19:04	02.09.13	1	3.9
017	14:19:53	02.09.13	1	4.7
014	14:19:54	02.09.13	1	4.1
011	14:23:50	02.09.13	1	4.1
024	14:28:33	02.09.13	1	5.4
032	14:29:57	02.09.13	1	7.0
015	14:34:31	02.09.13	1	4.1
032	14:35:25	02.09.13	1	7.1
009	14:38:24	02.09.13	1	4.1
005	14:38:26	02.09.13	1	4.1
026	14:48:18	02.09.13	1	8.5
025	14:48:31	02.09.13	1	5.0
026	14:50:51	02.09.13	1	5.0
019	14:50:56	02.09.13	1	3.3
016	14:50:56	02.09.13	1	4.2
020	14:52:47	02.09.13	1	2.6
018	14:54:48	02.09.13	1	4.2
008	15:02:16	02.09.13	1	4.2
026	15:06:39	02.09.13	1	5.9
009	15:09:07	02.09.13	1	4.2
007	15:09:08	02.09.13	1	4.2
017	15:09:54	02.09.13	1	4.2
018	15:09:54	02.09.13	1	4.2
034	15:14:56	02.09.13	1	4.2
034	15:14:57	02.09.13	1	4.3
015	15:15:08	02.09.13	1	4.3
019	15:16:11	02.09.13	1	4.3
026	15:17:34	02.09.13	1	4.8
017	15:17:45	02.09.13	1	2.6
033	15:24:02	02.09.13	1	8.8
020	15:24:09	02.09.13	1	3.0
019	15:24:30	02.09.13	1	4.3
018	15:26:13	02.09.13	1	4.3
016	15:28:58	02.09.13	1	4.3
026	15:31:00	02.09.13	1	4.5
029	15:31:18	02.09.13	1	6.9
021	15:33:00	02.09.13	1	7.6
027	15:33:17	02.09.13	1	6.8
019	15:36:22	02.09.13	1	3.2
019	15:38:23	02.09.13	1	4.4
020	15:41:06	02.09.13	1	4.8
032	15:46:15	02.09.13	1	6.8
033	15:46:51	02.09.13	1	5.5
019	15:47:13	02.09.13	1	3.7
015	15:48:16	02.09.13	1	3.1
029	15:48:24	02.09.13	1	4.9
017	15:49:14	02.09.13	1	4.4
026	15:51:29	02.09.13	1	4.4
025	15:51:30	02.09.13	1	4.4
025	15:51:30	02.09.13	1	4.4
013	15:52:53	02.09.13	1	3.1
021	15:53:43	02.09.13	1	4.5
035	15:54:24	02.09.13	1	9.9
021	16:01:13	02.09.13	1	2.8
009	16:02:40	02.09.13	1	4.5
011	16:02:40	02.09.13	1	4.5
023	16:03:15	02.09.13	1	5.2
015	16:03:25	02.09.13	1	4.0
023	16:07:17	02.09.13	1	4.5
020	16:07:25	02.09.13	1	3.3
008	16:10:39	02.09.13	1	4.5
008	16:10:40	02.09.13	1	4.5
007	16:12:28	02.09.13	1	4.5
019	16:12:36	02.09.13	1	4.5
020	16:12:36	02.09.13	1	4.5
024	16:15:50	02.09.13	1	4.6
028	16:16:21	02.09.13	1	9.5
020	16:17:13	02.09.13	1	4.6
019	16:17:13	02.09.13	1	4.6
018	16:17:13	02.09.13	1	4.6
028	16:17:49	02.09.13	1	3.1
023	16:17:54	02.09.13	1	5.3
027	16:18:25	02.09.13	1	4.6
026	16:18:25	02.09.13	1	4.7
025	16:18:26	02.09.13	1	4.7
022	16:19:00	02.09.13	1	6.8
026	16:20:54	02.09.13	1	4.9
029	16:24:02	02.09.13	1	5.0
025	16:25:04	02.09.13	1	4.8
026	16:26:26	02.09.13	1	4.4
023	16:26:29	02.09.13	1	4.9
021	16:28:48	02.09.13	1	4.9
023	16:29:29	02.09.13	1	5.6
017	16:32:51	02.09.13	1	5.9
020	16:32:59	02.09.13	1	4.8
017	16:33:28	02.09.13	1	3.5
023	16:33:48	02.09.13	1	5.1
024	16:34:56	02.09.13	1	4.6
019	16:37:12	02.09.13	1	4.8
