

Standort: 1Badenweilerstra

[km/h]				 [m]
Dateformat: dd.mm.yy
014	15:44:51	19.12.14	2	5.9
014	15:48:40	19.12.14	2	3.5
051	15:49:20	19.12.14	2	1.6
015	15:51:15	19.12.14	2	5.1
029	15:52:49	19.12.14	2	5.5
022	15:52:51	19.12.14	2	3.5
028	15:54:03	19.12.14	2	4.4
026	15:56:27	19.12.14	2	3.6
021	15:57:48	19.12.14	2	6.1
043	16:03:19	19.12.14	2	4.3
030	16:03:38	19.12.14	2	3.6
041	16:04:38	19.12.14	2	3.6
022	16:11:20	19.12.14	2	5.7
025	16:12:24	19.12.14	2	3.6
030	16:12:31	19.12.14	2	3.7
027	16:12:50	19.12.14	2	4.7
020	16:14:56	19.12.14	2	3.7
023	16:15:36	19.12.14	2	3.7
021	16:16:18	19.12.14	2	3.7
021	16:17:54	19.12.14	2	3.8
024	16:17:58	19.12.14	2	6.1
028	16:27:38	19.12.14	2	4.7
028	16:29:08	19.12.14	2	3.8
032	16:29:41	19.12.14	2	5.2
032	16:30:20	19.12.14	2	4.7
021	16:30:57	19.12.14	2	3.9
016	16:31:33	19.12.14	2	10.2
034	16:35:12	19.12.14	2	4.0
028	16:37:51	19.12.14	2	6.6
019	16:38:26	19.12.14	2	1.9
034	16:41:30	19.12.14	2	3.8
027	16:42:16	19.12.14	2	3.4
009	16:43:04	19.12.14	2	2.2
020	16:43:43	19.12.14	2	3.9
018	16:43:50	19.12.14	2	3.9
029	16:45:04	19.12.14	2	3.9
034	16:47:48	19.12.14	2	4.0
038	16:50:19	19.12.14	2	4.0
032	16:51:56	19.12.14	2	3.3
028	16:53:23	19.12.14	2	4.0
033	16:59:29	19.12.14	2	4.0
027	17:04:24	19.12.14	2	4.0
025	17:07:01	19.12.14	2	7.1
039	17:12:54	19.12.14	2	0.7
044	17:22:21	19.12.14	2	1.1
027	17:24:27	19.12.14	2	5.3
033	17:30:07	19.12.14	2	4.1
037	17:30:52	19.12.14	2	5.4
