

Standort: Freuburgerstrass

[km/h]				 [m]
Dateformat: dd.mm.yy
053	09:24:43	20.01.17	2	4.4
052	09:24:46	20.01.17	2	4.2
056	09:24:48	20.01.17	2	3.8
048	09:24:52	20.01.17	2	3.6
054	09:25:04	20.01.17	2	3.7
054	09:25:07	20.01.17	2	3.8
054	09:25:13	20.01.17	2	4.1
052	09:25:37	20.01.17	2	3.7
049	09:25:38	20.01.17	2	3.1
048	09:25:54	20.01.17	2	2.7
051	09:25:58	20.01.17	2	2.7
048	09:26:01	20.01.17	2	4.5
048	09:26:04	20.01.17	2	3.8
048	09:26:16	20.01.17	2	2.5
056	09:26:20	20.01.17	2	4.2
045	09:26:25	20.01.17	2	4.2
048	09:26:29	20.01.17	2	8.3
037	09:27:10	20.01.17	2	3.5
050	09:27:15	20.01.17	2	3.7
047	09:27:24	20.01.17	2	5.7
038	09:27:26	20.01.17	2	4.0
034	09:27:28	20.01.17	2	4.2
034	09:27:30	20.01.17	2	3.0
034	09:27:35	20.01.17	2	2.2
040	09:27:51	20.01.17	2	2.7
045	09:28:12	20.01.17	2	3.4
049	09:28:23	20.01.17	2	5.2
049	09:28:24	20.01.17	2	4.4
047	09:28:42	20.01.17	2	4.6
052	09:28:43	20.01.17	2	4.9
048	09:28:46	20.01.17	2	7.0
045	09:28:49	20.01.17	2	5.2
045	09:28:53	20.01.17	2	6.3
044	09:28:57	20.01.17	2	5.2
044	09:28:58	20.01.17	2	5.9
043	09:29:01	20.01.17	2	2.0
056	09:29:29	20.01.17	2	6.1
045	09:29:36	20.01.17	2	4.3
045	09:29:40	20.01.17	2	4.1
048	09:29:41	20.01.17	2	5.4
051	09:29:49	20.01.17	2	2.6
041	09:29:59	20.01.17	2	4.5
041	09:30:01	20.01.17	2	4.4
046	09:30:07	20.01.17	2	4.9
043	09:30:09	20.01.17	2	5.2
052	09:30:14	20.01.17	2	5.5
045	09:30:24	20.01.17	2	5.0
046	09:35:33	20.01.17	2	5.1
043	09:36:07	20.01.17	2	18.1
046	09:36:10	20.01.17	2	5.8
040	09:36:11	20.01.17	2	4.0
040	09:36:14	20.01.17	2	5.4
043	09:36:16	20.01.17	2	6.2
049	09:36:27	20.01.17	2	6.7
065	09:37:01	20.01.17	2	6.5
056	09:37:02	20.01.17	2	3.3
052	09:37:10	20.01.17	2	5.1
053	09:37:29	20.01.17	2	6.3
051	09:37:31	20.01.17	2	6.3
060	09:37:39	20.01.17	2	6.1
068	09:37:49	20.01.17	2	5.9
060	09:37:57	20.01.17	2	6.5
059	09:37:59	20.01.17	2	6.0
051	09:38:15	20.01.17	2	5.3
057	09:38:17	20.01.17	2	6.1
053	09:38:18	20.01.17	2	4.8
052	09:38:21	20.01.17	2	5.9
050	09:38:23	20.01.17	2	5.3
048	09:38:24	20.01.17	2	5.4
050	09:38:45	20.01.17	2	6.0
061	09:38:58	20.01.17	2	6.2
054	09:39:02	20.01.17	2	6.3
042	09:39:04	20.01.17	2	1.0
047	09:39:06	20.01.17	2	5.5
055	09:39:08	20.01.17	2	5.2
055	09:39:11	20.01.17	2	6.1
055	09:39:32	20.01.17	2	6.0
051	09:39:34	20.01.17	2	5.9
049	09:39:41	20.01.17	2	7.1
046	09:39:43	20.01.17	2	5.6
043	09:39:45	20.01.17	2	7.1
042	09:39:46	20.01.17	2	6.5
052	09:39:50	20.01.17	2	6.2
058	09:39:53	20.01.17	2	6.0
053	09:39:59	20.01.17	2	5.7
060	09:40:16	20.01.17	2	6.4
056	09:40:22	20.01.17	2	6.3
050	09:40:24	20.01.17	2	6.0
050	09:40:27	20.01.17	2	5.3
050	09:40:29	20.01.17	2	5.2
042	09:40:41	20.01.17	2	4.2
050	09:40:43	20.01.17	2	6.1
056	09:40:51	20.01.17	2	7.0
053	09:40:52	20.01.17	2	5.9
051	09:40:54	20.01.17	2	6.4
063	09:40:59	20.01.17	2	5.8
053	09:41:28	20.01.17	2	5.7
018	09:41:28	20.01.17	2	1.5
033	09:41:39	20.01.17	2	5.9
060	09:41:51	20.01.17	2	5.7
055	09:41:55	20.01.17	2	10.1
049	09:42:03	20.01.17	2	6.7
046	09:42:13	20.01.17	2	11.8
047	09:42:15	20.01.17	2	4.9
056	09:42:22	20.01.17	2	7.1
048	09:42:25	20.01.17	2	6.8
066	09:42:33	20.01.17	2	5.3
055	09:42:40	20.01.17	2	3.7
059	09:42:43	20.01.17	2	6.0
058	09:42:45	20.01.17	2	5.4
051	09:42:52	20.01.17	2	6.2
049	09:42:55	20.01.17	2	5.7
049	09:42:57	20.01.17	2	5.5
045	09:43:07	20.01.17	2	5.4
049	09:43:09	20.01.17	2	5.7
045	09:43:12	20.01.17	2	5.2
045	09:43:13	20.01.17	2	4.0
043	09:43:14	20.01.17	2	0.7
045	09:43:16	20.01.17	2	3.8
051	09:43:18	20.01.17	2	6.6
050	09:43:21	20.01.17	2	4.4
047	09:43:31	20.01.17	2	5.4
049	09:43:58	20.01.17	2	5.4
048	09:44:02	20.01.17	2	5.3
043	09:44:03	20.01.17	2	5.6
055	09:44:14	20.01.17	2	5.2
055	09:44:21	20.01.17	2	6.0
051	09:44:26	20.01.17	2	4.9
048	09:44:30	20.01.17	2	5.4
048	09:44:32	20.01.17	2	7.0
049	09:44:33	20.01.17	2	6.0
058	09:44:43	20.01.17	2	6.4
040	09:45:00	20.01.17	2	5.6
052	09:45:02	20.01.17	2	6.1
053	09:45:04	20.01.17	2	6.2
056	09:45:22	20.01.17	2	6.3
060	09:45:27	20.01.17	2	2.3
013	09:45:46	20.01.17	2	13.2
018	09:45:49	20.01.17	2	5.3
019	09:45:52	20.01.17	2	3.0
023	09:45:54	20.01.17	2	1.9
022	09:45:57	20.01.17	2	6.1
054	09:46:14	20.01.17	2	5.9
052	09:46:17	20.01.17	2	5.8
058	09:46:20	20.01.17	2	6.1
059	09:46:23	20.01.17	2	7.2
015	09:46:42	20.01.17	2	2.4
048	09:46:43	20.01.17	2	4.2
049	09:46:46	20.01.17	2	6.1
050	09:46:47	20.01.17	2	0.6
043	09:46:50	20.01.17	2	5.7
043	09:46:52	20.01.17	2	4.7
047	09:46:53	20.01.17	2	5.7
044	09:46:56	20.01.17	2	6.2
041	09:46:58	20.01.17	2	5.7
038	09:47:45	20.01.17	2	6.8
037	09:47:47	20.01.17	2	5.9
040	09:47:48	20.01.17	2	7.4
037	09:47:50	20.01.17	2	4.4
039	09:47:52	20.01.17	2	5.8
037	09:47:55	20.01.17	2	6.1
033	09:47:56	20.01.17	2	0.5
040	09:47:57	20.01.17	2	2.0
038	09:47:59	20.01.17	2	6.1
045	09:48:03	20.01.17	2	6.4
044	09:48:06	20.01.17	2	4.9
042	09:48:09	20.01.17	2	6.3
042	09:48:11	20.01.17	2	4.8
057	09:48:21	20.01.17	2	5.7
053	09:48:25	20.01.17	2	5.2
008	09:48:26	20.01.17	2	0.6
047	09:48:42	20.01.17	2	5.2
046	09:48:44	20.01.17	2	9.5
048	09:48:47	20.01.17	2	5.4
056	09:48:54	20.01.17	2	5.2
054	09:49:04	20.01.17	2	5.4
