

Standort: Gstaltenrainweg

[km/h]				 [m]
Dateformat: dd.mm.yy
020	10:58:14	18.11.16	1	4.3
021	10:58:17	18.11.16	1	4.2
016	11:08:45	18.11.16	1	2.4
024	11:10:21	18.11.16	1	9.3
035	11:11:25	18.11.16	1	4.7
016	11:12:28	18.11.16	1	5.7
019	11:20:18	18.11.16	1	3.5
014	11:20:32	18.11.16	1	2.3
016	11:24:38	18.11.16	1	1.6
016	11:32:11	18.11.16	1	9.5
012	11:35:32	18.11.16	1	3.8
026	11:35:59	18.11.16	1	7.4
015	11:37:48	18.11.16	1	2.3
028	11:42:52	18.11.16	1	8.2
039	11:43:51	18.11.16	1	6.0
026	11:46:39	18.11.16	1	5.5
021	11:47:07	18.11.16	1	7.9
023	11:49:55	18.11.16	1	8.8
026	11:50:56	18.11.16	1	8.5
030	11:52:22	18.11.16	1	7.9
032	11:52:29	18.11.16	1	8.8
023	11:56:22	18.11.16	1	10.8
029	11:59:24	18.11.16	1	4.4
027	12:00:45	18.11.16	1	7.8
028	12:00:49	18.11.16	1	8.0
016	12:00:59	18.11.16	1	4.1
026	12:01:20	18.11.16	1	8.5
029	12:05:21	18.11.16	1	4.4
026	12:06:27	18.11.16	1	3.8
004	12:10:21	18.11.16	1	1.5
014	12:11:25	18.11.16	1	4.9
029	12:11:33	18.11.16	1	8.0
022	12:12:04	18.11.16	1	12.7
012	12:17:57	18.11.16	1	7.5
012	12:18:21	18.11.16	1	7.1
022	12:20:33	18.11.16	1	5.1
034	12:21:13	18.11.16	1	7.9
022	12:21:47	18.11.16	1	8.0
015	12:24:57	18.11.16	1	2.0
016	12:25:20	18.11.16	1	1.3
024	12:27:24	18.11.16	1	8.7
012	12:27:59	18.11.16	1	3.7
029	12:27:59	18.11.16	1	2.5
028	12:31:50	18.11.16	1	7.8
022	12:34:18	18.11.16	1	6.7
032	12:37:17	18.11.16	1	7.2
032	12:38:01	18.11.16	1	8.7
021	12:42:00	18.11.16	1	4.6
021	12:46:09	18.11.16	1	7.5
012	12:47:48	18.11.16	1	1.8
029	12:48:51	18.11.16	1	8.5
040	12:50:42	18.11.16	1	5.7
030	12:54:30	18.11.16	1	7.0
031	13:01:08	18.11.16	1	7.3
028	13:01:37	18.11.16	1	5.0
027	13:01:55	18.11.16	1	7.2
035	13:04:07	18.11.16	1	9.2
026	13:06:32	18.11.16	1	6.5
039	13:09:42	18.11.16	1	7.9
030	13:15:46	18.11.16	1	7.8
017	13:16:18	18.11.16	1	5.9
024	13:21:16	18.11.16	1	5.8
026	13:22:14	18.11.16	1	7.8
026	13:23:53	18.11.16	1	8.6
024	13:24:18	18.11.16	1	3.7
016	13:29:08	18.11.16	1	0.9
014	13:29:10	18.11.16	1	4.9
031	13:29:21	18.11.16	1	9.1
015	13:29:46	18.11.16	1	4.2
014	13:34:14	18.11.16	1	4.3
019	13:39:08	18.11.16	1	2.0
018	13:39:23	18.11.16	1	3.9
023	13:40:57	18.11.16	1	8.3
030	13:41:08	18.11.16	1	8.4
029	13:44:52	18.11.16	1	4.9
035	13:48:27	18.11.16	1	9.0
037	13:51:39	18.11.16	1	8.1
028	13:52:24	18.11.16	1	7.9
020	13:53:10	18.11.16	1	6.6
027	13:58:56	18.11.16	1	10.3
026	13:59:45	18.11.16	1	8.5
025	14:00:05	18.11.16	1	4.8
016	14:04:06	18.11.16	1	3.2
015	14:04:23	18.11.16	1	4.8
020	14:10:44	18.11.16	1	4.0
027	14:11:12	18.11.16	1	8.8
019	14:18:13	18.11.16	1	8.5
029	14:20:38	18.11.16	1	7.1
022	14:30:57	18.11.16	1	7.4
020	14:31:34	18.11.16	1	8.4
027	14:32:40	18.11.16	1	7.3
033	14:36:58	18.11.16	1	1.2
032	14:36:59	18.11.16	1	5.5
023	14:38:40	18.11.16	1	2.6
031	14:43:54	18.11.16	1	2.7
017	14:44:59	18.11.16	1	2.6
034	14:53:49	18.11.16	1	6.5
022	14:57:59	18.11.16	1	6.3
025	14:58:04	18.11.16	1	4.3
024	14:58:04	18.11.16	1	2.1
014	15:01:11	18.11.16	1	2.3
013	15:01:13	18.11.16	1	2.1
037	15:01:16	18.11.16	1	3.4
017	15:04:15	18.11.16	1	1.9
020	15:07:46	18.11.16	1	1.8
031	15:09:26	18.11.16	1	4.1
030	15:09:27	18.11.16	1	2.3
016	15:12:13	18.11.16	1	0.9
028	15:12:59	18.11.16	1	3.7
027	15:13:58	18.11.16	1	3.6
020	15:14:22	18.11.16	1	3.4
024	15:15:58	18.11.16	1	3.6
031	15:18:30	18.11.16	1	6.6
026	15:18:41	18.11.16	1	3.4
016	15:19:28	18.11.16	1	3.7
024	15:22:35	18.11.16	1	1.3
029	15:23:03	18.11.16	1	3.8
032	15:25:44	18.11.16	1	3.6
037	15:28:28	18.11.16	1	4.6
023	15:30:15	18.11.16	1	2.6
022	15:30:39	18.11.16	1	2.9
017	15:35:37	18.11.16	1	0.8
035	15:36:10	18.11.16	1	3.7
031	15:44:49	18.11.16	1	4.1
026	15:49:12	18.11.16	1	0.7
015	15:56:31	18.11.16	1	0.8
031	15:56:40	18.11.16	1	3.6
033	15:56:45	18.11.16	1	1.1
024	16:02:41	18.11.16	1	3.9
015	16:07:38	18.11.16	1	0.6
016	16:11:46	18.11.16	1	0.9
026	16:14:10	18.11.16	1	3.5
025	16:17:02	18.11.16	1	2.4
026	16:21:30	18.11.16	1	3.9
014	16:22:11	18.11.16	1	1.0
037	16:22:32	18.11.16	1	3.9
020	16:24:00	18.11.16	1	3.7
027	16:25:36	18.11.16	1	3.3
027	16:28:45	18.11.16	1	4.6
014	16:32:28	18.11.16	1	0.5
021	16:32:39	18.11.16	1	1.7
023	16:39:03	18.11.16	1	3.8
028	16:39:35	18.11.16	1	4.4
019	16:40:23	18.11.16	1	1.6
021	16:44:37	18.11.16	1	4.0
014	16:45:42	18.11.16	1	3.3
027	16:46:48	18.11.16	1	3.4
029	16:47:13	18.11.16	1	3.6
029	16:49:31	18.11.16	1	3.9
028	16:51:50	18.11.16	1	5.0
021	16:53:04	18.11.16	1	3.7
028	16:53:59	18.11.16	1	4.1
019	16:54:54	18.11.16	1	0.8
033	16:55:51	18.11.16	1	1.1
015	16:59:45	18.11.16	1	0.5
016	16:59:57	18.11.16	1	5.5
025	17:00:22	18.11.16	1	3.9
026	17:02:07	18.11.16	1	3.9
018	17:03:39	18.11.16	1	1.8
019	17:06:17	18.11.16	1	0.7
049	17:06:44	18.11.16	1	0.9
028	17:10:01	18.11.16	1	3.7
026	17:13:01	18.11.16	1	3.0
020	17:13:15	18.11.16	1	1.3
028	17:13:17	18.11.16	1	3.5
014	17:25:59	18.11.16	1	0.6
023	17:26:28	18.11.16	1	4.0
023	17:26:45	18.11.16	1	3.8
016	17:30:00	18.11.16	1	1.5
030	17:32:17	18.11.16	1	4.8
017	17:36:02	18.11.16	1	1.4
013	17:36:08	18.11.16	1	3.1
018	17:38:12	18.11.16	1	1.8
023	17:40:49	18.11.16	1	4.3
024	17:41:19	18.11.16	1	4.2
024	17:41:25	18.11.16	1	4.6
022	17:42:02	18.11.16	1	5.4
009	17:42:44	18.11.16	1	0.6
016	17:43:03	18.11.16	1	3.6
025	17:44:39	18.11.16	1	4.0
010	17:50:42	18.11.16	1	1.0
024	17:50:45	18.11.16	1	3.6
016	17:51:04	18.11.16	1	1.8
026	17:57:07	18.11.16	1	4.2
024	17:57:14	18.11.16	1	3.9
021	17:57:24	18.11.16	1	3.0
014	17:57:39	18.11.16	1	1.3
022	17:59:59	18.11.16	1	3.8
022	18:01:33	18.11.16	1	3.4
023	18:02:12	18.11.16	1	4.3
030	18:02:31	18.11.16	1	4.0
016	18:04:37	18.11.16	1	2.0
023	18:06:39	18.11.16	1	2.4
028	18:07:52	18.11.16	1	3.7
015	18:12:10	18.11.16	1	0.7
019	18:12:58	18.11.16	1	1.2
025	18:13:01	18.11.16	1	4.2
026	18:20:51	18.11.16	1	3.9
022	18:21:57	18.11.16	1	2.4
020	18:22:03	18.11.16	1	3.3
025	18:22:22	18.11.16	1	3.5
031	18:24:41	18.11.16	1	4.2
020	18:25:58	18.11.16	1	5.6
013	18:26:31	18.11.16	1	1.0
013	18:27:32	18.11.16	1	2.5
019	18:29:34	18.11.16	1	1.0
025	18:30:55	18.11.16	1	4.2
022	18:31:02	18.11.16	1	4.3
022	18:31:14	18.11.16	1	4.5
028	18:31:30	18.11.16	1	4.9
029	18:33:46	18.11.16	1	3.6
029	18:36:26	18.11.16	1	4.3
020	18:37:17	18.11.16	1	3.8
026	18:40:14	18.11.16	1	3.9
027	18:40:16	18.11.16	1	3.9
028	18:43:57	18.11.16	1	3.5
030	18:45:45	18.11.16	1	1.3
023	18:51:35	18.11.16	1	1.2
016	18:53:03	18.11.16	1	1.1
025	18:53:34	18.11.16	1	4.8
028	18:55:29	18.11.16	1	3.2
018	18:58:54	18.11.16	1	1.0
017	19:00:44	18.11.16	1	0.9
