

Standort: Hebelstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
021	09:31:59	15.05.15	1	3.9
017	09:35:48	15.05.15	1	3.6
026	09:41:27	15.05.15	1	3.9
030	09:44:04	15.05.15	1	3.0
029	09:55:06	15.05.15	1	8.1
008	10:01:14	15.05.15	1	1.9
031	10:14:57	15.05.15	1	3.8
007	10:17:02	15.05.15	1	0.5
017	10:18:45	15.05.15	1	11.3
015	10:28:04	15.05.15	1	4.3
020	10:28:08	15.05.15	1	4.0
027	10:30:31	15.05.15	1	3.8
008	10:31:53	15.05.15	1	0.8
042	10:48:12	15.05.15	1	3.4
021	10:48:56	15.05.15	1	4.8
031	10:50:22	15.05.15	1	4.8
008	10:51:29	15.05.15	1	0.6
009	11:06:21	15.05.15	1	1.4
036	11:08:34	15.05.15	1	4.7
020	11:11:50	15.05.15	1	0.5
031	11:25:14	15.05.15	1	4.5
019	11:28:09	15.05.15	1	6.0
021	11:31:31	15.05.15	1	3.1
011	11:33:06	15.05.15	1	3.7
032	11:41:25	15.05.15	1	3.2
010	11:43:47	15.05.15	1	2.8
010	11:56:21	15.05.15	1	2.9
024	11:56:25	15.05.15	1	3.9
025	11:57:15	15.05.15	1	3.8
019	12:03:13	15.05.15	1	5.7
028	12:08:42	15.05.15	1	3.4
032	12:09:57	15.05.15	1	0.6
010	12:10:44	15.05.15	1	0.9
027	12:28:47	15.05.15	1	4.4
013	12:28:59	15.05.15	1	4.6
012	12:35:38	15.05.15	1	3.4
018	12:38:17	15.05.15	1	5.5
024	12:46:39	15.05.15	1	3.6
028	12:53:53	15.05.15	1	3.4
019	12:54:50	15.05.15	1	2.6
020	12:58:53	15.05.15	1	2.7
014	13:00:10	15.05.15	1	1.7
016	13:05:22	15.05.15	1	3.8
016	13:11:12	15.05.15	1	3.8
011	13:11:40	15.05.15	1	1.8
022	13:22:17	15.05.15	1	3.9
025	13:22:21	15.05.15	1	3.7
011	13:31:49	15.05.15	1	1.1
029	13:38:02	15.05.15	1	3.9
009	13:38:26	15.05.15	1	0.8
023	13:38:29	15.05.15	1	3.5
007	13:42:08	15.05.15	1	0.9
010	13:43:41	15.05.15	1	1.7
009	13:43:58	15.05.15	1	2.0
022	13:45:12	15.05.15	1	3.5
009	13:45:33	15.05.15	1	1.2
009	13:47:31	15.05.15	1	1.3
022	13:48:02	15.05.15	1	4.9
010	13:48:30	15.05.15	1	1.0
017	13:48:55	15.05.15	1	4.1
018	13:51:02	15.05.15	1	4.2
008	13:52:51	15.05.15	1	1.7
027	13:53:26	15.05.15	1	3.3
027	13:57:09	15.05.15	1	3.4
023	13:59:33	15.05.15	1	3.8
024	14:00:53	15.05.15	1	3.1
022	14:03:39	15.05.15	1	3.9
041	14:05:24	15.05.15	1	4.8
021	14:07:24	15.05.15	1	4.8
020	14:08:53	15.05.15	1	7.7
009	14:17:18	15.05.15	1	1.0
023	14:27:57	15.05.15	1	5.3
018	14:28:30	15.05.15	1	3.2
008	14:29:25	15.05.15	1	1.1
026	14:30:43	15.05.15	1	2.9
030	14:31:08	15.05.15	1	2.7
022	14:33:17	15.05.15	1	3.5
028	14:34:06	15.05.15	1	4.0
023	14:40:55	15.05.15	1	3.6
027	15:09:22	15.05.15	1	5.1
032	15:14:07	15.05.15	1	3.9
032	15:19:20	15.05.15	1	6.8
010	15:19:36	15.05.15	1	0.8
031	15:41:16	15.05.15	1	3.0
024	15:42:13	15.05.15	1	3.9
033	15:46:27	15.05.15	1	3.3
032	15:47:02	15.05.15	1	3.0
022	15:51:41	15.05.15	1	7.0
028	15:56:54	15.05.15	1	2.5
018	15:59:45	15.05.15	1	1.0
026	16:20:30	15.05.15	1	1.0
026	16:22:07	15.05.15	1	4.3
006	16:48:29	15.05.15	1	1.8
030	16:50:53	15.05.15	1	3.9
012	16:52:14	15.05.15	1	1.8
022	16:57:04	15.05.15	1	7.4
011	17:04:51	15.05.15	1	0.7
012	17:10:09	15.05.15	1	1.7
019	17:14:58	15.05.15	1	4.3
018	17:17:26	15.05.15	1	1.1
034	17:21:34	15.05.15	1	3.8
010	17:23:18	15.05.15	1	0.7
023	17:24:11	15.05.15	1	4.0
010	17:24:43	15.05.15	1	0.7
010	17:37:26	15.05.15	1	1.8
026	17:37:55	15.05.15	1	4.4
014	17:38:28	15.05.15	1	1.1
032	17:48:35	15.05.15	1	3.9
020	17:48:42	15.05.15	1	2.9
031	18:02:05	15.05.15	1	3.0
011	18:02:21	15.05.15	1	1.2
023	18:05:53	15.05.15	1	4.2
033	18:08:37	15.05.15	1	7.0
034	18:10:44	15.05.15	1	5.5
037	18:12:56	15.05.15	1	4.1
025	18:14:19	15.05.15	1	4.6
010	18:23:00	15.05.15	1	0.7
028	18:25:44	15.05.15	1	3.5
029	18:26:28	15.05.15	1	5.1
007	18:34:01	15.05.15	1	1.8
023	18:39:53	15.05.15	1	4.5
034	18:40:09	15.05.15	1	4.3
012	18:44:29	15.05.15	1	1.7
009	18:50:31	15.05.15	1	1.0
007	18:55:34	15.05.15	1	0.8
011	19:01:19	15.05.15	1	0.8
012	19:02:12	15.05.15	1	2.6
011	19:13:12	15.05.15	1	0.6
016	19:15:28	15.05.15	1	0.7
013	19:22:36	15.05.15	1	1.7
013	19:30:55	15.05.15	1	1.8
035	19:57:58	15.05.15	1	7.6
020	20:07:53	15.05.15	1	0.7
010	20:27:12	15.05.15	1	0.6
015	20:27:24	15.05.15	1	1.1
025	20:28:30	15.05.15	1	4.1
031	20:31:36	15.05.15	1	3.9
034	20:40:06	15.05.15	1	3.0
041	21:23:36	15.05.15	1	4.2
010	21:24:04	15.05.15	1	0.9
029	21:30:43	15.05.15	1	4.3
017	21:37:38	15.05.15	1	4.1
018	21:42:06	15.05.15	1	4.6
028	21:42:22	15.05.15	1	3.7
032	21:43:13	15.05.15	1	3.6
020	22:06:42	15.05.15	1	0.8
012	22:35:29	15.05.15	1	0.5
018	22:57:29	15.05.15	1	0.5
013	23:16:01	15.05.15	1	0.6
022	23:24:43	15.05.15	1	1.0
016	00:16:17	16.05.15	1	0.8
019	00:25:18	16.05.15	1	4.5
009	00:26:49	16.05.15	1	2.0
022	00:31:46	16.05.15	1	4.3
022	00:35:04	16.05.15	1	1.7
036	01:29:56	16.05.15	1	7.4
032	03:26:55	16.05.15	1	4.1
020	03:44:07	16.05.15	1	0.9
029	04:17:24	16.05.15	1	3.8
024	07:01:59	16.05.15	1	5.3
014	07:05:47	16.05.15	1	2.6
027	07:06:48	16.05.15	1	3.3
021	08:05:34	16.05.15	1	3.9
033	08:15:11	16.05.15	1	3.7
028	08:19:24	16.05.15	1	3.5
010	08:21:28	16.05.15	1	2.3
034	08:22:36	16.05.15	1	4.6
037	08:26:53	16.05.15	1	3.9
024	08:30:22	16.05.15	1	3.6
030	08:32:00	16.05.15	1	4.1
019	08:41:43	16.05.15	1	3.4
031	08:44:28	16.05.15	1	4.0
015	08:46:40	16.05.15	1	1.9
021	08:47:31	16.05.15	1	2.4
025	08:51:01	16.05.15	1	4.2
022	08:53:53	16.05.15	1	3.7
017	08:54:11	16.05.15	1	1.8
024	09:13:50	16.05.15	1	4.5
019	09:18:45	16.05.15	1	1.7
009	09:18:53	16.05.15	1	0.5
017	09:20:58	16.05.15	1	4.6
019	09:28:15	16.05.15	1	0.5
018	09:29:35	16.05.15	1	4.1
030	09:30:38	16.05.15	1	4.6
017	09:55:31	16.05.15	1	2.6
022	09:57:13	16.05.15	1	3.6
018	09:57:51	16.05.15	1	3.1
033	10:00:05	16.05.15	1	3.8
032	10:01:43	16.05.15	1	3.7
031	10:19:12	16.05.15	1	3.8
013	10:20:05	16.05.15	1	1.9
027	10:31:20	16.05.15	1	4.3
010	10:33:51	16.05.15	1	2.3
012	10:40:13	16.05.15	1	2.6
022	11:03:35	16.05.15	1	4.0
015	11:06:11	16.05.15	1	4.5
031	11:08:45	16.05.15	1	3.4
026	11:18:04	16.05.15	1	5.4
008	11:25:07	16.05.15	1	0.6
019	11:50:20	16.05.15	1	4.3
009	11:53:36	16.05.15	1	0.9
026	12:04:50	16.05.15	1	5.3
022	12:17:10	16.05.15	1	7.6
011	12:33:50	16.05.15	1	1.9
020	12:35:59	16.05.15	1	4.4
016	12:39:56	16.05.15	1	1.6
016	12:44:27	16.05.15	1	3.3
011	12:54:08	16.05.15	1	1.3
022	12:58:25	16.05.15	1	4.0
008	13:06:28	16.05.15	1	1.0
031	13:14:00	16.05.15	1	4.0
024	13:32:32	16.05.15	1	6.4
035	13:40:36	16.05.15	1	3.9
019	13:44:32	16.05.15	1	4.3
010	13:55:19	16.05.15	1	1.6
010	13:55:30	16.05.15	1	1.1
024	13:59:57	16.05.15	1	3.7
029	14:02:31	16.05.15	1	4.2
009	14:19:16	16.05.15	1	1.3
041	14:21:29	16.05.15	1	4.1
021	14:32:19	16.05.15	1	4.7
019	14:35:35	16.05.15	1	5.0
013	14:38:35	16.05.15	1	1.4
026	14:45:06	16.05.15	1	3.7
023	14:52:59	16.05.15	1	0.5
028	15:03:01	16.05.15	1	0.9
033	15:09:17	16.05.15	1	5.5
009	15:22:20	16.05.15	1	1.3
025	15:23:01	16.05.15	1	4.7
022	15:31:27	16.05.15	1	0.5
012	15:43:51	16.05.15	1	3.0
009	15:48:24	16.05.15	1	0.5
024	16:05:03	16.05.15	1	3.4
010	16:09:27	16.05.15	1	1.0
023	16:20:49	16.05.15	1	2.7
030	16:21:31	16.05.15	1	4.4
018	16:40:12	16.05.15	1	0.8
009	17:03:44	16.05.15	1	3.1
023	17:10:30	16.05.15	1	3.5
013	17:14:07	16.05.15	1	0.8
018	17:16:37	16.05.15	1	3.7
023	17:19:33	16.05.15	1	0.7
010	17:19:38	16.05.15	1	1.7
011	17:25:43	16.05.15	1	0.5
008	17:27:26	16.05.15	1	0.7
026	17:31:08	16.05.15	1	1.0
033	17:47:29	16.05.15	1	7.4
029	17:55:47	16.05.15	1	4.8
032	17:55:50	16.05.15	1	3.3
025	17:56:13	16.05.15	1	4.7
012	18:08:43	16.05.15	1	1.5
010	18:46:24	16.05.15	1	0.5
010	18:51:36	16.05.15	1	0.9
011	18:53:55	16.05.15	1	2.4
028	18:54:46	16.05.15	1	7.6
018	18:58:10	16.05.15	1	4.2
036	19:13:51	16.05.15	1	5.0
021	19:15:29	16.05.15	1	8.1
013	19:19:38	16.05.15	1	0.6
007	19:19:56	16.05.15	1	0.5
011	19:32:15	16.05.15	1	2.1
017	19:52:31	16.05.15	1	4.7
010	20:05:33	16.05.15	1	1.3
024	20:08:49	16.05.15	1	4.7
019	20:43:19	16.05.15	1	0.5
009	20:52:38	16.05.15	1	2.3
025	21:06:28	16.05.15	1	4.1
027	21:30:50	16.05.15	1	5.0
008	21:33:56	16.05.15	1	1.5
010	21:35:19	16.05.15	1	1.1
010	21:36:58	16.05.15	1	1.8
023	21:45:53	16.05.15	1	7.5
011	22:29:53	16.05.15	1	1.3
033	22:52:06	16.05.15	1	0.6
014	22:52:32	16.05.15	1	0.8
026	22:58:14	16.05.15	1	4.6
007	23:24:35	16.05.15	1	0.7
012	00:15:14	17.05.15	1	1.3
019	00:18:44	17.05.15	1	0.7
031	00:25:52	17.05.15	1	3.4
020	00:29:49	17.05.15	1	7.5
012	00:44:40	17.05.15	1	0.7
028	00:46:48	17.05.15	1	7.4
029	01:17:18	17.05.15	1	7.2
020	02:19:04	17.05.15	1	3.1
023	04:51:55	17.05.15	1	7.3
024	04:52:11	17.05.15	1	7.2
023	07:02:45	17.05.15	1	3.9
010	07:42:06	17.05.15	1	0.7
028	07:48:29	17.05.15	1	4.6
019	08:06:44	17.05.15	1	3.3
028	08:26:45	17.05.15	1	5.4
045	09:19:42	17.05.15	1	7.1
011	09:36:35	17.05.15	1	0.6
010	09:50:55	17.05.15	1	1.9
015	09:58:29	17.05.15	1	4.9
018	09:59:13	17.05.15	1	0.5
038	10:23:11	17.05.15	1	6.8
010	11:03:03	17.05.15	1	1.9
015	11:06:35	17.05.15	1	1.1
012	11:07:24	17.05.15	1	1.2
025	11:14:43	17.05.15	1	0.7
024	11:29:47	17.05.15	1	4.0
032	11:37:13	17.05.15	1	3.9
022	11:52:44	17.05.15	1	0.8
019	12:03:50	17.05.15	1	4.0
013	12:04:04	17.05.15	1	1.7
023	12:19:54	17.05.15	1	4.2
022	12:32:43	17.05.15	1	0.6
014	12:39:40	17.05.15	1	2.8
019	12:43:39	17.05.15	1	4.6
032	12:53:44	17.05.15	1	3.5
031	12:53:56	17.05.15	1	4.2
019	13:05:58	17.05.15	1	4.6
028	13:08:07	17.05.15	1	4.9
023	13:12:12	17.05.15	1	7.6
010	13:12:37	17.05.15	1	2.3
010	14:03:41	17.05.15	1	1.4
009	14:13:08	17.05.15	1	1.3
030	14:29:38	17.05.15	1	4.5
010	14:31:14	17.05.15	1	1.0
013	14:36:27	17.05.15	1	1.3
025	14:41:46	17.05.15	1	4.1
015	14:47:47	17.05.15	1	4.4
013	14:48:30	17.05.15	1	1.1
013	14:48:31	17.05.15	1	0.6
014	14:48:33	17.05.15	1	0.8
027	14:49:25	17.05.15	1	4.5
010	14:54:51	17.05.15	1	1.3
027	14:56:12	17.05.15	1	3.8
017	15:05:24	17.05.15	1	1.3
012	15:06:26	17.05.15	1	3.2
008	15:06:34	17.05.15	1	1.4
009	15:19:22	17.05.15	1	0.7
013	15:37:04	17.05.15	1	2.8
033	15:43:28	17.05.15	1	5.1
034	15:45:28	17.05.15	1	4.0
026	15:53:40	17.05.15	1	3.7
020	16:04:00	17.05.15	1	0.6
030	16:17:40	17.05.15	1	7.6
026	16:26:28	17.05.15	1	4.6
028	16:34:14	17.05.15	1	7.5
010	16:43:05	17.05.15	1	3.1
017	17:06:48	17.05.15	1	0.8
009	17:10:46	17.05.15	1	1.6
025	17:20:24	17.05.15	1	4.0
017	17:21:56	17.05.15	1	1.0
018	17:21:57	17.05.15	1	0.7
009	17:30:11	17.05.15	1	1.2
014	17:30:54	17.05.15	1	0.6
015	17:31:24	17.05.15	1	2.0
022	17:32:18	17.05.15	1	4.4
007	17:34:20	17.05.15	1	1.1
008	17:46:36	17.05.15	1	0.9
018	17:53:40	17.05.15	1	1.3
031	18:04:02	17.05.15	1	3.9
028	18:05:35	17.05.15	1	4.1
009	18:07:57	17.05.15	1	0.9
030	18:09:16	17.05.15	1	5.2
024	18:10:29	17.05.15	1	3.9
019	18:11:37	17.05.15	1	0.5
026	18:23:32	17.05.15	1	3.3
028	18:29:36	17.05.15	1	4.0
013	18:43:37	17.05.15	1	0.9
024	18:47:50	17.05.15	1	3.8
008	18:56:05	17.05.15	1	1.1
009	18:56:10	17.05.15	1	1.0
013	18:59:19	17.05.15	1	1.0
028	19:07:57	17.05.15	1	4.7
011	19:11:35	17.05.15	1	1.2
013	19:12:56	17.05.15	1	1.9
019	19:29:29	17.05.15	1	4.4
008	19:35:33	17.05.15	1	1.4
020	19:46:53	17.05.15	1	3.6
022	19:55:31	17.05.15	1	4.8
008	20:00:06	17.05.15	1	1.5
028	20:00:16	17.05.15	1	7.5
009	20:00:59	17.05.15	1	1.3
012	20:14:40	17.05.15	1	1.6
012	20:16:22	17.05.15	1	1.8
019	20:17:37	17.05.15	1	5.2
007	20:26:03	17.05.15	1	2.7
010	20:26:56	17.05.15	1	1.9
022	20:41:09	17.05.15	1	0.5
010	20:53:52	17.05.15	1	2.2
012	21:00:22	17.05.15	1	1.0
026	21:04:29	17.05.15	1	4.3
013	21:28:05	17.05.15	1	1.2
009	21:31:29	17.05.15	1	0.9
030	21:32:45	17.05.15	1	4.1
035	21:35:50	17.05.15	1	4.4
024	21:38:38	17.05.15	1	3.9
010	21:45:43	17.05.15	1	1.7
013	22:11:28	17.05.15	1	0.7
027	22:27:57	17.05.15	1	0.7
023	22:40:24	17.05.15	1	4.7
025	22:44:07	17.05.15	1	4.6
029	22:54:32	17.05.15	1	4.4
026	22:54:36	17.05.15	1	4.4
037	23:00:33	17.05.15	1	1.0
019	23:19:37	17.05.15	1	0.5
011	23:48:46	17.05.15	1	1.1
011	23:53:01	17.05.15	1	2.1
016	23:57:02	17.05.15	1	4.5
023	00:00:08	18.05.15	1	7.4
026	03:31:51	18.05.15	1	6.4
009	03:59:58	18.05.15	1	1.1
023	04:03:22	18.05.15	1	1.0
014	05:14:16	18.05.15	1	1.2
026	05:14:48	18.05.15	1	4.1
031	05:43:03	18.05.15	1	4.3
033	06:07:47	18.05.15	1	3.8
025	06:09:35	18.05.15	1	4.7
016	06:27:16	18.05.15	1	5.3
009	06:30:20	18.05.15	1	0.7
022	06:32:50	18.05.15	1	3.3
012	06:43:12	18.05.15	1	0.9
026	07:00:03	18.05.15	1	3.6
024	07:09:21	18.05.15	1	4.3
022	07:09:30	18.05.15	1	1.2
019	07:19:50	18.05.15	1	0.6
010	07:20:13	18.05.15	1	2.9
020	07:25:15	18.05.15	1	3.7
011	07:29:03	18.05.15	1	3.8
022	07:35:30	18.05.15	1	0.5
029	07:39:48	18.05.15	1	4.1
013	07:44:36	18.05.15	1	0.7
026	07:46:09	18.05.15	1	4.3
024	07:46:37	18.05.15	1	3.3
017	07:48:48	18.05.15	1	0.5
039	07:49:27	18.05.15	1	7.4
011	07:55:41	18.05.15	1	1.4
025	07:56:49	18.05.15	1	4.2
010	07:57:01	18.05.15	1	1.2
018	07:58:31	18.05.15	1	4.7
010	08:02:34	18.05.15	1	0.8
007	08:09:57	18.05.15	1	1.2
028	08:10:22	18.05.15	1	3.0
010	08:10:36	18.05.15	1	3.1
020	08:11:49	18.05.15	1	0.7
020	08:16:27	18.05.15	1	4.0
013	08:19:47	18.05.15	1	3.5
030	08:21:29	18.05.15	1	3.9
019	08:25:56	18.05.15	1	1.0
028	08:26:53	18.05.15	1	5.1
012	08:27:42	18.05.15	1	2.9
011	08:34:40	18.05.15	1	0.8
009	08:37:52	18.05.15	1	0.6
024	08:39:10	18.05.15	1	5.3
030	08:41:40	18.05.15	1	4.3
020	08:44:51	18.05.15	1	0.8
023	08:57:21	18.05.15	1	4.0
030	09:01:49	18.05.15	1	5.6
023	09:05:05	18.05.15	1	7.0
029	09:07:23	18.05.15	1	5.0
025	09:21:22	18.05.15	1	3.1
021	09:26:50	18.05.15	1	5.1
027	09:33:25	18.05.15	1	4.9
009	09:35:09	18.05.15	1	0.8
009	09:37:54	18.05.15	1	0.5
014	09:45:56	18.05.15	1	3.7
025	09:47:42	18.05.15	1	3.6
009	09:50:50	18.05.15	1	1.2
031	09:53:30	18.05.15	1	4.4
019	10:00:22	18.05.15	1	3.8
024	10:01:48	18.05.15	1	4.7
023	10:04:59	18.05.15	1	3.6
012	10:08:19	18.05.15	1	1.7
020	10:13:14	18.05.15	1	4.0
017	10:16:04	18.05.15	1	2.8
013	10:16:05	18.05.15	1	1.3
010	10:16:55	18.05.15	1	1.5
009	10:24:07	18.05.15	1	1.0
008	10:28:37	18.05.15	1	3.7
023	10:30:21	18.05.15	1	4.6
010	10:35:21	18.05.15	1	1.3
007	10:37:01	18.05.15	1	1.5
